"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_UzuCxl4I7NqC4KJBo","4816171","new_entry","original",NA,NA,"Angola is closing universities after March 24",2020-03-23,2020-03-24,NA,"Angola","AGO","AO","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Angola",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",52.9669377770191,51.9103594997957,50.9561679981309,75,"https://www.cmjornal.pt/mundo/detalhe/angola-encerra-escolas-universidades-e-igrejas-durante-15-dias-para-prevenir-propagacao-do-coronavirus",2020-04-03,2020-04-03 19:48:23
"2","R_1BWaHDf5ibLRdZ2Dg","7760829","new_entry","original",NA,NA,"Angola is closing all schools after March 24",2020-03-19,2020-03-24,2020-04-08,"Angola","AGO","AO","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Angola",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","Other (Please specify in the text box)",52.9669377770191,51.9103594997957,50.9561679981309,75,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",2020-04-02,2020-04-02 19:13:58
"3","R_1BWaHDf5ibLRdZ2Ec","7760829","new_entry","original",NA,NA,"Angola is closing all schools after March 24",2020-03-19,2020-03-24,2020-04-08,"Angola","AGO","AO","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Angola",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","Other (Please specify in the text box)",52.9669377770191,51.9103594997957,50.9561679981309,75,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",2020-04-02,2020-04-02 19:13:58
"4","R_3q7Pf6fcihjgcV8NA","2092278","new_entry","original",NA,NA,"Angola activates state of emergency on March 27",2020-03-25,2020-03-27,2020-05-24,"Angola","AGO","AO","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Angola",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",54.1940632139102,53.3225352046609,52.5055949674182,146,"https://www.dn.pt/mundo/-angola-declara-estado-de-emergencia-a-partir-de-sexta-feira-11985859.html",2020-04-03,2020-04-03 16:17:56
"5","R_1n72Khy16nufvTHNA","8457457","new_entry","original",NA,NA,"Angola is restricting the free movement of individuals, which are only allowed to leave their homes for a small number of reasons, as part of the state of emergency after March 27. Mass gathering are also restricted.",2020-03-26,2020-03-27,2020-04-11,"Angola","AGO","AO","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Angola",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.1940632139102,53.3225352046609,52.5055949674182,146,"https://www.angop.ao/angola/pt_pt/noticias/saude/2020/2/13/COVID-Sintese-nacional,b54804c2-df5a-428a-bfd1-e9107e67bf85.html",2020-04-03,2020-04-03 17:23:30
"6","R_2fs3wpTUAtUQSFFNA","5188358","new_entry","original",NA,NA,"Angola bans citizens from China, South Korea, Italy, Iran, Nigeria, Egypt, and Algeria that are travelling directly from these countries from entering after March 3",2020-03-01,2020-03-03,2020-03-31,"Angola","AGO","AO","National",0,NA,NA,"External Border Restrictions",NA,NA,"","Algeria,China,Egypt,Iran,Italy,Nigeria,South Korea","One or more countries, but not all countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Mandatory with Legal Penalties (Jail Time)","National Government",51.3391066047928,49.7461790063703,47.8542647641298,114,"https://www.garda.com/crisis24/news-alerts/318971/angola-entry-restrictions-implemented-amid-covid-19-outbreak-march-1-update-1",2020-04-01,2020-04-01 16:57:34
"7","R_2bGVyGkTvaBE4IsNA","4266428","new_entry","correction",NA,NA,"Angola, which had previously prohibited the entrance of citizens from Nigeria, Egypt, and Algeria, has taken them of the restricted list after March 4",2020-03-04,2020-03-04,2020-03-26,"Angola","AGO","AO","National",0,NA,NA,"External Border Restrictions",NA,NA,"","Algeria,Egypt,Nigeria","One or more countries, but not all countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",51.4378215308451,49.6923753723855,47.6477699998629,105,"https://www.rtp.pt/noticias/mundo/angola-retira-paises-africanos-da-lista-de-proibicoes-de-entrada-no-territorio_n1209617",2020-07-08,2020-07-08 00:18:52
"8","R_1EWgvEYGKWhZTorNA","6363503","new_entry","original",NA,NA,"Angola temporarily bans cruise ships from entering as of March 13",2020-03-12,2020-03-12,2020-03-26,"Angola","AGO","AO","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Cruises","Mandatory with Legal Penalties (Jail Time)","Other (Please specify in the text box)",51.5194855350506,50.1436262121979,48.7978964431281,84,"https://www.angop.ao/angola/pt_pt/noticias/saude/2020/2/11/COVID-Suspensa-entrada-Navios-Cruzeiros-Angola,599e22e0-64d5-4a79-9ccc-00be46b8c1db.html",2020-04-01,2020-04-01 19:12:00
"9","R_1IH6pObrZzZ8qeoNA","825480","new_entry","original",NA,NA,"Angola bans the circulation of people on its borders and prohibits ships from docking and its passengers from disembarking for 15 days as of March 20",2020-03-18,2020-03-20,2020-04-04,"Angola","AGO","AO","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Land Border,Trains,Buses,Cruises,Ferries","Mandatory with Legal Penalties (Jail Time)","National Government",53.2238721934397,51.3623967117047,49.5532508026494,72,"http://governo.gov.ao/download.aspx?id=2410&tipo=legislacao",2020-04-01,2020-04-01 18:14:36
"10","R_2WMv4nRrtTTswSyBl","9118953","new_entry","correction",NA,NA,"Angola has implemented a national health fence from 27 March to 11 Apri (or duration of State of Emergency), with entry and exit from national territory prohibited for all. Exception is given for entry and exit of essential goods and services, humanitarian aid, entry and exit of patients. 
Persons under these exceptions are subject to the mandatory test.",2020-03-26,2020-03-27,2020-04-11,"Angola","AGO","AO","National",0,NA,NA,"External Border Restrictions","Health Screenings (e.g. temperature checks)",NA,"","Angola","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",54.1940632139102,53.3225352046609,52.5055949674182,146,"NA",2020-11-29,2020-11-29 19:51:09
