"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3PS2YI9pdED8SCmEo",484481,"new_entry","original","NA",NA,"In Armenia the media will be monitored and in case of a hike in the number of fake news, the decision will be reversed on April 13.","2020-04-13","2020-04-13",NA,"Armenia","ARM","AM","National",0,NA,NA,"Anti-Disinformation Measures","Self-Quarantine (i.e. quarantine at home)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4346061295547,47.8671315972604,42.7723530438576,8,"https://www.evnreport.com/covid-19/covid-19-daily-briefing-april-13","2020-05-27","2020-05-27 09:45:40"
"2","R_3PS2YI9pdED8SCmCj",484481,"new_entry","original","NA",NA,"In Armenia the media will be monitored and in case of a hike in the number of fake news, the decision will be reversed on April 13.","2020-04-13","2020-04-13",NA,"Armenia","ARM","AM","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4346061295547,47.8671315972604,42.7723530438576,8,"https://www.evnreport.com/covid-19/covid-19-daily-briefing-april-13","2020-05-27","2020-05-27 09:45:40"
"3","R_3PS2YI9pdED8SCmFh",484481,"new_entry","original","NA",NA,"In Armenia the media will be monitored and in case of a hike in the number of fake news, the decision will be reversed on April 13.","2020-04-13","2020-04-13",NA,"Armenia","ARM","AM","National",0,NA,NA,"Anti-Disinformation Measures","Visa extensions (e.g. visa validity extended)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4346061295547,47.8671315972604,42.7723530438576,8,"https://www.evnreport.com/covid-19/covid-19-daily-briefing-april-13","2020-05-27","2020-05-27 09:45:40"
"4","R_3PS2YI9pdED8SCmDl",484481,"new_entry","original","NA",NA,"In Armenia the media will be monitored and in case of a hike in the number of fake news, the decision will be reversed on April 13.","2020-04-13","2020-04-13",NA,"Armenia","ARM","AM","National",0,NA,NA,"Anti-Disinformation Measures","Postponement of a recreational or commercial event",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4346061295547,47.8671315972604,42.7723530438576,8,"https://www.evnreport.com/covid-19/covid-19-daily-briefing-april-13","2020-05-27","2020-05-27 09:45:40"
"5","R_3PS2YI9pdED8SCmCh",484481,"new_entry","original","NA",NA,"In Armenia the media will be monitored and in case of a hike in the number of fake news, the decision will be reversed on April 13.","2020-04-13","2020-04-13",NA,"Armenia","ARM","AM","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4346061295547,47.8671315972604,42.7723530438576,8,"https://www.evnreport.com/covid-19/covid-19-daily-briefing-april-13","2020-05-27","2020-05-27 09:45:40"
"6","R_3PS2YI9pdED8SCmFm",484481,"new_entry","original","NA",NA,"In Armenia the media will be monitored and in case of a hike in the number of fake news, the decision will be reversed on April 13.","2020-04-13","2020-04-13",NA,"Armenia","ARM","AM","National",0,NA,NA,"Anti-Disinformation Measures","Wearing Masks in all public spaces/everywhere",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4346061295547,47.8671315972604,42.7723530438576,8,"https://www.evnreport.com/covid-19/covid-19-daily-briefing-april-13","2020-05-27","2020-05-27 09:45:40"
"7","R_3PS2YI9pdED8SCmAq",484481,"new_entry","original","NA",NA,"In Armenia the media will be monitored and in case of a hike in the number of fake news, the decision will be reversed on April 13.","2020-04-13","2020-04-13",NA,"Armenia","ARM","AM","National",0,NA,NA,"Anti-Disinformation Measures","82800",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4346061295547,47.8671315972604,42.7723530438576,8,"https://www.evnreport.com/covid-19/covid-19-daily-briefing-april-13","2020-05-27","2020-05-27 09:45:40"
"8","R_3PS2YI9pdED8SCmAd",484481,"new_entry","original","NA",NA,"In Armenia the media will be monitored and in case of a hike in the number of fake news, the decision will be reversed on April 13.","2020-04-13","2020-04-13",NA,"Armenia","ARM","AM","National",0,NA,NA,"Anti-Disinformation Measures","21600",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4346061295547,47.8671315972604,42.7723530438576,8,"https://www.evnreport.com/covid-19/covid-19-daily-briefing-april-13","2020-05-27","2020-05-27 09:45:40"
"9","R_3PS2YI9pdED8SCmDp",484481,"new_entry","original","NA",NA,"In Armenia the media will be monitored and in case of a hike in the number of fake news, the decision will be reversed on April 13.","2020-04-13","2020-04-13",NA,"Armenia","ARM","AM","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4346061295547,47.8671315972604,42.7723530438576,8,"https://www.evnreport.com/covid-19/covid-19-daily-briefing-april-13","2020-05-27","2020-05-27 09:45:40"
"10","R_3PS2YI9pdED8SCmEn",484481,"new_entry","original","NA",NA,"In Armenia the media will be monitored and in case of a hike in the number of fake news, the decision will be reversed on April 13.","2020-04-13","2020-04-13",NA,"Armenia","ARM","AM","National",0,NA,NA,"Anti-Disinformation Measures","Secondary Schools (generally for children ages 10 to 18)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4346061295547,47.8671315972604,42.7723530438576,8,"https://www.evnreport.com/covid-19/covid-19-daily-briefing-april-13","2020-05-27","2020-05-27 09:45:40"
