"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2YDKqKvI0IWUSwTNA","7108173","new_entry","original",NA,NA,"Austrian cities Linz & Vienna launches Corona-Bot: the software which is vital in the fight against the spread of fake news about Coronavirus.",2020-04-19,2020-04-19,NA,"Austria","AUT","AT","Municipal",0,"Vienna","Vienna, Linz","Anti-Disinformation Measures",NA,NA,"","Austria",NA,NA,"Vienna","Vienna, Linz",NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government,Municipal Government,New (COVID-19 specific) Task Force",56.6121220986476,53.7413596501834,50.6050229718903,133,"https://www.themayor.eu/en/meet-austrian-cities-corona-bot",2020-07-21,2020-07-21 08:14:33
"2","R_33j0eqJn2mjk2oYCw","6139501","new_entry","correction",NA,NA,"From March 18, 2020, Austria announced the closure of all primary schools.",2020-03-12,2020-03-18,2020-04-30,"Austria","AUT","AT","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Austria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.2463492795892,53.4475131526554,52.6720990131745,169,"https://www.oesterreich.gv.at/themen/coronavirus_in_oesterreich/aktuelle_entwicklungen_in_der_schule.html",2020-04-02,2020-04-02 11:31:33
"3","R_4HMt4YZ4ypvJCc9Cu","7639867","new_entry","original",NA,NA,"In Austria, from March 18, 2020, kindergardens remain open, but as many children as possible should be cared for at home. Kindergarden only open to those students whose parents have to work outside the home and cannot look after their children at home.",2020-03-13,2020-03-18,2020-04-15,"Austria","AUT","AT","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Austria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","Other (Please specify in the text box)",54.2463492795892,53.4475131526554,52.6720990131745,169,"https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Rechtliches.html",2020-04-08,2020-04-08 06:13:22
"4","R_sealC4kLWbJNsgVCu","7639867","update","original","End of Policy",NA,"In Austria, from March 18, 2020, kindergardens remain open, but as many children as possible should be cared for at home. Kindergarden only open to those students whose parents have to work outside the home and cannot look after their children at home.",2020-03-13,2020-03-18,2020-04-15,"Austria","AUT","AT","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Austria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","Other (Please specify in the text box)",54.2463492795892,53.4475131526554,52.6720990131745,169,"NA",2020-05-27,2020-05-27 09:55:55
"5","R_12xxJ1ejTX1hOXgBh","7850017","new_entry","original",NA,NA,"For the colleges and universities,  the currently established operation (From between 03-09-2020 and 03-16-2020  all universities and colleges 
have switched their teaching operations to virtual teaching/distance
 learning/home learning. Large library rooms are closed, sports events 
at the University Sports Institutes have been suspended. However, 
research activities will continue.) will continue until the end of April. Announced March 31 by the education/research minister",2020-03-31,2020-03-31,2020-06-30,"Austria","AUT","AT","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Austria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",55.3630870280904,53.7726246447614,52.1858929186558,159,"https://www.bmbwf.gv.at/Ministerium/Presse/20200331.html",2020-04-08,2020-04-08 07:28:33
"6","R_3HIkIlz1CoEqmGICw","1320372","update","original",NA,NA,"UPDATE: For the schools (primary schools, new middle school (NMS), AHS ) , the currently established operation (orginally planned until April 3) will continue until the end of April. Announced March 31",2020-03-31,2020-03-31,2020-04-30,"Austria","AUT","AT","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Austria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","Other (Please specify in the text box)",55.3630870280904,53.7726246447614,52.1858929186558,159,"https://www.bmbwf.gv.at/Ministerium/Presse/20200331.html",2020-04-08,2020-04-08 07:18:13
"7","R_DUirZcnoUCcGhixDr","6139501","update","original",NA,NA,"UPDATE: For the schools (the secondary schools), the currently established operation (originally planned until April 3) will continue until the end of April. Announced March 31",2020-03-31,2020-03-31,2020-04-30,"Austria","AUT","AT","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Austria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",55.3630870280904,53.7726246447614,52.1858929186558,159,"https://www.bmbwf.gv.at/Ministerium/Presse/20200331.html",2020-04-08,2020-04-08 07:22:14
"8","R_cMiZAKtiWWHQeJ3Cw","1320372","update","original",NA,"Relaxing","UPDATE: Austria's government's plan to reopening schools:
From May 18: Elementary schools (Volksschulen), lower grades in high schools (Unterstufen in Gymnasien), intermediate schools (Neue Mittelschule, NMS), and special needs schools reopen",2020-04-24,2020-04-18,2020-04-30,"Austria","AUT","AT","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Austria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","Other (Please specify in the text box)",56.552521358802,53.7718489849921,50.6311267483237,134,"https://www.bmbwf.gv.at/Ministerium/Presse/20200331.html ; https://metropole.at/coronavirus-in-austria/",2020-04-25,2020-04-25 08:56:56
"9","R_cMiZAKtiWWHQeJ3Dr","1320372","update","original",NA,"Relaxing","UPDATE: Austria's government's plan to reopening schools:
From May 18: Elementary schools (Volksschulen), lower grades in high schools (Unterstufen in Gymnasien), intermediate schools (Neue Mittelschule, NMS), and special needs schools reopen",2020-04-24,2020-04-18,2020-04-30,"Austria","AUT","AT","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Austria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","Other (Please specify in the text box)",56.552521358802,53.7718489849921,50.6311267483237,134,"https://www.bmbwf.gv.at/Ministerium/Presse/20200331.html ; https://metropole.at/coronavirus-in-austria/",2020-04-25,2020-04-25 08:56:56
"10","R_bee4ToWvHDquNYlBh","7850017","update","original",NA,"Strengthening","UPDATE: For the colleges and universities, most of the the currently established operation will continue for the whole semester (distance teaching, and online examinations where possible, no events no conferences)",2020-04-07,2020-05-01,2020-06-30,"Austria","AUT","AT","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Austria",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",NA,NA,NA,NA,"https://www.bmbwf.gv.at/dam/jcr:37771dbb-74e2-4e0e-82b0-a7490638b46d/corona_bm_20200407.pdf",2020-04-11,2020-04-11 18:42:06
