"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_0DvyUtx6zRZB7mVNA","2306597","new_entry","original",NA,NA,"Bangladesh's the director of the Institute of Epidemiology, Diseases Control and Research (IEDCR) briefed about the rumor of corona virus which resulted in a death of one woman in Satkhira district and urged everyone about maintaining caution about rumor. February 18.",2020-02-18,2020-02-18,NA,"Bangladesh","BGD","BD","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Ministry/Department of Health",50.7193715544359,48.2993510627458,44.4134908604685,84,"https://www.thedailystar.net/frontpage/news/iedcr-boss-cautions-against-rumours-1869919",2020-06-21,2020-06-21 17:55:29
"2","R_30pBlgVb552YurENA","9051318","new_entry","original",NA,NA,"Bangladesh Health Minister Urged people not to pay any attention to any rumors about COVID-19. February 19.",2020-02-19,2020-02-19,NA,"Bangladesh","BGD","BD","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Ministry/Department of Health",NA,NA,NA,NA,"https://tbsnews.net/bangladesh/dont-pay-heed-rumours-over-coronavirus-health-minister-46191",2020-07-20,2020-07-20 13:56:07
"3","R_1DMSN0pTzzJZ7TmNA","5576115","new_entry","original",NA,NA,"Bangladesh Police in Chattogram arrested a physician, for allegedly spreading rumour about coronavirus through an audio clip circulated via Facebook messenger.A youth arrested for spreading rumour on coronavirus through Facebook gave confessional statement before a Manikganj court yesterday, reports our correspondent.March 21.",2020-03-21,2020-03-21,2020-03-21,"Bangladesh","BGD","BD","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Justice,Police",51.1261093992866,49.4683964904107,47.2565611965394,28,"https://www.thedailystar.net/city/news/man-behind-viral-rumour-held-ctg-1884112",2020-06-23,2020-06-23 16:46:57
"4","R_Q5NOUTPRZIRmZUdNA","6034402","new_entry","original",NA,NA,"Bangladesh government will sue people under the Digital Security Act for sharing or publicising rumours or confusing or unverified information on social media or through any other means during the 10-day closure to fight coronavirus says The Press Information Department. March 28",2020-03-28,2020-03-28,2020-04-05,"Bangladesh","BGD","BD","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Police",51.1127759250516,49.989588112712,48.7617170550197,29,"https://www.thedailystar.net/backpage/news/coronavirus-legal-actions-sharing-rumours-1887199",2020-06-24,2020-06-24 14:26:45
"5","R_3EOkh1do511wIY9NA","8350425","new_entry","original",NA,NA,"Bangladesh Police Headquarters (PHQ) yesterday called upon all not to spread misleading information and rumours against law enforcers, as it is demotivating officials who are working for the welfare of the country amid the coronavirus outbreak. PHQ came up with the appeal, after it found that photoshopped pictures of police action during the arson attacks in 2011 at the time of the BNP-Jamaat blockade are being posted and shared on social media. March 30",2020-03-30,2020-03-30,NA,"Bangladesh","BGD","BD","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time)","Police",51.4470839534568,50.1230235883303,48.8754894164826,28,"https://www.thedailystar.net/city/news/dont-spread-rumours-against-police-phq-1887964",2020-06-23,2020-06-23 18:16:03
"6","R_2ZOEYjTRmfKoVJsNA","9070938","new_entry","original",NA,NA,"Bangladesh Army Chief urges the the soldiers and officers not to be driven by the rumors surrounding the the army's deployment during COVID-19 pandemic.June 25.",2020-06-25,2020-06-25,NA,"Bangladesh","BGD","BD","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Military",NA,NA,NA,NA,"https://www.prothomalo.com/bangladesh/article/1665082/%E0%A6%97%E0%A7%81%E0%A6%9C%E0%A6%AC%E0%A7%87-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B0%E0%A7%8B%E0%A6%9A%E0%A6%BF%E0%A6%A4-%E0%A6%A8%E0%A6%BE-%E0%A6%B9%E0%A6%93%E0%A7%9F%E0%A6%BE%E0%A6%B0-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A6%A8%E0%A6%BE-%E0%A6%B8%E0%A7%87%E0%A6%A8%E0%A6%BE%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A7%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0",2020-07-01,2020-07-01 17:44:54
"7","R_22JSoo85iEbaFsgNA","1133363","new_entry","original",NA,NA,"Following a rumor that all educational institutions will reopen after Eid-ul-Azha, the education ministry of Bangladesh in a press statement issued on July 22 late night clarified that the government did not make any decision in this regard yet.",2020-07-22,2020-07-22,NA,"Bangladesh","BGD","BD","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.thedailystar.net/frontpage/news/no-decision-yet-reopening-schools-1935281",2020-07-24,2020-07-24 15:18:17
"8","R_bdBFR5kEfRxYCDnDf","2462989","new_entry","original",NA,NA,"In Bangladesh, on 16th March 2020, it was decided to close all schools and educational institutes from 17 March to 31 March 2020.",2020-03-16,2020-03-17,2020-12-19,"Bangladesh","BGD","BD","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Bangladesh",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Police,Other (Please specify in the text box)",51.2313681742341,49.1773320418555,46.4812400089667,32,"https://tbsnews.net/bangladesh/education/govt-orders-closure-all-educational-institutions-march-17-56947",2020-08-16,2020-08-16 15:07:28
"9","R_bdBFR5kEfRxYCDnDh","2462989","new_entry","original",NA,NA,"In Bangladesh, on 16th March 2020, it was decided to close all schools and educational institutes from 17 March to 31 March 2020.",2020-03-16,2020-03-17,2020-12-19,"Bangladesh","BGD","BD","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Bangladesh",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Police,Other (Please specify in the text box)",51.2313681742341,49.1773320418555,46.4812400089667,32,"https://tbsnews.net/bangladesh/education/govt-orders-closure-all-educational-institutions-march-17-56947",2020-08-16,2020-08-16 15:07:28
"10","R_bdBFR5kEfRxYCDnEd","2462989","new_entry","original",NA,NA,"In Bangladesh, on 16th March 2020, it was decided to close all schools and educational institutes from 17 March to 31 March 2020.",2020-03-16,2020-03-17,2020-12-19,"Bangladesh","BGD","BD","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Bangladesh",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Police,Other (Please specify in the text box)",51.2313681742341,49.1773320418555,46.4812400089667,32,"https://tbsnews.net/bangladesh/education/govt-orders-closure-all-educational-institutions-march-17-56947",2020-08-16,2020-08-16 15:07:28
