"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3EngnOGQ2BjGq27Dg",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Other Quarantine",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"2","R_3EngnOGQ2BjGq27Ci",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown applies to all people",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"3","R_3EngnOGQ2BjGq27Dc",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Other mass gatherings not specified above restricted",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"4","R_3EngnOGQ2BjGq27Ch",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"5","R_3EngnOGQ2BjGq27Ei",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Restrictions on ridership of buses",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"6","R_3EngnOGQ2BjGq27El",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Restrictions ridership of other forms of public transportation (please include details in the text entry)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"7","R_3EngnOGQ2BjGq27Aq",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","82800",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"8","R_3EngnOGQ2BjGq27Ad",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","21600",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"9","R_3EngnOGQ2BjGq27Dn",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"10","R_3EngnOGQ2BjGq27Dp",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"11","R_3EngnOGQ2BjGq27En",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Secondary Schools (generally for children ages 10 to 18)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"12","R_3EngnOGQ2BjGq27By",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Higher education institutions (i.e. degree granting institutions)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"13","R_3EngnOGQ2BjGq27Ee",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Regulations on government meetings (including e.g. suspension of parliament)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"14","R_3EngnOGQ2BjGq27Cq",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Non-Essential Commercial Businesses",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"15","R_3EngnOGQ2BjGq27Cm",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Masks",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
"16","R_3EngnOGQ2BjGq27Cb",7032428,"new_entry","original","NA",NA,"Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,NA,"Benin","BEN","BJ","National",0,NA,NA,"Anti-Disinformation Measures","Hygiene measures for public areas",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",55.7513421738599,54.0683471931957,52.334222705395,152,"https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/",2020-05-07,"2020-05-07 13:45:50"
