record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2zec1IjegnxndJcNA,7106716,new_entry,original,,,"On August 19th, the Ministry of Health of Bhutan urged people to refrain from prank calling the toll-free hotlines that are assisting the public with the national lockdown.",2020-08-19,2020-08-19,,Bhutan,BTN,BT,National,1,,,Anti-Disinformation Measures,,,"",Bhutan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"Ministry/Department of Health,New (COVID-19 specific) Task Force",,,,,https://www.facebook.com/MoHBhutan/posts/3397283126999946,2020-08-19,2020-08-19T22:50:53Z
R_efyGiv4ILoQSkfLNA,8153407,new_entry,original,,,"On September 9th, the Ministry of Health of Bhutan stated that rumors circulating on social media about a second lockdown on September 11th are not true and urged citizens to refrain from ""panic buying.""",2020-09-09,2020-09-09,,Bhutan,BTN,BT,National,1,,,Anti-Disinformation Measures,,,"",Bhutan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,,,,,https://www.facebook.com/MoHBhutan/posts/3462210563840535,2020-09-09,2020-09-09T15:15:19Z
R_2EHkvb6AfK2kCHkNA,7505246,new_entry,original,,,"On September 29th, the Ministry of Health of Bhutan announced that the rumors of an imminent lockdown are false. They have requested for the public to stop spreading these rumors.",2020-09-29,2020-09-29,,Bhutan,BTN,BT,National,1,,,Anti-Disinformation Measures,,,"",Bhutan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,,,,,http://www.moh.gov.bt/update-phuentsholing-thromde-would-like-to-inform-the-general-public-about-the-false-rumors-of-lockdown/,2020-10-01,2020-10-01T02:48:00Z
R_1mdZtpOsm5dg7u2NA,5127146,new_entry,original,,,"On October 4th, the Ministry of Health urged people to stop spreading rumors about a possible lockdown.",2020-10-04,2020-10-04,,Bhutan,BTN,BT,National,1,,,Anti-Disinformation Measures,,,"",Bhutan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,,,,,https://www.facebook.com/MoHBhutan/posts/3538843809510543,2020-10-20,2020-10-20T01:29:21Z
R_3374OBuOzYgymuoDh,2549821,new_entry,original,,,"In Bhutan, as of 6 March, the government will close ""schools and institutes"" in three regions for two weeks.",2020-03-06,2020-03-06,2020-07-01,Bhutan,BTN,BT,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Bhutan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Provincial/State Government",52.7616689130115,51.8262111730805,50.9007669984231,178,http://www.moh.gov.bt/first-confirmed-covid-19-case-in-bhutan/,2020-03-29,2020-03-29T18:40:54Z
R_3374OBuOzYgymuoDj,2549821,new_entry,original,,,"In Bhutan, as of 6 March, the government will close ""schools and institutes"" in three regions for two weeks.",2020-03-06,2020-03-06,2020-07-01,Bhutan,BTN,BT,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Bhutan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Provincial/State Government",52.7616689130115,51.8262111730805,50.9007669984231,178,http://www.moh.gov.bt/first-confirmed-covid-19-case-in-bhutan/,2020-03-29,2020-03-29T18:40:54Z
R_3374OBuOzYgymuoEi,2549821,new_entry,original,,,"In Bhutan, as of 6 March, the government will close ""schools and institutes"" in three regions for two weeks.",2020-03-06,2020-03-06,2020-07-01,Bhutan,BTN,BT,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Bhutan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Provincial/State Government",52.7616689130115,51.8262111730805,50.9007669984231,178,http://www.moh.gov.bt/first-confirmed-covid-19-case-in-bhutan/,2020-03-29,2020-03-29T18:40:54Z
R_3374OBuOzYgymuoBq,2549821,new_entry,original,,,"In Bhutan, as of 6 March, the government will close ""schools and institutes"" in three regions for two weeks.",2020-03-06,2020-03-06,2020-07-01,Bhutan,BTN,BT,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Bhutan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Provincial/State Government",52.7616689130115,51.8262111730805,50.9007669984231,178,http://www.moh.gov.bt/first-confirmed-covid-19-case-in-bhutan/,2020-03-29,2020-03-29T18:40:54Z
R_CkVoBVSrrN5Lg0VDh,2549821,update,original,End of Policy,,"In Bhutan, as of 6 March, the government will close ""schools and institutes"" in three regions for two weeks.",2020-03-06,2020-03-06,2020-07-01,Bhutan,BTN,BT,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",Bhutan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Provincial/State Government",52.7616689130115,51.8262111730805,50.9007669984231,178,NA,2020-07-07,2020-07-07T22:50:49Z
R_CkVoBVSrrN5Lg0VDj,2549821,update,original,End of Policy,,"In Bhutan, as of 6 March, the government will close ""schools and institutes"" in three regions for two weeks.",2020-03-06,2020-03-06,2020-07-01,Bhutan,BTN,BT,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Bhutan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Provincial/State Government",52.7616689130115,51.8262111730805,50.9007669984231,178,NA,2020-07-07,2020-07-07T22:50:49Z
