"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_WutH482eO3a6qTDDf","8725402","new_entry","original",NA,NA,"On March 12th, government of Bolivia suspends classes at all levels of education across the country until March 31st",2020-03-12,2020-03-12,2020-08-31,"Bolivia","BOL","BO","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down",NA,NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.078059845295,52.0982700089917,50.9364732559315,164,"https://www.paginasiete.bo/nacional/2020/3/12/gobierno-determina-suspension-de-clases-vuelos-desde-hacia-europa-249383.html ; https://www.opinion.com.bo/articulo/pais/anez-suspende-labores-escolares-todo-pais-vuelos-europa-asia/20200312121814756152.html ; https://bo.usembassy.gov/health-alert-united-states-embassy-la-paz/",2020-04-07,2020-04-07 22:31:09
"2","R_WutH482eO3a6qTDDh","8725402","new_entry","original",NA,NA,"On March 12th, government of Bolivia suspends classes at all levels of education across the country until March 31st",2020-03-12,2020-03-12,2020-08-31,"Bolivia","BOL","BO","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down",NA,NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.078059845295,52.0982700089917,50.9364732559315,164,"https://www.paginasiete.bo/nacional/2020/3/12/gobierno-determina-suspension-de-clases-vuelos-desde-hacia-europa-249383.html ; https://www.opinion.com.bo/articulo/pais/anez-suspende-labores-escolares-todo-pais-vuelos-europa-asia/20200312121814756152.html ; https://bo.usembassy.gov/health-alert-united-states-embassy-la-paz/",2020-04-07,2020-04-07 22:31:09
"3","R_WutH482eO3a6qTDEd","8725402","new_entry","original",NA,NA,"On March 12th, government of Bolivia suspends classes at all levels of education across the country until March 31st",2020-03-12,2020-03-12,2020-08-31,"Bolivia","BOL","BO","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down",NA,NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.078059845295,52.0982700089917,50.9364732559315,164,"https://www.paginasiete.bo/nacional/2020/3/12/gobierno-determina-suspension-de-clases-vuelos-desde-hacia-europa-249383.html ; https://www.opinion.com.bo/articulo/pais/anez-suspende-labores-escolares-todo-pais-vuelos-europa-asia/20200312121814756152.html ; https://bo.usembassy.gov/health-alert-united-states-embassy-la-paz/",2020-04-07,2020-04-07 22:31:09
"4","R_WutH482eO3a6qTDBo","8725402","new_entry","original",NA,NA,"On March 12th, government of Bolivia suspends classes at all levels of education across the country until March 31st",2020-03-12,2020-03-12,2020-08-31,"Bolivia","BOL","BO","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down",NA,NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.078059845295,52.0982700089917,50.9364732559315,164,"https://www.paginasiete.bo/nacional/2020/3/12/gobierno-determina-suspension-de-clases-vuelos-desde-hacia-europa-249383.html ; https://www.opinion.com.bo/articulo/pais/anez-suspende-labores-escolares-todo-pais-vuelos-europa-asia/20200312121814756152.html ; https://bo.usembassy.gov/health-alert-united-states-embassy-la-paz/",2020-04-07,2020-04-07 22:31:09
"5","R_2tfCUvAGqjDP5aqDf","8725402","update","original","Change of Policy","Strengthening","On March 12th, government of Bolivia suspends classes at all levels of education across the country until March 31st. On March 21, this closure of schools is extended in the context of the declaration of the total quarantine until April 4. On March 25, this policy has been prolonged until April 15.",2020-03-25,2020-03-26,2020-08-31,"Bolivia","BOL","BO","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"",NA,NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.2400265746267,54.2013021648816,53.2563418768727,177,"NA",2020-08-12,2020-08-12 15:11:54
"6","R_2tfCUvAGqjDP5aqDh","8725402","update","original","Change of Policy","Strengthening","On March 12th, government of Bolivia suspends classes at all levels of education across the country until March 31st. On March 21, this closure of schools is extended in the context of the declaration of the total quarantine until April 4. On March 25, this policy has been prolonged until April 15.",2020-03-25,2020-03-26,2020-08-31,"Bolivia","BOL","BO","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"",NA,NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.2400265746267,54.2013021648816,53.2563418768727,177,"NA",2020-08-12,2020-08-12 15:11:54
"7","R_2tfCUvAGqjDP5aqEd","8725402","update","original","Change of Policy","Strengthening","On March 12th, government of Bolivia suspends classes at all levels of education across the country until March 31st. On March 21, this closure of schools is extended in the context of the declaration of the total quarantine until April 4. On March 25, this policy has been prolonged until April 15.",2020-03-25,2020-03-26,2020-08-31,"Bolivia","BOL","BO","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"",NA,NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.2400265746267,54.2013021648816,53.2563418768727,177,"NA",2020-08-12,2020-08-12 15:11:54
"8","R_2tfCUvAGqjDP5aqBo","8725402","update","original","Change of Policy","Strengthening","On March 12th, government of Bolivia suspends classes at all levels of education across the country until March 31st. On March 21, this closure of schools is extended in the context of the declaration of the total quarantine until April 4. On March 25, this policy has been prolonged until April 15.",2020-03-25,2020-03-26,2020-08-31,"Bolivia","BOL","BO","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"",NA,NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.2400265746267,54.2013021648816,53.2563418768727,177,"NA",2020-08-12,2020-08-12 15:11:54
"9","R_Dd9y9FNBczmFOXDDf","8725402","update","original","Change of Policy","Strengthening","On March 12th, government of Bolivia suspends classes at all levels of education across the country until March 31. On March 21, this closure of schools is extended in the context of the declaration of the total quarantine until April 4.",2020-03-21,2020-04-01,2020-08-31,"Bolivia","BOL","BO","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"",NA,NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.6679114966929,54.6026072437547,53.6405089837939,179,"NA",2020-08-12,2020-08-12 15:08:30
"10","R_Dd9y9FNBczmFOXDDh","8725402","update","original","Change of Policy","Strengthening","On March 12th, government of Bolivia suspends classes at all levels of education across the country until March 31. On March 21, this closure of schools is extended in the context of the declaration of the total quarantine until April 4.",2020-03-21,2020-04-01,2020-08-31,"Bolivia","BOL","BO","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"",NA,NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.6679114966929,54.6026072437547,53.6405089837939,179,"NA",2020-08-12,2020-08-12 15:08:30
