"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2Et47qXVaLPvzaFDg","1393123","new_entry","original",NA,NA,"On March 11, the government of Republica Srpska enforced the shutdown of all primary schools, secondary schools and universities.",2020-03-10,2020-03-11,2020-03-30,"Bosnia and Herzegovina","BIH","BA","Provincial",1,"Srpska",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Bosnia and Herzegovina",NA,NA,"Srpska",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",50.2930318748915,47.2437877996344,44.1183041106338,6,"https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA",2020-04-08,2020-04-08 20:26:37
"2","R_2Et47qXVaLPvzaFEc","1393123","new_entry","original",NA,NA,"On March 11, the government of Republica Srpska enforced the shutdown of all primary schools, secondary schools and universities.",2020-03-10,2020-03-11,2020-03-30,"Bosnia and Herzegovina","BIH","BA","Provincial",1,"Srpska",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Bosnia and Herzegovina",NA,NA,"Srpska",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",50.2930318748915,47.2437877996344,44.1183041106338,6,"https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA",2020-04-08,2020-04-08 20:26:37
"3","R_2Et47qXVaLPvzaFBo","1393123","new_entry","original",NA,NA,"On March 11, the government of Republica Srpska enforced the shutdown of all primary schools, secondary schools and universities.",2020-03-10,2020-03-11,2020-03-30,"Bosnia and Herzegovina","BIH","BA","Provincial",1,"Srpska",NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Bosnia and Herzegovina",NA,NA,"Srpska",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",50.2930318748915,47.2437877996344,44.1183041106338,6,"https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA",2020-04-08,2020-04-08 20:26:37
"4","R_3OqwOh78u7MnTKGDg","5319959","new_entry","original",NA,NA,"Bosnia and Herzegovina is enforcing a two-week closure of all schools and colleges starting March 11.",2020-03-11,2020-03-11,2020-03-25,"Bosnia and Herzegovina","BIH","BA","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Bosnia and Herzegovina",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",50.2930318748915,47.2437877996344,44.1183041106338,6,"https://www.telegram.hr/politika-kriminal/bih-zbog-koronavirusa-na-dva-tjedna-zatvara-sve-skole-i-fakultete/",2020-08-28,2020-08-28 00:53:38
"5","R_3OqwOh78u7MnTKGEc","5319959","new_entry","original",NA,NA,"Bosnia and Herzegovina is enforcing a two-week closure of all schools and colleges starting March 11.",2020-03-11,2020-03-11,2020-03-25,"Bosnia and Herzegovina","BIH","BA","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Bosnia and Herzegovina",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",50.2930318748915,47.2437877996344,44.1183041106338,6,"https://www.telegram.hr/politika-kriminal/bih-zbog-koronavirusa-na-dva-tjedna-zatvara-sve-skole-i-fakultete/",2020-08-28,2020-08-28 00:53:38
"6","R_3OqwOh78u7MnTKGBo","5319959","new_entry","original",NA,NA,"Bosnia and Herzegovina is enforcing a two-week closure of all schools and colleges starting March 11.",2020-03-11,2020-03-11,2020-03-25,"Bosnia and Herzegovina","BIH","BA","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Bosnia and Herzegovina",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",50.2930318748915,47.2437877996344,44.1183041106338,6,"https://www.telegram.hr/politika-kriminal/bih-zbog-koronavirusa-na-dva-tjedna-zatvara-sve-skole-i-fakultete/",2020-08-28,2020-08-28 00:53:38
"7","R_2qr8znZ2zDK5Vp8Dg","5366481","new_entry","original",NA,NA,"On 12 March, Brcko District shut down schools and kindergartens.",2020-04-11,2020-03-12,NA,"Bosnia and Herzegovina","BIH","BA","Provincial",1,"Brcko",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Bosnia and Herzegovina",NA,NA,"Brcko",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",50.0144435606072,47.2091448624821,44.202906240516,6,"http://www.vlada.bdcentral.net/Publication/Read/od-sutra-obustava-nastave-u-brckom-zbog-koronavirusa",2020-04-08,2020-04-08 20:55:50
"8","R_2qr8znZ2zDK5Vp8Ec","5366481","new_entry","original",NA,NA,"On 12 March, Brcko District shut down schools and kindergartens.",2020-04-11,2020-03-12,NA,"Bosnia and Herzegovina","BIH","BA","Provincial",1,"Brcko",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Bosnia and Herzegovina",NA,NA,"Brcko",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",50.0144435606072,47.2091448624821,44.202906240516,6,"http://www.vlada.bdcentral.net/Publication/Read/od-sutra-obustava-nastave-u-brckom-zbog-koronavirusa",2020-04-08,2020-04-08 20:55:50
"9","R_2qr8znZ2zDK5Vp8Bo","5366481","new_entry","original",NA,NA,"On 12 March, Brcko District shut down schools and kindergartens.",2020-04-11,2020-03-12,NA,"Bosnia and Herzegovina","BIH","BA","Provincial",1,"Brcko",NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Bosnia and Herzegovina",NA,NA,"Brcko",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",50.0144435606072,47.2091448624821,44.202906240516,6,"http://www.vlada.bdcentral.net/Publication/Read/od-sutra-obustava-nastave-u-brckom-zbog-koronavirusa",2020-04-08,2020-04-08 20:55:50
"10","R_2P82uSkNSfCtcZcDe","6636999","new_entry","original",NA,NA,"On March 16, the Government of the Brcko District of Bosnia and Herzegovina  closes kindergartens.",2020-03-19,2020-03-16,NA,"Bosnia and Herzegovina","BIH","BA","Provincial",1,"Brcko",NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Bosnia and Herzegovina",NA,NA,"Brcko",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government,Other (Please specify in the text box)",49.6433282407979,47.6557699096638,45.1361512101926,6,"http://www.vlada.bdcentral.net/Publication/Read/Obustavlja%20se%20rad%20vrti%C4%87a%20i%20auto%C5%A1kola,%20ograni%C4%8Deno%20radno%20vrijeme%20kafi%C4%87a,%20tr%C5%BEnih%20centara,%20restorana",2020-04-08,2020-04-08 21:35:00
"11","R_3meJ5NUXKZ6ukdTDg","4689877","new_entry","original",NA,NA,"Bosnia is allowing students from the first to fourth grade in elementary school, and students in the first grade of high
school to return to school as of Sept. 1. The remaining students will continue remote learning.
",2020-08-18,2020-08-09,NA,"Bosnia and Herzegovina","BIH","BA","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with conditions","Bosnia and Herzegovina",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government",NA,NA,NA,NA,"https://www.saraje votimes.com/minis try-of-science-andeducation-insarajevo-cantondecided-aboutthe-beginning-ofthe-school-year/",2020-08-28,2020-08-28 01:00:33
