"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1pmJuXzZGlQ9QWVDg",1975423,"new_entry","original","NA",NA,"February 28, 2020, the São Paulo government launches an online information campaign to combat misinformation related to COVID-19.",2020-02-28,2020-02-28,NA,"Brazil","BRA","BR","Provincial",1,"Sao Paulo",NA,"Anti-Disinformation Measures","Other Quarantine",NA,"","Brazil","One or more geographical or administrative units within one or more countries",NA,"Sao Paulo",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Voluntary/Recommended but No Penalties","Provincial/State Government",52.5202485662791,50.407507037095,48.495740782384,163,"https://www.saopaulo.sp.gov.br/spnoticias/sp-lanca-guia-informativo-e-central-de-combate-a-fake-news-sobre-o-coronavirus/",2020-10-01,"2020-10-01 00:50:30"
"2","R_1pmJuXzZGlQ9QWVCi",1975423,"new_entry","original","NA",NA,"February 28, 2020, the São Paulo government launches an online information campaign to combat misinformation related to COVID-19.",2020-02-28,2020-02-28,NA,"Brazil","BRA","BR","Provincial",1,"Sao Paulo",NA,"Anti-Disinformation Measures","Lockdown applies to all people",NA,"","Brazil","One or more geographical or administrative units within one or more countries",NA,"Sao Paulo",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Voluntary/Recommended but No Penalties","Provincial/State Government",52.5202485662791,50.407507037095,48.495740782384,163,"https://www.saopaulo.sp.gov.br/spnoticias/sp-lanca-guia-informativo-e-central-de-combate-a-fake-news-sobre-o-coronavirus/",2020-10-01,"2020-10-01 00:50:30"
"3","R_1pmJuXzZGlQ9QWVDc",1975423,"new_entry","original","NA",NA,"February 28, 2020, the São Paulo government launches an online information campaign to combat misinformation related to COVID-19.",2020-02-28,2020-02-28,NA,"Brazil","BRA","BR","Provincial",1,"Sao Paulo",NA,"Anti-Disinformation Measures","Other mass gatherings not specified above restricted",NA,"","Brazil","One or more geographical or administrative units within one or more countries",NA,"Sao Paulo",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Voluntary/Recommended but No Penalties","Provincial/State Government",52.5202485662791,50.407507037095,48.495740782384,163,"https://www.saopaulo.sp.gov.br/spnoticias/sp-lanca-guia-informativo-e-central-de-combate-a-fake-news-sobre-o-coronavirus/",2020-10-01,"2020-10-01 00:50:30"
"4","R_1pmJuXzZGlQ9QWVCh",1975423,"new_entry","original","NA",NA,"February 28, 2020, the São Paulo government launches an online information campaign to combat misinformation related to COVID-19.",2020-02-28,2020-02-28,NA,"Brazil","BRA","BR","Provincial",1,"Sao Paulo",NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"","Brazil","One or more geographical or administrative units within one or more countries",NA,"Sao Paulo",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Voluntary/Recommended but No Penalties","Provincial/State Government",52.5202485662791,50.407507037095,48.495740782384,163,"https://www.saopaulo.sp.gov.br/spnoticias/sp-lanca-guia-informativo-e-central-de-combate-a-fake-news-sobre-o-coronavirus/",2020-10-01,"2020-10-01 00:50:30"
"5","R_1pmJuXzZGlQ9QWVEi",1975423,"new_entry","original","NA",NA,"February 28, 2020, the São Paulo government launches an online information campaign to combat misinformation related to COVID-19.",2020-02-28,2020-02-28,NA,"Brazil","BRA","BR","Provincial",1,"Sao Paulo",NA,"Anti-Disinformation Measures","Restrictions on ridership of buses",NA,"","Brazil","One or more geographical or administrative units within one or more countries",NA,"Sao Paulo",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Voluntary/Recommended but No Penalties","Provincial/State Government",52.5202485662791,50.407507037095,48.495740782384,163,"https://www.saopaulo.sp.gov.br/spnoticias/sp-lanca-guia-informativo-e-central-de-combate-a-fake-news-sobre-o-coronavirus/",2020-10-01,"2020-10-01 00:50:30"
"6","R_1pmJuXzZGlQ9QWVEl",1975423,"new_entry","original","NA",NA,"February 28, 2020, the São Paulo government launches an online information campaign to combat misinformation related to COVID-19.",2020-02-28,2020-02-28,NA,"Brazil","BRA","BR","Provincial",1,"Sao Paulo",NA,"Anti-Disinformation Measures","Restrictions ridership of other forms of public transportation (please include details in the text entry)",NA,"","Brazil","One or more geographical or administrative units within one or more countries",NA,"Sao Paulo",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Voluntary/Recommended but No Penalties","Provincial/State Government",52.5202485662791,50.407507037095,48.495740782384,163,"https://www.saopaulo.sp.gov.br/spnoticias/sp-lanca-guia-informativo-e-central-de-combate-a-fake-news-sobre-o-coronavirus/",2020-10-01,"2020-10-01 00:50:30"
"7","R_1pmJuXzZGlQ9QWVAq",1975423,"new_entry","original","NA",NA,"February 28, 2020, the São Paulo government launches an online information campaign to combat misinformation related to COVID-19.",2020-02-28,2020-02-28,NA,"Brazil","BRA","BR","Provincial",1,"Sao Paulo",NA,"Anti-Disinformation Measures","82800",NA,"","Brazil","One or more geographical or administrative units within one or more countries",NA,"Sao Paulo",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Voluntary/Recommended but No Penalties","Provincial/State Government",52.5202485662791,50.407507037095,48.495740782384,163,"https://www.saopaulo.sp.gov.br/spnoticias/sp-lanca-guia-informativo-e-central-de-combate-a-fake-news-sobre-o-coronavirus/",2020-10-01,"2020-10-01 00:50:30"
"8","R_1pmJuXzZGlQ9QWVAd",1975423,"new_entry","original","NA",NA,"February 28, 2020, the São Paulo government launches an online information campaign to combat misinformation related to COVID-19.",2020-02-28,2020-02-28,NA,"Brazil","BRA","BR","Provincial",1,"Sao Paulo",NA,"Anti-Disinformation Measures","21600",NA,"","Brazil","One or more geographical or administrative units within one or more countries",NA,"Sao Paulo",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Voluntary/Recommended but No Penalties","Provincial/State Government",52.5202485662791,50.407507037095,48.495740782384,163,"https://www.saopaulo.sp.gov.br/spnoticias/sp-lanca-guia-informativo-e-central-de-combate-a-fake-news-sobre-o-coronavirus/",2020-10-01,"2020-10-01 00:50:30"
"9","R_1pmJuXzZGlQ9QWVDn",1975423,"new_entry","original","NA",NA,"February 28, 2020, the São Paulo government launches an online information campaign to combat misinformation related to COVID-19.",2020-02-28,2020-02-28,NA,"Brazil","BRA","BR","Provincial",1,"Sao Paulo",NA,"Anti-Disinformation Measures","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Brazil","One or more geographical or administrative units within one or more countries",NA,"Sao Paulo",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Voluntary/Recommended but No Penalties","Provincial/State Government",52.5202485662791,50.407507037095,48.495740782384,163,"https://www.saopaulo.sp.gov.br/spnoticias/sp-lanca-guia-informativo-e-central-de-combate-a-fake-news-sobre-o-coronavirus/",2020-10-01,"2020-10-01 00:50:30"
"10","R_1pmJuXzZGlQ9QWVDp",1975423,"new_entry","original","NA",NA,"February 28, 2020, the São Paulo government launches an online information campaign to combat misinformation related to COVID-19.",2020-02-28,2020-02-28,NA,"Brazil","BRA","BR","Provincial",1,"Sao Paulo",NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,"","Brazil","One or more geographical or administrative units within one or more countries",NA,"Sao Paulo",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Voluntary/Recommended but No Penalties","Provincial/State Government",52.5202485662791,50.407507037095,48.495740782384,163,"https://www.saopaulo.sp.gov.br/spnoticias/sp-lanca-guia-informativo-e-central-de-combate-a-fake-news-sobre-o-coronavirus/",2020-10-01,"2020-10-01 00:50:30"
