record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2Cjg5XhYZkvNMT5Dk,3291877,new_entry,correction,,,Cambodia closes all schools in the town of Siem Reap as of March 7.,2020-03-07,2020-03-07,,Cambodia,KHM,KH,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.0015555988348,50.6840173526277,49.3561933736629,137,https://www.voanews.com/science-health/coronavirus-outbreak/first-case-virus-found-cambodian ; https://www.phnompenhpost.com/national/covid-19-siem-reap-town-schools-ordered-closed,2020-04-03,2020-04-03T16:52:22Z
R_2Cjg5XhYZkvNMT5Dm,3291877,new_entry,correction,,,Cambodia closes all schools in the town of Siem Reap as of March 7.,2020-03-07,2020-03-07,,Cambodia,KHM,KH,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.0015555988348,50.6840173526277,49.3561933736629,137,https://www.voanews.com/science-health/coronavirus-outbreak/first-case-virus-found-cambodian ; https://www.phnompenhpost.com/national/covid-19-siem-reap-town-schools-ordered-closed,2020-04-03,2020-04-03T16:52:22Z
R_2Cjg5XhYZkvNMT5Em,3291877,new_entry,correction,,,Cambodia closes all schools in the town of Siem Reap as of March 7.,2020-03-07,2020-03-07,,Cambodia,KHM,KH,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.0015555988348,50.6840173526277,49.3561933736629,137,https://www.voanews.com/science-health/coronavirus-outbreak/first-case-virus-found-cambodian ; https://www.phnompenhpost.com/national/covid-19-siem-reap-town-schools-ordered-closed,2020-04-03,2020-04-03T16:52:22Z
R_1IyHmpABeFhrka0Dk,3291877,update,original,,,"Cambodia closes all schools in the towns of Siem Reap and Phnom Penh as of March 14. UPDATE: The original school closures were first implemented in Siem Reap and then extended to Phnom Penh, the capital city.",2020-03-14,2020-03-14,,Cambodia,KHM,KH,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.6361387198028,51.444627982634,49.9884901153391,121,https://cambodianess.com/article/schools-in-phnom-penh-and-siem-reap-city-close-for-early-summer-vacation ; https://www.thestar.com.my/news/regional/2020/03/14/cambodia-allows-students-in-capital-siem-reap-city-to-take-early-vacation-to-curb-outbreak,2020-04-03,2020-04-03T17:08:11Z
R_1IyHmpABeFhrka0Dm,3291877,update,original,,,"Cambodia closes all schools in the towns of Siem Reap and Phnom Penh as of March 14. UPDATE: The original school closures were first implemented in Siem Reap and then extended to Phnom Penh, the capital city.",2020-03-14,2020-03-14,,Cambodia,KHM,KH,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.6361387198028,51.444627982634,49.9884901153391,121,https://cambodianess.com/article/schools-in-phnom-penh-and-siem-reap-city-close-for-early-summer-vacation ; https://www.thestar.com.my/news/regional/2020/03/14/cambodia-allows-students-in-capital-siem-reap-city-to-take-early-vacation-to-curb-outbreak,2020-04-03,2020-04-03T17:08:11Z
R_1IyHmpABeFhrka0Em,3291877,update,original,,,"Cambodia closes all schools in the towns of Siem Reap and Phnom Penh as of March 14. UPDATE: The original school closures were first implemented in Siem Reap and then extended to Phnom Penh, the capital city.",2020-03-14,2020-03-14,,Cambodia,KHM,KH,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.6361387198028,51.444627982634,49.9884901153391,121,https://cambodianess.com/article/schools-in-phnom-penh-and-siem-reap-city-close-for-early-summer-vacation ; https://www.thestar.com.my/news/regional/2020/03/14/cambodia-allows-students-in-capital-siem-reap-city-to-take-early-vacation-to-curb-outbreak,2020-04-03,2020-04-03T17:08:11Z
R_2rPCep2ILmOP1iCDk,3291877,update,original,,,"Cambodia closes all educational institutions across the country as of March 16. UPDATE: The school closures were previously implemented in Siem Reap and Phnom Penh, they have been extended to include the whole nation as of March 16",2020-03-16,2020-03-16,,Cambodia,KHM,KH,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.6365344094543,51.7546416882637,50.6971483394794,120,https://www.voacambodia.com/a/cambodia-announces-nationwide-school-closures-covid-response-ramps-up-/5330402.html,2020-04-03,2020-04-03T17:23:47Z
R_2rPCep2ILmOP1iCDm,3291877,update,original,,,"Cambodia closes all educational institutions across the country as of March 16. UPDATE: The school closures were previously implemented in Siem Reap and Phnom Penh, they have been extended to include the whole nation as of March 16",2020-03-16,2020-03-16,,Cambodia,KHM,KH,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.6365344094543,51.7546416882637,50.6971483394794,120,https://www.voacambodia.com/a/cambodia-announces-nationwide-school-closures-covid-response-ramps-up-/5330402.html,2020-04-03,2020-04-03T17:23:47Z
R_2rPCep2ILmOP1iCEm,3291877,update,original,,,"Cambodia closes all educational institutions across the country as of March 16. UPDATE: The school closures were previously implemented in Siem Reap and Phnom Penh, they have been extended to include the whole nation as of March 16",2020-03-16,2020-03-16,,Cambodia,KHM,KH,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.6365344094543,51.7546416882637,50.6971483394794,120,https://www.voacambodia.com/a/cambodia-announces-nationwide-school-closures-covid-response-ramps-up-/5330402.html,2020-04-03,2020-04-03T17:23:47Z
R_2rPCep2ILmOP1iCBr,3291877,update,original,,,"Cambodia closes all educational institutions across the country as of March 16. UPDATE: The school closures were previously implemented in Siem Reap and Phnom Penh, they have been extended to include the whole nation as of March 16",2020-03-16,2020-03-16,,Cambodia,KHM,KH,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.6365344094543,51.7546416882637,50.6971483394794,120,https://www.voacambodia.com/a/cambodia-announces-nationwide-school-closures-covid-response-ramps-up-/5330402.html,2020-04-03,2020-04-03T17:23:47Z
R_246G8OXc9PmbD71NA,8742297,new_entry,original,,,Cambodia is enforcing a ban on cruise ships from March 13,2020-03-13,2020-03-13,,Cambodia,KHM,KH,National,0,,,External Border Restrictions,,,"",All countries,All countries,,,,,Other,Inbound/Outbound,Cruises,Mandatory (Unspecified/Implied),National Government,52.3857952600937,51.2551270394355,50.0770722065503,126,https://news.abs-cbn.com/overseas/03/13/20/cambodia-bans-cruise-ships-fearing-spread-of-covid-19 ; https://www.phnompenhpost.com/national/kingdom-shuts-some-schools-bans-foreign-visitors-cruise-ships-amid-covid-19-spread,2020-04-03,2020-04-03T16:15:48Z
R_1jqbD1JkHqezCRTFk,2725329,new_entry,correction,,,"Cambodia is enforcing a temporary suspension of entry into Cambodia on “foreigners traveling from” the United States, France, Germany, Italy, and Spain from March 17.",2020-03-14,2020-03-17,2020-04-16,Cambodia,KHM,KH,National,0,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"","France,Germany,Italy,Spain,United States","One or more countries, but not all countries",,,,,Foreign Travelers,Inbound,"",Mandatory (Unspecified/Implied),National Government,53.2299142742333,52.1432858807373,51.1727235898654,130,https://kh.usembassy.gov/important-notice-to-american-citizens/,2020-04-02,2020-04-02T16:52:40Z
R_3EMd4QbjF8V7K2JFk,7533793,new_entry,original,,,Cambodia is enforcing a temporary suspension of entry into Cambodia on foreigners from Iran as of March 18.,2020-03-15,2020-03-18,2020-04-17,Cambodia,KHM,KH,National,0,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"",Iran,"One or more countries, but not all countries",,,,,All Foreign Nationals (Foreign Residents + Foreign Travelers),Inbound,"",Mandatory (Unspecified/Implied),National Government,53.8746227376964,52.125242900699,50.5294021795222,125,http://www.xinhuanet.com/english/2020-03/15/c_138879813.htm,2020-04-03,2020-04-03T17:45:05Z
R_Ti2HnJDNvuy2kLLFk,5765178,new_entry,original,,,Cambodia bans flights from Malaysia and Indonesia effective from August 1,2020-07-26,2020-08-01,,Cambodia,KHM,KH,National,0,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"",Cambodia,One or more regional groupings,"ASEAN Countries,Other Regions (please specify below)",,,,All (Travelers + Residents),Inbound,Flights,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://www.thestar.com.my/aseanplus/aseanplus-news/2020/07/26/cambodia-ban-flights-from-malaysia-and-indonesia-reports-23-new-virus-cases ; https://www.nst.com.my/world/region/2020/07/611887/cambodia-bans-flights-malaysia-indonesia,2020-08-19,2020-08-19T04:13:41Z
R_1EYufipd7lqwNvVFk,424458,new_entry,original,,,Cambodia bans all flights from Phillippines starting from Aug 13.,2020-08-11,2020-08-13,,Cambodia,KHM,KH,National,0,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"",Cambodia,One or more regional groupings,Other Regions (please specify below),,,,All (Travelers + Residents),Inbound,Flights,Mandatory (Unspecified/Implied),"Ministry/Department of Health,New (COVID-19 specific) Task Force",,,,,https://www.worldaware.com/covid-19-alert-cambodia-bans-flights-philippines-starting-aug-13 ; http://www.cdcmoh.gov.kh/530-2020-08-11-06-22-29,2020-08-18,2020-08-18T14:54:00Z
R_2wQWon6pdbBVT8ANA,4555350,new_entry,original,,,Ministry of Health in Cambodia urges all related authorities especially those in provinces bordering to Vietnam to increase thorough health monitor on borders especially for students who return from Vietnam and all potential passengers effective on 31 July.,2020-08-01,2020-07-31,,Cambodia,KHM,KH,Provincial,1,,,Health Monitoring,,,"",Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),New (COVID-19 specific) Task Force,,,,,http://www.cdcmoh.gov.kh/526-2020-08-01-02-03-06,2020-08-20,2020-08-20T07:38:27Z
R_3FXrVZZ7Pbet8yMNA,7196073,new_entry,original,,,Ministry of Health in Cambodia urges all related authorities especially those in provinces bordering to Vietnam to increase more tests for COVID-19 on borders especially for students who return from Vietnam and all potential passengers effective on 31 July.,2020-08-01,2020-07-31,,Cambodia,KHM,KH,Provincial,1,,,Health Testing,,,"",Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),New (COVID-19 specific) Task Force,,,,,http://www.cdcmoh.gov.kh/526-2020-08-01-02-03-06,2020-08-20,2020-08-20T08:33:15Z
R_7OGKR3m4Fb8bkS5Ee,9956378,new_entry,correction,,,"Cambodia closes all karaoke bars, cinemas, museums, concert halls and bars indefinitely from March 17.",2020-03-17,2020-03-17,,Cambodia,KHM,KH,National,1,,,Restriction and Regulation of Businesses,Restaurants,,"This type of business  (""Restaurants"") is closed/locked down",Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.2299142742333,52.1432858807373,51.1727235898654,130,https://kh.usembassy.gov/covid-19-information/ ; https://cambodianess.com/article/cambodia-to-close-ktvs-and-cinemas ; https://www.thestar.com.my/news/regional/2020/03/17/cambodia-closes-karaoke-clubs-cinemas-to-curb-outbreak,2020-04-06,2020-04-06T11:16:13Z
R_7OGKR3m4Fb8bkS5Cq,9956378,new_entry,correction,,,"Cambodia closes all karaoke bars, cinemas, museums, concert halls and bars indefinitely from March 17.",2020-03-17,2020-03-17,,Cambodia,KHM,KH,National,1,,,Restriction and Regulation of Businesses,Other Businesses,,"This type of business  (""Other Businesses"") is closed/locked down",Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.2299142742333,52.1432858807373,51.1727235898654,130,https://kh.usembassy.gov/covid-19-information/ ; https://cambodianess.com/article/cambodia-to-close-ktvs-and-cinemas ; https://www.thestar.com.my/news/regional/2020/03/17/cambodia-closes-karaoke-clubs-cinemas-to-curb-outbreak,2020-04-06,2020-04-06T11:16:13Z
R_11aUgOlkU66l0kRNA,8745928,new_entry,original,,,Cambodia is enforcing a ban on all religious gatherings from March 17.,2020-03-17,2020-03-17,,Cambodia,KHM,KH,National,1,,,Restrictions of Mass Gatherings,,,"",Cambodia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Police",53.2299142742333,52.1432858807373,51.1727235898654,130,https://www.khmertimeskh.com/50702722/pm-bans-all-religious-gatherings-in-wake-of-covid-19-pandemic/ ; http://www.xinhuanet.com/english/2020-03/17/c_138888204.htm,2020-04-06,2020-04-06T11:22:27Z
