"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2doTbeYopm51okCCv","2205274","new_entry","original",NA,NA,"Colombia is enforcing the closure of all schools and universities starting on March 16",2020-03-16,2020-03-16,2020-08-01,"Colombia","COL","CO","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Colombia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",52.460031578145,51.0549280637971,49.8888610282971,85,"https://www.voanoticias.com/a/colombia-cierra-escuelas-y-la-entrada-de-extranjeros-al-pais/5330653.html",2020-04-07,2020-04-07 09:53:02
"2","R_2doTbeYopm51okCCw","2205274","new_entry","original",NA,NA,"Colombia is enforcing the closure of all schools and universities starting on March 16",2020-03-16,2020-03-16,2020-08-01,"Colombia","COL","CO","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Colombia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",52.460031578145,51.0549280637971,49.8888610282971,85,"https://www.voanoticias.com/a/colombia-cierra-escuelas-y-la-entrada-de-extranjeros-al-pais/5330653.html",2020-04-07,2020-04-07 09:53:02
"3","R_2doTbeYopm51okCDr","2205274","new_entry","original",NA,NA,"Colombia is enforcing the closure of all schools and universities starting on March 16",2020-03-16,2020-03-16,2020-08-01,"Colombia","COL","CO","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Colombia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",52.460031578145,51.0549280637971,49.8888610282971,85,"https://www.voanoticias.com/a/colombia-cierra-escuelas-y-la-entrada-de-extranjeros-al-pais/5330653.html",2020-04-07,2020-04-07 09:53:02
"4","R_2doTbeYopm51okCBg","2205274","new_entry","original",NA,NA,"Colombia is enforcing the closure of all schools and universities starting on March 16",2020-03-16,2020-03-16,2020-08-01,"Colombia","COL","CO","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Colombia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",52.460031578145,51.0549280637971,49.8888610282971,85,"https://www.voanoticias.com/a/colombia-cierra-escuelas-y-la-entrada-de-extranjeros-al-pais/5330653.html",2020-04-07,2020-04-07 09:53:02
"5","R_10INi1bq9FVCxgdCv","2205274","update","original","End of Policy","Strengthening","Colombian colleges and universities will continue to host courses online only until reconsideration on August 1st.",2020-03-16,2020-03-16,2020-08-01,"Colombia","COL","CO","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Colombia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",52.460031578145,51.0549280637971,49.8888610282971,85,"NA ; https://coronaviruscolombia.gov.co/Covid19/acciones/acciones-de-aislamiento-preventivo.html",2020-06-18,2020-06-18 02:19:22
"6","R_10INi1bq9FVCxgdCw","2205274","update","original","End of Policy","Strengthening","Colombian colleges and universities will continue to host courses online only until reconsideration on August 1st.",2020-03-16,2020-03-16,2020-08-01,"Colombia","COL","CO","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Colombia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",52.460031578145,51.0549280637971,49.8888610282971,85,"NA ; https://coronaviruscolombia.gov.co/Covid19/acciones/acciones-de-aislamiento-preventivo.html",2020-06-18,2020-06-18 02:19:22
"7","R_10INi1bq9FVCxgdDr","2205274","update","original","End of Policy","Strengthening","Colombian colleges and universities will continue to host courses online only until reconsideration on August 1st.",2020-03-16,2020-03-16,2020-08-01,"Colombia","COL","CO","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Colombia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",52.460031578145,51.0549280637971,49.8888610282971,85,"NA ; https://coronaviruscolombia.gov.co/Covid19/acciones/acciones-de-aislamiento-preventivo.html",2020-06-18,2020-06-18 02:19:22
"8","R_10INi1bq9FVCxgdBg","2205274","update","original","End of Policy","Strengthening","Colombian colleges and universities will continue to host courses online only until reconsideration on August 1st.",2020-03-16,2020-03-16,2020-08-01,"Colombia","COL","CO","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Colombia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",52.460031578145,51.0549280637971,49.8888610282971,85,"NA ; https://coronaviruscolombia.gov.co/Covid19/acciones/acciones-de-aislamiento-preventivo.html",2020-06-18,2020-06-18 02:19:22
"9","R_1eDD5x7uo8aTbPZCv","2205274","update","original",NA,NA,"Colombia announced that Classes at colleges and universities will remain suspended until May 31",2020-04-06,2020-03-16,2020-08-01,"Colombia","COL","CO","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Colombia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",52.460031578145,51.0549280637971,49.8888610282971,85,"https://www.elpais.com.co/colombia/clases-presenciales-en-colegios-y-universidades-seguiran-suspendidas-hasta-el-31-de-mayo.html",2020-04-07,2020-04-07 09:56:32
"10","R_1eDD5x7uo8aTbPZCw","2205274","update","original",NA,NA,"Colombia announced that Classes at colleges and universities will remain suspended until May 31",2020-04-06,2020-03-16,2020-08-01,"Colombia","COL","CO","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Colombia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",52.460031578145,51.0549280637971,49.8888610282971,85,"https://www.elpais.com.co/colombia/clases-presenciales-en-colegios-y-universidades-seguiran-suspendidas-hasta-el-31-de-mayo.html",2020-04-07,2020-04-07 09:56:32
