record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_1f7QDiyjAlaGpbyDk,6571264,new_entry,correction,Change of Policy,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.5225090464107,51.4947053567795,50.420954059317,154,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/,2020-08-09,2020-08-09T13:06:12Z
R_1f7QDiyjAlaGpbyEj,6571264,new_entry,correction,Change of Policy,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.5225090464107,51.4947053567795,50.420954059317,154,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/,2020-08-09,2020-08-09T13:06:12Z
R_1f7QDiyjAlaGpbyBr,6571264,new_entry,correction,Change of Policy,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.5225090464107,51.4947053567795,50.420954059317,154,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/,2020-08-09,2020-08-09T13:06:12Z
R_12KzLhe5v0ffvKODk,6571264,update,correction,Change of Policy,Relaxing,"As of April 27th, universities (and academic research institutions) are allowed to reopen under new hygienic measures. Only 5 students are allowed to be present at a time, social distancing guidelines are to be maintained and contract surfaces sanitized.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.5225090464107,51.4947053567795,50.420954059317,154,https://koronavirus.mzcr.cz/pozadavky-pro-vysoke-skoly-vedecko-akademicke-instituce,2020-08-11,2020-08-11T07:40:54Z
R_12KzLhe5v0ffvKOEj,6571264,update,correction,Change of Policy,Relaxing,"As of April 27th, universities (and academic research institutions) are allowed to reopen under new hygienic measures. Only 5 students are allowed to be present at a time, social distancing guidelines are to be maintained and contract surfaces sanitized.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.5225090464107,51.4947053567795,50.420954059317,154,https://koronavirus.mzcr.cz/pozadavky-pro-vysoke-skoly-vedecko-akademicke-instituce,2020-08-11,2020-08-11T07:40:54Z
R_12KzLhe5v0ffvKOBr,6571264,update,correction,Change of Policy,Relaxing,"As of April 27th, universities (and academic research institutions) are allowed to reopen under new hygienic measures. Only 5 students are allowed to be present at a time, social distancing guidelines are to be maintained and contract surfaces sanitized.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.5225090464107,51.4947053567795,50.420954059317,154,https://koronavirus.mzcr.cz/pozadavky-pro-vysoke-skoly-vedecko-akademicke-instituce,2020-08-11,2020-08-11T07:40:54Z
R_2BnQv1zL4YdWZaWDk,6571264,update,original,,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,52.5225090464107,51.4947053567795,50.420954059317,154,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/ ; https://koronavirus.mzcr.cz/uvolnovani-opatreni/,2020-04-27,2020-04-27T21:38:07Z
R_2BnQv1zL4YdWZaWEj,6571264,update,original,,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,52.5225090464107,51.4947053567795,50.420954059317,154,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/ ; https://koronavirus.mzcr.cz/uvolnovani-opatreni/,2020-04-27,2020-04-27T21:38:07Z
R_2BnQv1zL4YdWZaWBr,6571264,update,original,,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,52.5225090464107,51.4947053567795,50.420954059317,154,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/ ; https://koronavirus.mzcr.cz/uvolnovani-opatreni/,2020-04-27,2020-04-27T21:38:07Z
R_3Mbw8rMjmiUIrk2Dk,6571264,update,original,,Relaxing,"Czech Ministry of Health bans the physical presence of students in primary, secondary and grammar and vocational schools as well as in universities.",2020-03-10,2020-03-11,,Czechia,CZE,CZ,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Czechia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,52.5225090464107,51.4947053567795,50.420954059317,154,https://koronavirus.mzcr.cz/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-nad-100-osob-i-vyuku-na-skolach/ ; https://koronavirus.mzcr.cz/uvolnovani-opatreni/,2020-04-20,2020-04-20T21:51:32Z
