record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3MDQmaPGocoRA1WDo,9990130,new_entry,correction,,,The Government of Djibouti orders the closure of schools and universities from the 19th of March,2020-03-19,2020-03-19,,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Djibouti,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.3048578787335,50.5570925533455,47.2029133973462,56,https://dj.usembassy.gov/covid-19-information-26-march-2020/,2020-08-09,2020-08-09T13:17:35Z
R_3MDQmaPGocoRA1WDq,9990130,new_entry,correction,,,The Government of Djibouti orders the closure of schools and universities from the 19th of March,2020-03-19,2020-03-19,,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Djibouti,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.3048578787335,50.5570925533455,47.2029133973462,56,https://dj.usembassy.gov/covid-19-information-26-march-2020/,2020-08-09,2020-08-09T13:17:35Z
R_3MDQmaPGocoRA1WEr,9990130,new_entry,correction,,,The Government of Djibouti orders the closure of schools and universities from the 19th of March,2020-03-19,2020-03-19,,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Djibouti,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.3048578787335,50.5570925533455,47.2029133973462,56,https://dj.usembassy.gov/covid-19-information-26-march-2020/,2020-08-09,2020-08-09T13:17:35Z
R_3MDQmaPGocoRA1WBu,9990130,new_entry,correction,,,The Government of Djibouti orders the closure of schools and universities from the 19th of March,2020-03-19,2020-03-19,,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Djibouti,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.3048578787335,50.5570925533455,47.2029133973462,56,https://dj.usembassy.gov/covid-19-information-26-march-2020/,2020-08-09,2020-08-09T13:17:35Z
R_2QLjMGanHDLogMKFp,6722897,new_entry,original,,,"Information for visa applicants regarding novel coronavirus:  As of March 15, 2020 the United States Embassy in Djibouti has suspended routine visa appointments. We will resume routine visa services as soon as possible but are unable to provide a specific date at this time",2020-03-15,2020-03-15,,Djibouti,DJI,DJ,National,0,,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,,All countries,All countries,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),Ministry/Department of Foreign Affairs,54.7632136178049,49.862952070799,43.53456963285,57,https://dj.usembassy.gov/information-for-visa-applicants-regarding-novel-coronavirus/,2020-05-30,2020-05-30T22:32:10Z
R_Xj1ZF16Btk5fTahNA,6934851,new_entry,correction,,,"Government of Djibouti announced the closure of all land, sea and air border from the 18th of March",2020-03-18,2020-03-18,,Djibouti,DJI,DJ,National,1,,,,External Border Restrictions,,,,Djibouti,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,53.6481274925005,50.2895267852856,46.0609274651423,54,https://dj.usembassy.gov/covid-19-information-26-march-2020/,2020-08-10,2020-08-10T08:04:22Z
R_C9Bn4ItaHFS8FRTNA,9759243,new_entry,original,,,"Djibouti's passenger service on the Djibouti-Addis Ababa railroad was suspended as of March 20 given that all borders have been closed on the 18th of March 



",2020-03-20,2020-04-20,,Djibouti,DJI,DJ,National,0,,,,External Border Restrictions,,,,"Djibouti,Ethiopia","One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound/Outbound,Trains,Mandatory (Unspecified/Implied),National Government,54.190184141891,53.2947427638318,52.228769012007,109,https://dj.usembassy.gov/covid-19-information-26-march-2020/,2020-04-01,2020-04-01T20:48:29Z
R_22P1hvgoifXg64tBv,9579879,new_entry,original,,,"In Djibouti, a quarantine center has been established in Bouffard hospital on the 23rd of March",2020-03-23,2020-03-23,,Djibouti,DJI,DJ,National,1,,,,Health Resources,Hospitals,,,Djibouti,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,Not Applicable,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",53.5493414380499,52.6597339194871,51.652920144975,124,https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-1-23-march-2020,2020-04-07,2020-04-07T21:55:28Z
R_22P1hvgoifXg64tEz,9579879,new_entry,original,,,"In Djibouti, a quarantine center has been established in Bouffard hospital on the 23rd of March",2020-03-23,2020-03-23,,Djibouti,DJI,DJ,National,1,,,,Health Resources,Temporary Quarantine Centers,,,Djibouti,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,Not Applicable,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",53.5493414380499,52.6597339194871,51.652920144975,124,https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-1-23-march-2020,2020-04-07,2020-04-07T21:55:28Z
R_3khmOSvJtnsCRq2Bv,4744466,new_entry,original,,,"In Djibouti, a care center for severe cases has been finalized and set up in Arta, a city 40km away from the capital.",2020-03-23,2020-03-25,,Djibouti,DJI,DJ,National,1,,,,Health Resources,Hospitals,,,Djibouti,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,Not Applicable,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",54.1228912681486,53.2142096116253,52.2625492445741,151,http://www.fides.org/en/news/67620-AFRICA_DJIBOUTI_COVID_19_The_Bishop_of_Djibouti_courage_to_you_in_Rome_and_in_Italy ; https://reliefweb.int/report/djibouti/djibouti-covid-19-situation-report-2-1st-april-2020,2020-04-07,2020-04-07T22:10:53Z
