"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1MPPX9JBieEejYrCv","1838523","new_entry","original","NA",NA,"Suspension of all classes from School in Dominica",2020-03-22,2020-03-23,NA,"Dominica","DMA","DM","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Dominica",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.3589004926093,51.2202983408795,50.0021547146098,55,"https://www.telesurenglish.net/news/Overview-of-the-COVID-19-Outbreak-in-the-Caribbean-Region-20200323-0015.html",2020-03-31,2020-03-31 19:59:56
"2","R_1MPPX9JBieEejYrCw","1838523","new_entry","original","NA",NA,"Suspension of all classes from School in Dominica",2020-03-22,2020-03-23,NA,"Dominica","DMA","DM","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Dominica",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.3589004926093,51.2202983408795,50.0021547146098,55,"https://www.telesurenglish.net/news/Overview-of-the-COVID-19-Outbreak-in-the-Caribbean-Region-20200323-0015.html",2020-03-31,2020-03-31 19:59:56
"3","R_1MPPX9JBieEejYrDr","1838523","new_entry","original","NA",NA,"Suspension of all classes from School in Dominica",2020-03-22,2020-03-23,NA,"Dominica","DMA","DM","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Dominica",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.3589004926093,51.2202983408795,50.0021547146098,55,"https://www.telesurenglish.net/news/Overview-of-the-COVID-19-Outbreak-in-the-Caribbean-Region-20200323-0015.html",2020-03-31,2020-03-31 19:59:56
"4","R_1MPPX9JBieEejYrBg","1838523","new_entry","original","NA",NA,"Suspension of all classes from School in Dominica",2020-03-22,2020-03-23,NA,"Dominica","DMA","DM","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Dominica",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.3589004926093,51.2202983408795,50.0021547146098,55,"https://www.telesurenglish.net/news/Overview-of-the-COVID-19-Outbreak-in-the-Caribbean-Region-20200323-0015.html",2020-03-31,2020-03-31 19:59:56
"5","R_3KDdIMOa3BMZ1m2NA","846232","new_entry","original","NA",NA,"Dominica is enforcing a three days curfew in the whole country",2020-03-28,2020-03-28,2020-03-31,"Dominica","DMA","DM","National",1,NA,NA,"Curfew",NA,NA,"","Dominica",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Provincial/State Government,Police",52.6955761610645,51.8051873467797,50.7087359773774,63,"https://dominicanewsonline.com/news/homepage/homepage-carousel/breaking-news-dominica-imposes-curfew-as-it-tightens-measures-to-fight-coronavirus/",2020-03-30,2020-03-30 20:50:30
"6","R_2UbKiYqQ0TikLpINA","8130156","update","original","Change of Policy","Strengthening","The curfew will be in effect from Saturday 28th March 2020 to Tuesday 31st March 2020",2020-03-28,2020-03-28,2020-05-10,"Dominica","DMA","DM","National",0,NA,NA,"Curfew",NA,NA,"","Dominica",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health",52.6955761610645,51.8051873467797,50.7087359773774,63,"https://dominicanewsonline.com/news/homepage/breaking-news-state-of-emergency-declared-in-dominica/",2020-06-04,2020-06-04 13:15:02
"7","R_2ya0QQoO5pT2Ss6NA","8130156","new_entry","original","NA",NA,"Curfew from 6pm to 6am in Dominica until 20th of April",2020-04-01,2020-04-01,2020-05-10,"Dominica","DMA","DM","National",1,NA,NA,"Curfew",NA,NA,"","Dominica",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health",54.5379556375897,51.7697696479893,48.3204306633626,58,"https://dominicanewsonline.com/news/homepage/breaking-news-state-of-emergency-declared-in-dominica/",2020-04-03,2020-04-03 13:30:51
"8","R_307dnM365gIC29ZNA","8130156","update","original","Change of Policy","Strengthening","Curfew from 6pm to 6am in Dominica until 20th of April",2020-04-01,2020-04-01,2020-05-10,"Dominica","DMA","DM","National",0,NA,NA,"Curfew",NA,NA,"","Dominica",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health",54.5379556375897,51.7697696479893,48.3204306633626,58,"https://dominicanewsonline.com/news/homepage/breaking-news-state-of-emergency-declared-in-dominica/",2020-06-05,2020-06-05 13:55:08
"9","R_2rWKXgiQPjtwcJHNA","8524464","new_entry","original","NA",NA,"On April the 1st, a state of emergency has been declared in Dominica on April the 1st until April the 20th.",2020-04-01,2020-06-01,2020-07-21,"Dominica","DMA","DM","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Dominica",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://dominicanewsonline.com/news/homepage/breaking-news-state-of-emergency-declared-in-dominica/",2020-06-05,2020-06-05 15:49:52
"10","R_1oovCiqgFcUQeE6NA","8524464","update","correction","NA",NA,"On April the 1st, a state of emergency has been declared in Dominica on April the 1st until April the 20th.",2020-04-01,2020-06-01,2020-07-21,"Dominica","DMA","DM","National",0,NA,NA,"Declaration of Emergency",NA,NA,"","Dominica",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://dominicanewsonline.com/news/homepage/breaking-news-state-of-emergency-declared-in-dominica/",2020-06-05,2020-06-05 16:08:49
