record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2qDbSVo3R4B1V7GNA,9858722,new_entry,original,,,"Dominican Republic has insisted with a campaing awarness that the alcohol ""clerén"" is not a remedy for COVID-19, indeed it has caused several deaths in the country, after April 27.",2020-04-27,2020-04-27,,Dominican Republic,DOM,DO,National,0,,,Anti-Disinformation Measures,,,"",,,,,,,,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,53.0489709981987,51.9048844236924,50.5940048688384,46,https://www.msp.gob.do/web/?p=7271,2020-04-29,2020-04-29T18:26:40Z
R_1lgI6v0Jc6MQgTuDg,3892763,new_entry,original,,,Dominican Republic has stablished new measures regarding closure and regulation of schools during till April 18. After March 16.,2020-03-16,2020-03-17,,Dominican Republic,DOM,DO,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Dominican Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,50.6675274544768,49.7116104444631,48.5577420919392,45,https://coronavirusrd.gob.do/2020/04/26/listado-de-medidas-rd-vs-covid-19/,2020-06-18,2020-06-18T13:55:04Z
R_1lgI6v0Jc6MQgTuDi,3892763,new_entry,original,,,Dominican Republic has stablished new measures regarding closure and regulation of schools during till April 18. After March 16.,2020-03-16,2020-03-17,,Dominican Republic,DOM,DO,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Dominican Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,50.6675274544768,49.7116104444631,48.5577420919392,45,https://coronavirusrd.gob.do/2020/04/26/listado-de-medidas-rd-vs-covid-19/,2020-06-18,2020-06-18T13:55:04Z
R_1lgI6v0Jc6MQgTuEe,3892763,new_entry,original,,,Dominican Republic has stablished new measures regarding closure and regulation of schools during till April 18. After March 16.,2020-03-16,2020-03-17,,Dominican Republic,DOM,DO,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Dominican Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,50.6675274544768,49.7116104444631,48.5577420919392,45,https://coronavirusrd.gob.do/2020/04/26/listado-de-medidas-rd-vs-covid-19/,2020-06-18,2020-06-18T13:55:04Z
R_1lgI6v0Jc6MQgTuBo,3892763,new_entry,original,,,Dominican Republic has stablished new measures regarding closure and regulation of schools during till April 18. After March 16.,2020-03-16,2020-03-17,,Dominican Republic,DOM,DO,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Dominican Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,50.6675274544768,49.7116104444631,48.5577420919392,45,https://coronavirusrd.gob.do/2020/04/26/listado-de-medidas-rd-vs-covid-19/,2020-06-18,2020-06-18T13:55:04Z
R_2V4lZhtdARo2hupDg,9850870,new_entry,original,,,In Dominican Republic in March 17 new measures regarding closure of schools were taken.Teaching is suspended in all schools and universities until new notice.,2020-03-16,2020-03-17,,Dominican Republic,DOM,DO,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Dominican Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,50.6675274544768,49.7116104444631,48.5577420919392,45,https://coronavirusrd.gob.do/2020/04/26/listado-de-medidas-rd-vs-covid-19/,2020-06-15,2020-06-15T10:59:36Z
R_2V4lZhtdARo2hupDi,9850870,new_entry,original,,,In Dominican Republic in March 17 new measures regarding closure of schools were taken.Teaching is suspended in all schools and universities until new notice.,2020-03-16,2020-03-17,,Dominican Republic,DOM,DO,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Dominican Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,50.6675274544768,49.7116104444631,48.5577420919392,45,https://coronavirusrd.gob.do/2020/04/26/listado-de-medidas-rd-vs-covid-19/,2020-06-15,2020-06-15T10:59:36Z
R_2V4lZhtdARo2hupEe,9850870,new_entry,original,,,In Dominican Republic in March 17 new measures regarding closure of schools were taken.Teaching is suspended in all schools and universities until new notice.,2020-03-16,2020-03-17,,Dominican Republic,DOM,DO,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Dominican Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,50.6675274544768,49.7116104444631,48.5577420919392,45,https://coronavirusrd.gob.do/2020/04/26/listado-de-medidas-rd-vs-covid-19/,2020-06-15,2020-06-15T10:59:36Z
R_2V4lZhtdARo2hupBo,9850870,new_entry,original,,,In Dominican Republic in March 17 new measures regarding closure of schools were taken.Teaching is suspended in all schools and universities until new notice.,2020-03-16,2020-03-17,,Dominican Republic,DOM,DO,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Dominican Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,50.6675274544768,49.7116104444631,48.5577420919392,45,https://coronavirusrd.gob.do/2020/04/26/listado-de-medidas-rd-vs-covid-19/,2020-06-15,2020-06-15T10:59:36Z
R_29jmnb4cOdUEV3XDg,9850870,update,original,End of Policy,,"In Dominican Republic in March 17 new measures regarding closure of schools were taken.Teaching was suspended in all schools and universities. In August 24 a new school reopening protocol will start. 
Some measures:
- The seats a meter and a half to its four sides separation
- Constant use of masks
- Distance between students in the hallway
- Restriction of external visits
- Registration of the temperature at the entrance, hand washing with soap and disinfection with hand sanitazer.
-Avoiding handshakes, hugs and the formation of groups to talk, entertain or play.
- The doors and windows of the classrooms must remain open during the school day so that the air inside can flow.
(Among other measures)",2020-05-20,2020-08-24,,Dominican Republic,DOM,DO,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Dominican Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-06-15,2020-06-15T13:26:56Z
