"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1I73jQJIfYFUuSIDg",12844,"new_entry","original","NA",NA,"The Cabinet has denied on Feb 19th posts shared by some social media pages warning against the spread of the coronavirus among school pupils, according to the Cabinet's media center's statement.",2020-02-19,2020-02-19,NA,"Egypt","EGY","EG","National",0,NA,NA,"Anti-Disinformation Measures","Other Quarantine",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","National Government",NA,NA,NA,NA,"https://www.egypttoday.com/Article/1/81802/Cabinet-denies-audio-warning-of-coronavirus-spread-among-school-pupils",2020-05-21,"2020-05-21 09:37:00"
"2","R_1I73jQJIfYFUuSICi",12844,"new_entry","original","NA",NA,"The Cabinet has denied on Feb 19th posts shared by some social media pages warning against the spread of the coronavirus among school pupils, according to the Cabinet's media center's statement.",2020-02-19,2020-02-19,NA,"Egypt","EGY","EG","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown applies to all people",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","National Government",NA,NA,NA,NA,"https://www.egypttoday.com/Article/1/81802/Cabinet-denies-audio-warning-of-coronavirus-spread-among-school-pupils",2020-05-21,"2020-05-21 09:37:00"
"3","R_1I73jQJIfYFUuSIDc",12844,"new_entry","original","NA",NA,"The Cabinet has denied on Feb 19th posts shared by some social media pages warning against the spread of the coronavirus among school pupils, according to the Cabinet's media center's statement.",2020-02-19,2020-02-19,NA,"Egypt","EGY","EG","National",0,NA,NA,"Anti-Disinformation Measures","Other mass gatherings not specified above restricted",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","National Government",NA,NA,NA,NA,"https://www.egypttoday.com/Article/1/81802/Cabinet-denies-audio-warning-of-coronavirus-spread-among-school-pupils",2020-05-21,"2020-05-21 09:37:00"
"4","R_1I73jQJIfYFUuSICh",12844,"new_entry","original","NA",NA,"The Cabinet has denied on Feb 19th posts shared by some social media pages warning against the spread of the coronavirus among school pupils, according to the Cabinet's media center's statement.",2020-02-19,2020-02-19,NA,"Egypt","EGY","EG","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","National Government",NA,NA,NA,NA,"https://www.egypttoday.com/Article/1/81802/Cabinet-denies-audio-warning-of-coronavirus-spread-among-school-pupils",2020-05-21,"2020-05-21 09:37:00"
"5","R_1I73jQJIfYFUuSIEi",12844,"new_entry","original","NA",NA,"The Cabinet has denied on Feb 19th posts shared by some social media pages warning against the spread of the coronavirus among school pupils, according to the Cabinet's media center's statement.",2020-02-19,2020-02-19,NA,"Egypt","EGY","EG","National",0,NA,NA,"Anti-Disinformation Measures","Restrictions on ridership of buses",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","National Government",NA,NA,NA,NA,"https://www.egypttoday.com/Article/1/81802/Cabinet-denies-audio-warning-of-coronavirus-spread-among-school-pupils",2020-05-21,"2020-05-21 09:37:00"
"6","R_1I73jQJIfYFUuSIEl",12844,"new_entry","original","NA",NA,"The Cabinet has denied on Feb 19th posts shared by some social media pages warning against the spread of the coronavirus among school pupils, according to the Cabinet's media center's statement.",2020-02-19,2020-02-19,NA,"Egypt","EGY","EG","National",0,NA,NA,"Anti-Disinformation Measures","Restrictions ridership of other forms of public transportation (please include details in the text entry)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","National Government",NA,NA,NA,NA,"https://www.egypttoday.com/Article/1/81802/Cabinet-denies-audio-warning-of-coronavirus-spread-among-school-pupils",2020-05-21,"2020-05-21 09:37:00"
"7","R_1I73jQJIfYFUuSIAq",12844,"new_entry","original","NA",NA,"The Cabinet has denied on Feb 19th posts shared by some social media pages warning against the spread of the coronavirus among school pupils, according to the Cabinet's media center's statement.",2020-02-19,2020-02-19,NA,"Egypt","EGY","EG","National",0,NA,NA,"Anti-Disinformation Measures","82800",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","National Government",NA,NA,NA,NA,"https://www.egypttoday.com/Article/1/81802/Cabinet-denies-audio-warning-of-coronavirus-spread-among-school-pupils",2020-05-21,"2020-05-21 09:37:00"
"8","R_1I73jQJIfYFUuSIAd",12844,"new_entry","original","NA",NA,"The Cabinet has denied on Feb 19th posts shared by some social media pages warning against the spread of the coronavirus among school pupils, according to the Cabinet's media center's statement.",2020-02-19,2020-02-19,NA,"Egypt","EGY","EG","National",0,NA,NA,"Anti-Disinformation Measures","21600",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","National Government",NA,NA,NA,NA,"https://www.egypttoday.com/Article/1/81802/Cabinet-denies-audio-warning-of-coronavirus-spread-among-school-pupils",2020-05-21,"2020-05-21 09:37:00"
"9","R_1I73jQJIfYFUuSIDn",12844,"new_entry","original","NA",NA,"The Cabinet has denied on Feb 19th posts shared by some social media pages warning against the spread of the coronavirus among school pupils, according to the Cabinet's media center's statement.",2020-02-19,2020-02-19,NA,"Egypt","EGY","EG","National",0,NA,NA,"Anti-Disinformation Measures","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","National Government",NA,NA,NA,NA,"https://www.egypttoday.com/Article/1/81802/Cabinet-denies-audio-warning-of-coronavirus-spread-among-school-pupils",2020-05-21,"2020-05-21 09:37:00"
"10","R_1I73jQJIfYFUuSIDp",12844,"new_entry","original","NA",NA,"The Cabinet has denied on Feb 19th posts shared by some social media pages warning against the spread of the coronavirus among school pupils, according to the Cabinet's media center's statement.",2020-02-19,2020-02-19,NA,"Egypt","EGY","EG","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","National Government",NA,NA,NA,NA,"https://www.egypttoday.com/Article/1/81802/Cabinet-denies-audio-warning-of-coronavirus-spread-among-school-pupils",2020-05-21,"2020-05-21 09:37:00"
