"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_b9NJ21dlvu2snGFNA","1405891","new_entry","original","NA",NA,"On March 16The Estonian government denied claims Tallinn is about to be locked down, or a curfew imposed, which have spread on social media with people claiming to have seen roadblocks being built on the outskirts of Tallinn. The city government is actually installing temporary traffic lights and renovating an intersection.",2020-03-16,2020-03-16,NA,"Estonia","EST","EE","Municipal",0,"Harjumaa","Tallinn","Anti-Disinformation Measures",NA,NA,"","Estonia",NA,NA,"Harjumaa","Tallinn",NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government",52.6799024148253,51.5857542097038,50.5519279181021,109,"https://news.err.ee/1064623/government-denies-tallinn-curfew-social-media-rumors-this-is-not-true",2020-07-21,2020-07-21 18:32:50
"2","R_3MsORJrkGovVedwDr","84785","new_entry","original","NA",NA,"06.03.2020 -Tallinn Kristiine High School (Tallinna Kristiine Gümnaasium) has been closed for two weeks after a student was diagnosed with COVID-19 coronavirus. The Ministry of Education and Research says that since it is not possible to identify who the infected student had come into contact with at the school, they are having to close their doors for two weeks. All 850 students will stay at home and have work provided online.",2020-03-06,2020-03-06,NA,"Estonia","EST","EE","Municipal",1,"Harjumaa","Tallinn","Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Estonia",NA,NA,"Harjumaa","Tallinn",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",53.2870921396781,50.5398931335752,47.785850661912,133,"https://news.err.ee/1060727/tallinn-school-closed-after-confirmed-student-coronavirus-case",2020-07-22,2020-07-22 20:46:02
"3","R_3EhGviK7I2SNpvgCw","4298546","new_entry","original","NA",NA,"Following the declaration of an emergency situation, studies in educational establishments changed. From the 16th of March ""schools are required to suspend regular classroom studies and switch over to remote and home studying""",2020-03-12,2020-03-16,2020-05-01,"Estonia","EST","EE","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Estonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6799024148253,51.5857542097038,50.5519279181021,109,"https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may",2020-04-02,2020-04-02 14:18:31
"4","R_3EhGviK7I2SNpvgDr","4298546","new_entry","original","NA",NA,"Following the declaration of an emergency situation, studies in educational establishments changed. From the 16th of March ""schools are required to suspend regular classroom studies and switch over to remote and home studying""",2020-03-12,2020-03-16,2020-05-01,"Estonia","EST","EE","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Estonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6799024148253,51.5857542097038,50.5519279181021,109,"https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may",2020-04-02,2020-04-02 14:18:31
"5","R_3EhGviK7I2SNpvgBg","4298546","new_entry","original","NA",NA,"Following the declaration of an emergency situation, studies in educational establishments changed. From the 16th of March ""schools are required to suspend regular classroom studies and switch over to remote and home studying""",2020-03-12,2020-03-16,2020-05-01,"Estonia","EST","EE","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Estonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6799024148253,51.5857542097038,50.5519279181021,109,"https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may",2020-04-02,2020-04-02 14:18:31
"6","R_1JF1ieim0FhzxrMDr","465503","new_entry","original","NA",NA,"Tallinn, Stenbock House, May 17, 2020

Education in lower secondary schools, upper secondary schools, vocational education institutions and higher education institutions (except in research and development institutions  of universities and research institutions), as well as in continuous education institutions, informal education and hobby activities, and the activities of open youth centres must follow the 2+2 rule; students may work in groups of no more than 10 students (except for exams); when organising the exams the students must be dispersed in the exam room, the movement of groups of students must be dispersed, and all items in common use must be disinfected after use.",2020-05-17,2020-05-17,NA,"Estonia","EST","EE","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Estonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.kriis.ee/en/news/special-notice-government-approved-list-restrictions-and-easing-restrictions-force-after-end",2020-07-26,2020-07-26 16:53:27
"7","R_1JF1ieim0FhzxrMBg","465503","new_entry","original","NA",NA,"Tallinn, Stenbock House, May 17, 2020

Education in lower secondary schools, upper secondary schools, vocational education institutions and higher education institutions (except in research and development institutions  of universities and research institutions), as well as in continuous education institutions, informal education and hobby activities, and the activities of open youth centres must follow the 2+2 rule; students may work in groups of no more than 10 students (except for exams); when organising the exams the students must be dispersed in the exam room, the movement of groups of students must be dispersed, and all items in common use must be disinfected after use.",2020-05-17,2020-05-17,NA,"Estonia","EST","EE","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions allowed to open with conditions","Estonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.kriis.ee/en/news/special-notice-government-approved-list-restrictions-and-easing-restrictions-force-after-end",2020-07-26,2020-07-26 16:53:27
"8","R_1ClS6rgiZban7xQCw","4298546","update","original","End of Policy",NA,"Estonian Government Order No. 143 of 5 May 2020 allows, in addition to the distance learning form that continues, to carry out individual or small group teaching and activities in school from 18 May. The direct contact studies are only allowed if it is safe and healthy for both staff and pupils and will remain the exception in current circumstances.",2020-05-05,2020-05-18,2020-05-01,"Estonia","EST","EE","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Estonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may",2020-07-21,2020-07-21 17:12:41
"9","R_1ClS6rgiZban7xQDr","4298546","update","original","End of Policy",NA,"Estonian Government Order No. 143 of 5 May 2020 allows, in addition to the distance learning form that continues, to carry out individual or small group teaching and activities in school from 18 May. The direct contact studies are only allowed if it is safe and healthy for both staff and pupils and will remain the exception in current circumstances.",2020-05-05,2020-05-18,2020-05-01,"Estonia","EST","EE","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Estonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may",2020-07-21,2020-07-21 17:12:41
"10","R_1ClS6rgiZban7xQBg","4298546","update","original","End of Policy",NA,"Estonian Government Order No. 143 of 5 May 2020 allows, in addition to the distance learning form that continues, to carry out individual or small group teaching and activities in school from 18 May. The direct contact studies are only allowed if it is safe and healthy for both staff and pupils and will remain the exception in current circumstances.",2020-05-05,2020-05-18,2020-05-01,"Estonia","EST","EE","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Estonia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may",2020-07-21,2020-07-21 17:12:41
