"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2VyI96yIXUuzWFzCe",482697,"new_entry","original","NA",NA,"On 16 March 2020, the Commission adopted a Communication1
recommending a temporary
restriction of non-essential travel from third countries into the EU+ area2
for one month. On
17 March 2020, the Heads of State or Government of the EU agreed to implement the
temporary restriction of non-essential travel. The four Schengen Associated States also
implemented it.",2020-03-27,2020-03-16,2020-04-27,"European Union",NA,NA,"Provincial",0,NA,NA,"External Border Restrictions","Other External Border Restriction",NA,"","European Union","An international organization (e.g. World Health Organization)",NA,NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",50.3480634661988,49.0514302873975,47.0227138827174,31,"file:///Users/danielgreen/Documents/07-15-2020%20Council%20Recommendation%20on%20the%20temporary%20restriction%20on%20non-essential%20travel%20into%20the%20EU%20and%20the%20possible%20lifting%20of%20such%20restriction.pdf",2020-07-16,"2020-07-16 14:38:02"
"2","R_28GHMo91qMsi6OlNA",7192773,"new_entry","original","NA",NA,"On 16 March, the European Commission announced external border restrictions, meaning that the EU will close its external borders for 30 days, with exemptions for EU citizens coming back home, for healthcare workers, like doctors and nurses, also scientists working on the solution of this health crisis we do see, and for people commuting on borders, who are working on both sides of the border.",2020-03-16,2020-03-16,2020-05-15,"European Union",NA,NA,"National",0,NA,NA,"External Border Restrictions",NA,NA,"",NA,"One or more regional groupings","European Union (with the UK),Schengen Area (with the UK)",NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",50.3480634661988,49.0514302873975,47.0227138827174,31,"https://ec.europa.eu/commission/presscorner/detail/en/statement_20_477",2020-04-03,"2020-04-03 16:33:08"
"3","R_ALqMq9dV2RTNuUxNA",7192773,"new_entry","correction","NA",NA,"On 16 March, the European Commission announced external border restrictions, meaning that the EU will close its external borders for 30 days, with exemptions for EU citizens coming back home, for healthcare workers, like doctors and nurses, also scientists working on the solution of this health crisis we do see, and for people commuting on borders, who are working on both sides of the border.",2020-03-16,2020-03-16,2020-05-15,"European Union",NA,NA,"National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries","European Union (with the UK),Schengen Area (with the UK)",NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",50.3480634661988,49.0514302873975,47.0227138827174,31,"https://ec.europa.eu/commission/presscorner/detail/en/statement_20_477",2020-04-03,"2020-04-03 19:44:16"
"4","R_2Y2QJmYApzktm9CNA",7192773,"update","original","NA","Strengthening","On 8 April, the Commission invited Schengen Member States and Schengen Associated States to prolong the temporary restriction on non-essential travel to the EU until 15 May.",2020-04-08,2020-04-16,2020-05-15,"European Union",NA,NA,"National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries","European Union (with the UK),Schengen Area (with the UK)",NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",54.6666157367469,50.2873293976378,46.7142275126897,25,"https://ec.europa.eu/commission/presscorner/detail/en/ip_20_616",2020-04-27,"2020-04-27 09:50:31"
"5","R_28Z1D3U1h5pq4DUCe",5630987,"new_entry","original","NA",NA,"Starting from 1 July 2020, member states should start lifting the travel restrictions at the external borders for residents of the following third countries: Algeria, Australia, Canada, Georgia, Japan, Montenegro, Morocco, New Zealand, Rwanda, Serbia, South Korea, Thailand, Tunisia, Uruguay and China, the latter subject to confirmation of reciprocity.",2020-06-30,2020-07-01,NA,"European Union",NA,NA,"Provincial",0,NA,NA,"External Border Restrictions","Other External Border Restriction",NA,"","European Union","An international organization (e.g. World Health Organization)",NA,NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.consilium.europa.eu/en/policies/coronavirus/",2020-07-15,"2020-07-15 15:14:15"
"6","R_237CoDuVXXLK6TaBd",9768929,"new_entry","original","NA",NA,"On 31 January, EUR 10 million are granted from the EU’s research and innovation programme, Horizon 2020, to support research into the new coronavirus disease.",2020-01-31,2020-01-31,NA,"European Union",NA,NA,"National",0,NA,NA,"Health Resources","Health Research Facilities",NA,"",NA,"One or more regional groupings","European Union (with the UK),Schengen Area (with the UK)",NA,NA,NA,"Health-Related Supplies",NA,"Not Applicable","Voluntary/Recommended but No Penalties","National Government",50.6672272802233,47.4962932361922,42.2015681748431,92,"https://ec.europa.eu/commission/presscorner/detail/en/mex_20_175",2020-04-20,"2020-04-20 11:24:11"
"7","R_1myCvIvtfspze8WCr",8903946,"new_entry","original","NA",NA,"As an immediate first response, the EU's Emergency Response Coordination Centre coordinated for EU Member States to mobilize and deliver a total of 12 tons of protective equipment to China.",2020-02-01,2020-02-01,NA,"European Union",NA,NA,"National",0,NA,NA,"Health Resources","Personal Protective Equipment",NA,"","China","One or more countries, but not all countries",NA,NA,NA,NA,"Health-Related Supplies","Outbound","Not Applicable","Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",50.8616444504711,47.5320363602844,42.114994231523,93,"https://ec.europa.eu/commission/presscorner/detail/en/statement_20_178",2020-04-20,"2020-04-20 11:27:58"
"8","R_3Eu5oBYooHHgXSRCr",8903946,"update","original","NA","Strengthening","On 23 February, the Commission co-financed the delivery of more than 25 tonnes of personal protective equipment to China after the EU Civil Protection Mechanism was activated.",2020-02-23,2020-02-23,NA,"European Union",NA,NA,"National",0,NA,NA,"Health Resources","Personal Protective Equipment",NA,"","China","One or more countries, but not all countries",NA,NA,NA,NA,"Health-Related Supplies","Outbound","Not Applicable","Voluntary/Recommended but No Penalties","National Government",51.9068054211386,48.0912238356414,42.2993726618997,54,"https://ec.europa.eu/commission/presscorner/detail/en/ip_20_310",2020-04-20,"2020-04-20 11:40:39"
"9","R_1C28AAwcsrUKq7HCg",9321762,"new_entry","original","NA",NA,"On 24 February, the European Commission announced that a new aid package worth EUR 232 million to boost global preparedness, prevention and containment of the virus:
- €114 million will support the World Health Organization (WHO), in particular the global preparedness and response global plan. This intends to boost public health emergency preparedness and response work in countries with weak health systems and limited resilience. Part of this funding is subject to the agreement of the EU budgetary authorities.
- €15 million are planned to be allocated in Africa, including to the Institute Pasteur Dakar, Senegal to support measures such as rapid diagnosis and epidemiological surveillance.
- €100 million will go to urgently needed research related to diagnostics, therapeutics and prevention, including €90 million through the Innovative Medicines Initiative, a partnership between the EU and the pharmaceutical industry. *
- €3 million allocated to the EU Civil Protection Mechanism for repatriation flights of EU citizens from Wuhan, China.
",2020-02-24,2020-02-24,NA,"European Union",NA,NA,"National",0,NA,NA,"Health Resources","Other Health Infrastructure",NA,"",NA,"One or more regional groupings","European Union (with the UK),Africa,Other Regions (please specify below)",NA,NA,NA,"Health-Related Supplies",NA,"Not Applicable","Voluntary/Recommended but No Penalties","National Government",51.5849197893067,48.1327147895712,42.4692658646794,51,"https://ec.europa.eu/commission/presscorner/detail/en/ip_20_316",2020-04-20,"2020-04-20 11:46:45"
"10","R_2thAN4nJ9lseF1eCr",3345199,"new_entry","original","NA",NA,"On 28 February, the first out of four joint procurements of personal protective equipment, was launched together with Member States. This turns the EU into one big buyer, encouraging suppliers to move quickly at scale and provide the maximum equipment possible at the best price.",2020-02-28,2020-02-28,NA,"European Union",NA,NA,"National",0,NA,NA,"Health Resources","Personal Protective Equipment",NA,"",NA,"One or more regional groupings","European Union (without the UK),Schengen Area (without the UK)",NA,NA,NA,"Health-Related Supplies","Inbound","Not Applicable","Voluntary/Recommended but No Penalties","National Government",51.4926119043283,48.3197015582584,42.9534896490865,52,"https://ec.europa.eu/info/live-work-travel-eu/health/coronavirus-response/timeline-eu-action_en",2020-04-20,"2020-04-20 11:51:52"
