record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2XaE4qkTtLoB208NA,1447205,new_entry,original,,,"On April 22, the Fijian Ministry of Health and Medical Services released a PR strongly advising all health providers in Fiji to cease offering IgM/IgG rapid tests for the diagnosis of COVID-19.  These tests are based on the detection of antibodies and/or antigens and they are not reliable for the acute diagnosis of COVID-19.",2020-04-22,2020-04-22,,Fiji,FJI,FJ,National,1,,,,Anti-Disinformation Measures,,,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,53.4829686563279,51.0710351840986,48.7687847246598,31,http://www.health.gov.fj/warning-against-alternative-covid-19-test-kits/,2020-08-03,2020-08-03T00:13:09Z
R_psLGK7hYuFsSawpNA,4680593,new_entry,original,,,"On May 21, Fiji's Ministry of Health and Medical Services responds to an article written by The Fiji Times to address inaccuracies reported by the article regarding the government's response to COVID-19.",2020-06-01,2020-05-21,2020-05-21,Fiji,FJI,FJ,National,1,,,,Anti-Disinformation Measures,,,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,,,,,http://www.health.gov.fj/ministry-of-health-and-medical-services-response-to-erroneous-article-by-the-fiji-times/ ; http://www.health.gov.fj/media-center/novel-coronavirus-covid-19/media-releases/,2020-08-03,2020-08-03T21:23:14Z
R_1Nmrjqvj6j7aVRNDl,2603642,new_entry,original,,,"On March 20, the Fijian government closed schools that fall within the lockdown zone, ""from Kings Road at Nacilau Junction past Matawalu Village, Ba to feeder road at Vakabuli Junction, to the Queens Road at Natalau Junction, Nadi.""",2020-03-20,2020-03-20,,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",50.5686125694275,49.1957772276659,47.5166007374357,26,http://www.education.gov.fj/2020/03/20/media-release-covid-19/,2020-08-10,2020-08-10T22:16:04Z
R_1Nmrjqvj6j7aVRNDn,2603642,new_entry,original,,,"On March 20, the Fijian government closed schools that fall within the lockdown zone, ""from Kings Road at Nacilau Junction past Matawalu Village, Ba to feeder road at Vakabuli Junction, to the Queens Road at Natalau Junction, Nadi.""",2020-03-20,2020-03-20,,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",50.5686125694275,49.1957772276659,47.5166007374357,26,http://www.education.gov.fj/2020/03/20/media-release-covid-19/,2020-08-10,2020-08-10T22:16:04Z
R_1Nmrjqvj6j7aVRNEn,2603642,new_entry,original,,,"On March 20, the Fijian government closed schools that fall within the lockdown zone, ""from Kings Road at Nacilau Junction past Matawalu Village, Ba to feeder road at Vakabuli Junction, to the Queens Road at Natalau Junction, Nadi.""",2020-03-20,2020-03-20,,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",50.5686125694275,49.1957772276659,47.5166007374357,26,http://www.education.gov.fj/2020/03/20/media-release-covid-19/,2020-08-10,2020-08-10T22:16:04Z
R_1Nmrjqvj6j7aVRNBt,2603642,new_entry,original,,,"On March 20, the Fijian government closed schools that fall within the lockdown zone, ""from Kings Road at Nacilau Junction past Matawalu Village, Ba to feeder road at Vakabuli Junction, to the Queens Road at Natalau Junction, Nadi.""",2020-03-20,2020-03-20,,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",50.5686125694275,49.1957772276659,47.5166007374357,26,http://www.education.gov.fj/2020/03/20/media-release-covid-19/,2020-08-10,2020-08-10T22:16:04Z
R_STt8gWiwZQ4bLFvDl,3023624,new_entry,original,,,"On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",51.1011363832261,49.6434170876273,48.428301146729,27,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z
R_STt8gWiwZQ4bLFvDn,3023624,new_entry,original,,,"On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",51.1011363832261,49.6434170876273,48.428301146729,27,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z
R_STt8gWiwZQ4bLFvEn,3023624,new_entry,original,,,"On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",51.1011363832261,49.6434170876273,48.428301146729,27,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z
R_STt8gWiwZQ4bLFvBt,3023624,new_entry,original,,,"On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",51.1011363832261,49.6434170876273,48.428301146729,27,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z
