"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1qeVQjmNenBzv5kNA","9655030","new_entry","original",NA,NA,"Gambian Health authorities refute claims donated items from China are contaminated with Coronavirus",2020-04-13,2020-04-13,NA,"Gambia","GMB","GM","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Gambia",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",57.3623738639976,54.0312347347751,50.8565910269037,151,"https://foroyaa.net/health-authorities-refute-claims-donated-items-from-china-are-contaminated-with-coronavirus/",2020-10-13,2020-10-13 12:16:39
"2","R_vofomHNkNCuNDRDNA","4814239","new_entry","original",NA,NA,"The MRC Unit the Gambia published a statemet on false social media information on Corona Virus on their webpage. It basically says that the information circulating regarding the consumption of garlic being a preventive measure against Covid-19, is false. Furthermore, the public is reminded to stick to the key preventive measures such as washing hands.",2020-05-11,2020-05-11,NA,"Gambia","GMB","GM","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.mrc.gm/statement-on-false-social-media-information-on-corona-virus-prevention-in-the-gambia/",2020-05-11,2020-05-11 11:19:17
"3","R_32VYG7GhxNM20JZCv","3234458","new_entry","original",NA,NA,"Gambian President Adama Barrow closed schools and Universities.",2020-03-17,2020-03-18,2020-06-08,"Gambia","GMB","GM","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Gambia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4273600808564,51.3668122930802,50.4482113314471,86,"https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia",2020-04-05,2020-04-05 13:57:39
"4","R_32VYG7GhxNM20JZCw","3234458","new_entry","original",NA,NA,"Gambian President Adama Barrow closed schools and Universities.",2020-03-17,2020-03-18,2020-06-08,"Gambia","GMB","GM","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Gambia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4273600808564,51.3668122930802,50.4482113314471,86,"https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia",2020-04-05,2020-04-05 13:57:39
"5","R_32VYG7GhxNM20JZDr","3234458","new_entry","original",NA,NA,"Gambian President Adama Barrow closed schools and Universities.",2020-03-17,2020-03-18,2020-06-08,"Gambia","GMB","GM","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Gambia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4273600808564,51.3668122930802,50.4482113314471,86,"https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia",2020-04-05,2020-04-05 13:57:39
"6","R_32VYG7GhxNM20JZBg","3234458","new_entry","original",NA,NA,"Gambian President Adama Barrow closed schools and Universities.",2020-03-17,2020-03-18,2020-06-08,"Gambia","GMB","GM","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Gambia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4273600808564,51.3668122930802,50.4482113314471,86,"https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia",2020-04-05,2020-04-05 13:57:39
"7","R_295QsNfMjMhd3mNCv","3234458","update","original","Change of Policy","Relaxing","Gambian President Adama Barrow closed schools and Universities. However, on the 8th June 2020, students from Grade 9 to Grade 12 are allowed to resume classes.",2020-03-17,2020-03-18,2020-06-08,"Gambia","GMB","GM","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Gambia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents +Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4273600808564,51.3668122930802,50.4482113314471,86,"NA",2020-06-08,2020-06-08 20:01:10
"8","R_295QsNfMjMhd3mNCw","3234458","update","original","Change of Policy","Relaxing","Gambian President Adama Barrow closed schools and Universities. However, on the 8th June 2020, students from Grade 9 to Grade 12 are allowed to resume classes.",2020-03-17,2020-03-18,2020-06-08,"Gambia","GMB","GM","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Gambia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents +Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4273600808564,51.3668122930802,50.4482113314471,86,"NA",2020-06-08,2020-06-08 20:01:10
"9","R_295QsNfMjMhd3mNDr","3234458","update","original","Change of Policy","Relaxing","Gambian President Adama Barrow closed schools and Universities. However, on the 8th June 2020, students from Grade 9 to Grade 12 are allowed to resume classes.",2020-03-17,2020-03-18,2020-06-08,"Gambia","GMB","GM","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Gambia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents +Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4273600808564,51.3668122930802,50.4482113314471,86,"NA",2020-06-08,2020-06-08 20:01:10
"10","R_295QsNfMjMhd3mNBg","3234458","update","original","Change of Policy","Relaxing","Gambian President Adama Barrow closed schools and Universities. However, on the 8th June 2020, students from Grade 9 to Grade 12 are allowed to resume classes.",2020-03-17,2020-03-18,2020-06-08,"Gambia","GMB","GM","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Gambia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents +Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4273600808564,51.3668122930802,50.4482113314471,86,"NA",2020-06-08,2020-06-08 20:01:10
