record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3ndWfUPRWQIjrDVEd,7361873,new_entry,original,,,"President Akufo-Addo has announced the reopening of schools for final year students at all levels of education on Monday, June 15, 2020.",2020-05-31,2020-06-15,,Ghana,GHA,GH,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Ghana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.myjoyonline.com/news/education/final-year-students-to-resume-classes-towards-exams-from-june-15/,2020-06-11,2020-06-11T19:37:42Z
R_3ndWfUPRWQIjrDVBo,7361873,new_entry,original,,,"President Akufo-Addo has announced the reopening of schools for final year students at all levels of education on Monday, June 15, 2020.",2020-05-31,2020-06-15,,Ghana,GHA,GH,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Ghana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.myjoyonline.com/news/education/final-year-students-to-resume-classes-towards-exams-from-june-15/,2020-06-11,2020-06-11T19:37:42Z
R_3KHkJxSHMXTSgBONA,5636453,new_entry,original,,,"The government of Ghana has imposed a temporary ban on travelers from countries that have recorded 200 or more cases of coronavirus. This ban is however not applicable to Ghanaian citizens or foreigners with valid Ghanaian resident permits.
The government also instituted a 14 day mandatory quarantine for those allowed to enter the country",2020-03-15,2020-03-15,,Ghana,GHA,GH,National,0,,,External Border Restrictions,,,"","China,Iraq,Italy,South Korea","One or more countries, but not all countries",,,,,All (Travelers + Residents),Inbound,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,52.4036723650584,51.482286239966,50.6361618045408,113,NA ; https://www.bloomberg.com/news/articles/2020-03-15/ghana-closes-borders-for-arrivals-from-coronavirus-hit-countries ; https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Ghana-imposes-travel-ban-on-countries-with-200-or-more-cases-of-coronavirus-895048,2020-03-29,2020-03-29T14:24:07Z
R_2tA4C6vKPDxAC5SCn,390973,new_entry,correction,,,"Borders of country closed till further notice.  However, given that there are Ghana residents stranded abroad, special dispensation is going to be given for their evacuation back to Ghana, where they will be subjected to the mandatory quarantine and safety protocols.",2020-05-11,2020-03-22,,Ghana,GHA,GH,National,0,,,External Border Restrictions,Other External Border Restriction,,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,53.055802625307,52.0774557753759,51.1405235415333,97,https://www.graphic.com.gh/news/general-news/covid-19-restrictions-in-ghana-borders-still-closed-for-human-traffic.html,2020-07-25,2020-07-25T01:28:42Z
R_6hDwCrujn4fabIZNA,2226876,new_entry,correction,,,President of Ghana orders closure of all borders of the country,2020-04-04,2020-04-05,,Ghana,GHA,GH,National,0,,,External Border Restrictions,,,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,53.8969461095785,53.0417485660064,52.3140165596299,110,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Coronavirus-Akufo-Addo-shuts-down-Ghana-s-borders-from-Sunday-900712,2020-06-02,2020-06-02T11:51:16Z
R_1cSNW194mdLTfffNA,2226876,update,original,,,President of Ghana extends closure of all borders of the country to two more weeks,2020-04-04,2020-04-05,,Ghana,GHA,GH,National,0,,,External Border Restrictions,,,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,53.8969461095785,53.0417485660064,52.3140165596299,110,https://citinewsroom.com/2020/04/akufo-addo-extends-closure-of-ghanas-borders-by-two-weeks/,2020-04-05,2020-04-05T14:05:07Z
R_1gApAHOnP0iI0c9Cn,390973,update,original,End of Policy,,"Borders of country closed till further notice.  However, given that there are Ghana residents stranded abroad, special dispensation is going to be given for their evacuation back to Ghana, where they will be subjected to the mandatory quarantine and safety protocols.


Ghana will reopen air borders to international travel as of September 1 after closing them in March to limit the spread of the coronavirus, President Nana Akufo-Addo said in a speech to the nation on Sunday",2020-08-30,2020-09-01,,Ghana,GHA,GH,National,0,,,External Border Restrictions,Other External Border Restriction,,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-09-01,2020-09-01T01:43:24Z
R_2Qm0p29T40mJd6UNA,3420243,new_entry,original,,,"the Ministry of Health (MoH) has extended enhanced passenger screening at the Kotoka International Airport (KIA) to all international arrivals.
The filling of health declaration forms by only passengers with connections from China, which began on January 24, 2020, now covers all arrivals at the KIA.
",2020-03-20,2020-01-24,,Ghana,GHA,GH,National,0,,,Health Monitoring,,,"",All countries,All countries,,,,,All (Travelers + Residents),Inbound,Flights,Mandatory with Fines,"National Government,Ministry/Department of Health",49.3133246712951,47.2272955983998,43.8790024146402,105,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Health-Ministry-widens-coronavirus-screening-at-Kotoka-airport-850936,2020-03-29,2020-03-29T14:46:17Z
R_6hwFDaqZDqK452xNA,8526531,new_entry,original,,,Gov't makes wearing of face masks mandatory nationwide,2020-04-25,2020-04-25,,Ghana,GHA,GH,National,0,,,Health Monitoring,,,"",Ghana,,,,,,,,,Mandatory (Unspecified/Implied),National Government,55.7509586062073,53.2964880901804,51.0075562594831,110,https://www.pulse.com.gh/news/local/covid-19-govt-makes-wearing-of-face-masks-mandatory-nationwide/bl0yzzz,2020-10-06,2020-10-06T11:38:59Z
R_1QAwlMUlhe0vFFWNA,897445,new_entry,original,,,A directive from the Ministry of Health has made the wearing of face masks mandatory for every Ghanaian across the country.,2020-04-25,2020-04-25,,Ghana,GHA,GH,National,1,,,Health Monitoring,,,"",Ghana,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",55.7509586062073,53.2964880901804,51.0075562594831,110,https://www.pulse.com.gh/news/local/covid-19-govt-makes-wearing-of-face-masks-mandatory-nationwide/bl0yzzz,2020-04-28,2020-04-28T14:06:18Z
