record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2CpPcDz0cH9QFdfDi,6929310,update,original,,,"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,Greece,GRC,GR,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,52.2937308210763,51.2754468741284,49.9837622760989,38,https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says,2020-04-15,2020-04-15T12:27:11Z
R_2CpPcDz0cH9QFdfDk,6929310,update,original,,,"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,Greece,GRC,GR,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,52.2937308210763,51.2754468741284,49.9837622760989,38,https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says,2020-04-15,2020-04-15T12:27:11Z
R_2CpPcDz0cH9QFdfEj,6929310,update,original,,,"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,Greece,GRC,GR,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,52.2937308210763,51.2754468741284,49.9837622760989,38,https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says,2020-04-15,2020-04-15T12:27:11Z
R_2CpPcDz0cH9QFdfBr,6929310,update,original,,,"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",2020-04-10,2020-04-10,2020-05-10,Greece,GRC,GR,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,52.2937308210763,51.2754468741284,49.9837622760989,38,https://www.ekathimerini.com/251581/article/ekathimerini/news/schools-to-remain-closed-until-may-10-ministry-says,2020-04-15,2020-04-15T12:27:11Z
R_2bIBazy8DwV4tn1Di,6929310,new_entry,original,,,"Greece ""Schools closure""",2020-03-10,2020-04-27,2020-05-10,Greece,GRC,GR,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,58.0821549426134,51.3499862231745,44.6910453119108,35,https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6820-dhlwsh-toy-ypoyrgoy-ygeias-basilh-kikilia-gia-thn-anastolh-leitoyrgias-olwn-twn-ekpaideytikwn-idrymatwn-meta-apo-eishghsh-ths-eidikhs-epitrophs-loimwksiologwn-10-3-2020 ; https://gr.usembassy.gov/covid-19-information/,2020-04-01,2020-04-01T19:46:36Z
R_2bIBazy8DwV4tn1Dk,6929310,new_entry,original,,,"Greece ""Schools closure""",2020-03-10,2020-04-27,2020-05-10,Greece,GRC,GR,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,58.0821549426134,51.3499862231745,44.6910453119108,35,https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6820-dhlwsh-toy-ypoyrgoy-ygeias-basilh-kikilia-gia-thn-anastolh-leitoyrgias-olwn-twn-ekpaideytikwn-idrymatwn-meta-apo-eishghsh-ths-eidikhs-epitrophs-loimwksiologwn-10-3-2020 ; https://gr.usembassy.gov/covid-19-information/,2020-04-01,2020-04-01T19:46:36Z
R_2bIBazy8DwV4tn1Ej,6929310,new_entry,original,,,"Greece ""Schools closure""",2020-03-10,2020-04-27,2020-05-10,Greece,GRC,GR,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,58.0821549426134,51.3499862231745,44.6910453119108,35,https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6820-dhlwsh-toy-ypoyrgoy-ygeias-basilh-kikilia-gia-thn-anastolh-leitoyrgias-olwn-twn-ekpaideytikwn-idrymatwn-meta-apo-eishghsh-ths-eidikhs-epitrophs-loimwksiologwn-10-3-2020 ; https://gr.usembassy.gov/covid-19-information/,2020-04-01,2020-04-01T19:46:36Z
R_2bIBazy8DwV4tn1Br,6929310,new_entry,original,,,"Greece ""Schools closure""",2020-03-10,2020-04-27,2020-05-10,Greece,GRC,GR,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,58.0821549426134,51.3499862231745,44.6910453119108,35,https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6820-dhlwsh-toy-ypoyrgoy-ygeias-basilh-kikilia-gia-thn-anastolh-leitoyrgias-olwn-twn-ekpaideytikwn-idrymatwn-meta-apo-eishghsh-ths-eidikhs-epitrophs-loimwksiologwn-10-3-2020 ; https://gr.usembassy.gov/covid-19-information/,2020-04-01,2020-04-01T19:46:36Z
R_pslSy3uPl9Yj3DHNA,3709693,new_entry,original,,,"Greece Greece curbs refugee movement in camps over coronavirus fears
Over the next month, people in camps will only be allowed to exit at certain hours and in small groups to get food.",2020-03-18,2020-03-18,,Greece,GRC,GR,Provincial,1,,,Curfew,,,"",Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,54.8217277986363,49.4179874368643,43.9599939951957,34,https://www.aljazeera.com/news/2020/03/greece-curbs-refugee-movement-camps-coronavirus-fears-200318162208279.html,2020-04-02,2020-04-02T18:59:11Z
R_1l3vM2frHPxjEoRNA,7076136,new_entry,original,,,"Greece ""A curfew is in effect March 23 – April """,2020-03-23,2020-03-23,2020-06-15,Greece,GRC,GR,Provincial,1,,,Curfew,,,"",Greece,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,Provincial/State Government,54.9641281283495,49.6240161325759,44.708722413783,26,https://gr.usembassy.gov/covid-19-information/,2020-04-02,2020-04-02T11:14:16Z
R_9pm24G6AzmnsdfbNA,7076136,update,original,Change of Policy,Relaxing,"Greece ""A curfew is in effect March 23 – April """,2020-03-23,2020-03-23,2020-06-15,Greece,GRC,GR,Provincial,0,,,Curfew,,,"",Greece,,,,,,All (Travelers + Residents),Inbound/Outbound,,Mandatory with Fines,Provincial/State Government,54.9641281283495,49.6240161325759,44.708722413783,26,NA,2020-05-09,2020-05-09T10:23:28Z
R_1gMYy4QVH8o7Ym8NA,7076136,update,original,Change of Policy,Relaxing,"Greece ""A curfew is in effect March 23 – April """,2020-03-23,2020-03-23,2020-06-15,Greece,GRC,GR,Provincial,0,,,Curfew,,,"",Greece,,,,,,All (Travelers + Residents),Inbound/Outbound,,Mandatory with Fines,Provincial/State Government,54.9641281283495,49.6240161325759,44.708722413783,26,NA,2020-05-09,2020-05-09T10:09:43Z
