"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1S8hqBEmtt3BAhrCv","9697451","new_entry","original",NA,NA,"The government of Guinea-Bissau announced the closure of schools on March 17th until March 31st.",2020-03-17,2020-03-17,2020-03-31,"Guinea-Bissau","GNB","GW","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Guinea-Bissau",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.8791341152955,51.8150007838598,50.7789166170278,115,"https://gw.usmission.gov/covid-19-information/",2020-04-18,2020-04-18 21:05:22
"2","R_1S8hqBEmtt3BAhrCw","9697451","new_entry","original",NA,NA,"The government of Guinea-Bissau announced the closure of schools on March 17th until March 31st.",2020-03-17,2020-03-17,2020-03-31,"Guinea-Bissau","GNB","GW","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Guinea-Bissau",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.8791341152955,51.8150007838598,50.7789166170278,115,"https://gw.usmission.gov/covid-19-information/",2020-04-18,2020-04-18 21:05:22
"3","R_1S8hqBEmtt3BAhrDr","9697451","new_entry","original",NA,NA,"The government of Guinea-Bissau announced the closure of schools on March 17th until March 31st.",2020-03-17,2020-03-17,2020-03-31,"Guinea-Bissau","GNB","GW","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Guinea-Bissau",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.8791341152955,51.8150007838598,50.7789166170278,115,"https://gw.usmission.gov/covid-19-information/",2020-04-18,2020-04-18 21:05:22
"4","R_1S8hqBEmtt3BAhrBg","9697451","new_entry","original",NA,NA,"The government of Guinea-Bissau announced the closure of schools on March 17th until March 31st.",2020-03-17,2020-03-17,2020-03-31,"Guinea-Bissau","GNB","GW","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Guinea-Bissau",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.8791341152955,51.8150007838598,50.7789166170278,115,"https://gw.usmission.gov/covid-19-information/",2020-04-18,2020-04-18 21:05:22
"5","R_1NEdtv3dWW94OHzCv","9697451","update","original","Change of Policy","Strengthening","Schools remain closed until further notice",2020-04-01,2020-04-01,2020-03-31,"Guinea-Bissau","GNB","GW","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Guinea-Bissau",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.1166918366239,52.1601888999668,50.6155266906181,66,"NA",2020-06-05,2020-06-05 09:44:31
"6","R_1NEdtv3dWW94OHzCw","9697451","update","original","Change of Policy","Strengthening","Schools remain closed until further notice",2020-04-01,2020-04-01,2020-03-31,"Guinea-Bissau","GNB","GW","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Guinea-Bissau",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.1166918366239,52.1601888999668,50.6155266906181,66,"NA",2020-06-05,2020-06-05 09:44:31
"7","R_1NEdtv3dWW94OHzDr","9697451","update","original","Change of Policy","Strengthening","Schools remain closed until further notice",2020-04-01,2020-04-01,2020-03-31,"Guinea-Bissau","GNB","GW","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Guinea-Bissau",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.1166918366239,52.1601888999668,50.6155266906181,66,"NA",2020-06-05,2020-06-05 09:44:31
"8","R_1NEdtv3dWW94OHzBg","9697451","update","original","Change of Policy","Strengthening","Schools remain closed until further notice",2020-04-01,2020-04-01,2020-03-31,"Guinea-Bissau","GNB","GW","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Guinea-Bissau",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.1166918366239,52.1601888999668,50.6155266906181,66,"NA",2020-06-05,2020-06-05 09:44:31
"9","R_1FnV56mbk4OOEsTCv","1997311","new_entry","original",NA,NA,"The Global Partnership for Education COVID_19 Accelerated Funding has approved a grant of 3.5 million USD for the reopening of the education sector inn Guinea-Bissau.",2020-07-07,2020-07-08,NA,"Guinea-Bissau","GNB","GW","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities allowed to open with conditions","Guinea-Bissau",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",NA,NA,NA,NA,"https://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF%20Guinea-Bissau%20COVID-19%20Situation%20Report%20No.%2013%20-%2027%20June-3%20July%202020.pdf",2020-07-08,2020-07-08 22:54:19
"10","R_1FnV56mbk4OOEsTCw","1997311","new_entry","original",NA,NA,"The Global Partnership for Education COVID_19 Accelerated Funding has approved a grant of 3.5 million USD for the reopening of the education sector inn Guinea-Bissau.",2020-07-07,2020-07-08,NA,"Guinea-Bissau","GNB","GW","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with conditions","Guinea-Bissau",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",NA,NA,NA,NA,"https://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF%20Guinea-Bissau%20COVID-19%20Situation%20Report%20No.%2013%20-%2027%20June-3%20July%202020.pdf",2020-07-08,2020-07-08 22:54:19
