"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3DtnzMeX3LSVdA0Df","9678876","new_entry","original",NA,NA,"With regard to public places, all preschool, elementary, secondary, vocational and university educational establishments will be closed for a period of fourteen (14) days, renewable if necessary.",2020-03-26,2020-03-26,NA,"Guinea","GIN","GN","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4533837442981,51.2900788774856,50.1026296358743,48,"http://gouvernement.gov.gn/index.php/communique/5048-covid-19-adresse-du-chef-de-l-etat-guineen-a-la-nation",2020-04-03,2020-04-03 07:43:04
"2","R_3DtnzMeX3LSVdA0Dh","9678876","new_entry","original",NA,NA,"With regard to public places, all preschool, elementary, secondary, vocational and university educational establishments will be closed for a period of fourteen (14) days, renewable if necessary.",2020-03-26,2020-03-26,NA,"Guinea","GIN","GN","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4533837442981,51.2900788774856,50.1026296358743,48,"http://gouvernement.gov.gn/index.php/communique/5048-covid-19-adresse-du-chef-de-l-etat-guineen-a-la-nation",2020-04-03,2020-04-03 07:43:04
"3","R_3DtnzMeX3LSVdA0Ed","9678876","new_entry","original",NA,NA,"With regard to public places, all preschool, elementary, secondary, vocational and university educational establishments will be closed for a period of fourteen (14) days, renewable if necessary.",2020-03-26,2020-03-26,NA,"Guinea","GIN","GN","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4533837442981,51.2900788774856,50.1026296358743,48,"http://gouvernement.gov.gn/index.php/communique/5048-covid-19-adresse-du-chef-de-l-etat-guineen-a-la-nation",2020-04-03,2020-04-03 07:43:04
"4","R_3DtnzMeX3LSVdA0Bo","9678876","new_entry","original",NA,NA,"With regard to public places, all preschool, elementary, secondary, vocational and university educational establishments will be closed for a period of fourteen (14) days, renewable if necessary.",2020-03-26,2020-03-26,NA,"Guinea","GIN","GN","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4533837442981,51.2900788774856,50.1026296358743,48,"http://gouvernement.gov.gn/index.php/communique/5048-covid-19-adresse-du-chef-de-l-etat-guineen-a-la-nation",2020-04-03,2020-04-03 07:43:04
"5","R_3iKisMNZ9wsQAadNA","8950677","new_entry","original",NA,NA,"A curfew has been imposed between 10 p.m. and 5 a.m. by the Guinean government, effective as of 30. March 2020",2020-03-30,2020-03-30,2020-06-15,"Guinea","GIN","GN","National",1,NA,NA,"Curfew",NA,NA,"","Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.4516974316278,51.3728900173036,46.688046676998,45,"https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/guinee/ ; https://gn.usembassy.gov/u-s-citizen-services/covid-19-information/",2020-05-30,2020-05-30 13:06:50
"6","R_2cthP1lIFb60wWxNA","4985683","new_entry","original",NA,NA,"Guinea government officially declares state of emergency effective 26th March , 2020 and bans all religious ceremonies and sporting events.",2020-03-26,2020-03-26,2020-06-15,"Guinea","GIN","GN","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4533837442981,51.2900788774856,50.1026296358743,48,"http://gouvernement.gov.gn/index.php/communique/5048-covid-19-adresse-du-chef-de-l-etat-guineen-a-la-nation",2020-04-03,2020-04-03 07:17:13
"7","R_3nITrB2NVVXSqxcNA","4985683","update","original","Change of Policy","Strengthening","Guinea government officially declares state of emergency effective 26th March , 2020 and bans all religious ceremonies and sporting events.",2020-03-26,2020-03-26,2020-06-15,"Guinea","GIN","GN","National",0,NA,NA,"Declaration of Emergency",NA,NA,"","Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4533837442981,51.2900788774856,50.1026296358743,48,"NA",2020-05-21,2020-05-21 11:29:48
"8","R_1mI9S75TKxGwNg2NA","8790397","new_entry","original",NA,NA,"Guinea government has suspended air travel from or to Guinea effective 11:59pm on Saturday, March 21, 2020",2020-03-21,2020-03-21,NA,"Guinea","GIN","GN","National",0,NA,NA,"External Border Restrictions",NA,NA,"","Guinea","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound","Flights","Mandatory (Unspecified/Implied)","National Government",50.3852788561157,48.6448992526486,45.187191751746,16,"https://gn.usembassy.gov/u-s-citizen-services/covid-19-information/",2020-04-03,2020-04-03 06:46:39
"9","R_2U3JIjD7ePWnEPwBl","3419232","new_entry","original",NA,NA,"Land borders are closed for a period of 30 days. Cross border trade however, is permitted but will be under close supervision",2020-03-26,2020-03-26,NA,"Guinea","GIN","GN","National",0,NA,NA,"External Border Restrictions","Health Screenings (e.g. temperature checks)",NA,"","Guinea","One or more countries, but not all countries",NA,NA,NA,NA,"All Citizens (Citizen Residents + Citizen Travelers)","Inbound/Outbound","Land Border","Mandatory (Unspecified/Implied)","National Government",52.4533837442981,51.2900788774856,50.1026296358743,48,"http://gouvernement.gov.gn/index.php/communique/5048-covid-19-adresse-du-chef-de-l-etat-guineen-a-la-nation",2020-04-03,2020-04-03 07:35:09
"10","R_2CqwpgTyfbq3iwyNA","1064661","new_entry","original",NA,NA,"Public transport in Conakry, Guinea have a limit of 3 people per car, 1 per motorbike and 7 to 10 per minibus.",2020-03-26,2020-06-26,NA,"Guinea","GIN","GN","National",1,NA,NA,"Internal Border Restrictions",NA,NA,"","Guinea","One or more geographical or administrative units within one or more countries",NA,NA,"Conakry",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"http://gouvernement.gov.gn/index.php/communique/5048-covid-19-adresse-du-chef-de-l-etat-guineen-a-la-nation",2020-06-02,2020-06-02 19:19:06
"11","R_OewVYl8y2896ilPBf","9717527","new_entry","original",NA,NA,"The Guinean Ministry of Health has activated a COVID-19 hotline-just dial 115 from any phone in Guinea",2020-05-20,2020-05-20,NA,"Guinea","GIN","GN","National",0,NA,NA,"Public Awareness Measures","Gathering information related to COVID-19 from the public",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://gn.usembassy.gov/u-s-citizen-services/covid-19-information/",2020-05-21,2020-05-21 13:15:41
"12","R_2BaE7Fn8PYNuJpGNA","6140972","new_entry","original",NA,NA,"The Guinean government declares that as of 26th March 2020, any assembly is limited to 20 persons.",2020-03-26,2020-03-26,NA,"Guinea","GIN","GN","National",1,NA,NA,"Restrictions of Mass Gatherings",NA,NA,"","Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4533837442981,51.2900788774856,50.1026296358743,48,"http://gouvernement.gov.gn/index.php/communique/5048-covid-19-adresse-du-chef-de-l-etat-guineen-a-la-nation",2020-06-10,2020-06-10 14:55:11
"13","R_NVnQQAdfdO7oPqFNA","4916942","new_entry","original",NA,NA,"On October 30 the government of Gabon announced that Gatherings of more than 30 people are banned, however, parliament and educational institutions are exempt from this limit.
",2020-10-30,2020-10-30,NA,"Guinea","GIN","GN","National",1,NA,NA,"Restrictions of Mass Gatherings",NA,NA,"","Guinea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.gov.uk/foreign-travel-advice/gabon/coronavirus",2020-12-01,2020-12-01 10:12:59
