"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_115cmzSGA29orjFNA","8219416","new_entry","original",NA,NA,"As part of their February, 2020 plan to contain and respond to the coronavirus, Honduras announced that only official data from the health secretary can be used to prevent false information.",2020-02-27,2020-02-27,NA,"Honduras","HND","HN","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Honduras",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.5943323883426,51.1330224676964,48.3316483699352,178,"https://covid19honduras.org/sites/default/files/Honduras_Plan_Coronavirus.pdf",2020-09-16,2020-09-16 04:16:13
"2","R_1OT8R6Wo3KayuPnNA","4214301","new_entry","original",NA,NA,"On April 9, Honduras prohibited any natural or lawful person from interfering with any public communication means that could impede the work of agroindustrial workers or the food supply chain, or that which could otherwise put in danger food security of Honduran villages.",2020-04-09,2020-04-09,NA,"Honduras","HND","HN","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Honduras",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Military,Police",54.0594425650564,52.9815217592741,51.8172289658564,102,"http://www.consejosecretariosdeestado.gob.hn/content/medidas-para-asegurar-la-soberan%C3%ADa-y-seguridad-alimentaria",2020-08-05,2020-08-05 22:24:45
"3","R_3dXR6MCxQhJLq6eDf","7167599","new_entry","original",NA,NA,"Effective March 13, Honduras's Secretary of State of the Office of Education was instructed to suspend classes across the whole country for 14 days. This applies to both non-governmental and governmental education at all levels.",2020-03-13,2020-03-13,2020-03-27,"Honduras","HND","HN","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Honduras",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Military,Other (Please specify in the text box)",52.915660732656,52.1335961199127,51.2362264859764,159,"http://www.consejosecretariosdeestado.gob.hn/content/suspensi%C3%B3n-de-clases-en-todo-el-pa%C3%ADs-por-14-d%C3%ADas",2020-07-26,2020-07-26 05:51:35
"4","R_3dXR6MCxQhJLq6eDh","7167599","new_entry","original",NA,NA,"Effective March 13, Honduras's Secretary of State of the Office of Education was instructed to suspend classes across the whole country for 14 days. This applies to both non-governmental and governmental education at all levels.",2020-03-13,2020-03-13,2020-03-27,"Honduras","HND","HN","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Honduras",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Military,Other (Please specify in the text box)",52.915660732656,52.1335961199127,51.2362264859764,159,"http://www.consejosecretariosdeestado.gob.hn/content/suspensi%C3%B3n-de-clases-en-todo-el-pa%C3%ADs-por-14-d%C3%ADas",2020-07-26,2020-07-26 05:51:35
"5","R_3dXR6MCxQhJLq6eEd","7167599","new_entry","original",NA,NA,"Effective March 13, Honduras's Secretary of State of the Office of Education was instructed to suspend classes across the whole country for 14 days. This applies to both non-governmental and governmental education at all levels.",2020-03-13,2020-03-13,2020-03-27,"Honduras","HND","HN","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Honduras",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Military,Other (Please specify in the text box)",52.915660732656,52.1335961199127,51.2362264859764,159,"http://www.consejosecretariosdeestado.gob.hn/content/suspensi%C3%B3n-de-clases-en-todo-el-pa%C3%ADs-por-14-d%C3%ADas",2020-07-26,2020-07-26 05:51:35
"6","R_AtlK80LYvkYdNkZBo","7675476","new_entry","correction",NA,NA,"The National Autonomous University of Honduras in accordance with the Superior Education Council recommended all classes be suspended from March 16 to April 6. This would include the cancellation of all events for the related time period.",2020-03-13,2020-03-16,2020-04-06,"Honduras","HND","HN","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Honduras",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",53.3258416075435,52.3844472072961,51.5899575826076,143,"https://tiempo.hn/covid-19-suspenden-clases-en-todas-las-universidades-de-honduras/",2020-11-15,2020-11-15 03:01:52
"7","R_1P7NhQU0Ql3NV05Ed","9794568","new_entry","original",NA,NA,"On August 31, 2020, a Honduran Secretary of Education Arnaldo Bueso informed that the practices of the Trabajo Educativo Social program would be conducted virtually.",2020-09-01,2020-08-31,NA,"Honduras","HND","HN","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Honduras",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.se.gob.hn/detalle-articulo/1467/",2020-09-13,2020-09-13 04:15:38
"8","R_2AXzq4yXZna2DJENA","1576615","new_entry","original",NA,NA,"The Honduran Government permitted the populations of the Central District, La Ceiba, and Choluteca to supply themselves in (super)markets, pharmacies, convenience stores, juiceries, Banasupro (state run markets), and bread stores on March 19 from 7 am to 4 pm.",2020-03-19,2020-03-19,2020-03-19,"Honduras","HND","HN","National",1,NA,NA,"Curfew",NA,NA,"","Honduras","One or more geographical or administrative units within one or more countries",NA,NA,"La Ceiba (Atlántida); Choluteca (Choluteca); Distrito Central (Francisco Morazan)",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",53.7422253847064,52.5109558371226,51.5011565015439,133,"https://docs.google.com/viewerng/viewer?url=https://covid19honduras.org/sites/default/files/CONGELAMIENTO%2520PRECIOS_0.pdf",2020-11-26,2020-11-26 00:24:08
"9","R_2Cx17AnvNzKt5HvNA","7591633","new_entry","original",NA,NA,"Honduras implemented a national curfew of 9:00am-6:00pm from March 20-March 29. People can only leave their homes to go to the supermarket, hospital, pharmacy, and essential workplace.",2020-03-21,2020-03-21,2020-07-12,"Honduras","HND","HN","National",1,NA,NA,"Curfew",NA,NA,"","Honduras",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Police",53.7526271043052,52.5739995552012,51.6428099058865,132,"https://www.elheraldo.hn/pais/1365840-466/toque-de-queda-honduras-coronavirus- ; https://www.europapress.es/internacional/noticia-honduras-amplia-toque-queda-absoluto-todo-pais-coronavirus-20200321025641.html",2020-04-03,2020-04-03 01:48:17
"10","R_2374xsDQe2xvwrUNA","7591633","update","original","Change of Policy","Strengthening","The curfew was prolonged once again. Now it lasts until July 12, 11 PM. However, a renewed prolongation was envisaged, probably until August. As before, citizens are only allowed to leave their house once in two weeks according to the last digit of their ID, from 7AM to 5PM. On weekends no one is allowed to leave. The plan of ""intelligent reopening"" of the economy is continued everywhere, but not in Tegucipalpa (Central District) and San Pedro Sula. As before, the degree of reopening depends along three regions with region 3 being the strictest. A new regulation is that in region 3, only cars with a pair / impair licence plate are allowed alternately. It is unclear whether someone would be allowed to leave if his ID would allow him/her to, but his licence plate doesn't. Region 3 consists of: El Progreso, Tegucigalpa, La Lima, Villanueva, San Manuel, Puerto Cortés, Potrerillos, Pimienta, Choloma, San Pedro Sula, Nueva Arcadia, Siguatepeque, La Ceiba, El Triunfo, Goascorán, Juticalpa, Nacaome, Namasigüe, Omoa, Pespire, Quimistán, Sabanagrande, San Francisco de Yojoa, San Lorenzo, Choluteca, Santa Lucía, Valle de Ángeles, Santa Rosa de Copán, Tocoa, and Trujillo.",2020-03-21,2020-03-21,2020-07-12,"Honduras","HND","HN","National",0,NA,NA,"Curfew",NA,NA,"","Honduras",NA,NA,NA,NA,NA,"All (Travelers + Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Police",53.7526271043052,52.5739995552012,51.6428099058865,132,"NA ; https://twitter.com/PoliciaHonduras/status/1277434398300921857/photo/1 ; Twitter account of the National Police ; Calendario de Circulación Nacional",2020-06-30,2020-06-30 18:35:50
