record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3JqKZlI8bjqwtxEEj,514200,new_entry,original,,,Iceland announced the closing of upper secondary schools and universities starting March 16th. Preschools and elementary schools will be place under special conditions.,2020-03-13,2020-03-16,2020-04-13,Iceland,ISL,IS,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Iceland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.0125036912856,50.7534863758262,49.4734768844879,76,https://www.government.is/diplomatic-missions/embassy-article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/,2020-04-02,2020-04-02T17:01:19Z
R_3JqKZlI8bjqwtxEBr,514200,new_entry,original,,,Iceland announced the closing of upper secondary schools and universities starting March 16th. Preschools and elementary schools will be place under special conditions.,2020-03-13,2020-03-16,2020-04-13,Iceland,ISL,IS,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Iceland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.0125036912856,50.7534863758262,49.4734768844879,76,https://www.government.is/diplomatic-missions/embassy-article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/,2020-04-02,2020-04-02T17:01:19Z
R_bIzZet9xGLvbfqNDi,514200,update,original,,Strengthening,"On May 4, the gathering ban will be raised to 50 individuals. Preschools and elementary schools, which have operated at a limited capacity, will resume regular operation, and junior colleges and universities will reopen. All schools must limit student groups according to the 50-person limit.",2020-04-14,2020-05-04,2020-04-13,Iceland,ISL,IS,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Iceland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.icelandreview.com/society/iceland-to-loosen-covid-19-restrictions-starting-may-4/,2020-04-14,2020-04-14T13:57:39Z
R_bIzZet9xGLvbfqNDk,514200,update,original,,Strengthening,"On May 4, the gathering ban will be raised to 50 individuals. Preschools and elementary schools, which have operated at a limited capacity, will resume regular operation, and junior colleges and universities will reopen. All schools must limit student groups according to the 50-person limit.",2020-04-14,2020-05-04,2020-04-13,Iceland,ISL,IS,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Iceland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.icelandreview.com/society/iceland-to-loosen-covid-19-restrictions-starting-may-4/,2020-04-14,2020-04-14T13:57:39Z
R_bIzZet9xGLvbfqNEj,514200,update,original,,Strengthening,"On May 4, the gathering ban will be raised to 50 individuals. Preschools and elementary schools, which have operated at a limited capacity, will resume regular operation, and junior colleges and universities will reopen. All schools must limit student groups according to the 50-person limit.",2020-04-14,2020-05-04,2020-04-13,Iceland,ISL,IS,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Iceland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.icelandreview.com/society/iceland-to-loosen-covid-19-restrictions-starting-may-4/,2020-04-14,2020-04-14T13:57:39Z
R_bIzZet9xGLvbfqNBr,514200,update,original,,Strengthening,"On May 4, the gathering ban will be raised to 50 individuals. Preschools and elementary schools, which have operated at a limited capacity, will resume regular operation, and junior colleges and universities will reopen. All schools must limit student groups according to the 50-person limit.",2020-04-14,2020-05-04,2020-04-13,Iceland,ISL,IS,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Iceland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.icelandreview.com/society/iceland-to-loosen-covid-19-restrictions-starting-may-4/,2020-04-14,2020-04-14T13:57:39Z
R_2VIvRwzamHWwbqZDi,514200,update,original,End of Policy,Strengthening,"Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal.",2020-04-14,2020-05-04,2020-04-13,Iceland,ISL,IS,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",Iceland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-09-21,2020-09-21T16:22:50Z
R_2VIvRwzamHWwbqZDk,514200,update,original,End of Policy,Strengthening,"Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal.",2020-04-14,2020-05-04,2020-04-13,Iceland,ISL,IS,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Iceland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-09-21,2020-09-21T16:22:50Z
R_2VIvRwzamHWwbqZEj,514200,update,original,End of Policy,Strengthening,"Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal.",2020-04-14,2020-05-04,2020-04-13,Iceland,ISL,IS,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Iceland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-09-21,2020-09-21T16:22:50Z
R_2VIvRwzamHWwbqZBr,514200,update,original,End of Policy,Strengthening,"Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal.",2020-04-14,2020-05-04,2020-04-13,Iceland,ISL,IS,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",Iceland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-09-21,2020-09-21T16:22:50Z
