record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3ipZFjnXYtIieSFNA,3025347,new_entry,original,,,"On February 1, 2020, the government of Kerala, India issued guidelines to the general public in Malayalam, warning against false news being spread about the coronavirus - such as drinking hot water or salt water as a treatment. The public was instructed not to forward such messages, and instead follow and spread only the advisories issued by the Department of Health.",2020-02-01,2020-02-01,,India,IND,IN,Provincial,1,Kerala,,,Anti-Disinformation Measures,,,,India,One or more provinces within a country,,Kerala,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Provincial/State Government,50.5840751672078,48.8764126349831,46.5323464717597,172,https://dhs.kerala.gov.in/wp-content/uploads/2020/03/corp_02022020.pdf,2020-08-28,2020-08-28T07:11:10Z
R_2cw7a6fNETdUtlLNA,9993701,new_entry,correction,,,A wave of misinformation and rumour on Covid-19 making rounds among the public in India on 10th March which had forced the Indian Government to issue an advisory.,2020-03-10,2020-03-10,2020-03-11,India,IND,IN,National,1,,,,Anti-Disinformation Measures,,,,India,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",52.4684575722065,51.4215307655207,50.5048550981828,155,https://www.aljazeera.com/news/2020/03/misinformation-fake-news-spark-india-coronavirus-fears-200309051731540.html,2021-01-24,2021-01-24T14:12:50Z
R_cHqiw3lI5977C6dNA,295934,new_entry,original,,,"India, 11 March 2020, In exercise of powers conferred under 'The Haryana Epidemic Disease Act 1897, The Governor of Haryana is pleased to issue following regulations regarding COVID-19 (Corona Virus Disease 2019):
No person/Institution/Organization will use any print or electronic media for information regarding COVID-19 without prior permission of Health Department, Haryana. This is to avoid spread of any rumour or unauthenticated information regarding COVID-19. In case, any person/Institution/Organization is found indulging such activity, it will be treated as a punishable offence under these regulations.",2020-03-11,2020-03-11,2021-03-11,India,IND,IN,Provincial,1,Haryana,,,Anti-Disinformation Measures,,,,India,One or more provinces within a country,,Haryana,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government,Other (Please specify in the text box)",52.5134661582189,51.3629307647891,50.485744437089,148,http://nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/notification%20COVID-19.pdf,2021-01-08,2021-01-08T11:08:20Z
R_1OBmjhCyZ6dUwPYNA,2708838,new_entry,original,,,"India, 11 March 2020, In exercise of powers conferred under 'The Haryana Epidemic Disease Act 1897, The Governor of Haryana is pleased to issue following regulations regarding COVID-19 (Corona Virus Disease 2019):
No private Laboratories have been authorized to take or test samples for COVID-19 in the state of Haryana. All such samples will be collected as per Guidelines of Govt. of India and these will be sent to designated labs by the District Nodal Officer appointed by Health Department, Haryana.",2020-03-11,2020-03-11,2021-03-11,India,IND,IN,Provincial,1,Haryana,,,Anti-Disinformation Measures,,,,India,One or more provinces within a country,,Haryana,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government,Other (Please specify in the text box)",52.5134661582189,51.3629307647891,50.485744437089,148,http://nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/notification%20COVID-19.pdf,2021-01-09,2021-01-09T09:28:03Z
R_29if0XY1d5iQAByNA,2450085,new_entry,correction,,,"India, 13 March 2020, In exercise of powers conferred under section 2,3 & 4 of The Epidemic Disease Act,1897, the Administrator, Union Territory of Chandigarh  is pleased to issue following regulations regarding COVID-19 (Corona Virus Disease 2019):No person/Institution/Organization will use any print or electronic media for information regarding COVID-19 without prior permission of Health Department, Haryana. This is to avoid spread of any rumour or unauthenticated information regarding COVID-19. In case, any person/Institution/Organization is found indulging such activity, it will be treated as a punishable offence under these regulations.",2020-03-13,2020-03-13,2021-03-12,India,IND,IN,Provincial,1,Chandigarh,,,Anti-Disinformation Measures,,,,India,One or more provinces within a country,,Chandigarh,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government,Other (Please specify in the text box)",52.5767366609761,51.5323879252223,50.6161107803708,137,http://chandigarh.gov.in/pdf/health20-01.pdf,2021-01-15,2021-01-15T15:15:23Z
R_3m8qfnI6SNrzNcMNA,8590328,new_entry,correction,,,"India, 13 March 2020, In exercise of powers conferred under section 2,3 & 4 of The Epidemic Disease Act,1897, the Administrator, Union Territory of Chandigarh  is pleased to issue following regulations regarding COVID-19 (Corona Virus Disease 2019):No private Laboratories have been authorized to take or test samples for COVID-19 in the state of Haryana. All such samples will be collected as per Guidelines of Govt. of India and these will be sent to designated labs by the Nodal Officer of designated hospital of Department of Health and Family Welfare, Chandigarh Administration.",2020-03-13,2020-03-13,2021-03-12,India,IND,IN,Provincial,1,Chandigarh,,,Anti-Disinformation Measures,,,,India,One or more provinces within a country,,Chandigarh,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government,Other (Please specify in the text box)",52.5767366609761,51.5323879252223,50.6161107803708,137,http://chandigarh.gov.in/pdf/health20-01.pdf,2021-01-15,2021-01-15T15:18:01Z
R_xyYB2dVjmLlCXpTNA,1187302,new_entry,original,,,"Goa government released a memorandum detailing the correctness of mask usage and other recommended hygiene measures, and to give the public correct information pertaining to mask usage, the memorandum dated March 17, 2020. The memo originated from the National Government and was copied for circulation by Goan Government.",2020-03-17,2020-03-17,,India,IND,IN,National,1,,,,Anti-Disinformation Measures,,,,India,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",52.9722096810734,51.6284094953559,50.1446405713131,103,https://www.goa.gov.in/wp-content/uploads/2020/03/Office_Memorandum_-_1-.pdf,2021-01-31,2021-01-31T01:02:30Z
R_3nwQRqgm0JH5qADNA,7349052,new_entry,original,,,"In India, West Bengal Police warned rumour-mongers of strict action against spreading fake news on social media over novel coronavirus. March 19.",2020-03-19,2020-03-19,,India,IND,IN,Provincial,1,West Bengal,,,Anti-Disinformation Measures,,,,India,One or more provinces within a country,,West Bengal,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Provincial/State Government,Police",52.8255740836747,51.6281598510844,50.3538010610341,89,https://www.telegraphindia.com/west-bengal/coronavirus-in-west-bengal-kolkata-police-warns-rumour-mongers-of-stern-action/cid/1755432,2020-07-09,2020-07-09T17:19:11Z
R_31nm2lPStOir0fjNA,7338856,new_entry,original,,,"The government of Mizoram (a state in India) issued advisories against publishing false news and disinformation related to the public movement of citizens outside the state and state closure, dated 19 March 2020.",2020-03-19,2020-03-19,2021-02-11,India,IND,IN,Provincial,1,Mizoram,,,Anti-Disinformation Measures,,,,India,One or more provinces within a country,,Mizoram,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",52.8255740836747,51.6281598510844,50.3538010610341,89,https://dipr.mizoram.gov.in/post/mizoram-police-to-take-action-against-originators-of-fake-whatsapp-messages,2021-01-30,2021-01-30T07:08:17Z
R_3nUjs7LECClE97dNA,5952886,new_entry,original,,,"On 20th March 2020, the Government of India issued an advisory, urging all social media platforms to initiate awareness campaigns, remove misinformation, and promote authentic information related to the virus. The government wrote to top social media companies including Facebook,
Google-owned YouTube, Twitter, TikTok and ShareChat to sanitise their
platforms. The government asked social media platforms to make users aware not to upload or circulate false news concerning coronavirus.",2020-03-20,2020-03-20,2020-03-21,India,IND,IN,National,1,,,,Anti-Disinformation Measures,,,,India,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.8958272327268,51.5808947293293,50.6016955976596,84,https://tech.hindustantimes.com/tech/news/covid-19-indian-govt-tells-all-social-media-firms-clear-out-misinformation-story-0F1SdVNBi8MHB24qXrqbcI.html ; https://www.news18.com/news/tech/stayhome-indian-government-asks-social-media-platforms-to-remove-coronavirus-misinformation-2545829.html,2021-01-24,2021-01-24T13:38:04Z
