"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2xXi4x35zZzMwI9Do",9137081,"new_entry","original","NA",NA,"In Iraq, as of Feb. 25, all schools and universities in Najaf province have been shut """"for at least 10 days"""".","2020-02-25","2020-02-25","2020-03-05","Iraq","IRQ","IQ","Provincial",1,"An Najaf",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Iraq",NA,NA,"An Najaf",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Provincial/State Government",50.9165690369979,49.6349908578542,48.233193027117,135,"https://www.thejakartapost.com/news/2020/02/25/schools-shrines-shut-in-iraqs-najaf-over-coronavirus-.html","2020-03-31","2020-03-31 14:38:48"
"2","R_2xXi4x35zZzMwI9Em",9137081,"new_entry","original","NA",NA,"In Iraq, as of Feb. 25, all schools and universities in Najaf province have been shut """"for at least 10 days"""".","2020-02-25","2020-02-25","2020-03-05","Iraq","IRQ","IQ","Provincial",1,"An Najaf",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Iraq",NA,NA,"An Najaf",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Provincial/State Government",50.9165690369979,49.6349908578542,48.233193027117,135,"https://www.thejakartapost.com/news/2020/02/25/schools-shrines-shut-in-iraqs-najaf-over-coronavirus-.html","2020-03-31","2020-03-31 14:38:48"
"3","R_2XigX9BivmC6C0cDo",8463849,"new_entry","original","NA",NA,"On Feb. 25, the Kirkuk Governate in Iraq indefinitely closed schools and universities.","2020-02-25","2020-02-25",NA,"Iraq","IRQ","IQ","Provincial",1,"Kirkuk",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Iraq",NA,NA,"Kirkuk",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",50.9165690369979,49.6349908578542,48.233193027117,135,"https://www.reuters.com/article/us-china-health-iraq/first-iraqis-catch-coronavirus-amid-fear-of-iran-epidemic-spillover-idUSKCN20J0ZI","2020-04-01","2020-04-01 10:01:57"
"4","R_2XigX9BivmC6C0cEm",8463849,"new_entry","original","NA",NA,"On Feb. 25, the Kirkuk Governate in Iraq indefinitely closed schools and universities.","2020-02-25","2020-02-25",NA,"Iraq","IRQ","IQ","Provincial",1,"Kirkuk",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Iraq",NA,NA,"Kirkuk",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",50.9165690369979,49.6349908578542,48.233193027117,135,"https://www.reuters.com/article/us-china-health-iraq/first-iraqis-catch-coronavirus-amid-fear-of-iran-epidemic-spillover-idUSKCN20J0ZI","2020-04-01","2020-04-01 10:01:57"
"5","R_1r1xP70mTLtOaACDo",9392912,"new_entry","original","NA",NA,"Iraq is closing all educational institutions from Feb. 27 until March 7.","2020-02-26","2020-02-27","2020-05-22","Iraq","IRQ","IQ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Iraq",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",51.4534663262365,50.0799797213366,48.3559050929654,149,"https://www.facebook.com/MOH.GOV.IQ/posts/2763336420387405","2020-04-01","2020-04-01 17:10:13"
"6","R_1r1xP70mTLtOaACEm",9392912,"new_entry","original","NA",NA,"Iraq is closing all educational institutions from Feb. 27 until March 7.","2020-02-26","2020-02-27","2020-05-22","Iraq","IRQ","IQ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Iraq",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",51.4534663262365,50.0799797213366,48.3559050929654,149,"https://www.facebook.com/MOH.GOV.IQ/posts/2763336420387405","2020-04-01","2020-04-01 17:10:13"
"7","R_110j6S84MpoB2fzDo",9392912,"update","original","NA",NA,"On March 6, Iraq extended the closure of all educational institutions from ending March 7 to ending March 21.","2020-03-06","2020-03-07","2020-05-22","Iraq","IRQ","IQ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Iraq",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4652623202679,52.2728805620663,51.2786277429836,183,"https://english.alarabiya.net/en/News/middle-east/2020/03/06/Iraq-to-stop-border-trade-with-Iran-Kuwait-from-March-8-15-due-to-coronavirus","2020-04-02","2020-04-02 14:14:11"
"8","R_110j6S84MpoB2fzEm",9392912,"update","original","NA",NA,"On March 6, Iraq extended the closure of all educational institutions from ending March 7 to ending March 21.","2020-03-06","2020-03-07","2020-05-22","Iraq","IRQ","IQ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Iraq",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4652623202679,52.2728805620663,51.2786277429836,183,"https://english.alarabiya.net/en/News/middle-east/2020/03/06/Iraq-to-stop-border-trade-with-Iran-Kuwait-from-March-8-15-due-to-coronavirus","2020-04-02","2020-04-02 14:14:11"
"9","R_bmCmdie1IyLSIlHDo",9392912,"update","original","NA",NA,"Iraq has extended the closure of all educational institutions until March 28.","2020-03-22","2020-03-22","2020-05-22","Iraq","IRQ","IQ","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Iraq",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.8012060544998,53.6664274825195,52.6961288232549,168,"https://gds.gov.iq/iraqs-crisis-cell-extends-curfew-announces-additional-measures-to-contain-covid-19/","2020-04-02","2020-04-02 22:18:48"
"10","R_bmCmdie1IyLSIlHEm",9392912,"update","original","NA",NA,"Iraq has extended the closure of all educational institutions until March 28.","2020-03-22","2020-03-22","2020-05-22","Iraq","IRQ","IQ","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Iraq",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.8012060544998,53.6664274825195,52.6961288232549,168,"https://gds.gov.iq/iraqs-crisis-cell-extends-curfew-announces-additional-measures-to-contain-covid-19/","2020-04-02","2020-04-02 22:18:48"
