record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_1ovjlb4kqfvXoUANA,8077239,new_entry,original,,,"On April 14, The Irish Government has said there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,,Ireland,IRL,IE,National,0,,,Anti-Disinformation Measures,,,"",Ireland,,,,,,,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",57.1845102588828,54.4164183032727,51.8937333451028,166,https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992,2020-07-29,2020-07-29T08:32:19Z
R_2rBhLEnUJHlbc7qNA,8140318,new_entry,original,,,"On July 20, A new report by the Department for Digital, Culture, Media and Sport (DCMS) Select Committee has urged the Ireland Government to appoint an online harms regulator to hold online platforms to account. The report highlighted the spread of false claims online linking 5G to the virus, resulting in threats being made against telecoms engineers, as a clear sign of the dangers misinformation can pose.",2020-07-20,2020-07-20,,Ireland,IRL,IE,National,0,,,Anti-Disinformation Measures,,,"",Ireland,,,,,,,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",,,,,https://www.irishnews.com/magazine/technology/2020/07/20/news/misinformation-spreading-easily-without-online-harms-regulator-mps-say-2011508/,2020-07-29,2020-07-29T08:41:40Z
R_ZvOlTVRO9Zg4qqZDn,6887965,new_entry,correction,,,"On March 12, the Republic of Ireland announced that would close the following institutions to students: educational institutions including creches or kindergartens, primary and secondary schools as well as higher educational institutions, including universities, research institutes and so on from March 12 at 6pm until at least March 29.",2020-03-12,2020-03-12,2020-03-29,Ireland,IRL,IE,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Ireland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,53.883874846975,52.9352048145566,52.0962055380787,186,https://www.education.ie/en/Press-Events/Press-Releases/2020-press-releases/12-march-2020-statement-from-the-department-of-education-and-skills.html ; https://www.gov.ie/en/publication/ea1c30-updated-measures-in-response-to-covid-19-coronavirus/,2020-12-04,2020-12-04T08:57:50Z
R_ZvOlTVRO9Zg4qqZDp,6887965,new_entry,correction,,,"On March 12, the Republic of Ireland announced that would close the following institutions to students: educational institutions including creches or kindergartens, primary and secondary schools as well as higher educational institutions, including universities, research institutes and so on from March 12 at 6pm until at least March 29.",2020-03-12,2020-03-12,2020-03-29,Ireland,IRL,IE,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Ireland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,53.883874846975,52.9352048145566,52.0962055380787,186,https://www.education.ie/en/Press-Events/Press-Releases/2020-press-releases/12-march-2020-statement-from-the-department-of-education-and-skills.html ; https://www.gov.ie/en/publication/ea1c30-updated-measures-in-response-to-covid-19-coronavirus/,2020-12-04,2020-12-04T08:57:50Z
R_ZvOlTVRO9Zg4qqZEn,6887965,new_entry,correction,,,"On March 12, the Republic of Ireland announced that would close the following institutions to students: educational institutions including creches or kindergartens, primary and secondary schools as well as higher educational institutions, including universities, research institutes and so on from March 12 at 6pm until at least March 29.",2020-03-12,2020-03-12,2020-03-29,Ireland,IRL,IE,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Ireland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,53.883874846975,52.9352048145566,52.0962055380787,186,https://www.education.ie/en/Press-Events/Press-Releases/2020-press-releases/12-march-2020-statement-from-the-department-of-education-and-skills.html ; https://www.gov.ie/en/publication/ea1c30-updated-measures-in-response-to-covid-19-coronavirus/,2020-12-04,2020-12-04T08:57:50Z
R_ZvOlTVRO9Zg4qqZBo,6887965,new_entry,correction,,,"On March 12, the Republic of Ireland announced that would close the following institutions to students: educational institutions including creches or kindergartens, primary and secondary schools as well as higher educational institutions, including universities, research institutes and so on from March 12 at 6pm until at least March 29.",2020-03-12,2020-03-12,2020-03-29,Ireland,IRL,IE,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Ireland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,53.883874846975,52.9352048145566,52.0962055380787,186,https://www.education.ie/en/Press-Events/Press-Releases/2020-press-releases/12-march-2020-statement-from-the-department-of-education-and-skills.html ; https://www.gov.ie/en/publication/ea1c30-updated-measures-in-response-to-covid-19-coronavirus/,2020-12-04,2020-12-04T08:57:50Z
R_2P1BIVrniWNP0niEn,9084101,new_entry,original,,,"On Mar 19 the Department for Education and Skills of Ireland released that the ""leaving certificate and junior cycle oral and practical tests will be cancelled and students will get full marks"".",2020-03-19,2020-03-19,2020-05-15,Ireland,IRL,IE,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Ireland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",54.8398255091649,53.2609647435268,51.9010507003887,163,https://www.education.ie/en/Press-Events/Press-Releases/2020-press-releases/PR20-03-19.html ; https://www.irishtimes.com/news/education/leaving-junior-cert-students-to-get-full-marks-as-orals-and-practicals-cancelled-1.4206797,2020-03-31,2020-03-31T15:10:49Z
R_Ojbr1SWghL5qilPDn,1517540,update,correction,,,"On March 12, the Republic of Ireland announced that would close the following institutions to students: educational institutions including creches or kindergartens, primary and secondary schools as well as higher educational institutions, including universities, research institutes and so on from March 12 at 6pm until at least March 29. UPDATE: On March 24, the Ireland Government extended the closure of schools from March 29 until April 19.",2020-03-24,2020-03-29,2020-04-19,Ireland,IRL,IE,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Ireland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,55.4534870355889,54.2791534696277,52.9616490262979,174,https://www.irishtimes.com/news/health/coronavirus-schools-colleges-and-childcare-facilities-in-ireland-to-shut-1.4200977 ; https://www.education.ie/en/Press-Events/Press-Releases/2020-press-releases/12-march-2020-statement-from-the-department-of-education-and-skills.html ; https://www.gov.ie/en/speech/d162df-speech-of-an-taoiseach-leo-varadkar-td-post-cabinet-statement-tuesda/,2020-11-10,2020-11-10T20:35:34Z
R_Ojbr1SWghL5qilPDp,1517540,update,correction,,,"On March 12, the Republic of Ireland announced that would close the following institutions to students: educational institutions including creches or kindergartens, primary and secondary schools as well as higher educational institutions, including universities, research institutes and so on from March 12 at 6pm until at least March 29. UPDATE: On March 24, the Ireland Government extended the closure of schools from March 29 until April 19.",2020-03-24,2020-03-29,2020-04-19,Ireland,IRL,IE,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Ireland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,55.4534870355889,54.2791534696277,52.9616490262979,174,https://www.irishtimes.com/news/health/coronavirus-schools-colleges-and-childcare-facilities-in-ireland-to-shut-1.4200977 ; https://www.education.ie/en/Press-Events/Press-Releases/2020-press-releases/12-march-2020-statement-from-the-department-of-education-and-skills.html ; https://www.gov.ie/en/speech/d162df-speech-of-an-taoiseach-leo-varadkar-td-post-cabinet-statement-tuesda/,2020-11-10,2020-11-10T20:35:34Z
R_Ojbr1SWghL5qilPEn,1517540,update,correction,,,"On March 12, the Republic of Ireland announced that would close the following institutions to students: educational institutions including creches or kindergartens, primary and secondary schools as well as higher educational institutions, including universities, research institutes and so on from March 12 at 6pm until at least March 29. UPDATE: On March 24, the Ireland Government extended the closure of schools from March 29 until April 19.",2020-03-24,2020-03-29,2020-04-19,Ireland,IRL,IE,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Ireland,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,55.4534870355889,54.2791534696277,52.9616490262979,174,https://www.irishtimes.com/news/health/coronavirus-schools-colleges-and-childcare-facilities-in-ireland-to-shut-1.4200977 ; https://www.education.ie/en/Press-Events/Press-Releases/2020-press-releases/12-march-2020-statement-from-the-department-of-education-and-skills.html ; https://www.gov.ie/en/speech/d162df-speech-of-an-taoiseach-leo-varadkar-td-post-cabinet-statement-tuesda/,2020-11-10,2020-11-10T20:35:34Z
