"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2rkZ0hfD6RUzQUnEn",2286638,"new_entry","original","NA",NA,"Israel's """"Strategic Affairs Ministry has in recent days been pushing an initiative to draft youth in Israel and around the world into a campaign against the surge in antisemitism witnessed online due to the coronavirus pandemic.""""","2020-04-19","2020-04-19",NA,"Israel","ISR","IL","National",0,NA,NA,"Anti-Disinformation Measures","Self-Quarantine (i.e. quarantine at home)",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",57.3600094948015,54.4716507164897,52.2868512382042,168,"https://www.jpost.com/israel-news/as-coronavirus-antisemitism-spikes-israel-launches-counter-campaign-625141","2020-07-02","2020-07-02 01:35:51"
"2","R_2rkZ0hfD6RUzQUnCi",2286638,"new_entry","original","NA",NA,"Israel's """"Strategic Affairs Ministry has in recent days been pushing an initiative to draft youth in Israel and around the world into a campaign against the surge in antisemitism witnessed online due to the coronavirus pandemic.""""","2020-04-19","2020-04-19",NA,"Israel","ISR","IL","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",57.3600094948015,54.4716507164897,52.2868512382042,168,"https://www.jpost.com/israel-news/as-coronavirus-antisemitism-spikes-israel-launches-counter-campaign-625141","2020-07-02","2020-07-02 01:35:51"
"3","R_2rkZ0hfD6RUzQUnFg",2286638,"new_entry","original","NA",NA,"Israel's """"Strategic Affairs Ministry has in recent days been pushing an initiative to draft youth in Israel and around the world into a campaign against the surge in antisemitism witnessed online due to the coronavirus pandemic.""""","2020-04-19","2020-04-19",NA,"Israel","ISR","IL","National",0,NA,NA,"Anti-Disinformation Measures","Visa extensions (e.g. visa validity extended)",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",57.3600094948015,54.4716507164897,52.2868512382042,168,"https://www.jpost.com/israel-news/as-coronavirus-antisemitism-spikes-israel-launches-counter-campaign-625141","2020-07-02","2020-07-02 01:35:51"
"4","R_2rkZ0hfD6RUzQUnDk",2286638,"new_entry","original","NA",NA,"Israel's """"Strategic Affairs Ministry has in recent days been pushing an initiative to draft youth in Israel and around the world into a campaign against the surge in antisemitism witnessed online due to the coronavirus pandemic.""""","2020-04-19","2020-04-19",NA,"Israel","ISR","IL","National",0,NA,NA,"Anti-Disinformation Measures","Postponement of a recreational or commercial event",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",57.3600094948015,54.4716507164897,52.2868512382042,168,"https://www.jpost.com/israel-news/as-coronavirus-antisemitism-spikes-israel-launches-counter-campaign-625141","2020-07-02","2020-07-02 01:35:51"
"5","R_2rkZ0hfD6RUzQUnCg",2286638,"new_entry","original","NA",NA,"Israel's """"Strategic Affairs Ministry has in recent days been pushing an initiative to draft youth in Israel and around the world into a campaign against the surge in antisemitism witnessed online due to the coronavirus pandemic.""""","2020-04-19","2020-04-19",NA,"Israel","ISR","IL","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",57.3600094948015,54.4716507164897,52.2868512382042,168,"https://www.jpost.com/israel-news/as-coronavirus-antisemitism-spikes-israel-launches-counter-campaign-625141","2020-07-02","2020-07-02 01:35:51"
"6","R_2rkZ0hfD6RUzQUnFl",2286638,"new_entry","original","NA",NA,"Israel's """"Strategic Affairs Ministry has in recent days been pushing an initiative to draft youth in Israel and around the world into a campaign against the surge in antisemitism witnessed online due to the coronavirus pandemic.""""","2020-04-19","2020-04-19",NA,"Israel","ISR","IL","National",0,NA,NA,"Anti-Disinformation Measures","Wearing Masks in all public spaces/everywhere",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",57.3600094948015,54.4716507164897,52.2868512382042,168,"https://www.jpost.com/israel-news/as-coronavirus-antisemitism-spikes-israel-launches-counter-campaign-625141","2020-07-02","2020-07-02 01:35:51"
"7","R_2rkZ0hfD6RUzQUnAp",2286638,"new_entry","original","NA",NA,"Israel's """"Strategic Affairs Ministry has in recent days been pushing an initiative to draft youth in Israel and around the world into a campaign against the surge in antisemitism witnessed online due to the coronavirus pandemic.""""","2020-04-19","2020-04-19",NA,"Israel","ISR","IL","National",0,NA,NA,"Anti-Disinformation Measures","82800",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",57.3600094948015,54.4716507164897,52.2868512382042,168,"https://www.jpost.com/israel-news/as-coronavirus-antisemitism-spikes-israel-launches-counter-campaign-625141","2020-07-02","2020-07-02 01:35:51"
"8","R_2rkZ0hfD6RUzQUnAd",2286638,"new_entry","original","NA",NA,"Israel's """"Strategic Affairs Ministry has in recent days been pushing an initiative to draft youth in Israel and around the world into a campaign against the surge in antisemitism witnessed online due to the coronavirus pandemic.""""","2020-04-19","2020-04-19",NA,"Israel","ISR","IL","National",0,NA,NA,"Anti-Disinformation Measures","21600",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",57.3600094948015,54.4716507164897,52.2868512382042,168,"https://www.jpost.com/israel-news/as-coronavirus-antisemitism-spikes-israel-launches-counter-campaign-625141","2020-07-02","2020-07-02 01:35:51"
"9","R_2rkZ0hfD6RUzQUnDo",2286638,"new_entry","original","NA",NA,"Israel's """"Strategic Affairs Ministry has in recent days been pushing an initiative to draft youth in Israel and around the world into a campaign against the surge in antisemitism witnessed online due to the coronavirus pandemic.""""","2020-04-19","2020-04-19",NA,"Israel","ISR","IL","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",57.3600094948015,54.4716507164897,52.2868512382042,168,"https://www.jpost.com/israel-news/as-coronavirus-antisemitism-spikes-israel-launches-counter-campaign-625141","2020-07-02","2020-07-02 01:35:51"
"10","R_2rkZ0hfD6RUzQUnEm",2286638,"new_entry","original","NA",NA,"Israel's """"Strategic Affairs Ministry has in recent days been pushing an initiative to draft youth in Israel and around the world into a campaign against the surge in antisemitism witnessed online due to the coronavirus pandemic.""""","2020-04-19","2020-04-19",NA,"Israel","ISR","IL","National",0,NA,NA,"Anti-Disinformation Measures","Secondary Schools (generally for children ages 10 to 18)",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",57.3600094948015,54.4716507164897,52.2868512382042,168,"https://www.jpost.com/israel-news/as-coronavirus-antisemitism-spikes-israel-launches-counter-campaign-625141","2020-07-02","2020-07-02 01:35:51"
