"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_0TFAZvTM9NiZs6RDn",7841137,"new_entry","original","NA",NA,"The Ivory Coast is closing down of all teaching establishment for 30 days starting from the 16 of March.",2020-03-16,2020-03-16,2020-05-17,"Ivory Coast","CIV","CI","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Ivory Coast",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",53.0235489898131,52.2353092019547,51.3498705478421,136,"http://www.gouv.ci/_actualite-article.php?recordID=10959&d=2",2020-04-02,"2020-04-02 18:18:19"
"2","R_0TFAZvTM9NiZs6RDp",7841137,"new_entry","original","NA",NA,"The Ivory Coast is closing down of all teaching establishment for 30 days starting from the 16 of March.",2020-03-16,2020-03-16,2020-05-17,"Ivory Coast","CIV","CI","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Ivory Coast",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",53.0235489898131,52.2353092019547,51.3498705478421,136,"http://www.gouv.ci/_actualite-article.php?recordID=10959&d=2",2020-04-02,"2020-04-02 18:18:19"
"3","R_0TFAZvTM9NiZs6REn",7841137,"new_entry","original","NA",NA,"The Ivory Coast is closing down of all teaching establishment for 30 days starting from the 16 of March.",2020-03-16,2020-03-16,2020-05-17,"Ivory Coast","CIV","CI","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Ivory Coast",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",53.0235489898131,52.2353092019547,51.3498705478421,136,"http://www.gouv.ci/_actualite-article.php?recordID=10959&d=2",2020-04-02,"2020-04-02 18:18:19"
"4","R_0TFAZvTM9NiZs6RBy",7841137,"new_entry","original","NA",NA,"The Ivory Coast is closing down of all teaching establishment for 30 days starting from the 16 of March.",2020-03-16,2020-03-16,2020-05-17,"Ivory Coast","CIV","CI","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Ivory Coast",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",53.0235489898131,52.2353092019547,51.3498705478421,136,"http://www.gouv.ci/_actualite-article.php?recordID=10959&d=2",2020-04-02,"2020-04-02 18:18:19"
"5","R_27U0hVVQiF2ztD2Dn",7841137,"update","original","NA","Strengthening","Ivory Coast extends the current schools closing policy to May 17",2020-04-15,2020-04-15,2020-05-17,"Ivory Coast","CIV","CI","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Ivory Coast",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",55.5407173752251,54.3876069147247,53.3073705468955,163,"http://www.gouv.ci/_actualite-article.php?recordID=11040&d=6#",2020-04-24,"2020-04-24 12:09:19"
"6","R_27U0hVVQiF2ztD2Dp",7841137,"update","original","NA","Strengthening","Ivory Coast extends the current schools closing policy to May 17",2020-04-15,2020-04-15,2020-05-17,"Ivory Coast","CIV","CI","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Ivory Coast",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",55.5407173752251,54.3876069147247,53.3073705468955,163,"http://www.gouv.ci/_actualite-article.php?recordID=11040&d=6#",2020-04-24,"2020-04-24 12:09:19"
"7","R_27U0hVVQiF2ztD2En",7841137,"update","original","NA","Strengthening","Ivory Coast extends the current schools closing policy to May 17",2020-04-15,2020-04-15,2020-05-17,"Ivory Coast","CIV","CI","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Ivory Coast",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",55.5407173752251,54.3876069147247,53.3073705468955,163,"http://www.gouv.ci/_actualite-article.php?recordID=11040&d=6#",2020-04-24,"2020-04-24 12:09:19"
"8","R_27U0hVVQiF2ztD2By",7841137,"update","original","NA","Strengthening","Ivory Coast extends the current schools closing policy to May 17",2020-04-15,2020-04-15,2020-05-17,"Ivory Coast","CIV","CI","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Ivory Coast",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",55.5407173752251,54.3876069147247,53.3073705468955,163,"http://www.gouv.ci/_actualite-article.php?recordID=11040&d=6#",2020-04-24,"2020-04-24 12:09:19"
"9","R_3RaXgwqFq5GCylfDn",7841137,"update","correction","NA","Strengthening","Ivory Coast is enforcing the reopening of preschool, primary, secondary and higher education institutions, according to the procedures to be communicated by the ministries concerned from May 18 except for the Regional Directorates of Abidjan, Dabou, Aboisso and the Departmental Directorate of Grand-Bassam.",2020-04-15,2020-04-15,2020-05-17,"Ivory Coast","CIV","CI","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Ivory Coast",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",55.5407173752251,54.3876069147247,53.3073705468955,163,"http://www.gouv.ci/_actualite-article.php?recordID=11040&d=6#",2020-05-12,"2020-05-12 08:30:02"
"10","R_3RaXgwqFq5GCylfDp",7841137,"update","correction","NA","Strengthening","Ivory Coast is enforcing the reopening of preschool, primary, secondary and higher education institutions, according to the procedures to be communicated by the ministries concerned from May 18 except for the Regional Directorates of Abidjan, Dabou, Aboisso and the Departmental Directorate of Grand-Bassam.",2020-04-15,2020-04-15,2020-05-17,"Ivory Coast","CIV","CI","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Ivory Coast",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",55.5407173752251,54.3876069147247,53.3073705468955,163,"http://www.gouv.ci/_actualite-article.php?recordID=11040&d=6#",2020-05-12,"2020-05-12 08:30:02"
"11","R_3RaXgwqFq5GCylfEn",7841137,"update","correction","NA","Strengthening","Ivory Coast is enforcing the reopening of preschool, primary, secondary and higher education institutions, according to the procedures to be communicated by the ministries concerned from May 18 except for the Regional Directorates of Abidjan, Dabou, Aboisso and the Departmental Directorate of Grand-Bassam.",2020-04-15,2020-04-15,2020-05-17,"Ivory Coast","CIV","CI","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Ivory Coast",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",55.5407173752251,54.3876069147247,53.3073705468955,163,"http://www.gouv.ci/_actualite-article.php?recordID=11040&d=6#",2020-05-12,"2020-05-12 08:30:02"
"12","R_3RaXgwqFq5GCylfBy",7841137,"update","correction","NA","Strengthening","Ivory Coast is enforcing the reopening of preschool, primary, secondary and higher education institutions, according to the procedures to be communicated by the ministries concerned from May 18 except for the Regional Directorates of Abidjan, Dabou, Aboisso and the Departmental Directorate of Grand-Bassam.",2020-04-15,2020-04-15,2020-05-17,"Ivory Coast","CIV","CI","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Ivory Coast",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",55.5407173752251,54.3876069147247,53.3073705468955,163,"http://www.gouv.ci/_actualite-article.php?recordID=11040&d=6#",2020-05-12,"2020-05-12 08:30:02"
