record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3LjStkRPe4meSXFDl,6480331,new_entry,original,,,Jamaica closes all schools for two weeks after March 13.,2020-03-12,2020-03-13,2020-04-20,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Jamaica,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",52.4538191555449,51.3664619917557,50.5658504288664,131,https://jis.gov.jm/schools-close-tomorrow-for-14-days/ ; http://www.loopjamaica.com/content/schools-closed-14-days-jamaica-tackles-covid-19,2020-04-02,2020-04-02T16:29:11Z
R_3LjStkRPe4meSXFDn,6480331,new_entry,original,,,Jamaica closes all schools for two weeks after March 13.,2020-03-12,2020-03-13,2020-04-20,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Jamaica,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",52.4538191555449,51.3664619917557,50.5658504288664,131,https://jis.gov.jm/schools-close-tomorrow-for-14-days/ ; http://www.loopjamaica.com/content/schools-closed-14-days-jamaica-tackles-covid-19,2020-04-02,2020-04-02T16:29:11Z
R_3LjStkRPe4meSXFEn,6480331,new_entry,original,,,Jamaica closes all schools for two weeks after March 13.,2020-03-12,2020-03-13,2020-04-20,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Jamaica,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",52.4538191555449,51.3664619917557,50.5658504288664,131,https://jis.gov.jm/schools-close-tomorrow-for-14-days/ ; http://www.loopjamaica.com/content/schools-closed-14-days-jamaica-tackles-covid-19,2020-04-02,2020-04-02T16:29:11Z
R_2w4YjbR6cwFgEXkBr,1846854,new_entry,correction,,,Jamaica is closing its universities after March 13 for two weeks.,2020-03-12,2020-03-13,2020-03-27,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Jamaica,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",52.4538191555449,51.3664619917557,50.5658504288664,131,https://www.mona.uwi.edu/covid19,2020-07-30,2020-07-30T08:40:12Z
R_2WTnDPVlQFYRRo2Dl,6480331,update,original,,,"Jamaica is keeping its schools closed until April 20 after March 24. UPDATE: The original school closure was set to end on March 27, it has been extended to April 20.",2020-03-24,2020-03-24,2020-04-20,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Jamaica,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",53.6010261345373,52.8500191106355,52.1175342276874,132,https://www.stabroeknews.com/2020/03/24/news/regional/jamaica/jamaica-schools-closed-until-after-easter/ ; http://www.jamaicaobserver.com/news/teachers-not-surprised-by-extended-closure-of-schools_190526?profile=1373,2020-04-02,2020-04-02T16:41:07Z
R_2WTnDPVlQFYRRo2Dn,6480331,update,original,,,"Jamaica is keeping its schools closed until April 20 after March 24. UPDATE: The original school closure was set to end on March 27, it has been extended to April 20.",2020-03-24,2020-03-24,2020-04-20,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Jamaica,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",53.6010261345373,52.8500191106355,52.1175342276874,132,https://www.stabroeknews.com/2020/03/24/news/regional/jamaica/jamaica-schools-closed-until-after-easter/ ; http://www.jamaicaobserver.com/news/teachers-not-surprised-by-extended-closure-of-schools_190526?profile=1373,2020-04-02,2020-04-02T16:41:07Z
R_2WTnDPVlQFYRRo2En,6480331,update,original,,,"Jamaica is keeping its schools closed until April 20 after March 24. UPDATE: The original school closure was set to end on March 27, it has been extended to April 20.",2020-03-24,2020-03-24,2020-04-20,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Jamaica,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government",53.6010261345373,52.8500191106355,52.1175342276874,132,https://www.stabroeknews.com/2020/03/24/news/regional/jamaica/jamaica-schools-closed-until-after-easter/ ; http://www.jamaicaobserver.com/news/teachers-not-surprised-by-extended-closure-of-schools_190526?profile=1373,2020-04-02,2020-04-02T16:41:07Z
R_QgHjsWcR6DCP6edEn,7477932,new_entry,original,,,"Owing to the challenges highlighted for school-aged mothers during COVID-19, The Women Centre Foundation of Jamaica (WCFJ)  inreased its support to include remote education, welfare, and psychological support, as well as provision of care packages of food, toiletries, and other necessities.",2020-06-18,2020-06-18,,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Jamaica,,,,,,,,,Voluntary/Recommended but No Penalties,National Government,,,,,https://www.brookings.edu/blog/education-plus-development/2020/06/18/support-for-school-aged-moms-in-jamaica-during-covid-19/,2020-10-19,2020-10-19T10:02:57Z
R_QgHjsWcR6DCP6edBr,7477932,new_entry,original,,,"Owing to the challenges highlighted for school-aged mothers during COVID-19, The Women Centre Foundation of Jamaica (WCFJ)  inreased its support to include remote education, welfare, and psychological support, as well as provision of care packages of food, toiletries, and other necessities.",2020-06-18,2020-06-18,,Jamaica,JAM,JM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Jamaica,,,,,,,,,Voluntary/Recommended but No Penalties,National Government,,,,,https://www.brookings.edu/blog/education-plus-development/2020/06/18/support-for-school-aged-moms-in-jamaica-during-covid-19/,2020-10-19,2020-10-19T10:02:57Z
R_1IuxKbaF1MSbEd4NA,3479025,new_entry,original,,,Jamaica is announcing a nationwide curfew from 8pm to 6am starting on April 1.,2020-03-30,2020-04-01,2020-12-01,Jamaica,JAM,JM,National,1,,,,Curfew,,,,Jamaica,,,,,,,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",54.3394767835147,53.4065531581288,52.5260250309344,136,https://www.jamaicansforjustice.org/jamaica-covid-19/ ; jamaican-government ; https://jis.gov.jm/prime-minister-announces-all-island-curfew/,2020-04-03,2020-04-03T06:08:32Z
R_2yf8OQp9vaIiZq1NA,3479025,update,original,,,"Jamaica is restricting its curfew for the easter days. From Friday, March 10 until Monday March 13 the curfew starts at 3pm and ends at 7am. On Tuesday the Curfew will be lifted at 5am. After easter the curfew will be shortened, starting at 9pm and ending at 5am until April 21 UPDATE: The original curfew just lasted from 8pm to 6am but will get stricter over the easter days, to 3pm until 7am from Friday till Monday, TUesday the curfew ends at 5am",2020-04-09,2020-04-10,2020-12-01,Jamaica,JAM,JM,National,1,,,,Curfew,,,,Jamaica,,,,,,,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",54.9406876699527,53.7396487493342,52.9150529287287,138,http://jamaica-gleaner.com/article/lead-stories/20200409/easter-covid-curfew-restrictions-tightened-holy-season-will-relax,2020-04-09,2020-04-09T13:29:49Z
R_tE5TKpRLe14Xik9NA,3479025,update,original,Change of Policy,Relaxing,"Jamaican Government Extends COVID-19 Measures Including Curfews to September 30 UPDATE: The original curfew measures were set to last until July 31, now they have been extended to September 30",2020-07-31,2020-07-31,2020-12-01,Jamaica,JAM,JM,National,1,,,,Curfew,,,,Jamaica,,,,,,,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",,,,,NA,2020-10-21,2020-10-21T10:22:06Z
R_3m8G4FmlmkJl5frNA,3479025,update,correction,,Strengthening,"Jamaican authorities announced new timings for the island-wide curfew until November 1. From Thursday, October 8, to Sunday, October 18, a nightly curfew will continue between 20:00 and 05:00 (local time). There will be extended curfews for the Heroes' Weekend from Sunday, October 18, to Tuesday, October 20, whereby a curfew from 15:00 on Sunday to 08:00 on Monday, October 19, will be effective and from 15:00 on Monday through to 05:00 on Tuesday. A nightly curfew between 21:00-05:00 curfew will then continue from the same Tuesday, October 20, through to November 1.",2020-09-22,2020-09-22,2020-12-01,Jamaica,JAM,JM,National,1,,,,Curfew,,,,Jamaica,,,,,,,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",,,,,https://www.jamaicansforjustice.org/jamaica-covid-19/ ; jamaican-government ; https://jis.gov.jm/prime-minister-announces-all-island-curfew/,2020-11-18,2020-11-18T13:33:00Z
R_1q9PGtXL9Ni3PiRNA,3479025,update,correction,,Strengthening,"On September 22,  Jamaican authorities announced that the island-wide curfew between 20:00 and 05:00 (local time) will remain in place until October 7.",2020-09-22,2020-09-22,2020-12-01,Jamaica,JAM,JM,National,1,,,,Curfew,,,,Jamaica,,,,,,,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",,,,,https://www.jamaicansforjustice.org/jamaica-covid-19/ ; jamaican-government ; https://jis.gov.jm/prime-minister-announces-all-island-curfew/,2020-11-18,2020-11-18T13:37:58Z
R_1MVSCSAaIlEjC5ONA,3479025,update,original,Change of Policy,Strengthening,"Jamaican authorities extends nightly 21:00—05:00 curfew until November 16 UPDATE: The curfew was set to last until July 31,  now the nightly 21:00—05:00 curfew is extended until November 16.",2020-10-30,2020-11-01,2020-12-01,Jamaica,JAM,JM,National,1,,,,Curfew,,,,Jamaica,,,,,,,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",,,,,NA,2020-11-24,2020-11-24T11:06:35Z
