record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3oFsYs5nDuUwKS8NA,534289,new_entry,original,,,"President Taneti Maamau in his public speech this evening, Saturday 28/3/20 has declared Kiribati in the Pacific Region in a state of public emergency.",2020-03-28,2020-03-28,2020-04-26,Kiribati,KIR,KI,National,1,,,Declaration of Emergency,,,"",Kiribati,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.0129505616816,51.1188250153654,50.0087010729725,42,https://kiribatiupdates.com.ki/president-declared-kiribati-a-state-of-public-emergency-for-convid-19/ ; https://www.theguardian.com/world/2020/apr/01/coronavirus-in-the-pacific-weekly-briefing ; https://www.abc.net.au/radio-australia/programs/pacificbeat/covid-19-cases-in-the-pacific-pass-100/12101782,2020-04-02,2020-04-02T23:09:10Z
R_UFMXbxqHEuSMcvvNA,534289,update,original,End of Policy,,The state of emergency in Kiribati was efffective from 26th March until 26th April.,2020-06-04,2020-04-26,2020-04-26,Kiribati,KIR,KI,National,0,,,Declaration of Emergency,,,"",Kiribati,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,56.4446848457602,52.2434702370945,48.071500248056,61,NA,2020-06-04,2020-06-04T18:00:02Z
R_eWJC2dWHysXP3EtEx,5844897,new_entry,original,,,"Kiribati imposed an entry ban on all travelers from countries with ongoing local transmission of COVID-19, requiring them to spend at least fourteen days in a country free of COVID-19 prior to their arrival in Kiribati, effective January 31.",2020-02-01,2020-01-31,,Kiribati,KIR,KI,National,0,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,"",All countries,All countries,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,"All kinds of transport,Flights",Mandatory with Legal Penalties (Jail Time),National Government,50.0338677815821,48.4086331745939,45.8209799583815,161,https://www.rnz.co.nz/international/pacific-news/408618/coronavirus-kiribati-blocks-chinese-travellers ; https://www.thinkglobalhealth.org/article/travel-restrictions-china-due-covid-19 ; https://corporate.southpacificislands.travel/kiribati-updates-its-2019-novel-coronavirus-health-travel-advisory/,2020-04-02,2020-04-02T21:21:03Z
R_3hEg1D5pKZL3s0jEx,4710543,new_entry,original,,,Kiribati government has placed all visa applications from China on hold from 1. February.,2020-02-01,2020-02-01,,Kiribati,KIR,KI,National,0,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,"",China,"One or more countries, but not all countries",,,,,Foreign Travelers,Inbound,"",Mandatory (Unspecified/Implied),National Government,49.8477116696321,48.4113628531768,46.2408002792858,157,https://www.rnz.co.nz/international/pacific-news/408618/coronavirus-kiribati-blocks-chinese-travellers,2020-04-02,2020-04-02T22:24:43Z
R_3hEg1D5pKZL3s0jFh,4710543,new_entry,original,,,Kiribati government has placed all visa applications from China on hold from 1. February.,2020-02-01,2020-02-01,,Kiribati,KIR,KI,National,0,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"",China,"One or more countries, but not all countries",,,,,Foreign Travelers,Inbound,"",Mandatory (Unspecified/Implied),National Government,49.8477116696321,48.4113628531768,46.2408002792858,157,https://www.rnz.co.nz/international/pacific-news/408618/coronavirus-kiribati-blocks-chinese-travellers,2020-04-02,2020-04-02T22:24:43Z
R_3KBGEyBB3oBSeMRBo,24145,new_entry,original,,,All incoming international travelers will be subjected to temperature check upon arrival to the international airports and seaports in Kiribati from 17.3. onwards.,2020-02-06,2020-02-06,,Kiribati,KIR,KI,National,0,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",All countries,All countries,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,"Flights,Seaports,Cruises,Ferries",Mandatory (Unspecified/Implied),National Government,50.9577946881351,49.3548662754516,47.6063165158862,173,https://www.mhms.gov.ki/important-notices.html ; https://corporate.southpacificislands.travel/kiribati-updates-its-2019-novel-coronavirus-health-travel-advisory/,2020-04-02,2020-04-02T22:42:58Z
R_2R8Mx7qJLYGmuWANA,2637112,new_entry,original,,,Kiribati recommends citizens and residents of Kiribati who are planning to travel to areas and territories in countries with sustained transmission to avoid non-essential travel from 17.3.,2020-02-06,2020-02-06,,Kiribati,KIR,KI,National,0,,,External Border Restrictions,,,"",Kiribati,One or more countries and one or more regional groupings,,,,,All Residents (Citizen Residents +Foreign Residents),Outbound,All kinds of transport,Voluntary/Recommended but No Penalties,Ministry/Department of Health,50.9577946881351,49.3548662754516,47.6063165158862,173,https://corporate.southpacificislands.travel/kiribati-updates-its-2019-novel-coronavirus-health-travel-advisory/ ; https://www.mhms.gov.ki/important-notices.html,2020-04-02,2020-04-02T21:58:09Z
R_33CJoC1SO7waAQyNA,5501189,new_entry,original,,,"Kiribati requires that ""A Health Arrival Form is to be filled out by all incoming travelers upon arrival to Kiribati through Tarawa and Kiritimati."" as of February, 6. 

",2020-02-06,2020-02-06,,Kiribati,KIR,KI,National,0,,,External Border Restrictions,,,"",All countries,All countries,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,50.9577946881351,49.3548662754516,47.6063165158862,173,https://corporate.southpacificislands.travel/kiribati-updates-its-2019-novel-coronavirus-health-travel-advisory/,2020-04-04,2020-04-04T11:36:46Z
R_25LpLnc6gFBpGvpEx,3024194,new_entry,original,,,"Kiribati announces that ""All passengers traveling from Kiritimati to Nadi on the Honolulu-Xmas-Nadi flight need to be
quarantined in Fiji for 14 days before traveling back to Kiribati "" as of March 17.",2020-03-17,2020-03-17,,Kiribati,KIR,KI,National,0,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,"","Fiji,Kiribati","One or more countries, but not all countries",,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),National Government,51.6071483654625,50.3405134414756,48.9037493711345,63,https://www.mhms.gov.ki/important-notices.html,2020-04-04,2020-04-04T11:54:08Z
R_86a0Zt04W2Ys69bEx,5501189,update,original,,,"Kiribati requires that ""A Health Arrival Form is to be filled out and copies of e-tickets to be provided by all incoming
travellers upon arrival to Kiribati through Tarawa and Kiritimati. "" as of March 17.",2020-03-17,2020-03-17,,Kiribati,KIR,KI,National,0,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,"",All countries,All countries,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,51.6071483654625,50.3405134414756,48.9037493711345,63,https://www.mhms.gov.ki/important-notices.html,2020-04-04,2020-04-04T11:43:50Z
