record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2DUjZdcwL4sALrtDn,6761663,new_entry,original,,,"The measures, proposed by Koovo Minister of Health Arben Vitia, were approved at a meeting of the government held on Wednesday evening.

In full, the following measures were announced by the Kosovo Government: 

1. To close all schools, public and private, at primary, secondary and university level until March 27

",2020-03-11,2020-03-12,2020-03-27,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/,2020-09-15,2020-09-15T19:41:01Z
R_2DUjZdcwL4sALrtEn,6761663,new_entry,original,,,"The measures, proposed by Koovo Minister of Health Arben Vitia, were approved at a meeting of the government held on Wednesday evening.

In full, the following measures were announced by the Kosovo Government: 

1. To close all schools, public and private, at primary, secondary and university level until March 27

",2020-03-11,2020-03-12,2020-03-27,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/,2020-09-15,2020-09-15T19:41:01Z
R_2DUjZdcwL4sALrtBt,6761663,new_entry,original,,,"The measures, proposed by Koovo Minister of Health Arben Vitia, were approved at a meeting of the government held on Wednesday evening.

In full, the following measures were announced by the Kosovo Government: 

1. To close all schools, public and private, at primary, secondary and university level until March 27

",2020-03-11,2020-03-12,2020-03-27,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/,2020-09-15,2020-09-15T19:41:01Z
R_2AMh60euLJiCPWyCt,3312054,new_entry,original,,,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

3. An immediate suspension of public transport, as well as organised international transport

",2020-03-13,2020-03-13,,Kosovo,-,-,National,0,,,,External Border Restrictions,Other External Border Restriction,,,Kosovo,All countries,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/,2020-09-15,2020-09-15T18:36:02Z
R_214AEVRaAas0ouECt,7074601,new_entry,original,,,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

4. The borders of Kosovo are closed to all foreign citizens.",2020-03-13,2020-03-13,,Kosovo,-,-,National,0,,,,External Border Restrictions,Other External Border Restriction,,,Kosovo,All countries,,,,,Foreign Travelers,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/,2020-09-15,2020-09-15T18:38:48Z
R_Zn856LODoWos1DrCt,4570949,new_entry,original,,,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

5. From March 16 at 00:00, all airline services are suspended with the exception of military and aid services.

",2020-03-13,2020-03-16,,Kosovo,-,-,National,0,,,,External Border Restrictions,Other External Border Restriction,,,Kosovo,All countries,,,,,All (Travelers + Residents),Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/,2020-09-15,2020-09-15T18:45:50Z
R_wRYXUsXQ9Z4sPf3Fd,6950692,new_entry,original,,,"The measures, proposed by Kosovo Minister of Health Arben Vitia, were approved at a meeting of the government held on Wednesday evening.
In full, the following measures were announced by the Kosovo Government: 

7. To prohibit the export of medicine and material from Kosovo pharmaceutical producers, except when approved by a government decision


",2020-03-11,2020-03-12,,Kosovo,-,-,National,1,,,,Health Resources,Unspecified Health Materials,,,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/,2020-09-15,2020-09-15T19:44:20Z
R_3lSlb8zq73xTjOzNA,2870898,new_entry,original,,,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

4. Returning Kosovars will be subject to detailed medical checks
",2020-03-13,2020-03-13,,Kosovo,-,-,National,1,,,,Health Testing,,,,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/,2020-09-15,2020-09-15T18:40:58Z
R_YRdcWkzGajUbtbbNA,9161156,new_entry,original,,,"Following a meeting of the Kosovo Government on Friday evening, a number of additional measures to contain the spread of coronavirus were approved (taking effect immediately, 13 March 2020) after two people tested positive for the virus during the day.

The decisions taken by the Kosovo Government:

1. A ban on entry and exit from the town of Klina

2. A ban on entry and exit from the town of Viti




",2020-03-13,2020-03-13,,Kosovo,-,-,National,1,,,,Internal Border Restrictions,,,,Kosovo,One or more cities within a country,,Gjilan,Klina (Pec); Viti (Gjilan),,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/,2020-09-15,2020-09-15T18:23:56Z
R_2vYPTbxfWD8C9pdNA,2839338,new_entry,original,,,"BIRN was informed by the Director of Health at the Municipality of Viti, Basri Aliu, that 17 members of staff from the Family Medicine Centre in the town have gone into isolation, while the entire village of Stubell is reported to have been put into quarantine.

",2020-03-13,2020-03-13,,Kosovo,-,-,"Other (e.g., county)",1,Gjilan,,,Lockdown,,,,Kosovo,One or more other geographical or administrative unit within a country (e.g. county),,Gjilan,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Municipal Government",,,,,https://prishtinainsight.com/kosovo-govt-responds-following-first-confirmed-cases-of-coronavirus/ ; https://kallxo.com/lajm/masat-per-coronavirusin-mbyllet-kampi-ku-punonte-22-vjecarja-e-prekur-me-coronavirus-ne-kline/,2020-09-15,2020-09-15T19:06:18Z
