record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_vSnL3LEukNM6jTzDl,5927241,new_entry,original,,,"Latvia closes schools, kindergartens, universities and suspends all kinds of educational activities from March 13 on, online teaching planned",2020-03-12,2020-03-13,2020-04-14,Latvia,LVA,LV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Latvia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",52.7873120837889,51.7616431649196,50.6611671746955,144,https://advance.lexis.com/document/?pdmfid=1516831&crid=50501bc6-33a4-4ab4-805f-f121c2729790&pddocfullpath=%2Fshared%2Fdocument%2Fnews%2Furn%3AcontentItem%3A5YDG-5301-JBV1-X1JX-00000-00&pdcontentcomponentid=10903&pdteaserkey=sr0&pditab=allpods&ecomp=pp79k&earg=sr0&prid=47d12c64-9778-4fd9-9f0f-0d64416da804,2020-04-03,2020-04-03T06:50:37Z
R_vSnL3LEukNM6jTzDn,5927241,new_entry,original,,,"Latvia closes schools, kindergartens, universities and suspends all kinds of educational activities from March 13 on, online teaching planned",2020-03-12,2020-03-13,2020-04-14,Latvia,LVA,LV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Latvia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",52.7873120837889,51.7616431649196,50.6611671746955,144,https://advance.lexis.com/document/?pdmfid=1516831&crid=50501bc6-33a4-4ab4-805f-f121c2729790&pddocfullpath=%2Fshared%2Fdocument%2Fnews%2Furn%3AcontentItem%3A5YDG-5301-JBV1-X1JX-00000-00&pdcontentcomponentid=10903&pdteaserkey=sr0&pditab=allpods&ecomp=pp79k&earg=sr0&prid=47d12c64-9778-4fd9-9f0f-0d64416da804,2020-04-03,2020-04-03T06:50:37Z
R_vSnL3LEukNM6jTzEm,5927241,new_entry,original,,,"Latvia closes schools, kindergartens, universities and suspends all kinds of educational activities from March 13 on, online teaching planned",2020-03-12,2020-03-13,2020-04-14,Latvia,LVA,LV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Latvia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",52.7873120837889,51.7616431649196,50.6611671746955,144,https://advance.lexis.com/document/?pdmfid=1516831&crid=50501bc6-33a4-4ab4-805f-f121c2729790&pddocfullpath=%2Fshared%2Fdocument%2Fnews%2Furn%3AcontentItem%3A5YDG-5301-JBV1-X1JX-00000-00&pdcontentcomponentid=10903&pdteaserkey=sr0&pditab=allpods&ecomp=pp79k&earg=sr0&prid=47d12c64-9778-4fd9-9f0f-0d64416da804,2020-04-03,2020-04-03T06:50:37Z
R_vSnL3LEukNM6jTzBs,5927241,new_entry,original,,,"Latvia closes schools, kindergartens, universities and suspends all kinds of educational activities from March 13 on, online teaching planned",2020-03-12,2020-03-13,2020-04-14,Latvia,LVA,LV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Latvia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",52.7873120837889,51.7616431649196,50.6611671746955,144,https://advance.lexis.com/document/?pdmfid=1516831&crid=50501bc6-33a4-4ab4-805f-f121c2729790&pddocfullpath=%2Fshared%2Fdocument%2Fnews%2Furn%3AcontentItem%3A5YDG-5301-JBV1-X1JX-00000-00&pdcontentcomponentid=10903&pdteaserkey=sr0&pditab=allpods&ecomp=pp79k&earg=sr0&prid=47d12c64-9778-4fd9-9f0f-0d64416da804,2020-04-03,2020-04-03T06:50:37Z
R_2AZr2WOa2tjFvShDl,1473798,new_entry,original,,,"As of March 16, the government of Latvia announced that preschools and childcare facilities will only be available for children whose parents may prove that the child and family have not been abroad and have not been in contact with Covid-19 patients or their contacts during the last 14 days. Parents must also state in this certificate that it is not possible to provide childcare in any other way.",2020-03-14,2020-03-16,,Latvia,LVA,LV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with conditions,Latvia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,55.2258522739001,53.5545687558546,51.9551235690978,180,https://www.mk.gov.lv/lv/aktualitates/valdiba-nosaka-papildu-piesardzibas-pasakumus-covid-19-izplatibas-ierobezosanai,2020-07-07,2020-07-07T01:15:32Z
R_3R32Q1bPkiiNrkzDl,5927241,update,original,Change of Policy,Relaxing,"On April 30th Latvia decided to cancel 9th grader exams for this school year and reduce number of exams for 12th school grade. UPDATE: On April 30th Lativa decided to keep schools closed. All state tests for 9th graders in Latvia have been cancelled for this school year. The number of compulsory tests for 12th graders has been reduced. Now compulsory exams include only one foreign language exam, Latvian language exam and mathematics exam.",2020-04-30,2020-04-30,2020-04-14,Latvia,LVA,LV,National,0,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Latvia,,,,,,All Residents (Citizen Residents +Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",,,,,https://bnn-news.com/9th-grader-exams-cancelled-in-latvia-12th-graders-to-pass-only-three-exams-212925,2020-05-11,2020-05-11T17:28:22Z
R_3R32Q1bPkiiNrkzDn,5927241,update,original,Change of Policy,Relaxing,"On April 30th Latvia decided to cancel 9th grader exams for this school year and reduce number of exams for 12th school grade. UPDATE: On April 30th Lativa decided to keep schools closed. All state tests for 9th graders in Latvia have been cancelled for this school year. The number of compulsory tests for 12th graders has been reduced. Now compulsory exams include only one foreign language exam, Latvian language exam and mathematics exam.",2020-04-30,2020-04-30,2020-04-14,Latvia,LVA,LV,National,0,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Latvia,,,,,,All Residents (Citizen Residents +Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",,,,,https://bnn-news.com/9th-grader-exams-cancelled-in-latvia-12th-graders-to-pass-only-three-exams-212925,2020-05-11,2020-05-11T17:28:22Z
R_3R32Q1bPkiiNrkzEm,5927241,update,original,Change of Policy,Relaxing,"On April 30th Latvia decided to cancel 9th grader exams for this school year and reduce number of exams for 12th school grade. UPDATE: On April 30th Lativa decided to keep schools closed. All state tests for 9th graders in Latvia have been cancelled for this school year. The number of compulsory tests for 12th graders has been reduced. Now compulsory exams include only one foreign language exam, Latvian language exam and mathematics exam.",2020-04-30,2020-04-30,2020-04-14,Latvia,LVA,LV,National,0,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Latvia,,,,,,All Residents (Citizen Residents +Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",,,,,https://bnn-news.com/9th-grader-exams-cancelled-in-latvia-12th-graders-to-pass-only-three-exams-212925,2020-05-11,2020-05-11T17:28:22Z
R_3R32Q1bPkiiNrkzBs,5927241,update,original,Change of Policy,Relaxing,"On April 30th Latvia decided to cancel 9th grader exams for this school year and reduce number of exams for 12th school grade. UPDATE: On April 30th Lativa decided to keep schools closed. All state tests for 9th graders in Latvia have been cancelled for this school year. The number of compulsory tests for 12th graders has been reduced. Now compulsory exams include only one foreign language exam, Latvian language exam and mathematics exam.",2020-04-30,2020-04-30,2020-04-14,Latvia,LVA,LV,National,0,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Latvia,,,,,,All Residents (Citizen Residents +Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",,,,,https://bnn-news.com/9th-grader-exams-cancelled-in-latvia-12th-graders-to-pass-only-three-exams-212925,2020-05-11,2020-05-11T17:28:22Z
R_3rqayJcl73yiHCxEm,7049152,new_entry,correction,,,"On May 7, the Ministry of Education and Science of Latvia announced up to 25 people will be allowed in the classroom for state exams but up to 40 people may gather in large rooms like gyms.",2020-05-07,2020-05-07,2020-07-02,Latvia,LVA,LV,National,0,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Latvia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,NA ; https://skaties.lv/zinas/latvija/ja-skola-ar-vecakiem-vares-vienoties-tad-sejas-maskas-centralizeto-eksamenu-rakstisana-nebus-obligatas/,2020-07-21,2020-07-21T15:29:51Z
