record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2aqmJCfOfVyJMEkNA,9819308,new_entry,original,,,"No person shall publish or spread fake or false information. any person who contravenes the provisions of  sub-regulation 5 (pertaining to lockdown) commits an offence and is liable on conviction to a fine not exceeding 5000 Maloti or to imprisonment for a period not exceeding one month or both. 
The regulation shall come into operation on the 4th April",2020-04-03,2020-04-04,,Lesotho,LSO,LS,National,1,,,,Anti-Disinformation Measures,,,"",Lesotho,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health",55.6058629417593,52.8873129548515,49.8980544967136,103,https://www.gov.ls/wp-content/uploads/2020/04/PUBLIC-HEALTH-COVID-19-REGULATIONS-PDF.pdf,2020-10-16,2020-10-16T10:23:00Z
R_3fK1Nj8j3r5FW10Dk,7286566,new_entry,original,,,Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April.,2020-03-18,2020-03-18,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Lesotho,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",52.2125615176035,50.9959292279492,49.6226508028821,69,https://ewn.co.za/2020/03/19/lesotho-declares-national-emergency-over-covid-19-outbreak,2020-10-16,2020-10-16T08:42:28Z
R_3fK1Nj8j3r5FW10Dm,7286566,new_entry,original,,,Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April.,2020-03-18,2020-03-18,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Lesotho,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",52.2125615176035,50.9959292279492,49.6226508028821,69,https://ewn.co.za/2020/03/19/lesotho-declares-national-emergency-over-covid-19-outbreak,2020-10-16,2020-10-16T08:42:28Z
R_3fK1Nj8j3r5FW10Em,7286566,new_entry,original,,,Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April.,2020-03-18,2020-03-18,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Lesotho,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",52.2125615176035,50.9959292279492,49.6226508028821,69,https://ewn.co.za/2020/03/19/lesotho-declares-national-emergency-over-covid-19-outbreak,2020-10-16,2020-10-16T08:42:28Z
R_3fK1Nj8j3r5FW10Br,7286566,new_entry,original,,,Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April.,2020-03-18,2020-03-18,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Lesotho,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",52.2125615176035,50.9959292279492,49.6226508028821,69,https://ewn.co.za/2020/03/19/lesotho-declares-national-emergency-over-covid-19-outbreak,2020-10-16,2020-10-16T08:42:28Z
R_1fg8BnW6pDFsu2HDk,7286566,update,original,Change of Policy,,"Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April. UPDATE: The original total school closure was relaxed to allow some external classes. According to Public Health (COVID-19) Regulations, 2020 (Legal Notice No. 41 of 2020), schools will only be opened for external classes for Grade 7, Junior Certificate, Grade 11, Lesotho general certificate for secondary education, international general certificate for secondary education, advanced subsidiary, A level and internatonal Baccalaureate",2020-03-18,2020-05-06,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Lesotho,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",,,,,NA,2020-10-16,2020-10-16T09:11:46Z
R_1fg8BnW6pDFsu2HDm,7286566,update,original,Change of Policy,,"Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April. UPDATE: The original total school closure was relaxed to allow some external classes. According to Public Health (COVID-19) Regulations, 2020 (Legal Notice No. 41 of 2020), schools will only be opened for external classes for Grade 7, Junior Certificate, Grade 11, Lesotho general certificate for secondary education, international general certificate for secondary education, advanced subsidiary, A level and internatonal Baccalaureate",2020-03-18,2020-05-06,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Lesotho,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",,,,,NA,2020-10-16,2020-10-16T09:11:46Z
R_1fg8BnW6pDFsu2HEm,7286566,update,original,Change of Policy,,"Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April. UPDATE: The original total school closure was relaxed to allow some external classes. According to Public Health (COVID-19) Regulations, 2020 (Legal Notice No. 41 of 2020), schools will only be opened for external classes for Grade 7, Junior Certificate, Grade 11, Lesotho general certificate for secondary education, international general certificate for secondary education, advanced subsidiary, A level and internatonal Baccalaureate",2020-03-18,2020-05-06,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Lesotho,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",,,,,NA,2020-10-16,2020-10-16T09:11:46Z
R_1fg8BnW6pDFsu2HBr,7286566,update,original,Change of Policy,,"Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April. UPDATE: The original total school closure was relaxed to allow some external classes. According to Public Health (COVID-19) Regulations, 2020 (Legal Notice No. 41 of 2020), schools will only be opened for external classes for Grade 7, Junior Certificate, Grade 11, Lesotho general certificate for secondary education, international general certificate for secondary education, advanced subsidiary, A level and internatonal Baccalaureate",2020-03-18,2020-05-06,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Lesotho,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",,,,,NA,2020-10-16,2020-10-16T09:11:46Z
R_UAfJvxDmpYBKmLnDk,7286566,update,original,End of Policy,,Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April. UPDATE: The original policy had restricted all school activities. It has been updated to: Technical and Vocational Education and Training (TVET) and tertiary institutions shall resume classes,2020-03-18,2020-05-06,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Lesotho,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",,,,,NA,2020-10-16,2020-10-16T09:17:04Z
R_UAfJvxDmpYBKmLnDm,7286566,update,original,End of Policy,,Lesotho has on Wednesday (March 18) declared the coronavirus a national emergency and schools will be closed but public primary schools will continue feeding schemes where some pupils get their only meal. schools will be closed until 17 April. UPDATE: The original policy had restricted all school activities. It has been updated to: Technical and Vocational Education and Training (TVET) and tertiary institutions shall resume classes,2020-03-18,2020-05-06,2020-05-19,Lesotho,LSO,LS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Lesotho,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",,,,,NA,2020-10-16,2020-10-16T09:17:04Z
