"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_6llHYZ2khWjFCF3Cu","8464172","new_entry","original",NA,NA,"Minister of Education Outlines Plans for the Reopening of Schools for 12th Graders",2020-06-23,2020-06-29,NA,"Liberia","LBR","LR","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities allowed to open with conditions","Liberia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.liberianobserver.com/news/moe-outlined-plans-for-the-reopening-of-schools-for-12th-graders/",2020-06-23,2020-06-23 14:11:23
"2","R_6llHYZ2khWjFCF3Dr","8464172","new_entry","original",NA,NA,"Minister of Education Outlines Plans for the Reopening of Schools for 12th Graders",2020-06-23,2020-06-29,NA,"Liberia","LBR","LR","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Liberia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.liberianobserver.com/news/moe-outlined-plans-for-the-reopening-of-schools-for-12th-graders/",2020-06-23,2020-06-23 14:11:23
"3","R_6llHYZ2khWjFCF3Bh","8464172","new_entry","original",NA,NA,"Minister of Education Outlines Plans for the Reopening of Schools for 12th Graders",2020-06-23,2020-06-29,NA,"Liberia","LBR","LR","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Liberia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.liberianobserver.com/news/moe-outlined-plans-for-the-reopening-of-schools-for-12th-graders/",2020-06-23,2020-06-23 14:11:23
"4","R_wWQklcct0Ya7paVNA","9869450","new_entry","original",NA,NA,"The Government of Liberia has declared a state of national health emergency.",2020-03-21,2020-03-21,NA,"Liberia","LBR","LR","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Liberia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health",49.3788591520181,47.138614504196,44.7717165850888,5,"https://frontpageafricaonline.com/news/liberia-declares-a-state-of-health-emergency-in-wake-of-coronavirus-pandemic/",2020-04-21,2020-04-21 00:11:32
"5","R_NXBBOkAx0mGKWYhNA","6583590","new_entry","original",NA,NA,"""On March 22, the Liberian Ministry of Health released a Declaration of National Health Emergency."" The Declaration announces school closures and restrictions on public gatherings in Monteserrado and Margibi counties, as well as the closure of Roberts International Airport (with limited exceptions).",2020-03-22,2020-03-23,NA,"Liberia","LBR","LR","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Liberia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","Ministry/Department of Health",49.4204187798053,47.3047425114473,45.0878690491747,5,"https://lr.usembassy.gov/covid-19-information/",2020-04-06,2020-04-06 20:30:54
"6","R_z7EqXltQtQ1Ao1zNA","7812380","new_entry","original",NA,NA,"Liberia's President George Weah announces that he intends to declare a state of emergency starting at 23:59 (local time) on Friday, April 10, due to the coronavirus disease (COVID-19) pandemic. President Weah has called for an emergency session of parliament so that MPs can approve the measure. The emergency law would last for three weeks and is renewable. Throughout this period, residents may only leave home for essential journeys such as food shopping and for medical purposes, which should be restricted to local communities and be limited to a single person per household for a maximum of one hour.",2020-04-08,2020-04-10,2020-05-01,"Liberia","LBR","LR","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Liberia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Provincial/State Government",51.6928936294641,47.2616383513115,43.6046198207032,5,"https://www.reuters.com/article/us-health-coronavirus-ethiopia/ethiopia-and-liberia-declare-states-of-emergency-to-curb-coronavirus-idUSKBN21Q16T",2020-05-05,2020-05-05 15:31:07
"7","R_3KUUdz4uGJtBd4fNA","928893","new_entry","original",NA,NA,"Liberia's President George Weah announced that he intends to declare a state of emergency starting at 23:59 (local time) on Friday, April 10, due to the coronavirus disease (COVID-19) pandemic. President Weah has called for an emergency session of parliament so that MPs can approve the measure. The emergency law would last for three weeks and is renewable. Throughout this period, residents may only leave home for essential journeys such as food shopping and for medical purposes, which should be restricted to local communities and be limited to a single person per household for a maximum of one hour.",2020-04-08,2020-04-10,2020-06-09,"Liberia","LBR","LR","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Liberia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",51.6928936294641,47.2616383513115,43.6046198207032,5,"https://www.reuters.com/article/us-health-coronavirus-ethiopia/ethiopia-and-liberia-declare-states-of-emergency-to-curb-coronavirus-idUSKBN21Q16T",2020-04-28,2020-04-28 15:41:59
"8","R_1hG1Ry0tFjxWQPzNA","3685463","new_entry","original",NA,NA,"President George Weah announced that Liberias stayathome measures in place to prevent the spread of coronavirus disease COVID19 will be extended by a further two weeks through until Friday May 8 The measures have been in place since Saturday April 11 and will now include the compulsory wearing of face masks in public Among other restrictions remaining in effect is a daily curfew at 1500 local time a ban on movement between counties and the closure of all nonessential businesses",2020-04-24,2020-04-24,NA,"Liberia","LBR","LR","National",1,NA,NA,"Declaration of Emergency",NA,NA,"",NA,NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",51.7937754877296,47.1859189296691,41.7413850215355,5,"https://www.garda.com/crisis24/news-alerts/336071/liberia-president-extends-lockdown-measures-for-two-weeks-from-april-24-update-6",2020-04-28,2020-04-28 15:39:20
"9","R_27sbDuR0S6OYsB7NA","928893","update","original","Change of Policy","Strengthening","Liberia's President George Weah announced that he intends to declare a state of emergency starting at 23:59 (local time) on Friday, April 10, due to the coronavirus disease (COVID-19) pandemic. President Weah has called for an emergency session of parliament so that MPs can approve the measure. The emergency law would last for three weeks and is renewable. Throughout this period, residents may only leave home for essential journeys such as food shopping and for medical purposes, which should be restricted to local communities and be limited to a single person per household for a maximum of one hour.",2020-05-08,2020-05-08,2020-06-09,"Liberia","LBR","LR","National",0,NA,NA,"Declaration of Emergency",NA,NA,"","Liberia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",NA,NA,NA,NA,"NA",2020-06-01,2020-06-01 21:35:09
"10","R_yNDhWwpmwa2ZPb3NA","6583590","update","original","End of Policy",NA,"""On March 22, the Liberian Ministry of Health released a Declaration of National Health Emergency."" The Declaration announces school closures and restrictions on public gatherings in Monteserrado and Margibi counties, as well as the closure of Roberts International Airport (with limited exceptions). On May 17th, Liberia is reopening its houses of worship.",2020-05-17,2020-05-17,NA,"Liberia","LBR","LR","National",0,NA,NA,"Declaration of Emergency",NA,NA,"","Liberia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","Ministry/Department of Health",NA,NA,NA,NA,"NA ; https://allafrica.com/stories/202005200662.html ; Daily Observer ; Liberia: Muslim Leaders Differ Over Reopening of Religious Worship Centers",2020-05-20,2020-05-20 19:13:18
