record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3e8KNgmaEsKGNXODg,3360208,new_entry,original,,,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down.",2020-03-13,2020-03-09,2020-05-11,Liechtenstein,LIE,LI,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Liechtenstein,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,52.675910888746,51.4330371755647,50.3851451749957,156,https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827,2020-03-29,2020-03-29T13:08:28Z
R_3e8KNgmaEsKGNXODi,3360208,new_entry,original,,,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down.",2020-03-13,2020-03-09,2020-05-11,Liechtenstein,LIE,LI,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Liechtenstein,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,52.675910888746,51.4330371755647,50.3851451749957,156,https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827,2020-03-29,2020-03-29T13:08:28Z
R_3e8KNgmaEsKGNXOEe,3360208,new_entry,original,,,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down.",2020-03-13,2020-03-09,2020-05-11,Liechtenstein,LIE,LI,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Liechtenstein,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,52.675910888746,51.4330371755647,50.3851451749957,156,https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827,2020-03-29,2020-03-29T13:08:28Z
R_3e8KNgmaEsKGNXOBo,3360208,new_entry,original,,,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down.",2020-03-13,2020-03-09,2020-05-11,Liechtenstein,LIE,LI,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Liechtenstein,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,52.675910888746,51.4330371755647,50.3851451749957,156,https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827,2020-03-29,2020-03-29T13:08:28Z
R_3MxtAa91zk7BuiODg,3360208,update,original,End of Policy,,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down.
On April 30 the gov of Liechtenstein announced that schools, educational and childcare establishments are going to reopen on May 11 under age-appropriate conditions.",2020-03-13,2020-03-09,2020-05-11,Liechtenstein,LIE,LI,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",Liechtenstein,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,52.675910888746,51.4330371755647,50.3851451749957,156,NA,2020-07-08,2020-07-08T23:22:12Z
R_3MxtAa91zk7BuiODi,3360208,update,original,End of Policy,,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down.
On April 30 the gov of Liechtenstein announced that schools, educational and childcare establishments are going to reopen on May 11 under age-appropriate conditions.",2020-03-13,2020-03-09,2020-05-11,Liechtenstein,LIE,LI,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Liechtenstein,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,52.675910888746,51.4330371755647,50.3851451749957,156,NA,2020-07-08,2020-07-08T23:22:12Z
R_3MxtAa91zk7BuiOEe,3360208,update,original,End of Policy,,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down.
On April 30 the gov of Liechtenstein announced that schools, educational and childcare establishments are going to reopen on May 11 under age-appropriate conditions.",2020-03-13,2020-03-09,2020-05-11,Liechtenstein,LIE,LI,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Liechtenstein,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,52.675910888746,51.4330371755647,50.3851451749957,156,NA,2020-07-08,2020-07-08T23:22:12Z
R_3MxtAa91zk7BuiOBo,3360208,update,original,End of Policy,,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down.
On April 30 the gov of Liechtenstein announced that schools, educational and childcare establishments are going to reopen on May 11 under age-appropriate conditions.",2020-03-13,2020-03-09,2020-05-11,Liechtenstein,LIE,LI,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",Liechtenstein,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,52.675910888746,51.4330371755647,50.3851451749957,156,NA,2020-07-08,2020-07-08T23:22:12Z
R_W2Lg5niEZc68IbTDg,3360208,update,original,End of Policy,,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down. From May 11, 2020, kindergartens, primary and secondary schools are allowed to reopen.",2020-03-13,2020-03-09,2020-05-11,Liechtenstein,LIE,LI,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Liechtenstein,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,52.675910888746,51.4330371755647,50.3851451749957,156,NA,2020-05-07,2020-05-07T12:35:42Z
R_W2Lg5niEZc68IbTDi,3360208,update,original,End of Policy,,"In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down. From May 11, 2020, kindergartens, primary and secondary schools are allowed to reopen.",2020-03-13,2020-03-09,2020-05-11,Liechtenstein,LIE,LI,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Liechtenstein,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,52.675910888746,51.4330371755647,50.3851451749957,156,NA,2020-05-07,2020-05-07T12:35:42Z
