"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2xVrRERiK4QupkmDo",2400827,"new_entry","original","NA",NA,"Luxemburg is closing schools.","2020-03-12","2020-03-16",NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.6547574821295,53.4961920287757,52.6395466153832,179,"https://gouvernement.lu/de/actualites/toutes_actualites/communiques/2020/03-mars/12-cdg-extraordinaire-coronavirus.html","2020-04-02","2020-04-02 21:27:55"
"2","R_2xVrRERiK4QupkmEm",2400827,"new_entry","original","NA",NA,"Luxemburg is closing schools.","2020-03-12","2020-03-16",NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.6547574821295,53.4961920287757,52.6395466153832,179,"https://gouvernement.lu/de/actualites/toutes_actualites/communiques/2020/03-mars/12-cdg-extraordinaire-coronavirus.html","2020-04-02","2020-04-02 21:27:55"
"3","R_2bOy7UGve8CwfXUDo",9987272,"new_entry","original","NA",NA,"Luxemburg: Corona School Start","2020-04-16","2020-05-11",NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with conditions","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.tageblatt.lu/headlines/die-schule-wird-nicht-die-gleiche-wie-vor-der-ausgangssperre-sein/","2020-07-10","2020-07-10 15:25:37"
"4","R_2bOy7UGve8CwfXUEm",9987272,"new_entry","original","NA",NA,"Luxemburg: Corona School Start","2020-04-16","2020-05-11",NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.tageblatt.lu/headlines/die-schule-wird-nicht-die-gleiche-wie-vor-der-ausgangssperre-sein/","2020-07-10","2020-07-10 15:25:37"
"5","R_1rvUKGTReGlQV04En",15554,"new_entry","original","NA",NA,"Luxemburg is restricting social movement to essential acitivities, including grocery shopping, essential travel to work, way to hospital, in order to visit people in need, in an emergency situation and in order to exercise (with 2 meters distance).","2020-03-15","2020-03-16",NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Curfew",NA,NA,"","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.6547574821295,53.4961920287757,52.6395466153832,179,"https://gouvernement.lu/de/actualites/toutes_actualites/communiques/2020/03-mars/15-nouvelles-mesures-coronavirus.html","2020-04-02","2020-04-02 21:42:20"
"6","R_2TyHjjScNL1MHaTEn",8998642,"new_entry","original","NA",NA,"Luxemburg is declaring a state of crisis on 17 March, which gives the Government the possibility to set up emergency measures in order to face the crisis. Thus, a regulatory and legal framework is established, in line with the Luxembourg Constitution: the scope covered by this Article is limited to measures which cannot be taken in good time through the normal legislative procedure. The Chamber of Deputies can, at every moment, suspend or revoke the state of crisis: Parliamentary control is this fully guaranteed.","2020-03-17","2020-03-18",NA,"Luxembourg","LUX","LU","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Luxembourg",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.8585522218554,53.8768390285128,52.8700464028729,182,"https://msan.gouvernement.lu/en/actualites.gouvernement%2Ben%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2020%2B03-mars%2B17-declaration-premier-chd.html","2020-04-02","2020-04-02 22:08:51"
"7","R_3gRE7wGP8TF9rF6Fg",5582462,"new_entry","original","NA",NA,"Luxemburg banned third-country nationals to enter the territory of the Grand Duchy. The restriction was put in place, initially, for a one month period starting on March 18, 2020.  There are several exemptions from this ban, including for  Belgian, French, and German cross-border workers.","2020-03-18","2020-03-18",2020-04-18,"Luxembourg","LUX","LU","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Bolivia","One or more countries, but not all countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",54.8585522218554,53.8768390285128,52.8700464028729,182,"https://blogs.duanemorris.com/immigrationlaw/2020/03/29/luxembourg-covid-19-travel-ban-and-entry-restrictions/","2020-04-04","2020-04-04 12:54:33"
"8","R_27CJXf07wlZRp8tFg",2772566,"new_entry","original","NA",NA,"German frontier workers are excempt from the Luxemburg entry ban. The Luxembourg government has issued a certificate the worker needs to carry with them, as proof of the need to cross the border. 18 March.","2020-03-18","2020-03-18",NA,"Luxembourg","LUX","LU","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Germany","One or more countries, but not all countries",NA,NA,NA,NA,"Other","Inbound/Outbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",54.8585522218554,53.8768390285128,52.8700464028729,182,"https://blogs.duanemorris.com/immigrationlaw/2020/03/29/luxembourg-covid-19-travel-ban-and-entry-restrictions/","2020-04-04","2020-04-04 17:12:45"
"9","R_zdp9yjcHB3Os5IlFg",9939374,"new_entry","original","NA",NA,"French frontier workers are excempt from the Luxemburg entry ban. The Luxembourg government has issued a certificate the worker needs to carry with them, as proof of the need to cross the border together with the attestation of necessary travel and the justification of necessary travel.","2020-03-18","2020-03-18",NA,"Luxembourg","LUX","LU","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","France","One or more countries, but not all countries",NA,NA,NA,NA,"Other","Inbound/Outbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",54.8585522218554,53.8768390285128,52.8700464028729,182,"https://blogs.duanemorris.com/immigrationlaw/2020/03/29/luxembourg-covid-19-travel-ban-and-entry-restrictions/","2020-04-04","2020-04-04 17:02:34"
"10","R_3jdFY07auX82sd0Fg",479654,"new_entry","original","NA",NA,"Belgian frontier workers ar exempted from the entry ban in Luxemburg, the Luxembourg government has issued a certificate the worker needs to carry with them, as proof of the need to cross the border. 18 March.","2020-03-18","2020-04-18",NA,"Luxembourg","LUX","LU","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Belgium","One or more countries, but not all countries",NA,NA,NA,NA,"Other","Inbound/Outbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government",63.8704785607435,53.47417807449,41.7942498398844,118,"https://blogs.duanemorris.com/immigrationlaw/2020/03/29/luxembourg-covid-19-travel-ban-and-entry-restrictions/","2020-04-04","2020-04-04 16:57:21"
