record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_ReNlHw9DajpkZgdDk,4183937,new_entry,original,,,"On Jan 24, Macau’s Education and Youth Affairs Bureau announced that all non-tertiary education schools in Macao will resume classes on or after 10th February, 2020 (Monday) after the Chinese New Year holiday.",2020-01-24,2020-01-24,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,https://portal.dsej.gov.mo/webdsejspace/internet/Inter_main_page.jsp?id=74927,2020-05-10,2020-05-10T23:02:58Z
R_ReNlHw9DajpkZgdDm,4183937,new_entry,original,,,"On Jan 24, Macau’s Education and Youth Affairs Bureau announced that all non-tertiary education schools in Macao will resume classes on or after 10th February, 2020 (Monday) after the Chinese New Year holiday.",2020-01-24,2020-01-24,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,https://portal.dsej.gov.mo/webdsejspace/internet/Inter_main_page.jsp?id=74927,2020-05-10,2020-05-10T23:02:58Z
R_ReNlHw9DajpkZgdEm,4183937,new_entry,original,,,"On Jan 24, Macau’s Education and Youth Affairs Bureau announced that all non-tertiary education schools in Macao will resume classes on or after 10th February, 2020 (Monday) after the Chinese New Year holiday.",2020-01-24,2020-01-24,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,https://portal.dsej.gov.mo/webdsejspace/internet/Inter_main_page.jsp?id=74927,2020-05-10,2020-05-10T23:02:58Z
R_21nAFEGSAXVWncbDk,4183937,update,original,Change of Policy,Relaxing,"Announced on March 16, Macau planned to resume schools in phases starting from 30th March on voluntary basis. All resumption dates issued by the education regulator are still subject to change depending on developments in the fight against the Covid-19 pandemic. UPDATE: Macau planned to resume schools from the end of March",2020-03-16,2020-03-30,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,NA,2020-05-10,2020-05-10T23:23:15Z
R_21nAFEGSAXVWncbDm,4183937,update,original,Change of Policy,Relaxing,"Announced on March 16, Macau planned to resume schools in phases starting from 30th March on voluntary basis. All resumption dates issued by the education regulator are still subject to change depending on developments in the fight against the Covid-19 pandemic. UPDATE: Macau planned to resume schools from the end of March",2020-03-16,2020-03-30,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,NA,2020-05-10,2020-05-10T23:23:15Z
R_21nAFEGSAXVWncbEm,4183937,update,original,Change of Policy,Relaxing,"Announced on March 16, Macau planned to resume schools in phases starting from 30th March on voluntary basis. All resumption dates issued by the education regulator are still subject to change depending on developments in the fight against the Covid-19 pandemic. UPDATE: Macau planned to resume schools from the end of March",2020-03-16,2020-03-30,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,NA,2020-05-10,2020-05-10T23:23:15Z
R_2zzLtbqUZHMiBs3Dk,4183937,update,original,Change of Policy,Relaxing,"Announced on April 19, Macau is to resume classes for non-tertiary education schools in phases from May 4. 

Senior Secondary (May 4) 
Junior Secondary (May 11) 
Primary, Infant Education, Special Education (To be announced) 
 UPDATE: Schools will start to resume on May 4.",2020-04-19,2020-05-04,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,NA,2020-05-10,2020-05-10T23:37:20Z
R_2zzLtbqUZHMiBs3Dm,4183937,update,original,Change of Policy,Relaxing,"Announced on April 19, Macau is to resume classes for non-tertiary education schools in phases from May 4. 

Senior Secondary (May 4) 
Junior Secondary (May 11) 
Primary, Infant Education, Special Education (To be announced) 
 UPDATE: Schools will start to resume on May 4.",2020-04-19,2020-05-04,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,NA,2020-05-10,2020-05-10T23:37:20Z
R_2zzLtbqUZHMiBs3Em,4183937,update,original,Change of Policy,Relaxing,"Announced on April 19, Macau is to resume classes for non-tertiary education schools in phases from May 4. 

Senior Secondary (May 4) 
Junior Secondary (May 11) 
Primary, Infant Education, Special Education (To be announced) 
 UPDATE: Schools will start to resume on May 4.",2020-04-19,2020-05-04,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,NA,2020-05-10,2020-05-10T23:37:20Z
R_1GCFc4RczKhWChbDk,4183937,update,correction,Change of Policy,Relaxing,"On Jan 30, Macau SAR Government announced that the date of class resumption of various tertiary education institutions, secondary and primary schools and kindergartens, as well as the operation resumption dates of private tutorial centres and continuing education institutions will further be postponed. The arrangements for class resumption will be announced one week before the resumption. CORRECTION: this is an extension of the January 24 policy made by Macau's Education and Youth Affairs Bureau that all non-tertiary education schools in Macao would resume classes on or after 10th February, 2020 (Monday) after the Chinese New Year holiday.",2020-05-28,2020-06-01,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,https://portal.dsej.gov.mo/webdsejspace/internet/Inter_main_page.jsp?id=74927,2020-09-26,2020-09-26T07:35:44Z
R_1GCFc4RczKhWChbDm,4183937,update,correction,Change of Policy,Relaxing,"On Jan 30, Macau SAR Government announced that the date of class resumption of various tertiary education institutions, secondary and primary schools and kindergartens, as well as the operation resumption dates of private tutorial centres and continuing education institutions will further be postponed. The arrangements for class resumption will be announced one week before the resumption. CORRECTION: this is an extension of the January 24 policy made by Macau's Education and Youth Affairs Bureau that all non-tertiary education schools in Macao would resume classes on or after 10th February, 2020 (Monday) after the Chinese New Year holiday.",2020-05-28,2020-06-01,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,https://portal.dsej.gov.mo/webdsejspace/internet/Inter_main_page.jsp?id=74927,2020-09-26,2020-09-26T07:35:44Z
R_1GCFc4RczKhWChbEm,4183937,update,correction,Change of Policy,Relaxing,"On Jan 30, Macau SAR Government announced that the date of class resumption of various tertiary education institutions, secondary and primary schools and kindergartens, as well as the operation resumption dates of private tutorial centres and continuing education institutions will further be postponed. The arrangements for class resumption will be announced one week before the resumption. CORRECTION: this is an extension of the January 24 policy made by Macau's Education and Youth Affairs Bureau that all non-tertiary education schools in Macao would resume classes on or after 10th February, 2020 (Monday) after the Chinese New Year holiday.",2020-05-28,2020-06-01,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,https://portal.dsej.gov.mo/webdsejspace/internet/Inter_main_page.jsp?id=74927,2020-09-26,2020-09-26T07:35:44Z
R_3mmLJD7EMjlqRepDk,4183937,update,correction,Change of Policy,Relaxing,"On May 28, Macao announced that students of Primary 1 to 3 would resume classes on June 1.",2020-05-28,2020-06-01,,Macau,MAC,MO,National,1,Macau,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",Macau,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,NA,2020-06-30,2020-06-30T20:46:30Z
