record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_UDzLshmCCzkauopDo,8744434,new_entry,original,,,"In Madagascar, as of March 21, all schools, universities, and administrative offices will be closed.",2020-03-21,2020-03-21,2020-04-04,Madagascar,MDG,MG,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Madagascar,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Police",52.854168581084,51.8782730172584,50.8715066786324,91,https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus,2020-04-01,2020-04-01T17:49:30Z
R_UDzLshmCCzkauopDq,8744434,new_entry,original,,,"In Madagascar, as of March 21, all schools, universities, and administrative offices will be closed.",2020-03-21,2020-03-21,2020-04-04,Madagascar,MDG,MG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Madagascar,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Police",52.854168581084,51.8782730172584,50.8715066786324,91,https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus,2020-04-01,2020-04-01T17:49:30Z
R_UDzLshmCCzkauopEq,8744434,new_entry,original,,,"In Madagascar, as of March 21, all schools, universities, and administrative offices will be closed.",2020-03-21,2020-03-21,2020-04-04,Madagascar,MDG,MG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Madagascar,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Police",52.854168581084,51.8782730172584,50.8715066786324,91,https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus,2020-04-01,2020-04-01T17:49:30Z
R_UDzLshmCCzkauopBu,8744434,new_entry,original,,,"In Madagascar, as of March 21, all schools, universities, and administrative offices will be closed.",2020-03-21,2020-03-21,2020-04-04,Madagascar,MDG,MG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Madagascar,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Police",52.854168581084,51.8782730172584,50.8715066786324,91,https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus,2020-04-01,2020-04-01T17:49:30Z
R_2DOcs9BjcOLlXaODo,9142557,new_entry,original,,,The government announced that all schools in the Analamanga region are closed. The policy began on July 6th for 15 days.,2020-07-06,2020-07-06,2020-07-21,Madagascar,MDG,MG,Provincial,1,Analamanga,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Madagascar,One or more provinces within a country,,Analamanga,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://madagascar-tourisme.com/en/travel-alerts-for-madagascar/,2020-08-24,2020-08-24T21:36:05Z
R_2DOcs9BjcOLlXaODq,9142557,new_entry,original,,,The government announced that all schools in the Analamanga region are closed. The policy began on July 6th for 15 days.,2020-07-06,2020-07-06,2020-07-21,Madagascar,MDG,MG,Provincial,1,Analamanga,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Madagascar,One or more provinces within a country,,Analamanga,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://madagascar-tourisme.com/en/travel-alerts-for-madagascar/,2020-08-24,2020-08-24T21:36:05Z
R_2DOcs9BjcOLlXaOEq,9142557,new_entry,original,,,The government announced that all schools in the Analamanga region are closed. The policy began on July 6th for 15 days.,2020-07-06,2020-07-06,2020-07-21,Madagascar,MDG,MG,Provincial,1,Analamanga,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Madagascar,One or more provinces within a country,,Analamanga,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://madagascar-tourisme.com/en/travel-alerts-for-madagascar/,2020-08-24,2020-08-24T21:36:05Z
R_2DOcs9BjcOLlXaOBu,9142557,new_entry,original,,,The government announced that all schools in the Analamanga region are closed. The policy began on July 6th for 15 days.,2020-07-06,2020-07-06,2020-07-21,Madagascar,MDG,MG,Provincial,1,Analamanga,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Madagascar,One or more provinces within a country,,Analamanga,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,,,,,https://madagascar-tourisme.com/en/travel-alerts-for-madagascar/,2020-08-24,2020-08-24T21:36:05Z
R_2t8L5WeiRHyQEmcNA,9604909,new_entry,original,,,"In Madagascar, as of March 23, 2020, a curfew is in place between 8 p.m. and 5 a.m. in Antananarivo (Analamanga region) and Toamasina.",2020-03-22,2020-03-23,,Madagascar,MDG,MG,National,1,,,,Curfew,,,,Madagascar,One or more cities within a country,,,Antananarivo and Toamasina,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Police",54.8440782796881,53.762061866552,52.81659587822,167,https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/summary-of-president-rajoelinas-statement-03-22-20/ ; https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/madagascar/,2020-04-06,2020-04-06T02:34:12Z
R_1kMisCa9ic6RC1WNA,3820052,new_entry,correction,,,The Government of Madagascar has imposed a new curfew on the Analamanga region. Curfew is between 8 pm to 4 am.,2020-07-06,2020-07-06,2020-07-21,Madagascar,MDG,MG,National,1,Analamanga,,,Curfew,,,,Madagascar,One or more provinces within a country,,Analamanga,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Police",,,,,https://madagascar-tourisme.com/en/travel-alerts-for-madagascar/,2021-01-15,2021-01-15T02:57:51Z
