record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2zl6uHmbgoqMlaODl,4188468,new_entry,original,,,"With the detection of the first 3 cases in Mauritius on 18th March 2020, all academic institutions are closed as from Thursday 19th March 2020. This has given way to online classes which are taking place for primary, secondary and tertiary students.",2020-03-18,2020-03-19,,Mauritius,MUS,MU,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Mauritius,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",52.0502860199095,51.1562099585128,50.2829405323717,70,https://www.myt.mu/sinformer/dossiers/societe/538769/covid-19-trois-cas-a-maurice-fermeture-des-frontieres-et-des-ecoles.html,2020-04-22,2020-04-22T07:39:35Z
R_2zl6uHmbgoqMlaODn,4188468,new_entry,original,,,"With the detection of the first 3 cases in Mauritius on 18th March 2020, all academic institutions are closed as from Thursday 19th March 2020. This has given way to online classes which are taking place for primary, secondary and tertiary students.",2020-03-18,2020-03-19,,Mauritius,MUS,MU,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mauritius,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",52.0502860199095,51.1562099585128,50.2829405323717,70,https://www.myt.mu/sinformer/dossiers/societe/538769/covid-19-trois-cas-a-maurice-fermeture-des-frontieres-et-des-ecoles.html,2020-04-22,2020-04-22T07:39:35Z
R_2zl6uHmbgoqMlaOEm,4188468,new_entry,original,,,"With the detection of the first 3 cases in Mauritius on 18th March 2020, all academic institutions are closed as from Thursday 19th March 2020. This has given way to online classes which are taking place for primary, secondary and tertiary students.",2020-03-18,2020-03-19,,Mauritius,MUS,MU,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Mauritius,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",52.0502860199095,51.1562099585128,50.2829405323717,70,https://www.myt.mu/sinformer/dossiers/societe/538769/covid-19-trois-cas-a-maurice-fermeture-des-frontieres-et-des-ecoles.html,2020-04-22,2020-04-22T07:39:35Z
R_2zl6uHmbgoqMlaOBs,4188468,new_entry,original,,,"With the detection of the first 3 cases in Mauritius on 18th March 2020, all academic institutions are closed as from Thursday 19th March 2020. This has given way to online classes which are taking place for primary, secondary and tertiary students.",2020-03-18,2020-03-19,,Mauritius,MUS,MU,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Mauritius,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",52.0502860199095,51.1562099585128,50.2829405323717,70,https://www.myt.mu/sinformer/dossiers/societe/538769/covid-19-trois-cas-a-maurice-fermeture-des-frontieres-et-des-ecoles.html,2020-04-22,2020-04-22T07:39:35Z
R_URAZFASI3lYXfOhDn,5638168,new_entry,original,,,"Mauritius Institute of Education, in collaboration with the Mahatma Gandhi Institute and the Mauritius Broadcasting Corporation, introduced ""learning channels"" accessible by TV starting April 6.
",2020-04-01,2020-04-06,,Mauritius,MUS,MU,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mauritius,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Education,53.6080806950125,51.7949573864733,49.805561806919,51,https://defimedia.info/covid-19confinement-education-voici-les-details-des-cours-en-ligne-et-la-tele,2020-12-03,2020-12-03T18:35:13Z
R_URAZFASI3lYXfOhEm,5638168,new_entry,original,,,"Mauritius Institute of Education, in collaboration with the Mahatma Gandhi Institute and the Mauritius Broadcasting Corporation, introduced ""learning channels"" accessible by TV starting April 6.
",2020-04-01,2020-04-06,,Mauritius,MUS,MU,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Mauritius,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Education,53.6080806950125,51.7949573864733,49.805561806919,51,https://defimedia.info/covid-19confinement-education-voici-les-details-des-cours-en-ligne-et-la-tele,2020-12-03,2020-12-03T18:35:13Z
R_C9u9kLkzh60rbBDDl,4188468,update,original,End of Policy,,"On June 15, Education minister Mrs Leela Devi Dookun-Luchoomun announced that all schools - pre-primary, primary and secondary levels in Mauritius - will resume classes on 1 July 2020 UPDATE: The original policy shut down schools; schools will resume on July 1st.",2020-06-15,2020-07-01,,Mauritius,MUS,MU,National,0,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Mauritius,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",,,,,NA ; https://www.panapress.com/COViD-19-Mauritius-schools-reope-a_630647040-lang2-free_news.html,2020-12-02,2020-12-02T20:27:00Z
R_C9u9kLkzh60rbBDDn,4188468,update,original,End of Policy,,"On June 15, Education minister Mrs Leela Devi Dookun-Luchoomun announced that all schools - pre-primary, primary and secondary levels in Mauritius - will resume classes on 1 July 2020 UPDATE: The original policy shut down schools; schools will resume on July 1st.",2020-06-15,2020-07-01,,Mauritius,MUS,MU,National,0,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Mauritius,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",,,,,NA ; https://www.panapress.com/COViD-19-Mauritius-schools-reope-a_630647040-lang2-free_news.html,2020-12-02,2020-12-02T20:27:00Z
R_C9u9kLkzh60rbBDEm,4188468,update,original,End of Policy,,"On June 15, Education minister Mrs Leela Devi Dookun-Luchoomun announced that all schools - pre-primary, primary and secondary levels in Mauritius - will resume classes on 1 July 2020 UPDATE: The original policy shut down schools; schools will resume on July 1st.",2020-06-15,2020-07-01,,Mauritius,MUS,MU,National,0,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Mauritius,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",,,,,NA ; https://www.panapress.com/COViD-19-Mauritius-schools-reope-a_630647040-lang2-free_news.html,2020-12-02,2020-12-02T20:27:00Z
R_C9u9kLkzh60rbBDBs,4188468,update,original,End of Policy,,"On June 15, Education minister Mrs Leela Devi Dookun-Luchoomun announced that all schools - pre-primary, primary and secondary levels in Mauritius - will resume classes on 1 July 2020 UPDATE: The original policy shut down schools; schools will resume on July 1st.",2020-06-15,2020-07-01,,Mauritius,MUS,MU,National,0,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Mauritius,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",,,,,NA ; https://www.panapress.com/COViD-19-Mauritius-schools-reope-a_630647040-lang2-free_news.html,2020-12-02,2020-12-02T20:27:00Z
