"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_cUuN0jXCkjRMYRXDp",7190595,"new_entry","original","NA",NA,"On March 17th, the government of Nuevo Leon suspended all schooling in response to the coronavirus epidemic.

Lectures were subsequently moved online.","2020-03-16","2020-03-17",NA,"Mexico","MEX","MX","Provincial",1,"Nuevo Leon",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Mexico",NA,NA,"Nuevo Leon",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",51.0830631694908,50.0083123740356,48.7037750691692,53,"https://www.eleconomista.com.mx/estados/Nuevo-Leon-adelanta-suspension-de-clases-en-todos-los-niveles-por-coronavirus--20200316-0019.html","2020-09-10","2020-09-10 04:32:26"
"2","R_cUuN0jXCkjRMYRXEn",7190595,"new_entry","original","NA",NA,"On March 17th, the government of Nuevo Leon suspended all schooling in response to the coronavirus epidemic.

Lectures were subsequently moved online.","2020-03-16","2020-03-17",NA,"Mexico","MEX","MX","Provincial",1,"Nuevo Leon",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Mexico",NA,NA,"Nuevo Leon",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",51.0830631694908,50.0083123740356,48.7037750691692,53,"https://www.eleconomista.com.mx/estados/Nuevo-Leon-adelanta-suspension-de-clases-en-todos-los-niveles-por-coronavirus--20200316-0019.html","2020-09-10","2020-09-10 04:32:26"
"3","R_1N93SSti5Wm28U5Dp",4429495,"new_entry","correction","NA",NA,"The Ministry of Education in Baja California reported that as of March 18 and with a return until April 20, classes are suspended at all levels of public education throughout the state, as a precautionary measure before COVID -19.","2020-03-17","2020-03-18",2020-08-01,"Mexico","MEX","MX","Provincial",0,"Baja California",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Mexico",NA,NA,"Baja California",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","New (COVID-19 specific) Task Force",51.3200694776482,50.1369410971597,48.956613779268,50,"https://www.sandiegouniontribune.com/news/border-baja-california/story/2020-03-17/baja-california-confirms-first-two-cases-of-coronavirus","2020-07-23","2020-07-23 11:25:15"
"4","R_1N93SSti5Wm28U5En",4429495,"new_entry","correction","NA",NA,"The Ministry of Education in Baja California reported that as of March 18 and with a return until April 20, classes are suspended at all levels of public education throughout the state, as a precautionary measure before COVID -19.","2020-03-17","2020-03-18",2020-08-01,"Mexico","MEX","MX","Provincial",0,"Baja California",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Mexico",NA,NA,"Baja California",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","New (COVID-19 specific) Task Force",51.3200694776482,50.1369410971597,48.956613779268,50,"https://www.sandiegouniontribune.com/news/border-baja-california/story/2020-03-17/baja-california-confirms-first-two-cases-of-coronavirus","2020-07-23","2020-07-23 11:25:15"
"5","R_2RRnJ7yjR3F8wvGDp",4233904,"new_entry","original","NA",NA,"Baja California, Mexico has suspended schools at all educational levels for all students from March 18th through April 17th.","2020-03-18","2020-03-18",2020-04-17,"Mexico","MEX","MX","Provincial",1,"Baja California",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Mexico",NA,NA,"Baja California",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",51.3200694776482,50.1369410971597,48.956613779268,50,"https://www.newsbreak.com/news/1530158188306/mexicali-briefs-education-classes-suspended-starting-wednesday","2020-08-05","2020-08-05 21:31:09"
"6","R_2RRnJ7yjR3F8wvGEn",4233904,"new_entry","original","NA",NA,"Baja California, Mexico has suspended schools at all educational levels for all students from March 18th through April 17th.","2020-03-18","2020-03-18",2020-04-17,"Mexico","MEX","MX","Provincial",1,"Baja California",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Mexico",NA,NA,"Baja California",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",51.3200694776482,50.1369410971597,48.956613779268,50,"https://www.newsbreak.com/news/1530158188306/mexicali-briefs-education-classes-suspended-starting-wednesday","2020-08-05","2020-08-05 21:31:09"
"7","R_syPu5JerirF7FfPDp",4429495,"update","original","End of Policy",NA,"The Ministry of Education in Baja California reported that as of March 18 and with a return until April 20, classes are suspended at all levels of public education throughout the state, as a precautionary measure before COVID -19.","2020-03-17","2020-03-18",2020-08-01,"Mexico","MEX","MX","Provincial",0,"Baja California",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Mexico",NA,NA,"Baja California",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","New (COVID-19 specific) Task Force",51.3200694776482,50.1369410971597,48.956613779268,50,"https://www.sandiegouniontribune.com/news/border-baja-california/story/2020-03-17/baja-california-confirms-first-two-cases-of-coronavirus","2020-06-12","2020-06-12 13:31:17"
"8","R_syPu5JerirF7FfPEn",4429495,"update","original","End of Policy",NA,"The Ministry of Education in Baja California reported that as of March 18 and with a return until April 20, classes are suspended at all levels of public education throughout the state, as a precautionary measure before COVID -19.","2020-03-17","2020-03-18",2020-08-01,"Mexico","MEX","MX","Provincial",0,"Baja California",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Mexico",NA,NA,"Baja California",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","New (COVID-19 specific) Task Force",51.3200694776482,50.1369410971597,48.956613779268,50,"https://www.sandiegouniontribune.com/news/border-baja-california/story/2020-03-17/baja-california-confirms-first-two-cases-of-coronavirus","2020-06-12","2020-06-12 13:31:17"
"9","R_3jWgSONpOsti2nnDp",5410718,"new_entry","original","NA",NA,"The Ministry of Education and FP and RTVE launch 'We learn at home' (Aprendemos en casa) to facilitate the learning of all students ages 6-16 during the suspension of face-to-face classes on March 23, 2020.
'We learn at home' is a 5-hour a day special television program promoted by the MEFP to alleviate the lack of face-to-face classes motivated by the coronavirus crisis, especially among the most socially vulnerable students.","2020-03-21","2020-03-23",2020-07-10,"Mexico","MEX","MX","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Mexico",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",52.2440557949232,51.1335372460146,49.9979146480732,52,"http://www.educacionyfp.gob.es/prensa/actualidad/2020/03/20200321-mefprtve.html","2020-09-16","2020-09-16 15:03:53"
"10","R_3jWgSONpOsti2nnEn",5410718,"new_entry","original","NA",NA,"The Ministry of Education and FP and RTVE launch 'We learn at home' (Aprendemos en casa) to facilitate the learning of all students ages 6-16 during the suspension of face-to-face classes on March 23, 2020.
'We learn at home' is a 5-hour a day special television program promoted by the MEFP to alleviate the lack of face-to-face classes motivated by the coronavirus crisis, especially among the most socially vulnerable students.","2020-03-21","2020-03-23",2020-07-10,"Mexico","MEX","MX","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Mexico",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",52.2440557949232,51.1335372460146,49.9979146480732,52,"http://www.educacionyfp.gob.es/prensa/actualidad/2020/03/20200321-mefprtve.html","2020-09-16","2020-09-16 15:03:53"
"11","R_337sKzArq5hONAWDp",9610949,"new_entry","original","NA",NA,"On March 14, 2020, the Mexican health and education ministries announced to extend the school break and close schools from March 23rd to April 17th, with classes resuming on Monday, April 20th. The measure affects all educational levels. This coming year, schools will remain closed and students will learn from home with the """"aprende en casa"""" program until states enter the """"green"""" level of the stoplight system.","2020-03-14","2020-03-23",NA,"Mexico","MEX","MX","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Mexico",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",52.2440557949232,51.1335372460146,49.9979146480732,52,"https://mx.usembassy.gov/health-alert-mexico-covid-19-update-07-29-2020/","2020-09-16","2020-09-16 14:53:54"
"12","R_337sKzArq5hONAWEn",9610949,"new_entry","original","NA",NA,"On March 14, 2020, the Mexican health and education ministries announced to extend the school break and close schools from March 23rd to April 17th, with classes resuming on Monday, April 20th. The measure affects all educational levels. This coming year, schools will remain closed and students will learn from home with the """"aprende en casa"""" program until states enter the """"green"""" level of the stoplight system.","2020-03-14","2020-03-23",NA,"Mexico","MEX","MX","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Mexico",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Other (Please specify in the text box)",52.2440557949232,51.1335372460146,49.9979146480732,52,"https://mx.usembassy.gov/health-alert-mexico-covid-19-update-07-29-2020/","2020-09-16","2020-09-16 14:53:54"
"13","R_2TKSnkOHCmoxfokDp",5899501,"new_entry","original","NA",NA,"The Governor of Baja California Sur, Mexico, announced on May 11 that the 2019-2020 school year will be closed but will not be lost.","2020-05-11","2020-05-11",NA,"Mexico","MEX","MX","Provincial",1,"Baja California Sur",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Mexico",NA,NA,"Baja California Sur",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",NA,NA,NA,NA,"http://www.bcs.gob.mx/noticias/cierre-de-ciclo-escolar-en-bcs-tendra-estrategia-de-evaluacion-y-reforzamiento-de-aprendizajes-claves-cmd/","2020-05-13","2020-05-13 08:22:46"
"14","R_2TKSnkOHCmoxfokEn",5899501,"new_entry","original","NA",NA,"The Governor of Baja California Sur, Mexico, announced on May 11 that the 2019-2020 school year will be closed but will not be lost.","2020-05-11","2020-05-11",NA,"Mexico","MEX","MX","Provincial",1,"Baja California Sur",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Mexico",NA,NA,"Baja California Sur",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",NA,NA,NA,NA,"http://www.bcs.gob.mx/noticias/cierre-de-ciclo-escolar-en-bcs-tendra-estrategia-de-evaluacion-y-reforzamiento-de-aprendizajes-claves-cmd/","2020-05-13","2020-05-13 08:22:46"
"15","R_1l4Y2qtre1FIWu3Dp",7101989,"new_entry","original","NA",NA,"On July 18th, the governor of Zacatecas announced that schools would close in the region during the summer.","2020-07-18","2020-07-18",2020-09-01,"Mexico","MEX","MX","Provincial",1,"Zacatecas",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Mexico",NA,NA,"Zacatecas",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",NA,NA,NA,NA,"https://www.zacatecas.gob.mx/acuerdan-reforzar-medidas-preventivas-de-contagios-ante-semaforo-rojo-en-zacatecas/","2020-08-13","2020-08-13 06:13:07"
"16","R_1l4Y2qtre1FIWu3En",7101989,"new_entry","original","NA",NA,"On July 18th, the governor of Zacatecas announced that schools would close in the region during the summer.","2020-07-18","2020-07-18",2020-09-01,"Mexico","MEX","MX","Provincial",1,"Zacatecas",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Mexico",NA,NA,"Zacatecas",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government",NA,NA,NA,NA,"https://www.zacatecas.gob.mx/acuerdan-reforzar-medidas-preventivas-de-contagios-ante-semaforo-rojo-en-zacatecas/","2020-08-13","2020-08-13 06:13:07"
