record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_1CjD5YFawIVGAS5Dr,6560610,new_entry,original,,,"On March 13, Montenegro closed all schools and universities until further notice.",2020-03-13,2020-05-13,,Montenegro,MNE,ME,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Montenegro,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Municipal Government",,,,,https://www.reuters.com/article/us-health-coronavirus-montenegro/montenegro-bars-gatherings-closes-schools-ports-and-border-crossings-idUSKBN2102WD,2020-05-01,2020-05-01T08:42:16Z
R_1CjD5YFawIVGAS5Dt,6560610,new_entry,original,,,"On March 13, Montenegro closed all schools and universities until further notice.",2020-03-13,2020-05-13,,Montenegro,MNE,ME,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Montenegro,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Municipal Government",,,,,https://www.reuters.com/article/us-health-coronavirus-montenegro/montenegro-bars-gatherings-closes-schools-ports-and-border-crossings-idUSKBN2102WD,2020-05-01,2020-05-01T08:42:16Z
R_1CjD5YFawIVGAS5Eu,6560610,new_entry,original,,,"On March 13, Montenegro closed all schools and universities until further notice.",2020-03-13,2020-05-13,,Montenegro,MNE,ME,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Montenegro,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Municipal Government",,,,,https://www.reuters.com/article/us-health-coronavirus-montenegro/montenegro-bars-gatherings-closes-schools-ports-and-border-crossings-idUSKBN2102WD,2020-05-01,2020-05-01T08:42:16Z
R_1CjD5YFawIVGAS5Bu,6560610,new_entry,original,,,"On March 13, Montenegro closed all schools and universities until further notice.",2020-03-13,2020-05-13,,Montenegro,MNE,ME,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Montenegro,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Municipal Government",,,,,https://www.reuters.com/article/us-health-coronavirus-montenegro/montenegro-bars-gatherings-closes-schools-ports-and-border-crossings-idUSKBN2102WD,2020-05-01,2020-05-01T08:42:16Z
R_1OqJXVKPw9bPc9LNA,5105231,new_entry,original,,,"As of the evening of  March 31, Montenegro imposed a curfew: All individuals are prohibited from leaving their residence between 19:00 and 05:00 on weekdays, and between 13:00 on Saturday and 05:00 on Monday. Exemptions will be made for those providing essential public services. Additionally, authorities issued a ban on gatherings in residential buildings of persons who are not members of the same household. All sports and recreational activities in public spaces have also been barred.",2020-03-31,2020-03-31,2020-04-20,Montenegro,MNE,ME,National,1,,,,Curfew,,,,Montenegro,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Municipal Government,Police",52.0066903962966,49.6844247596706,47.1328593236559,21,https://www.garda.com/crisis24/news-alerts/328616/montenegro-nationwide-curfew-in-effect-as-of-march-31-update-4,2020-04-03,2020-04-03T08:28:51Z
R_2wMOfhJ4UIbVQbINA,5105231,update,correction,,,"As of the evening of March 31, Montenegro imposed a curfew: All individuals are prohibited from leaving their residence between 19:00 and 05:00 on weekdays, and between 13:00 on Saturday and 05:00 on Monday. Exemptions will be made for those providing essential public services. Additionally, authorities issued a ban on gatherings in residential buildings of persons who are not members of the same household. All sports and recreational activities in public spaces have also been barred.
",2020-04-20,2020-04-20,2020-04-20,Montenegro,MNE,ME,National,1,,,,Curfew,,,,Montenegro,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Municipal Government,Police",54.8782263868783,52.8383369538945,50.1518551553435,90,https://www.garda.com/crisis24/news-alerts/328616/montenegro-nationwide-curfew-in-effect-as-of-march-31-update-4,2020-10-26,2020-10-26T10:51:00Z
R_2tJeI3pqOfskRgKNA,5105231,update,correction,,,"As of the evening of March 31, Montenegro imposed a curfew: All individuals are prohibited from leaving their residence between 19:00 and 05:00 on weekdays, and between 13:00 on Saturday and 05:00 on Monday. Exemptions will be made for those providing essential public services. Additionally, authorities issued a ban on gatherings in residential buildings of persons who are not members of the same household.

UPDATE: As of 21 April these measures were relaxed and thus the original curfew was ended.",2020-04-20,2020-04-20,2020-04-20,Montenegro,MNE,ME,National,1,,,,Curfew,,,,Montenegro,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Municipal Government,Police",54.8782263868783,52.8383369538945,50.1518551553435,90,https://www.garda.com/crisis24/news-alerts/328616/montenegro-nationwide-curfew-in-effect-as-of-march-31-update-4,2020-11-06,2020-11-06T06:18:46Z
R_A6Dn6CtgCzfEduFNA,8496439,new_entry,original,,,"Montenegrin authorities announced on Tuesday, April 21, that the current nationwide curfew would be shortened as coronavirus disease (COVID-19) lockdown measures begin to ease following a decrease in confirmed cases. The new curfew is now in effect between the hours of 23:00 and 05:00 (local time) on weekdays.",2020-04-21,2020-04-21,2020-05-15,Montenegro,MNE,ME,National,1,,,,Curfew,,,,Montenegro,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,55.6174542599475,52.6426971298026,49.0279062093718,83,https://www.reuters.com/article/health-coronavirus-montenegro/montenegro-shortens-curfew-in-cautious-easing-of-coronavirus-lockdown-idUSL5N2C92HG ; https://www.garda.com/crisis24/news-alerts/334841/montenegro-authorities-announce-plans-to-ease-covid-19-lockdown-measures-april-21-update-6,2020-09-01,2020-09-01T03:57:59Z
R_tG1UXWW4sXgxyCtNA,172524,new_entry,original,,,"Montenegro is enforcing a curfew as of April 21, it will apply everyday from 11 pm to 5am the following day.",2020-04-21,2020-04-21,,Montenegro,MNE,ME,National,1,,,,Curfew,,,,Montenegro,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",55.6174542599475,52.6426971298026,49.0279062093718,83,https://www.gov.me/en/News/223908/National-Coordination-Body-Ban-on-going-out-from-11-p-m-every-day-retail-outlets-allowed-to-work-from-7-a-m-to-10-p-m.html,2020-12-02,2020-12-02T07:14:09Z
R_1CfilXQhH7WXkd0NA,8496439,update,correction,,,"Montenegrin authorities announced on Tuesday, April 21, that the current nationwide curfew would be shortened as coronavirus disease (COVID-19) lockdown measures begin to ease following a decrease in confirmed cases. The new curfew is now in effect between the hours of 23:00 and 05:00 (local time) on weekdays. 

UPDATE: Montenegrin authorities announced on Friday, May 15, that some coronavirus disease (COVID-19) restrictions would be lifted, including previous overnight movement bans.",2020-05-15,2020-05-15,2020-05-15,Montenegro,MNE,ME,National,1,,,,Curfew,,,,Montenegro,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.reuters.com/article/health-coronavirus-montenegro/montenegro-shortens-curfew-in-cautious-easing-of-coronavirus-lockdown-idUSL5N2C92HG ; https://www.garda.com/crisis24/news-alerts/334841/montenegro-authorities-announce-plans-to-ease-covid-19-lockdown-measures-april-21-update-6,2020-09-01,2020-09-01T04:32:31Z
R_1i29dCCfT6xf7cINA,8496439,update,correction,,,"Montenegrin authorities announced on Tuesday, April 21, that the current nationwide curfew would be shortened as coronavirus disease (COVID-19) lockdown measures begin to ease following a decrease in confirmed cases. The new curfew is now in effect between the hours of 23:00 and 05:00 (local time) on weekdays.",2020-05-15,2020-05-15,2020-05-15,Montenegro,MNE,ME,National,1,,,,Curfew,,,,Montenegro,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.reuters.com/article/health-coronavirus-montenegro/montenegro-shortens-curfew-in-cautious-easing-of-coronavirus-lockdown-idUSL5N2C92HG ; https://www.garda.com/crisis24/news-alerts/334841/montenegro-authorities-announce-plans-to-ease-covid-19-lockdown-measures-april-21-update-6,2020-10-26,2020-10-26T10:53:06Z
