"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_x8XDMJodYY1QzHbDe",4834338,"new_entry","original",NA,NA,"Morocco's Ministry of Education suspends all in-person school activities and foreign education institutes after March 16 until further notice.",2020-03-13,2020-03-16,NA,"Morocco","MAR","MA","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Morocco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",54.0939321730519,53.252559554239,52.3081739265403,176,"https://www.moroccoworldnews.com/2020/03/296119/morocco-suspends-school-amid-coronavirus-fears/",2020-04-03,2020-04-03 22:13:18
"2","R_x8XDMJodYY1QzHbEc",4834338,"new_entry","original",NA,NA,"Morocco's Ministry of Education suspends all in-person school activities and foreign education institutes after March 16 until further notice.",2020-03-13,2020-03-16,NA,"Morocco","MAR","MA","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Morocco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",54.0939321730519,53.252559554239,52.3081739265403,176,"https://www.moroccoworldnews.com/2020/03/296119/morocco-suspends-school-amid-coronavirus-fears/",2020-04-03,2020-04-03 22:13:18
"3","R_2SqwxlotcrVwiK2Ed",5680356,"new_entry","original",NA,NA,"Morocco declares a state of sanitary emergency on March 20th.",2020-03-20,2020-03-20,2020-04-20,"Morocco","MAR","MA","National",1,NA,NA,"Declaration of Emergency",NA,NA,NA,"Morocco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",54.7232401968546,53.8299255048597,52.9951800956677,177,"https://advance-lexis-com.proxy.library.nyu.edu/document/?pdmfid=1516831&crid=db3b47b6-3963-4d54-a067-0088c050b3aa&pddocfullpath=%2Fshared%2Fdocument%2Fnews%2Furn%3AcontentItem%3A5YHV-9V41-JCNX-3052-00000-00&pdcontentcomponentid=300954&pdteaserkey=sr0&pditab=allpods&ecomp=pp79k&earg=sr0&prid=826a51ad-5d80-4d06-9458-a05385d5e98f",2020-04-04,2020-04-04 14:51:29
"4","R_1FwT7L5U8eoQkCEEd",5680356,"update","original",NA,NA,"On March 22nd, Morocco extends state of emergency until April 20.
 UPDATE: The original state of emergency declared on March 20th did not have a specified duration. On March 22nd it was extended until April 20th.",2020-03-22,2020-03-22,2020-04-20,"Morocco","MAR","MA","National",1,NA,NA,"Declaration of Emergency",NA,NA,NA,"Morocco",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",55.2636922355287,53.9516680298538,52.7892027949451,175,"Coronavirus: Morocco Extends State of Emergency Until April 20",2020-04-05,2020-04-05 16:33:09
"5","R_OfGOZ6TCH7gfdZfEw",4109190,"new_entry","original",NA,NA,"Morocco suspends all flights to and from Italy on March 10 until further notice.",2020-03-10,2020-03-10,NA,"Morocco","MAR","MA","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"Italy","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Flights","Mandatory with Legal Penalties (Jail Time)","National Government",52.1770139090411,51.2391800207441,50.182664591863,146,"https://advance-lexis-com.proxy.library.nyu.edu/document/?pdmfid=1516831&crid=b850834d-3bf5-44d0-9286-5a4ef108ab04&pddocfullpath=%2Fshared%2Fdocument%2Fnews%2Furn%3AcontentItem%3A5YD0-FBF1-JBTY-T0N0-00000-00&pdcontentcomponentid=8078&pdteaserkey=sr1&pditab=allpods&ecomp=pp79k&earg=sr1&prid=865ae576-c670-4965-b341-a4e88a4e02a1",2020-04-03,2020-04-03 22:23:56
"6","R_2q9Lk87bKFE3hxNEw",4109190,"update","original",NA,NA,"Morocco on March 12 suspends travel through sea and air ports to and from France, Algeria, Spain, Germany, Holland, Belgium and Portugal. UPDATE: The original flight ban on March 10 only included flights to and from Italy. On March 12 this was extended to air ports and sea ports to and from France, Algeria, Spain, Germany, Holland, Belgium and Portugal.",2020-03-12,2020-03-12,NA,"Morocco","MAR","MA","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"Algeria,Belgium,France,Germany,Italy,Netherlands,Portugal,Spain","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Flights,Seaports","Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",53.1199402895706,51.8956511953023,50.5436207033382,157,"https://advance-lexis-com.proxy.library.nyu.edu/document/?pdmfid=1516831&crid=1a5b10d6-4b8c-4505-945a-36b54592248f&pddocfullpath=%2Fshared%2Fdocument%2Fnews%2Furn%3AcontentItem%3A5YF2-X2C1-JBJN-M4FX-00000-00&pdcontentcomponentid=443607&pdteaserkey=sr2&pditab=allpods&ecomp=pp79k&earg=sr2&prid=e559cc7b-3e92-4dd4-8ba7-4e4c14aca9d2",2020-04-03,2020-04-03 22:35:51
"7","R_1n0aSGEZSPuLOUWEw",1509815,"new_entry","original",NA,NA,"After March 12th, Morocco closes their land border with Spanish enclaves of Ceuta and Melilla.",2020-03-12,2020-03-13,NA,"Morocco","MAR","MA","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"Spain","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Land Border","Mandatory with Legal Penalties (Jail Time)","National Government",53.4258501867372,52.2220879693256,50.9130754341979,165,"https://www.moroccoworldnews.com/2020/03/296067/morocco-closes-ceuta-melilla-borders-as-covid-19-spreads/",2020-04-08,2020-04-08 21:12:30
"8","R_1mlnhuWUAGzdSBzEw",4109190,"update","original",NA,NA,"Morocco bans all flights in and out of Morocco from 30 countries after March 15, 23:59. UPDATE: The previous government restriction from March 12 banned flights from and to several European countries. The ban on March 15 extends restrictions to 30 different countries: China, Spain, Italy, France, Algeria, Austria, Bahrain, Belgium, Brazil, Canada, Chad, Denmark, Egypt, Germany, Greece, Jordan, Lebanon, Mali, Mauritania, Netherlands, Niger, Norway, Oman, Portugal, Senegal, Switzerland, Sweden, Tunisia, Turkey and the UAE..",2020-03-15,2020-03-15,NA,"Morocco","MAR","MA","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"Algeria,Austria,Bahrain,Belgium,Brazil,Canada,Chad,Denmark,Egypt,Germany,Jordan,Lebanon,Mali,Mauritania,Netherlands,Niger,Norway,Oman,Portugal,Senegal,Switzerland,Tunisia,Turkey,United Arab Emirates","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Flights","Mandatory with Legal Penalties (Jail Time),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",53.9088692064805,52.8756963396052,51.7544252638047,173,"https://advance-lexis-com.proxy.library.nyu.edu/document/?pdmfid=1516831&crid=688fb7b4-e8ba-47ed-841b-26cdcc54c535&pddocfullpath=%2Fshared%2Fdocument%2Fnews%2Furn%3AcontentItem%3A5YF3-PX31-F021-646J-00000-00&pdcontentcomponentid=389195&pdteaserkey=sr2&pditab=allpods&ecomp=pp79k&earg=sr2&prid=865ae576-c670-4965-b341-a4e88a4e02a1",2020-04-04,2020-04-04 00:06:50
"9","R_3fUDyBlqiGbaMtYEw",4109190,"update","original",NA,NA,"Morocco's Ministry of Foreign Affairs said on March 15th that it is was suspending all international passenger flights to and from its territory after March 16 23:59 ""until further notice"". UPDATE: The original flight ban on March 15th extended to 30 different countries. After March 16, 23:59, this restriction was extended to all countries. No flights were allowed to enter/exit Moroccan territory.",2020-03-15,2020-03-16,NA,"Morocco","MAR","MA","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Flights","Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",54.0939321730519,53.252559554239,52.3081739265403,176,"https://advance-lexis-com.proxy.library.nyu.edu/document/?pdmfid=1516831&crid=48d97437-d627-4932-b168-7739f26ad1ff&pddocfullpath=%2Fshared%2Fdocument%2Fnews%2Furn%3AcontentItem%3A5YF9-B811-DY7V-G1D6-00000-00&pdcontentcomponentid=385157&pdteaserkey=sr0&pditab=allpods&ecomp=pp79k&earg=sr0&prid=496d7dc7-31fd-49e3-9860-aaf05bbcc6f7",2020-04-04,2020-04-04 00:14:43
"10","R_XtYkGswmcAlkdoZEw",4109190,"update","original",NA,NA,"Repatriation flights ends for international tourists in Morocco after March 22, until further notice.
 UPDATE: The universal international flight ban effective March 16th originally allowed for repatriation flights of foreign citizens in Morocco. As of March 22, all repatriation flights of foreign citizens in Morocco were cancelled.",2020-03-22,2020-03-22,NA,"Morocco","MAR","MA","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,NA,"All countries","All countries",NA,NA,NA,NA,"Foreign Travelers","Inbound/Outbound","Flights","Mandatory with Legal Penalties (Jail Time)","National Government",55.2636922355287,53.9516680298538,52.7892027949451,175,"https://www.moroccoworldnews.com/2020/03/296727/coronavirus-a-timeline-of-covid-19-in-morocco/",2020-04-07,2020-04-07 00:38:51
