"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2TuEUx9hunN7qCDDe","5846320","new_entry","original",NA,NA,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-30,"Nepal","NPL","NP","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",51.7718065830182,50.3632651521318,49.0897194588434,58,"https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/",2020-04-02,2020-04-02 02:56:42
"2","R_2TuEUx9hunN7qCDDg","5846320","new_entry","original",NA,NA,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-30,"Nepal","NPL","NP","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",51.7718065830182,50.3632651521318,49.0897194588434,58,"https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/",2020-04-02,2020-04-02 02:56:42
"3","R_2TuEUx9hunN7qCDEc","5846320","new_entry","original",NA,NA,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-30,"Nepal","NPL","NP","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",51.7718065830182,50.3632651521318,49.0897194588434,58,"https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/",2020-04-02,2020-04-02 02:56:42
"4","R_2TuEUx9hunN7qCDBo","5846320","new_entry","original",NA,NA,"On March 18 2020, the Nepali government decided to close all schools, colleges and universities until April 12.",2020-03-18,2020-03-18,2020-04-30,"Nepal","NPL","NP","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",51.7718065830182,50.3632651521318,49.0897194588434,58,"https://kathmandupost.com/national/2020/03/18/secondary-education-examinations-called-off-with-no-new-date-scheduled ; https://myrepublica.nagariknetwork.com/news/90755/",2020-04-02,2020-04-02 02:56:42
"5","R_1FENjrxIestJnRODe","3652973","new_entry","original",NA,NA,"Nepal's Ministry of Education, Science, and Technology announced on November 15th that it has provided cabinet endorsed guidelines for gradual reopening of schools which allows schools in areas with low risk of COVID-19 to open as long as they coordinate with the local government, teacher unions, and representatives from the school management committee.",2020-11-15,2020-11-15,NA,"Nepal","NPL","NP","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities allowed to open with conditions","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Education,Provincial/State Government,Municipal Government",NA,NA,NA,NA,"https://kathmandupost.com/national/2020/11/15/cabinet-endorses-guidelines-for-reopening-schools ; https://thehimalayantimes.com/nepal/framework-for-school-operation-in-non-risk-area-put-in-place/",2020-11-18,2020-11-18 07:53:56
"6","R_1FENjrxIestJnRODg","3652973","new_entry","original",NA,NA,"Nepal's Ministry of Education, Science, and Technology announced on November 15th that it has provided cabinet endorsed guidelines for gradual reopening of schools which allows schools in areas with low risk of COVID-19 to open as long as they coordinate with the local government, teacher unions, and representatives from the school management committee.",2020-11-15,2020-11-15,NA,"Nepal","NPL","NP","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with conditions","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Education,Provincial/State Government,Municipal Government",NA,NA,NA,NA,"https://kathmandupost.com/national/2020/11/15/cabinet-endorses-guidelines-for-reopening-schools ; https://thehimalayantimes.com/nepal/framework-for-school-operation-in-non-risk-area-put-in-place/",2020-11-18,2020-11-18 07:53:56
"7","R_1FENjrxIestJnROEc","3652973","new_entry","original",NA,NA,"Nepal's Ministry of Education, Science, and Technology announced on November 15th that it has provided cabinet endorsed guidelines for gradual reopening of schools which allows schools in areas with low risk of COVID-19 to open as long as they coordinate with the local government, teacher unions, and representatives from the school management committee.",2020-11-15,2020-11-15,NA,"Nepal","NPL","NP","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","Nepal",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Education,Provincial/State Government,Municipal Government",NA,NA,NA,NA,"https://kathmandupost.com/national/2020/11/15/cabinet-endorses-guidelines-for-reopening-schools ; https://thehimalayantimes.com/nepal/framework-for-school-operation-in-non-risk-area-put-in-place/",2020-11-18,2020-11-18 07:53:56
"8","R_qCJGhrTtpkFOp3jNA","1939741","update","original",NA,NA,"April 6, 2020, Nepal government on March 29  decided to extend the nationwide lockdown by another week, until April 7.",2020-03-29,2020-03-29,2020-04-27,"Nepal","NPL","NP","National",1,NA,NA,"Curfew",NA,NA,"","Nepal","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Police",52.2747921403682,51.1449006478598,50.1367892961315,40,"https://myrepublica.nagariknetwork.com/news/government-extends-nationwide-lockdown-by-another-week-until-april-15/",2020-04-06,2020-04-06 18:57:16
"9","R_3sywvWd3QUjnMI9NA","1939741","update","original","Change of Policy","Strengthening","The Nepali government announced on March 23 that Nepal will go to lockdown from March 24 to March 31.",2020-03-29,2020-03-29,2020-04-27,"Nepal","NPL","NP","National",0,NA,NA,"Curfew",NA,NA,"","Nepal","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.2747921403682,51.1449006478598,50.1367892961315,40,"NA ; https://kathmandupost.com/national/2020/03/23/nepal-goes-under-lockdown-for-a-week-starting-6am-tuesday ; The Kathmandu Postepal goes under lockdown for a week starting 6am Tuesday ; https://kathmandupost.com/national/2020/03/29/nationwide-lockdown-extended-until-april-8-ban-on-international-flights-until-april-15 ; https://risingnepaldaily.com/mustread/nepal-extends-lockdown-till-april-7",2020-11-24,2020-11-24 10:30:12
"10","R_3ni40b7dBYgtSPgNA","1939741","update","original",NA,NA,"KATHMANDU, April 6: The government has decided to extend nationwide lockdown until midnight April 15.

A cabinet meeting held on Monday afternoon made the decision to this effect to prevent the spread of novel coronavirus. This the second time the government extended the lockdown.",2020-04-06,2020-04-07,2020-04-27,"Nepal","NPL","NP","National",1,NA,NA,"Curfew",NA,NA,"","Nepal","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Police",53.8759652247015,51.1035685704281,48.5453551674681,35,"https://myrepublica.nagariknetwork.com/news/government-extends-nationwide-lockdown-by-another-week-until-april-15/",2020-04-06,2020-04-06 19:01:55
