"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1q1VeByqTpPGQsvNA","3909830","new_entry","original",NA,NA,"On March 9, cabinet of TRNC declared that only Ministry of Health can be responsible for sharing information regarding COVID-19 and public should not pay attention to any other source of information about TRNC.",2020-03-09,2020-03-09,NA,"Northern Cyprus","-","-","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Northern Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government",NA,NA,NA,NA,"https://basbakanlik.gov.ct.tr/BASIN-VE-HALKLA-%C4%B0L%C4%B0%C5%9EK%C4%B0LER/BASIN-A%C3%87IKLAMALARI/ArtMID/3765/ArticleID/123642/BAKANLAR-KURULU-KORONA-V%c4%b0R220SE-KAR%c5%9eI-SINIR-KAPILARINDA-214NLEMLER%c4%b0-ARTIRMA-KARARI-ALDI-BAKANLAR-KURULU-VATANDA%c5%9eLARA-MECBUR-KALMADIK199A-YURT-DI%c5%9eINA-SEYEHAT-ETMEME-VE-G220NEYE-GE199MEME-199A%c4%9eRISI-YAPTI",2020-08-02,2020-08-02 12:11:01
"2","R_1jIEV32xrfeDxfuCv","6313921","new_entry","original",NA,NA,"In Cyprus, the government announced a closure of schools until the 15th of March.",2020-03-10,2020-03-10,2020-03-22,"Northern Cyprus","-","-","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Northern Cyprus",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government",NA,NA,NA,NA,"https://www.aa.com.tr/tr/dunya/kktcde-okullar-koronavirus-nedeniyle-tatil-edildi/1760707",2020-05-29,2020-05-29 12:44:02
"3","R_1jIEV32xrfeDxfuCw","6313921","new_entry","original",NA,NA,"In Cyprus, the government announced a closure of schools until the 15th of March.",2020-03-10,2020-03-10,2020-03-22,"Northern Cyprus","-","-","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Northern Cyprus",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government",NA,NA,NA,NA,"https://www.aa.com.tr/tr/dunya/kktcde-okullar-koronavirus-nedeniyle-tatil-edildi/1760707",2020-05-29,2020-05-29 12:44:02
"4","R_1jIEV32xrfeDxfuDr","6313921","new_entry","original",NA,NA,"In Cyprus, the government announced a closure of schools until the 15th of March.",2020-03-10,2020-03-10,2020-03-22,"Northern Cyprus","-","-","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Northern Cyprus",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government",NA,NA,NA,NA,"https://www.aa.com.tr/tr/dunya/kktcde-okullar-koronavirus-nedeniyle-tatil-edildi/1760707",2020-05-29,2020-05-29 12:44:02
"5","R_1jIEV32xrfeDxfuBg","6313921","new_entry","original",NA,NA,"In Cyprus, the government announced a closure of schools until the 15th of March.",2020-03-10,2020-03-10,2020-03-22,"Northern Cyprus","-","-","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Northern Cyprus",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government",NA,NA,NA,NA,"https://www.aa.com.tr/tr/dunya/kktcde-okullar-koronavirus-nedeniyle-tatil-edildi/1760707",2020-05-29,2020-05-29 12:44:02
"6","R_2WZp7ge2rmTEp66Cv","6313921","update","original","Change of Policy","Strengthening","In Cyprus, the government announced a closure of schools until the 15th of March. On March 12, they extended it to March 22.",2020-03-12,2020-03-12,2020-03-22,"Northern Cyprus","-","-","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Northern Cyprus",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government",NA,NA,NA,NA,"NA",2020-08-10,2020-08-10 11:59:56
"7","R_2WZp7ge2rmTEp66Cw","6313921","update","original","Change of Policy","Strengthening","In Cyprus, the government announced a closure of schools until the 15th of March. On March 12, they extended it to March 22.",2020-03-12,2020-03-12,2020-03-22,"Northern Cyprus","-","-","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Northern Cyprus",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government",NA,NA,NA,NA,"NA",2020-08-10,2020-08-10 11:59:56
"8","R_2WZp7ge2rmTEp66Dr","6313921","update","original","Change of Policy","Strengthening","In Cyprus, the government announced a closure of schools until the 15th of March. On March 12, they extended it to March 22.",2020-03-12,2020-03-12,2020-03-22,"Northern Cyprus","-","-","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Northern Cyprus",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government",NA,NA,NA,NA,"NA",2020-08-10,2020-08-10 11:59:56
"9","R_2WZp7ge2rmTEp66Bg","6313921","update","original","Change of Policy","Strengthening","In Cyprus, the government announced a closure of schools until the 15th of March. On March 12, they extended it to March 22.",2020-03-12,2020-03-12,2020-03-22,"Northern Cyprus","-","-","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Northern Cyprus",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Provincial/State Government",NA,NA,NA,NA,"NA",2020-08-10,2020-08-10 11:59:56
"10","R_3oUg4fRPdYrbVl0Cv","7698326","new_entry","original",NA,NA,"The schools have been closed until April 10.",2020-03-29,2020-03-29,2020-05-15,"Northern Cyprus","-","-","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Northern Cyprus",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://basbakanlik.gov.ct.tr/BASIN-VE-HALKLA-%C4%B0L%C4%B0%C5%9EK%C4%B0LER/BASIN-A%C3%87IKLAMALARI/ArtMID/3765/ArticleID/125545/BAKANLAR-KURULU-KAMUDA-%c4%b0DAR%c4%b0-%c4%b0Z%c4%b0NLER%c4%b0-10-N%c4%b0SANA-KADAR-UZATTI-OKULLAR-VE-%c4%b0%c5%9eYERLER%c4%b0-DE-KAPALI-OLACAK",2020-08-14,2020-08-14 07:38:36
