"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_xtR9sk5pL1sICOZEo",1572241,"new_entry","original","NA",NA,"On April 2nd 2020, The Ministry of Health in Palau issues a press release urging the public to get factual information on Covid-19 from trusted sources, promoting the usage of the the MOH Hotline, bringing to attention the “widespread creation, publication and sharing on social media of false, fraudulent and unsubstantiated content about claims of vaccines and cures for Covid-19 across the internet”. Trusted sources cited are as follows: The Palau Ministry of Health, US Center for Disease Control and Prevention, World Health Organization. 
",2020-04-02,2020-04-02,NA,"Palau","PLW","PW","National",0,NA,NA,"Anti-Disinformation Measures","Self-Quarantine (i.e. quarantine at home)",NA,"","Palau",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://www.palaugov.pw/documents/moh-press-release-trusted-source-for-information-april-02-2020/",2020-07-27,"2020-07-27 22:50:51"
"2","R_xtR9sk5pL1sICOZCj",1572241,"new_entry","original","NA",NA,"On April 2nd 2020, The Ministry of Health in Palau issues a press release urging the public to get factual information on Covid-19 from trusted sources, promoting the usage of the the MOH Hotline, bringing to attention the “widespread creation, publication and sharing on social media of false, fraudulent and unsubstantiated content about claims of vaccines and cures for Covid-19 across the internet”. Trusted sources cited are as follows: The Palau Ministry of Health, US Center for Disease Control and Prevention, World Health Organization. 
",2020-04-02,2020-04-02,NA,"Palau","PLW","PW","National",0,NA,NA,"Anti-Disinformation Measures","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,"","Palau",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://www.palaugov.pw/documents/moh-press-release-trusted-source-for-information-april-02-2020/",2020-07-27,"2020-07-27 22:50:51"
"3","R_xtR9sk5pL1sICOZFh",1572241,"new_entry","original","NA",NA,"On April 2nd 2020, The Ministry of Health in Palau issues a press release urging the public to get factual information on Covid-19 from trusted sources, promoting the usage of the the MOH Hotline, bringing to attention the “widespread creation, publication and sharing on social media of false, fraudulent and unsubstantiated content about claims of vaccines and cures for Covid-19 across the internet”. Trusted sources cited are as follows: The Palau Ministry of Health, US Center for Disease Control and Prevention, World Health Organization. 
",2020-04-02,2020-04-02,NA,"Palau","PLW","PW","National",0,NA,NA,"Anti-Disinformation Measures","Visa extensions (e.g. visa validity extended)",NA,"","Palau",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://www.palaugov.pw/documents/moh-press-release-trusted-source-for-information-april-02-2020/",2020-07-27,"2020-07-27 22:50:51"
"4","R_xtR9sk5pL1sICOZDl",1572241,"new_entry","original","NA",NA,"On April 2nd 2020, The Ministry of Health in Palau issues a press release urging the public to get factual information on Covid-19 from trusted sources, promoting the usage of the the MOH Hotline, bringing to attention the “widespread creation, publication and sharing on social media of false, fraudulent and unsubstantiated content about claims of vaccines and cures for Covid-19 across the internet”. Trusted sources cited are as follows: The Palau Ministry of Health, US Center for Disease Control and Prevention, World Health Organization. 
",2020-04-02,2020-04-02,NA,"Palau","PLW","PW","National",0,NA,NA,"Anti-Disinformation Measures","Postponement of a recreational or commercial event",NA,"","Palau",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://www.palaugov.pw/documents/moh-press-release-trusted-source-for-information-april-02-2020/",2020-07-27,"2020-07-27 22:50:51"
"5","R_xtR9sk5pL1sICOZCh",1572241,"new_entry","original","NA",NA,"On April 2nd 2020, The Ministry of Health in Palau issues a press release urging the public to get factual information on Covid-19 from trusted sources, promoting the usage of the the MOH Hotline, bringing to attention the “widespread creation, publication and sharing on social media of false, fraudulent and unsubstantiated content about claims of vaccines and cures for Covid-19 across the internet”. Trusted sources cited are as follows: The Palau Ministry of Health, US Center for Disease Control and Prevention, World Health Organization. 
",2020-04-02,2020-04-02,NA,"Palau","PLW","PW","National",0,NA,NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,"","Palau",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://www.palaugov.pw/documents/moh-press-release-trusted-source-for-information-april-02-2020/",2020-07-27,"2020-07-27 22:50:51"
"6","R_xtR9sk5pL1sICOZFm",1572241,"new_entry","original","NA",NA,"On April 2nd 2020, The Ministry of Health in Palau issues a press release urging the public to get factual information on Covid-19 from trusted sources, promoting the usage of the the MOH Hotline, bringing to attention the “widespread creation, publication and sharing on social media of false, fraudulent and unsubstantiated content about claims of vaccines and cures for Covid-19 across the internet”. Trusted sources cited are as follows: The Palau Ministry of Health, US Center for Disease Control and Prevention, World Health Organization. 
",2020-04-02,2020-04-02,NA,"Palau","PLW","PW","National",0,NA,NA,"Anti-Disinformation Measures","Wearing Masks in all public spaces/everywhere",NA,"","Palau",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://www.palaugov.pw/documents/moh-press-release-trusted-source-for-information-april-02-2020/",2020-07-27,"2020-07-27 22:50:51"
"7","R_xtR9sk5pL1sICOZAq",1572241,"new_entry","original","NA",NA,"On April 2nd 2020, The Ministry of Health in Palau issues a press release urging the public to get factual information on Covid-19 from trusted sources, promoting the usage of the the MOH Hotline, bringing to attention the “widespread creation, publication and sharing on social media of false, fraudulent and unsubstantiated content about claims of vaccines and cures for Covid-19 across the internet”. Trusted sources cited are as follows: The Palau Ministry of Health, US Center for Disease Control and Prevention, World Health Organization. 
",2020-04-02,2020-04-02,NA,"Palau","PLW","PW","National",0,NA,NA,"Anti-Disinformation Measures","82800",NA,"","Palau",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://www.palaugov.pw/documents/moh-press-release-trusted-source-for-information-april-02-2020/",2020-07-27,"2020-07-27 22:50:51"
"8","R_xtR9sk5pL1sICOZAd",1572241,"new_entry","original","NA",NA,"On April 2nd 2020, The Ministry of Health in Palau issues a press release urging the public to get factual information on Covid-19 from trusted sources, promoting the usage of the the MOH Hotline, bringing to attention the “widespread creation, publication and sharing on social media of false, fraudulent and unsubstantiated content about claims of vaccines and cures for Covid-19 across the internet”. Trusted sources cited are as follows: The Palau Ministry of Health, US Center for Disease Control and Prevention, World Health Organization. 
",2020-04-02,2020-04-02,NA,"Palau","PLW","PW","National",0,NA,NA,"Anti-Disinformation Measures","21600",NA,"","Palau",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://www.palaugov.pw/documents/moh-press-release-trusted-source-for-information-april-02-2020/",2020-07-27,"2020-07-27 22:50:51"
"9","R_xtR9sk5pL1sICOZDp",1572241,"new_entry","original","NA",NA,"On April 2nd 2020, The Ministry of Health in Palau issues a press release urging the public to get factual information on Covid-19 from trusted sources, promoting the usage of the the MOH Hotline, bringing to attention the “widespread creation, publication and sharing on social media of false, fraudulent and unsubstantiated content about claims of vaccines and cures for Covid-19 across the internet”. Trusted sources cited are as follows: The Palau Ministry of Health, US Center for Disease Control and Prevention, World Health Organization. 
",2020-04-02,2020-04-02,NA,"Palau","PLW","PW","National",0,NA,NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,"","Palau",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://www.palaugov.pw/documents/moh-press-release-trusted-source-for-information-april-02-2020/",2020-07-27,"2020-07-27 22:50:51"
"10","R_xtR9sk5pL1sICOZEn",1572241,"new_entry","original","NA",NA,"On April 2nd 2020, The Ministry of Health in Palau issues a press release urging the public to get factual information on Covid-19 from trusted sources, promoting the usage of the the MOH Hotline, bringing to attention the “widespread creation, publication and sharing on social media of false, fraudulent and unsubstantiated content about claims of vaccines and cures for Covid-19 across the internet”. Trusted sources cited are as follows: The Palau Ministry of Health, US Center for Disease Control and Prevention, World Health Organization. 
",2020-04-02,2020-04-02,NA,"Palau","PLW","PW","National",0,NA,NA,"Anti-Disinformation Measures","Secondary Schools (generally for children ages 10 to 18)",NA,"","Palau",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health",NA,NA,NA,NA,"https://www.palaugov.pw/documents/moh-press-release-trusted-source-for-information-april-02-2020/",2020-07-27,"2020-07-27 22:50:51"
