record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_Oa04qew1fE74aQxDq,2086782,new_entry,correction,,,"In Westbank, Palestine, as of March 07, all schools and educational facilities are closed.
",2020-03-05,2020-03-06,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,50.1757113556791,48.7964746770728,46.8188508115746,53,https://deref-gmx.net/mail/client/J5xAn8fkNjs/dereferrer/?redirectUrl=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2F2020%2F03%2Fbethlehem-lockdown-coronavirus-cases-confirmed-200307054939115.html,2020-04-04,2020-04-04T17:19:24Z
R_Oa04qew1fE74aQxDs,2086782,new_entry,correction,,,"In Westbank, Palestine, as of March 07, all schools and educational facilities are closed.
",2020-03-05,2020-03-06,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,50.1757113556791,48.7964746770728,46.8188508115746,53,https://deref-gmx.net/mail/client/J5xAn8fkNjs/dereferrer/?redirectUrl=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2F2020%2F03%2Fbethlehem-lockdown-coronavirus-cases-confirmed-200307054939115.html,2020-04-04,2020-04-04T17:19:24Z
R_Oa04qew1fE74aQxEt,2086782,new_entry,correction,,,"In Westbank, Palestine, as of March 07, all schools and educational facilities are closed.
",2020-03-05,2020-03-06,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,50.1757113556791,48.7964746770728,46.8188508115746,53,https://deref-gmx.net/mail/client/J5xAn8fkNjs/dereferrer/?redirectUrl=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2F2020%2F03%2Fbethlehem-lockdown-coronavirus-cases-confirmed-200307054939115.html,2020-04-04,2020-04-04T17:19:24Z
R_Oa04qew1fE74aQxBu,2086782,new_entry,correction,,,"In Westbank, Palestine, as of March 07, all schools and educational facilities are closed.
",2020-03-05,2020-03-06,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,50.1757113556791,48.7964746770728,46.8188508115746,53,https://deref-gmx.net/mail/client/J5xAn8fkNjs/dereferrer/?redirectUrl=https%3A%2F%2Fwww.aljazeera.com%2Fnews%2F2020%2F03%2Fbethlehem-lockdown-coronavirus-cases-confirmed-200307054939115.html,2020-04-04,2020-04-04T17:19:24Z
R_11dXpQgPgYHb7roDq,5620384,new_entry,original,,,"In Palestine, on March 07, Gaza Strip schools were closed (...) in implementation of the decision of the Ministry of Education, as part of the precautionary measures against the Corona virus.""
",2020-03-07,2020-03-07,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,50.2331388059184,48.8396291606341,46.7890280183218,51,https://www.alwatanvoice.com/arabic/news/2020/03/07/1320108.html,2020-04-04,2020-04-04T14:08:54Z
R_11dXpQgPgYHb7roDs,5620384,new_entry,original,,,"In Palestine, on March 07, Gaza Strip schools were closed (...) in implementation of the decision of the Ministry of Education, as part of the precautionary measures against the Corona virus.""
",2020-03-07,2020-03-07,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,50.2331388059184,48.8396291606341,46.7890280183218,51,https://www.alwatanvoice.com/arabic/news/2020/03/07/1320108.html,2020-04-04,2020-04-04T14:08:54Z
R_11dXpQgPgYHb7roEt,5620384,new_entry,original,,,"In Palestine, on March 07, Gaza Strip schools were closed (...) in implementation of the decision of the Ministry of Education, as part of the precautionary measures against the Corona virus.""
",2020-03-07,2020-03-07,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,50.2331388059184,48.8396291606341,46.7890280183218,51,https://www.alwatanvoice.com/arabic/news/2020/03/07/1320108.html,2020-04-04,2020-04-04T14:08:54Z
R_11dXpQgPgYHb7roBu,5620384,new_entry,original,,,"In Palestine, on March 07, Gaza Strip schools were closed (...) in implementation of the decision of the Ministry of Education, as part of the precautionary measures against the Corona virus.""
",2020-03-07,2020-03-07,,Palestine,PSE,PS,Provincial,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Palestine,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,50.2331388059184,48.8396291606341,46.7890280183218,51,https://www.alwatanvoice.com/arabic/news/2020/03/07/1320108.html,2020-04-04,2020-04-04T14:08:54Z
R_d08PnuXXkiWdMC5Dq,9162546,new_entry,original,,,"Palestine Governor of the West Bank district of Nablus ""ordered on the 19th of June a full closure of multiple sectors"" including educational institutions in an effort to prevent an outbreak of the disease.",2020-06-19,2020-06-19,,Palestine,PSE,PS,Municipal,1,,,Nablus,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Palestine,One or more cities within a country,,,Nablus,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,,,,,https://english.wafa.ps/page.aspx?id=3DCrhua117492956097a3DCrhu,2020-09-23,2020-09-23T15:39:01Z
R_d08PnuXXkiWdMC5Ds,9162546,new_entry,original,,,"Palestine Governor of the West Bank district of Nablus ""ordered on the 19th of June a full closure of multiple sectors"" including educational institutions in an effort to prevent an outbreak of the disease.",2020-06-19,2020-06-19,,Palestine,PSE,PS,Municipal,1,,,Nablus,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Palestine,One or more cities within a country,,,Nablus,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,,,,,https://english.wafa.ps/page.aspx?id=3DCrhua117492956097a3DCrhu,2020-09-23,2020-09-23T15:39:01Z
R_d08PnuXXkiWdMC5Et,9162546,new_entry,original,,,"Palestine Governor of the West Bank district of Nablus ""ordered on the 19th of June a full closure of multiple sectors"" including educational institutions in an effort to prevent an outbreak of the disease.",2020-06-19,2020-06-19,,Palestine,PSE,PS,Municipal,1,,,Nablus,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Palestine,One or more cities within a country,,,Nablus,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Municipal Government,,,,,https://english.wafa.ps/page.aspx?id=3DCrhua117492956097a3DCrhu,2020-09-23,2020-09-23T15:39:01Z
