"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2rgUnpUXevc9frjDo",4673259,"new_entry","correction","NA",NA,"Classes in all levels in Metro Manila will be suspended from Tuesday, March 10, to Saturday, March 14, President Rodrigo Duterte announced Monday night, March 9.","2020-03-09","2020-03-10",2020-03-14,"Philippines","PHL","PH","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Philippines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.1558705955209,49.5657404008057,47.453757788194,70,"https://www.rappler.com/nation/253912-walang-pasok-duterte-declares-class-suspensions-metro-manila-coronavirus-threat-march-10-14-2020","2020-08-06","2020-08-06 09:32:30"
"2","R_2rgUnpUXevc9frjEm",4673259,"new_entry","correction","NA",NA,"Classes in all levels in Metro Manila will be suspended from Tuesday, March 10, to Saturday, March 14, President Rodrigo Duterte announced Monday night, March 9.","2020-03-09","2020-03-10",2020-03-14,"Philippines","PHL","PH","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Philippines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.1558705955209,49.5657404008057,47.453757788194,70,"https://www.rappler.com/nation/253912-walang-pasok-duterte-declares-class-suspensions-metro-manila-coronavirus-threat-march-10-14-2020","2020-08-06","2020-08-06 09:32:30"
"3","R_3gNSojc1ofbBNxYDo",7956164,"new_entry","original","NA",NA,"Duterte suspends classes in Metro Manila until April 12. (announced on Mar. 12 and effective on Mar. 15)","2020-03-12","2020-03-15",2020-04-12,"Philippines","PHL","PH","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Philippines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.7142490904114,51.5915727123289,50.4636941339325,123,"https://www.rappler.com/nation/254278-duterte-suspends-classes-government-offices-metro-manila-until-april-12-2020-coronavirus-threat","2020-04-04","2020-04-04 03:54:31"
"4","R_3gNSojc1ofbBNxYEm",7956164,"new_entry","original","NA",NA,"Duterte suspends classes in Metro Manila until April 12. (announced on Mar. 12 and effective on Mar. 15)","2020-03-12","2020-03-15",2020-04-12,"Philippines","PHL","PH","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Philippines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.7142490904114,51.5915727123289,50.4636941339325,123,"https://www.rappler.com/nation/254278-duterte-suspends-classes-government-offices-metro-manila-until-april-12-2020-coronavirus-threat","2020-04-04","2020-04-04 03:54:31"
"5","R_33y9MXiHU4QIxn7En",2464738,"new_entry","original","NA",NA,"The Philippines Bacolod City also ordered the implementation of a curfew here from 10 p.m. to 4 a.m. (announced and effective on Mar. 17)","2020-03-17","2020-03-17",2020-04-14,"Philippines","PHL","PH","Municipal",1,NA,"Bacolod City","Curfew",NA,NA,"","Philippines",NA,NA,NA,"Bacolod City",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Provincial/State Government,Police",54.1497487764356,51.6219461234824,50.2634087114793,102,"https://dailyguardian.com.ph/bacolod-on-lockdown-curfew-imposed/","2020-04-03","2020-04-03 09:14:06"
"6","R_Ulq8qllBy51QAp3En",2464738,"update","original","NA",NA,"The Philippines Bacolod City Mayor Evelio Leonardia, in a late afternoon news conference at the Government Center here, announced that he had signed Executive Order No. 26 that places the city under an Enhanced Community Quarantine from 30 March to 14 April 2020. A 24-hour curfew will be observed by the general public, except for identified holders of Home Quarantine Pass who will be allowed to leave for provisions from 4 am to 10 pm.","2020-03-27","2020-03-27",2020-04-14,"Philippines","PHL","PH","Municipal",1,NA,"Bacolod City","Curfew",NA,NA,"","Philippines","A geographical or administrative unit within a country",NA,NA,"Bacolod City",NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound","Not Applicable","Mandatory with Legal Penalties (Jail Time)","Municipal Government,Police",55.7409460040674,52.3273498151032,49.0330054833909,88,"http://www.dnx.news/covid19/martial-law-by-necessity-bacolod-goes-under-enhanced-community-quarantine/","2020-04-03","2020-04-03 09:22:43"
"7","R_27PBK1slVALj2j5En",2092835,"new_entry","original","NA",NA,"The President of the Philippines declares a state of """"Public Health Emergency"""".","2020-03-08","2020-03-08",NA,"Philippines","PHL","PH","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Philippines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Military,Police",50.5684831173235,49.1417398470424,47.188863601297,58,"https://www.officialgazette.gov.ph/downloads/2020/03mar/20200308-PROC-922-RRD.pdf","2020-04-03","2020-04-03 09:37:28"
"8","R_2ANciNWXudw1GtVEn",6610835,"new_entry","original","NA",NA,"The President of the Philippines declares a state of calamity on March 16.","2020-03-16","2020-03-16",2020-09-15,"Philippines","PHL","PH","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Philippines",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Military,Police",53.4736781298117,51.6761395767841,50.2464583587358,112,"https://www.officialgazette.gov.ph/downloads/2020/03mar/20200316-PROC-929-RRD.pdf","2020-04-03","2020-04-03 09:40:44"
"9","R_3M502mcFqYvy3aSFg",8290078,"new_entry","original","NA",NA,"The Philippines suspends visa issuance for travelers from Hubei Province, China over coronavirus scare. (announced and effective on Jan. 28)","2020-01-28","2020-01-28",NA,"Philippines","PHL","PH","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","China","A geographical or administrative unit within a country",NA,"Hubei Province",NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",49.4946963359157,46.9052640679352,43.8953077248373,51,"https://www.rappler.com/nation/250465-philippines-suspends-visa-issuance-travelers-hubei-china-coronavirus-scare","2020-04-06","2020-04-06 03:39:25"
"10","R_qVCd3kfdxFCZrARFg",244664,"new_entry","original","NA",NA,"The Philippine Foreign Service Posts are temporarily suspending the issuance of visas, effective immediately, to the following:

1) Foreign nationals directly coming from China and its Special Administrative Regions; and
2) Foreign nationals, who, within fourteen (14) days immediately preceding arrival in the Philippines, have been to China, and its Special Administrative Regions.","2020-02-02","2020-02-02",NA,"Philippines","PHL","PH","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","China,Hong Kong,Macau","One or more countries, but not all countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",49.3497147392958,47.1995841341134,44.2000619123186,57,"https://dfa.gov.ph/dfa-news/statements-and-advisoriesupdate/25819-public-advisory-on-the-temporary-suspension-of-visa-issuance-to-travelers-from-china-and-its-special-administrative-regions","2020-04-06","2020-04-06 03:43:26"
