"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_247yeCHUy1vYbIFDo",86643,"new_entry","original","NA",NA,"Serbian President """"Vucic revealed that measures within the state of emergency will include the closure of .. kindergartens.."""" This is to take effect from the date of declaration of emergency on March 16th.","2020-03-15","2020-03-16",2020-05-11,"Republic of Serbia","SRB","RS","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Republic of Serbia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.1204636852551,51.9341656425464,50.8179217421176,128,"https://www.usnews.com/news/world/articles/2020-03-15/serbia-calls-state-of-emergency-to-counter-coronavirus","2020-09-28","2020-09-28 16:24:49"
"2","R_247yeCHUy1vYbIFEm",86643,"new_entry","original","NA",NA,"Serbian President """"Vucic revealed that measures within the state of emergency will include the closure of .. kindergartens.."""" This is to take effect from the date of declaration of emergency on March 16th.","2020-03-15","2020-03-16",2020-05-11,"Republic of Serbia","SRB","RS","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Republic of Serbia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.1204636852551,51.9341656425464,50.8179217421176,128,"https://www.usnews.com/news/world/articles/2020-03-15/serbia-calls-state-of-emergency-to-counter-coronavirus","2020-09-28","2020-09-28 16:24:49"
"3","R_1gCuUKE3gu00hxkDo",3945097,"new_entry","original","NA",NA,"As of March 16,  on territory of Republic of Serbia ,,there will be no schools, kindergartens, faculties starting tomorrow, and students will study via television''. It is unlikely that school will open by the end of the school year.

","2020-03-15","2020-03-16",2020-05-15,"Republic of Serbia","SRB","RS","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Republic of Serbia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.1204636852551,51.9341656425464,50.8179217421176,128,"https://www.srbija.gov.rs/vest/en/151398/state-of-emergency-declared-throughout-serbia.php","2020-04-13","2020-04-13 13:52:52"
"4","R_1gCuUKE3gu00hxkEm",3945097,"new_entry","original","NA",NA,"As of March 16,  on territory of Republic of Serbia ,,there will be no schools, kindergartens, faculties starting tomorrow, and students will study via television''. It is unlikely that school will open by the end of the school year.

","2020-03-15","2020-03-16",2020-05-15,"Republic of Serbia","SRB","RS","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Republic of Serbia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.1204636852551,51.9341656425464,50.8179217421176,128,"https://www.srbija.gov.rs/vest/en/151398/state-of-emergency-declared-throughout-serbia.php","2020-04-13","2020-04-13 13:52:52"
"5","R_djnzdRwUJ8f28StDo",3945097,"update","original","End of Policy",NA,"As of March 16,  on territory of Republic of Serbia ,,there will be no schools... and students will study via television''. It is unlikely that school will open by the end of the school year.

May 15
Furthermore, the Ministry of Education, Science and Technological Development informed higher education institutions in Serbia that they can start with practical and laboratory exercises, starting from May, 15, 2020. 

","2020-03-15","2020-03-16",2020-05-15,"Republic of Serbia","SRB","RS","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Republic of Serbia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.1204636852551,51.9341656425464,50.8179217421176,128,"https://www.srbija.gov.rs/vest/en/151398/state-of-emergency-declared-throughout-serbia.php","2020-09-28","2020-09-28 16:30:37"
"6","R_djnzdRwUJ8f28StEm",3945097,"update","original","End of Policy",NA,"As of March 16,  on territory of Republic of Serbia ,,there will be no schools... and students will study via television''. It is unlikely that school will open by the end of the school year.

May 15
Furthermore, the Ministry of Education, Science and Technological Development informed higher education institutions in Serbia that they can start with practical and laboratory exercises, starting from May, 15, 2020. 

","2020-03-15","2020-03-16",2020-05-15,"Republic of Serbia","SRB","RS","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Republic of Serbia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.1204636852551,51.9341656425464,50.8179217421176,128,"https://www.srbija.gov.rs/vest/en/151398/state-of-emergency-declared-throughout-serbia.php","2020-09-28","2020-09-28 16:30:37"
"7","R_dmyVYlIDv8dUvf3En",9794410,"new_entry","original","NA",NA,"As of Mar. 16, people aged over 65 (in Republic of Serbia) have to be in their homes and they are not allowed to go on the streets.","2020-03-15","2020-03-16",NA,"Republic of Serbia","SRB","RS","National",1,NA,NA,"Curfew",NA,NA,"","Republic of Serbia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",53.1204636852551,51.9341656425464,50.8179217421176,128,"https://www.srbija.gov.rs/vest/en/151398/state-of-emergency-declared-throughout-serbia.php","2020-04-13","2020-04-13 13:35:54"
"8","R_1fcLL293ejXIPd2En",2901848,"new_entry","original","NA",NA,"Mar. 15 ,, --- President of the Republic of Serbia Aleksandar Vucic announced tonight that due to the coronavirus situation, a decision was made to declare a state of emergency throughout the Republic of Serbia.''","2020-03-15","2020-03-16",2020-05-06,"Republic of Serbia","SRB","RS","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Republic of Serbia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.1204636852551,51.9341656425464,50.8179217421176,128,"https://www.srbija.gov.rs/vest/en/151398/state-of-emergency-declared-throughout-serbia.php","2020-04-15","2020-04-15 12:28:30"
"9","R_1DBSkn4fd9sfFZaEn",2901848,"update","original","End of Policy",NA,"Mar. 15 ,, --- President of the Republic of Serbia Aleksandar Vucic announced tonight that due to the coronavirus situation, a decision was made to declare a state of emergency throughout the Republic of Serbia.''
May 6 - """"The Serbian parliament lifted tonight (May 6) the state of emergency that was declared on 15 March over the coronavirus epidemic""""","2020-03-15","2020-03-16",2020-05-06,"Republic of Serbia","SRB","RS","National",0,NA,NA,"Declaration of Emergency",NA,NA,"","Republic of Serbia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.1204636852551,51.9341656425464,50.8179217421176,128,"https://www.srbija.gov.rs/vest/en/151398/state-of-emergency-declared-throughout-serbia.php","2020-09-20","2020-09-20 17:01:19"
"10","R_2b48VgJXYeddoVLEn",2901848,"update","original","End of Policy",NA,"Mar. 15 ,, --- President of the Republic of Serbia Aleksandar Vucic announced tonight that due to the coronavirus situation, a decision was made to declare a state of emergency throughout the Republic of Serbia.''
May 6 - """"The Serbian parliament lifted tonight the state of emergency that was declared on 15 March over the coronavirus epidemic.""""","2020-03-15","2020-03-16",2020-05-06,"Republic of Serbia","SRB","RS","National",0,NA,NA,"Declaration of Emergency",NA,NA,"","Republic of Serbia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.1204636852551,51.9341656425464,50.8179217421176,128,"https://www.srbija.gov.rs/vest/en/151398/state-of-emergency-declared-throughout-serbia.php","2020-09-27","2020-09-27 17:04:43"
"11","R_2qC7J1ZLFtgKJujFg",2732470,"new_entry","original","NA",NA,"As of March 10, ,,a temporary ban on entry into Serbia for foreign nationals coming from the areas with intense corona virus transmission is introduced. This applies to persons coming from Italy, certain provinces of the People’s Republic of China, South Korea, Iran and parts of Switzerland.''","2020-03-10","2020-03-10",2020-03-15,"Republic of Serbia","SRB","RS","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","China,Iran,Italy,South Korea,Switzerland","One or more countries, but not all countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",50.2935834179981,48.251530966127,45.3338144967644,23,"https://www.srbija.gov.rs/vest/en/151122/government-passes-additional-measures-to-avert-spread-of-coronavirus.php","2020-04-13","2020-04-13 14:03:53"
"12","R_2YRlwF3Z810Y1nSFg",2732470,"update","original","End of Policy",NA,"As of March 10, ,,a temporary ban on entry into Serbia for foreign nationals coming from the areas with intense corona virus transmission is introduced. This applies to persons coming from Italy, certain provinces of the People’s Republic of China, South Korea, Iran and parts of Switzerland.''
End on March 15th when the Declaration of Emergency was announced; """"The country’s Prime Minister Ana Brnabic confirmed that Serbia’s borders would be closed to all foreigners “tonight” (Sunday), apart from diplomats and full-time residents.""""","2020-03-10","2020-03-10",2020-03-15,"Republic of Serbia","SRB","RS","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","China,Iran,Italy,South Korea,Switzerland","One or more countries, but not all countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","All kinds of transport","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",50.2935834179981,48.251530966127,45.3338144967644,23,"https://www.srbija.gov.rs/vest/en/151122/government-passes-additional-measures-to-avert-spread-of-coronavirus.php","2020-09-24","2020-09-24 12:43:42"
"13","R_WBec8riLSX2V2edFg",5135574,"new_entry","original","NA",NA,"Mar. 12-- ,,The Serbian government passed a decision today on the closure of border crossings, as one of the new measures to curb the spread of the coronavirus.

44 border crossings for road, rail and river traffic to Hungary, Romania, Bulgaria, Montenegro, Croatia, Northern Macedonia and Bosnia-Herzegovina have been temporarily closed.''","2020-03-12","2020-03-12",NA,"Republic of Serbia","SRB","RS","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Bosnia and Herzegovina,Bulgaria,Croatia,Hungary,Montenegro,North Macedonia,Romania","One or more countries, but not all countries",NA,NA,NA,NA,"Other","Inbound/Outbound","Land Border,Trains","Mandatory (Unspecified/Implied)","National Government",51.1604904527586,49.6724714758986,47.9691212964307,63,"https://www.srbija.gov.rs/vest/en/151248/forty-four-border-crossings-temporarily-closed-due-to-coronavirus.php","2020-04-13","2020-04-13 14:43:34"
"14","R_r0Bf9rAKYQMqQAVCo",7344391,"new_entry","original","NA",NA,"On March 13th, 2020, the government of Republic of Serbia has established The Crisis Response Team. The team was formed at the session to eliminate the emerging and prevent the possible harmful consequences of COVID-19 infectious disease in the economy.","2020-03-13","2020-03-13",NA,"Republic of Serbia","SRB","RS","National",1,NA,NA,"New Task Force, Bureau or Administrative Configuration","New Task Force or Bureau (i.e. establishment of a temporary body)",NA,"","Republic of Serbia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.1884210454419,50.2038339647388,48.0586664641962,81,"https://www.srbija.gov.rs/vest/en/151314/covid-19-crisis-response-team-formed.php","2020-04-14","2020-04-14 18:55:47"
"15","R_1JEdvFWyYE8BtwLEn",8880014,"new_entry","original","NA",NA,"As of 11th of March, ,,regarding the service facilities located on the transit route through Serbia and the motorways, it was decided that the employees must wear protective equipment when coming in contact with transit passengers.''","2020-03-11","2020-03-12",NA,"Republic of Serbia","SRB","RS","National",0,NA,NA,"Other Policy Not Listed Above",NA,"Regarding the service facilities located on the transit route through Serbia and the motorways, it was decided that the employees must wear protective equipment when coming in contact with transit passengers.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.1604904527586,49.6724714758986,47.9691212964307,63,"https://www.srbija.gov.rs/vest/en/151209/government-passes-new-measures-against-coronavirus-spread.php","2020-04-13","2020-04-13 14:19:34"
"16","R_2VDdwubLQBLJl1bEn",721146,"new_entry","original","NA",NA,"On 13th of March, the Serbian government has ,,approved a 10% increase in salaries for health care workers and health care providers starting 1 April.''","2020-03-13","2020-04-01",NA,"Republic of Serbia","SRB","RS","National",0,NA,NA,"Other Policy Not Listed Above",NA,"Government has approved a 10% increase in salaries for health care workers and health care providers.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",59.435717116882,51.6449609430912,44.1282037516243,51,"https://www.srbija.gov.rs/vest/en/151314/covid-19-crisis-response-team-formed.php","2020-04-14","2020-04-14 19:00:59"
