record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_33fi73V37kn8pUWDm,4405512,new_entry,original,,,"The Republic of the Congo is closing ""primary, secondary, technical, and vocational centers; as well as institutions of high education"" on March 19th 2020",2020-03-18,2020-03-19,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.4848115187803,51.3734058718904,50.4736037155516,79,https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/ ; https://www.panapress.com/Coronavirus-Congo-tightens-new-m-a_630633066-lang2.html,2020-04-04,2020-04-04T06:27:53Z
R_33fi73V37kn8pUWEm,4405512,new_entry,original,,,"The Republic of the Congo is closing ""primary, secondary, technical, and vocational centers; as well as institutions of high education"" on March 19th 2020",2020-03-18,2020-03-19,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.4848115187803,51.3734058718904,50.4736037155516,79,https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/ ; https://www.panapress.com/Coronavirus-Congo-tightens-new-m-a_630633066-lang2.html,2020-04-04,2020-04-04T06:27:53Z
R_33fi73V37kn8pUWBr,4405512,new_entry,original,,,"The Republic of the Congo is closing ""primary, secondary, technical, and vocational centers; as well as institutions of high education"" on March 19th 2020",2020-03-18,2020-03-19,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.4848115187803,51.3734058718904,50.4736037155516,79,https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/ ; https://www.panapress.com/Coronavirus-Congo-tightens-new-m-a_630633066-lang2.html,2020-04-04,2020-04-04T06:27:53Z
R_DkuYOyA64ajPMdPDm,995919,new_entry,correction,,,"The Republic of Congo is closing schools including ""primary, secondary, technical, and vocational centers; as well as institutions of higher education"" effective March 19th and valid for 30 days",2020-03-18,2020-04-19,2020-04-17,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,55.9929377173037,52.6909966144855,49.4854587429289,84,https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/ ; https://www.panapress.com/Coronavirus-Congo-tightens-new-m-a_630633066-lang2.html,2020-04-04,2020-04-04T06:51:23Z
R_DkuYOyA64ajPMdPEm,995919,new_entry,correction,,,"The Republic of Congo is closing schools including ""primary, secondary, technical, and vocational centers; as well as institutions of higher education"" effective March 19th and valid for 30 days",2020-03-18,2020-04-19,2020-04-17,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,55.9929377173037,52.6909966144855,49.4854587429289,84,https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/ ; https://www.panapress.com/Coronavirus-Congo-tightens-new-m-a_630633066-lang2.html,2020-04-04,2020-04-04T06:51:23Z
R_DkuYOyA64ajPMdPBr,995919,new_entry,correction,,,"The Republic of Congo is closing schools including ""primary, secondary, technical, and vocational centers; as well as institutions of higher education"" effective March 19th and valid for 30 days",2020-03-18,2020-04-19,2020-04-17,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,55.9929377173037,52.6909966144855,49.4854587429289,84,https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/ ; https://www.panapress.com/Coronavirus-Congo-tightens-new-m-a_630633066-lang2.html,2020-04-04,2020-04-04T06:51:23Z
R_1etr8jfIcVCXYO5Dm,7182405,new_entry,original,,,"Republic of the Congo announced that school grades of CM2, 3ieme and Terminale will reopen as of June 1st to allow for exam preparation. All other classes will resume in September.",2020-05-16,2020-05-18,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with no conditions,Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Other; please list other enforcement mechanisms in the text entry),Other (Please specify in the text box),,,,,https://web.archive.org/web/20200708190432/https://cg.usembassy.gov/health-alert-covid-19-republic-of-congo-curfew-extended-until-may-31/,2020-07-14,2020-07-14T16:33:31Z
R_1etr8jfIcVCXYO5Em,7182405,new_entry,original,,,"Republic of the Congo announced that school grades of CM2, 3ieme and Terminale will reopen as of June 1st to allow for exam preparation. All other classes will resume in September.",2020-05-16,2020-05-18,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with no conditions,Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Other; please list other enforcement mechanisms in the text entry),Other (Please specify in the text box),,,,,https://web.archive.org/web/20200708190432/https://cg.usembassy.gov/health-alert-covid-19-republic-of-congo-curfew-extended-until-may-31/,2020-07-14,2020-07-14T16:33:31Z
R_1etr8jfIcVCXYO5Br,7182405,new_entry,original,,,"Republic of the Congo announced that school grades of CM2, 3ieme and Terminale will reopen as of June 1st to allow for exam preparation. All other classes will resume in September.",2020-05-16,2020-05-18,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with no conditions,Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Other; please list other enforcement mechanisms in the text entry),Other (Please specify in the text box),,,,,https://web.archive.org/web/20200708190432/https://cg.usembassy.gov/health-alert-covid-19-republic-of-congo-curfew-extended-until-may-31/,2020-07-14,2020-07-14T16:33:31Z
R_DAJOBcYiLMlDyp3Dm,2378858,new_entry,original,,,"On May 20, several ministers of the Republic of the Congo and executive of the Coronavirus Pandemic Response Committee determined on several measures to be applied when schools reopen on June 1. It was determined that all teachers and students must wear masks in the schools.",2020-05-20,2020-06-01,,Republic of the Congo,COG,CG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Republic of the Congo,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",,,,,https://congomediatime.com/les-ministeres-de-lenseignement-et-de-la-sante-preparent-la-reprise-des-cours/,2020-12-31,2020-12-31T17:34:18Z
