"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2BnZ1b9z8C9Td5sCv","8731531","new_entry","original",NA,NA,"On March 9th, Romania announced that all schools would be closed until March 22nd. On March 16, the Education Minister announced that schools would remain closed until after Easter Break (which ends on April 21).",2020-03-09,2020-03-11,2020-04-21,"Romania","ROU","RO","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Romania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",52.2697244897667,51.3301544164175,50.3288557150549,143,"https://www.reuters.com/article/us-health-coronavirus-romania/romania-shuts-schools-halts-italy-flights-to-ward-off-virus-idUSKBN20W2PR",2020-03-30,2020-03-30 22:52:47
"2","R_2BnZ1b9z8C9Td5sCw","8731531","new_entry","original",NA,NA,"On March 9th, Romania announced that all schools would be closed until March 22nd. On March 16, the Education Minister announced that schools would remain closed until after Easter Break (which ends on April 21).",2020-03-09,2020-03-11,2020-04-21,"Romania","ROU","RO","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Romania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",52.2697244897667,51.3301544164175,50.3288557150549,143,"https://www.reuters.com/article/us-health-coronavirus-romania/romania-shuts-schools-halts-italy-flights-to-ward-off-virus-idUSKBN20W2PR",2020-03-30,2020-03-30 22:52:47
"3","R_2BnZ1b9z8C9Td5sDr","8731531","new_entry","original",NA,NA,"On March 9th, Romania announced that all schools would be closed until March 22nd. On March 16, the Education Minister announced that schools would remain closed until after Easter Break (which ends on April 21).",2020-03-09,2020-03-11,2020-04-21,"Romania","ROU","RO","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Romania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",52.2697244897667,51.3301544164175,50.3288557150549,143,"https://www.reuters.com/article/us-health-coronavirus-romania/romania-shuts-schools-halts-italy-flights-to-ward-off-virus-idUSKBN20W2PR",2020-03-30,2020-03-30 22:52:47
"4","R_NVmmLwxBiM1kBLbDs","824203","new_entry","correction",NA,NA,"Between 6:00-22:00, Romania recommended that individuals do not leave their residence apart from work, the purchase of basic goods, medical assistance or to walk their pet.",2020-03-21,2020-03-22,NA,"Romania","ROU","RO","National",1,NA,NA,"Curfew",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound/Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government,Ministry/Department of Health,Police",55.1813282834538,54.24514505946,53.3353209331907,180,"https://www.mai.gov.ro/wp-content/uploads/2020/03/MILITARY-ORDINANCE-on-measures-to-prevent-the-spread-of-COVID-19.pdf",2020-07-15,2020-07-15 09:15:09
"5","R_1gqnv9MOaceiEW1NA","3783940","new_entry","original",NA,NA,"Romania barred the movement of any individuals between 10pm and 6am, unless they can furnish an affidavit which provides a professional or personal reason for being outside.",2020-03-21,2020-03-23,NA,"Romania","ROU","RO","National",1,NA,NA,"Curfew",NA,NA,"","Romania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Municipal Government,Police",55.4082960630801,54.4320280784628,53.4278291543055,182,"https://www.mai.gov.ro/wp-content/uploads/2020/03/MILITARY-ORDINANCE-on-measures-to-prevent-the-spread-of-COVID-19.pdf",2020-04-03,2020-04-03 10:11:52
"6","R_242ZfkJfJBU8B89NA","5914518","new_entry","original",NA,NA,"Romania imposed a curfew on all over 65 year olds, who are only allowed to leave home between 11:00am and 1:00pm for medical treatment or between 8:00pm and 9:00pm to walk their pets, or for professional activities.",2020-03-24,2020-03-25,NA,"Romania","ROU","RO","National",1,NA,NA,"Curfew",NA,NA,"","Romania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health,Police",55.659636352191,54.6079491931084,53.6373849836492,183,"https://www.mai.gov.ro/wp-content/uploads/2020/03/ordinance-3-EN-1.pdf",2020-04-03,2020-04-03 10:28:39
"7","R_YQBSLzqATDR2LLPNA","7529103","new_entry","original",NA,NA,"Romania banned the movement of persons aged 65 and above, outside the house and household except travel for professional or agricultural purposes and medical assistance. In windows between 7:00am and 11:00am and 7:00pm and 10:00pm, movement was also allowed for the purchase of basic needs, short travel for the needs of pets, for accompanying children, the elderly, the ill or persons with disabilities.",2020-04-27,2020-04-27,NA,"Romania","ROU","RO","National",1,NA,NA,"Curfew",NA,NA,"","Romania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Military,Municipal Government,Police",60.6710449950743,55.1103869801983,49.328105183447,180,"https://www.mai.gov.ro/wp-content/uploads/2019/01/OM-10-en.pdf",2020-05-03,2020-05-03 15:31:46
"8","R_2z5A6S0kFaFE51CNA","9001418","new_entry","original",NA,NA,"On 27 April, the tenth Military Ordinance came into effect. Except for work and medical emergency, people over 65 were only allowed to leave their homes between 7 a.m.-11 a.m. and 7 p.m-10 p.m.",2020-04-27,2020-04-27,NA,"Romania","ROU","RO","National",1,NA,NA,"Curfew",NA,NA,"","Romania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",60.6710449950743,55.1103869801983,49.328105183447,180,"https://rm.coe.int/cets-005-rom-en-military-ordinance-no-10-04-05-2020/16809e4626",2020-05-28,2020-05-28 23:22:19
"9","R_3O2q1kTf18jL4ddNA","5914518","update","original","End of Policy",NA,"Romania changed the qualitative nature of a curfew imposed on persons aged 65 and above.",2020-04-27,2020-04-27,NA,"Romania","ROU","RO","National",0,NA,NA,"Curfew",NA,NA,"","Romania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health,Police",60.6710449950743,55.1103869801983,49.328105183447,180,"https://www.mai.gov.ro/wp-content/uploads/2019/01/OM-10-en.pdf",2020-05-03,2020-05-03 15:17:41
"10","R_eQhRGjaRCzk9bnrNA","9952364","new_entry","original",NA,NA,"Romania declared a state of emergency on March 16th.",2020-03-16,2020-03-16,2020-04-15,"Romania","ROU","RO","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Romania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government",53.1634463607774,52.1424710090399,51.2979983858266,133,"https://www.euronews.com/2020/03/16/romania-declares-state-of-emergency-over-covid-19-outbreak",2020-04-01,2020-04-01 13:56:45
"11","R_r2Qbx6MCKTGHEANNA","4286076","new_entry","original",NA,NA,"Romania's President announced an extension to the state of emergency, that has been in place since March 16th.",2020-04-06,2020-04-16,2020-05-16,"Romania","ROU","RO","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Romania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Military,Police",58.1996081809463,55.2631895394192,51.3875044754705,185,"https://www.romania-insider.com/coronavirus-romania-president-extend-state-emergency",2020-04-06,2020-04-06 14:59:05
"12","R_1lahYLtV9aa1HYoNA","2173258","new_entry","original",NA,NA,"On 14 May 2020, the National Committee for Emergency Situation issued Decision no. 24 approving the state of alert on national level, as well as specific measures for controlling and preventing the spread of COVID-19.",2020-05-14,2020-05-15,2020-06-15,"Romania","ROU","RO","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Romania",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.cms-lawnow.com/ealerts/2020/05/romania-dials-down-restrictions-and-institutes-new-state-of-alert",2020-06-23,2020-06-23 20:24:14
"13","R_1j8PGVXmblViYMQNA","7496677","new_entry","original",NA,NA,"Romania suspended all flights from and to Italy.",2020-03-09,2020-03-09,2020-03-23,"Romania","ROU","RO","National",0,NA,NA,"External Border Restrictions",NA,NA,"","Italy","One or more countries, but not all countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","Flights","Mandatory with Legal Penalties (Jail Time)","National Government",51.5744511754584,50.5120378517201,49.2964463322373,120,"https://www.euractiv.com/section/all/short_news/romania-suspends-flights-from-and-towards-italy/",2020-04-02,2020-04-02 10:20:48
"14","R_1Doh77MNwu3cxOwNA","1589628","new_entry","original",NA,NA,"Romania suspended all flights to and from Spain for a period of 14 days.",2020-03-17,2020-03-18,NA,"Romania","ROU","RO","National",0,NA,NA,"External Border Restrictions",NA,NA,"","Spain","One or more countries, but not all countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","All kinds of transport","Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Military,Police",54.4340586388259,53.5002411159146,52.6272309015887,172,"https://www.mai.gov.ro/wp-content/uploads/2020/03/MILITARY-ORDINANCE-no.-1-1.pdf",2020-04-02,2020-04-02 20:28:25
"15","R_8ArAehpAo4GVks1NA","2065837","new_entry","original",NA,NA,"Romania barred the entry of all foreign nationals, apart from residents, those with work visas, family members of Romanian citizens and those with imperative personal or humanitarian reasons.",2020-03-21,2020-03-22,NA,"Romania","ROU","RO","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"Foreign Travelers","Inbound","All kinds of transport","Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Provincial/State Government,Police",55.1813282834538,54.24514505946,53.3353209331907,180,"https://www.mai.gov.ro/wp-content/uploads/2020/03/MILITARY-ORDINANCE-on-measures-to-prevent-the-spread-of-COVID-19.pdf",2020-04-03,2020-04-03 10:15:43
"16","R_Dc1RyJyoh6Yf9apNA","7232167","new_entry","original",NA,NA,"All flights to France and Germany and from France and Germany
to Romania are suspended for all airports in Romania for a period of 14 days",2020-03-24,2020-03-23,NA,"Romania","ROU","RO","National",0,NA,NA,"External Border Restrictions",NA,NA,"","France,Germany","One or more countries, but not all countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","Flights","Mandatory with Legal Penalties (Jail Time)","National Government,Military",55.4082960630801,54.4320280784628,53.4278291543055,182,"https://www.mai.gov.ro/wp-content/uploads/2020/03/ordinance-3-EN-1.pdf",2020-04-01,2020-04-01 20:49:32
"17","R_1KjrmJ5A1UWxijyNA","3107785","new_entry","original",NA,NA,"Romania extended a suspension of flights to and from Italy for another 14 days.",2020-03-30,2020-03-31,2020-04-14,"Romania","ROU","RO","National",0,NA,NA,"External Border Restrictions",NA,NA,"","Italy","One or more countries, but not all countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","Flights","Mandatory with Legal Penalties (Jail Time)","National Government,Ministry/Department of Health,Military,Police",55.9938470270256,55.0423552369482,53.9950486328659,184,"https://www.mai.gov.ro/wp-content/uploads/2019/01/OM-5-EN.pdf",2020-04-03,2020-04-03 14:12:33
