record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3Le7zIgE2TxLighDf,2988730,update,original,,,"St. Kitts & Nevis: ""In this regard, and consistent with the position communicated at the Federal level, all schools in Nevis were closed yesterday March 25th, 2020, for the Easter holidays and until further notice. I also wish to make it clear that this closure applies to all public and private schools and that includes all pre-schools and day care facilities.""",2020-03-26,2020-03-25,2020-04-03,Saint Kitts and Nevis,KNA,KN,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Saint Kitts and Nevis,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.073667189234,51.0282015206291,49.942029026132,47,https://www.thestkittsnevisobserver.com/premier-brantley-makes-statement-on-nevis-response-to-covid-19/,2020-04-02,2020-04-02T11:53:14Z
R_3Le7zIgE2TxLighDh,2988730,update,original,,,"St. Kitts & Nevis: ""In this regard, and consistent with the position communicated at the Federal level, all schools in Nevis were closed yesterday March 25th, 2020, for the Easter holidays and until further notice. I also wish to make it clear that this closure applies to all public and private schools and that includes all pre-schools and day care facilities.""",2020-03-26,2020-03-25,2020-04-03,Saint Kitts and Nevis,KNA,KN,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Saint Kitts and Nevis,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.073667189234,51.0282015206291,49.942029026132,47,https://www.thestkittsnevisobserver.com/premier-brantley-makes-statement-on-nevis-response-to-covid-19/,2020-04-02,2020-04-02T11:53:14Z
R_3Le7zIgE2TxLighEd,2988730,update,original,,,"St. Kitts & Nevis: ""In this regard, and consistent with the position communicated at the Federal level, all schools in Nevis were closed yesterday March 25th, 2020, for the Easter holidays and until further notice. I also wish to make it clear that this closure applies to all public and private schools and that includes all pre-schools and day care facilities.""",2020-03-26,2020-03-25,2020-04-03,Saint Kitts and Nevis,KNA,KN,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Saint Kitts and Nevis,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,52.073667189234,51.0282015206291,49.942029026132,47,https://www.thestkittsnevisobserver.com/premier-brantley-makes-statement-on-nevis-response-to-covid-19/,2020-04-02,2020-04-02T11:53:14Z
R_1DAptzcaAGVX21mDf,2988730,new_entry,original,,,St. Kitts and Nevis,2020-03-25,2020-03-30,2020-04-03,Saint Kitts and Nevis,KNA,KN,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Saint Kitts and Nevis,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),55.1489091143106,53.0674545641726,51.3073683830967,124,https://www.covid19.gov.kn/2020/03/30/urgent-national-statement-on-covid-19-by-minister-of-state-with-responsibility-for-health-hon-wendy-phipps/ ; https://zizonline.com/schools-closing-as-of-monday-march-30-2020-education-minister-says/ ; https://www.thestkittsnevisobserver.com/nevis-ministry-of-education-official-advises-on-importance-of-school-work-packages/,2020-04-02,2020-04-02T08:40:53Z
R_1DAptzcaAGVX21mDh,2988730,new_entry,original,,,St. Kitts and Nevis,2020-03-25,2020-03-30,2020-04-03,Saint Kitts and Nevis,KNA,KN,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Saint Kitts and Nevis,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),55.1489091143106,53.0674545641726,51.3073683830967,124,https://www.covid19.gov.kn/2020/03/30/urgent-national-statement-on-covid-19-by-minister-of-state-with-responsibility-for-health-hon-wendy-phipps/ ; https://zizonline.com/schools-closing-as-of-monday-march-30-2020-education-minister-says/ ; https://www.thestkittsnevisobserver.com/nevis-ministry-of-education-official-advises-on-importance-of-school-work-packages/,2020-04-02,2020-04-02T08:40:53Z
R_1DAptzcaAGVX21mEd,2988730,new_entry,original,,,St. Kitts and Nevis,2020-03-25,2020-03-30,2020-04-03,Saint Kitts and Nevis,KNA,KN,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Saint Kitts and Nevis,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),55.1489091143106,53.0674545641726,51.3073683830967,124,https://www.covid19.gov.kn/2020/03/30/urgent-national-statement-on-covid-19-by-minister-of-state-with-responsibility-for-health-hon-wendy-phipps/ ; https://zizonline.com/schools-closing-as-of-monday-march-30-2020-education-minister-says/ ; https://www.thestkittsnevisobserver.com/nevis-ministry-of-education-official-advises-on-importance-of-school-work-packages/,2020-04-02,2020-04-02T08:40:53Z
R_TuBqYwAhtGtJ5ehDf,2988730,update,original,Change of Policy,Relaxing,"St. Kitts and Nevis 07-07-2020

Ross University School of Veterinary Medicine (RUSVM) students will be welcomed back to school tomorrow. Beginning this month, a select group of students will return to campus to complete a vital part of their education before entering the veterinary profession.",2020-07-07,2020-07-08,2020-04-03,Saint Kitts and Nevis,KNA,KN,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",Saint Kitts and Nevis,,,,,,Other,,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-07-08,2020-07-08T09:15:39Z
R_TuBqYwAhtGtJ5ehDh,2988730,update,original,Change of Policy,Relaxing,"St. Kitts and Nevis 07-07-2020

Ross University School of Veterinary Medicine (RUSVM) students will be welcomed back to school tomorrow. Beginning this month, a select group of students will return to campus to complete a vital part of their education before entering the veterinary profession.",2020-07-07,2020-07-08,2020-04-03,Saint Kitts and Nevis,KNA,KN,National,0,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",Saint Kitts and Nevis,,,,,,Other,,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-07-08,2020-07-08T09:15:39Z
R_TuBqYwAhtGtJ5ehEd,2988730,update,original,Change of Policy,Relaxing,"St. Kitts and Nevis 07-07-2020

Ross University School of Veterinary Medicine (RUSVM) students will be welcomed back to school tomorrow. Beginning this month, a select group of students will return to campus to complete a vital part of their education before entering the veterinary profession.",2020-07-07,2020-07-08,2020-04-03,Saint Kitts and Nevis,KNA,KN,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Saint Kitts and Nevis,,,,,,Other,,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-07-08,2020-07-08T09:15:39Z
R_R9x77VSjDezHGilDf,2988730,update,original,Change of Policy,Relaxing,"St. Kitts and Nevis: 07.17.2020: Early Childhood Development Centres on Nevis have been given the okay to re-open, however they must first be certified complaint with new COVID-19 protocols.",2020-07-17,2020-07-17,2020-04-03,Saint Kitts and Nevis,KNA,KN,National,0,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",Saint Kitts and Nevis,,,,,,Other,,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2020-07-22,2020-07-22T17:11:40Z
