"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2B8T8YxXQ207cY3NA",9405846,"new_entry","correction","NA",NA,"On March 17th, 2020, Sao Tome and Principe government announces national state of emergency starting from March 20th.",2020-03-17,2020-03-20,2020-04-03,"Sao Tome and Principe","STP","ST","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Sao Tome and Principe",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0093850160824,50.8407214246854,49.5340886857859,56,"http://www.faapa.info/blog/covid-19-sao-tome-e-principe-declara-estado-de-emergencia-e-proibe-de-entrada-de-todos-cidadaos-estrageiros/",2020-04-07,"2020-04-07 11:25:55"
"2","R_OoQmCoaPLcRj9jXNA",5663589,"update","original","Change of Policy","Strengthening","On March 17th, 2020, Sao Tome and Principe government announces national state of emergency starting from March 20th.",2020-03-17,2020-03-20,2020-06-16,"Sao Tome and Principe","STP","ST","National",0,NA,NA,"Declaration of Emergency",NA,NA,"","Sao Tome and Principe",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0093850160824,50.8407214246854,49.5340886857859,56,"http://www.faapa.info/blog/covid-19-sao-tome-e-principe-declara-estado-de-emergencia-e-proibe-de-entrada-de-todos-cidadaos-estrageiros/",2020-05-30,"2020-05-30 15:12:16"
"3","R_2R8nVzopOA16b1aNA",5663589,"update","original","Change of Policy","Strengthening","On March 17th, 2020, Sao Tome and Principe government announces national state of emergency starting from March 20th. The State of emergency ended on 16th June and it was substituted to the state of calamity.",2020-03-17,2020-03-20,2020-06-16,"Sao Tome and Principe","STP","ST","National",0,NA,NA,"Declaration of Emergency",NA,NA,"","Sao Tome and Principe",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0093850160824,50.8407214246854,49.5340886857859,56,"http://www.faapa.info/blog/covid-19-sao-tome-e-principe-declara-estado-de-emergencia-e-proibe-de-entrada-de-todos-cidadaos-estrageiros/",2020-07-19,"2020-07-19 15:15:47"
"4","R_RKQ3yMKRLjKqLw5NA",6192129,"new_entry","original","NA",NA,"The San Tomean government declared today the Situation of Public Calamity throughout the country, with effect from 16th of June, revoking the mandatory general confinement that ends because of the Covid-19 that ends 15th of June.",2020-06-13,2020-06-16,2020-07-31,"Sao Tome and Principe","STP","ST","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Sao Tome and Principe",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.lusa.pt/article/XqF2YOn0829eUex99cdEgjMSZM5iuSI1/covid-19-governo-s%C3%A3o-tomense-declara-situa%C3%A7%C3%A3o-de-calamidade-publica-em-todo-o-pa%C3%ADs",2020-06-16,"2020-06-16 12:10:47"
"5","R_32UXPr4OHIsWMQiBe",492251,"new_entry","original","NA",NA,"S.Tomé and Príncipe prohibits, as of 3 March, while the epidemic of COVID-19 lasts, the entry to citizens of China, South Korea, Iran, Italy, Nigeria, Egypt and Algeria.",2020-03-03,2020-03-03,2020-07-17,"Sao Tome and Principe","STP","ST","National",0,NA,NA,"External Border Restrictions","Health Screenings (e.g. temperature checks)",NA,"","Algeria,China,Egypt,Iran,Italy,Nigeria,South Korea","One or more countries and one or more regional groupings",NA,NA,NA,NA,"All Citizens (Citizen Residents + Citizen Travelers)","Inbound","Flights,Seaports,Cruises,Ferries","Mandatory (Unspecified/Implied)","Ministry/Department of Health",51.6278813009636,50.1654857658961,48.5083832535632,132,"https://www.rfi.fr/pt/s%C3%A3o-tom%C3%A9-e-pr%C3%ADncipe/20200305-s-tom%C3%A9-e-pr%C3%ADncipe-pro%C3%ADbe-entrada-a-cidad%C3%A3os-de-pa%C3%ADses-afectados-por-coronav%C3%ADrus",2020-07-09,"2020-07-09 01:27:56"
"6","R_32UXPr4OHIsWMQiCe",492251,"new_entry","original","NA",NA,"S.Tomé and Príncipe prohibits, as of 3 March, while the epidemic of COVID-19 lasts, the entry to citizens of China, South Korea, Iran, Italy, Nigeria, Egypt and Algeria.",2020-03-03,2020-03-03,2020-07-17,"Sao Tome and Principe","STP","ST","National",0,NA,NA,"External Border Restrictions","Other External Border Restriction",NA,"","Algeria,China,Egypt,Iran,Italy,Nigeria,South Korea","One or more countries and one or more regional groupings",NA,NA,NA,NA,"All Citizens (Citizen Residents + Citizen Travelers)","Inbound","Flights,Seaports,Cruises,Ferries","Mandatory (Unspecified/Implied)","Ministry/Department of Health",51.6278813009636,50.1654857658961,48.5083832535632,132,"https://www.rfi.fr/pt/s%C3%A3o-tom%C3%A9-e-pr%C3%ADncipe/20200305-s-tom%C3%A9-e-pr%C3%ADncipe-pro%C3%ADbe-entrada-a-cidad%C3%A3os-de-pa%C3%ADses-afectados-por-coronav%C3%ADrus",2020-07-09,"2020-07-09 01:27:56"
"7","R_2CVRfjj6I6EmWyRBe",492251,"update","original","End of Policy",NA,"S.Tomé and Príncipe prohibits, as of 3 March, while the epidemic of COVID-19 lasts, the entry to citizens of China, South Korea, Iran, Italy, Nigeria, Egypt and Algeria.",2020-03-03,2020-03-03,2020-07-17,"Sao Tome and Principe","STP","ST","National",0,NA,NA,"External Border Restrictions","Health Screenings (e.g. temperature checks)",NA,"","Algeria,China,Egypt,Iran,Italy,Nigeria,South Korea","One or more countries and one or more regional groupings",NA,NA,NA,NA,"All Citizens (Citizen Residents + Citizen Travelers)","Inbound","Flights,Seaports,Cruises,Ferries","Mandatory (Unspecified/Implied)","Ministry/Department of Health",51.6278813009636,50.1654857658961,48.5083832535632,132,"https://www.rfi.fr/pt/s%C3%A3o-tom%C3%A9-e-pr%C3%ADncipe/20200305-s-tom%C3%A9-e-pr%C3%ADncipe-pro%C3%ADbe-entrada-a-cidad%C3%A3os-de-pa%C3%ADses-afectados-por-coronav%C3%ADrus",2020-07-30,"2020-07-30 14:26:16"
"8","R_2CVRfjj6I6EmWyRCe",492251,"update","original","End of Policy",NA,"S.Tomé and Príncipe prohibits, as of 3 March, while the epidemic of COVID-19 lasts, the entry to citizens of China, South Korea, Iran, Italy, Nigeria, Egypt and Algeria.",2020-03-03,2020-03-03,2020-07-17,"Sao Tome and Principe","STP","ST","National",0,NA,NA,"External Border Restrictions","Other External Border Restriction",NA,"","Algeria,China,Egypt,Iran,Italy,Nigeria,South Korea","One or more countries and one or more regional groupings",NA,NA,NA,NA,"All Citizens (Citizen Residents + Citizen Travelers)","Inbound","Flights,Seaports,Cruises,Ferries","Mandatory (Unspecified/Implied)","Ministry/Department of Health",51.6278813009636,50.1654857658961,48.5083832535632,132,"https://www.rfi.fr/pt/s%C3%A3o-tom%C3%A9-e-pr%C3%ADncipe/20200305-s-tom%C3%A9-e-pr%C3%ADncipe-pro%C3%ADbe-entrada-a-cidad%C3%A3os-de-pa%C3%ADses-afectados-por-coronav%C3%ADrus",2020-07-30,"2020-07-30 14:26:16"
"9","R_1hRWWuTFwotjSXzEe",9393244,"new_entry","original","NA",NA,"On March 4th, The Sao Tome and Principe government approved the National Contingency Plan for the Epidemic due to COVID-19 presented by the Ministry of Health, which highlights the measures of surveillance, prevention, containment, hygiene and the involvement of the most varied sectors of national life, taking into account the transversality of matter. It was also decided to create an emergency fund to support the actions of this plan, in the first phase of implementation, in the amount of USD 500,000.00.",2020-03-04,2020-03-04,NA,"Sao Tome and Principe","STP","ST","National",1,NA,NA,"Health Resources","Unspecified Health Materials",NA,"","Sao Tome and Principe","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",51.3840504775411,50.1693365448267,48.8220561009388,127,"http://www.jornaltransparencia.st/j8.htm",2020-04-10,"2020-04-10 12:57:06"
"10","R_1hRWWuTFwotjSXzEd",9393244,"new_entry","original","NA",NA,"On March 4th, The Sao Tome and Principe government approved the National Contingency Plan for the Epidemic due to COVID-19 presented by the Ministry of Health, which highlights the measures of surveillance, prevention, containment, hygiene and the involvement of the most varied sectors of national life, taking into account the transversality of matter. It was also decided to create an emergency fund to support the actions of this plan, in the first phase of implementation, in the amount of USD 500,000.00.",2020-03-04,2020-03-04,NA,"Sao Tome and Principe","STP","ST","National",1,NA,NA,"Health Resources","Unspecified Health Infrastructure",NA,"","Sao Tome and Principe","One or more geographical or administrative units within one or more countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,"Not Applicable","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",51.3840504775411,50.1693365448267,48.8220561009388,127,"http://www.jornaltransparencia.st/j8.htm",2020-04-10,"2020-04-10 12:57:06"
