record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2wBSqxnO6JtgByiDq,1500422,new_entry,correction,,,Seychelles closes school for 14 days from 16 March 2020 onwards.,2020-03-15,2020-03-16,2020-03-29,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Seychelles,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",52.0598338606178,50.9209630140496,49.3947252726266,80,NA,2020-06-18,2020-06-18T09:23:58Z
R_2wBSqxnO6JtgByiEr,1500422,new_entry,correction,,,Seychelles closes school for 14 days from 16 March 2020 onwards.,2020-03-15,2020-03-16,2020-03-29,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Seychelles,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",52.0598338606178,50.9209630140496,49.3947252726266,80,NA,2020-06-18,2020-06-18T09:23:58Z
R_1PZe7rdct2xiTfkDq,1500422,update,original,End of Policy,,Seychelles closes school for 14 days from 16 March 2020 onwards. UPDATE: All primary and secondary schools reopen 11 May 2020.,2020-03-15,2020-04-16,2020-03-29,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Seychelles,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",54.0214958598198,53.0919281820695,52.0615436114695,100,NA,2020-05-16,2020-05-16T00:13:16Z
R_1PZe7rdct2xiTfkEr,1500422,update,original,End of Policy,,Seychelles closes school for 14 days from 16 March 2020 onwards. UPDATE: All primary and secondary schools reopen 11 May 2020.,2020-03-15,2020-04-16,2020-03-29,Seychelles,SYC,SC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Seychelles,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",54.0214958598198,53.0919281820695,52.0615436114695,100,NA,2020-05-16,2020-05-16T00:13:16Z
R_3sc8GqKYUKIt6aUBq,1911615,new_entry,original,,,Seychelles bans all travel to and from China on 29 Jan 2020.,2020-01-29,2020-01-29,2020-08-01,Seychelles,SYC,SC,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,,"China,Seychelles","One or more countries, but not all countries",,,,,Foreign Travelers,Inbound/Outbound,"Flights,Seaports,Cruises,Ferries",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",49.7082959302843,48.5500667026972,46.91326155086,174,http://www.seychellesnewsagency.com/articles/12340/Seychelles%27+Ministry+of+Health+bans+travel+to+China+due+to+coronavirus,2020-04-04,2020-04-04T14:13:25Z
R_3sc8GqKYUKIt6aUFf,1911615,new_entry,original,,,Seychelles bans all travel to and from China on 29 Jan 2020.,2020-01-29,2020-01-29,2020-08-01,Seychelles,SYC,SC,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,,"China,Seychelles","One or more countries, but not all countries",,,,,Foreign Travelers,Inbound/Outbound,"Flights,Seaports,Cruises,Ferries",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",49.7082959302843,48.5500667026972,46.91326155086,174,http://www.seychellesnewsagency.com/articles/12340/Seychelles%27+Ministry+of+Health+bans+travel+to+China+due+to+coronavirus,2020-04-04,2020-04-04T14:13:25Z
R_3sc8GqKYUKIt6aUFp,1911615,new_entry,original,,,Seychelles bans all travel to and from China on 29 Jan 2020.,2020-01-29,2020-01-29,2020-08-01,Seychelles,SYC,SC,National,0,,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,,"China,Seychelles","One or more countries, but not all countries",,,,,Foreign Travelers,Inbound/Outbound,"Flights,Seaports,Cruises,Ferries",Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",49.7082959302843,48.5500667026972,46.91326155086,174,http://www.seychellesnewsagency.com/articles/12340/Seychelles%27+Ministry+of+Health+bans+travel+to+China+due+to+coronavirus,2020-04-04,2020-04-04T14:13:25Z
R_27JAuRIPRDb44Q6NA,1911615,update,original,End of Policy,Relaxing,"Seychelles confirmed the authorization for commercial flights to enter Seychelles as of August 1, 2020.

The new lift in air travel restrictions on the destination comes as an indication of the successful progression of the implementation of the first phase of movement restrictions effective as of June 1, 2020. UPDATE: The holiday destination confirmed the authorization for commercial flights to enter Seychelles as of August 1, 2020.

The new lift in air travel restrictions on the destination comes as an indication of the successful progression of the implementation of the first phase of movement restrictions effective as of June 1, 2020.",2020-01-29,2020-01-29,2020-08-01,Seychelles,SYC,SC,National,1,,,,External Border Restrictions,,,,"Iran,Italy,South Korea","One or more countries, but not all countries","Europe,Other Regions (please specify below)",,,,All Residents (Citizen Residents + Foreign Residents),Inbound/Outbound,"Flights,Seaports,Cruises","Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health",49.7082959302843,48.5500667026972,46.91326155086,174,NA,2020-07-14,2020-07-14T00:48:07Z
R_2biECBUYgC5Po0pCu,1927343,new_entry,original,,,As of 30 January 2020 Seychelles will intensify surveillance at ports of entry.,2020-01-30,2020-01-30,,Seychelles,SYC,SC,National,0,,,,External Border Restrictions,Other External Border Restriction,,,Seychelles,All countries,,,,,All (Travelers + Residents),,Not Applicable,Mandatory (Unspecified/Implied),National Government,49.7193655256414,48.6569437523534,46.9400244798889,172,http://www.health.gov.sc/index.php/2020/01/31/travel-advisory/,2021-01-18,2021-01-18T23:44:11Z
R_1dujTiM785urvV5Fc,6716619,new_entry,original,,,"With effect from the 3rd of February all airlines with flights bound for Seychelles are advised not to board any
passengers or crew (except returning Seychellois residents) who have been to China in the last 14 days.",2020-01-30,2020-02-03,2020-06-01,Seychelles,SYC,SC,National,0,,,,External Border Restrictions,Total border crossing ban,,,All countries,All countries,,,,,Foreign Travelers,Outbound,Flights,Mandatory (Unspecified/Implied),National Government,50.1896644666574,48.9853047487825,47.3838572492973,169,http://www.health.gov.sc/index.php/2020/01/31/travel-advisory/ ; https://www.ingsa.org/covid-19-policy-tracker/africa/seychelles/30-january-2020-travel-to-and-from-china-banned-airlines-to-refuse-passengers-who-have-been-to-china-within-14-days/,2021-01-16,2021-01-16T21:17:08Z
