"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3KB1DP8rwDEa42dDo",109049,"new_entry","original","NA",NA,"On March 12, the Government of Slovenia adopted the decision to temporarily close kindergartens and schools between March 16 and March 29.","2020-03-12","2020-03-16",2020-03-29,"Slovenia","SVN","SI","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Slovenia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.5872513930859,54.5907403565269,53.676423396667,192,"https://www.gov.si/en/news/2020-03-12-slovenia-to-declare-an-epidemic-and-temporarily-close-kindergartens-and-schools/","2020-04-03","2020-04-03 03:27:29"
"2","R_3KB1DP8rwDEa42dEm",109049,"new_entry","original","NA",NA,"On March 12, the Government of Slovenia adopted the decision to temporarily close kindergartens and schools between March 16 and March 29.","2020-03-12","2020-03-16",2020-03-29,"Slovenia","SVN","SI","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Slovenia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.5872513930859,54.5907403565269,53.676423396667,192,"https://www.gov.si/en/news/2020-03-12-slovenia-to-declare-an-epidemic-and-temporarily-close-kindergartens-and-schools/","2020-04-03","2020-04-03 03:27:29"
"3","R_32LNUqxrLHwVFXoEn",1583144,"new_entry","original","NA",NA,"On March 12 at 6 p.m., Slovenia declares an epidemic. At the same time, the national emergency response plan is activated.","2020-03-12","2020-03-12",NA,"Slovenia","SVN","SI","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","Slovenia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.7393607931896,51.7108306644575,50.6026583003729,152,"https://www.gov.si/en/news/2020-03-12-slovenia-declares-coronavirus-epidemic/","2020-04-03","2020-04-03 03:14:55"
"4","R_1oaLZxpI5bOCYAyFg",1377366,"new_entry","original","NA",NA,"Slovenia bans aircrafts from Italian airports, in places where risk of infection is higher, from China, South Korea, and Iran. The ban applies from 10. 3. 2020 to 31. 3. 2020, with a possibility of extension. This does not apply to emergency and medical flights.","2020-03-09","2020-03-10",2020-03-31,"Slovenia","SVN","SI","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","China,Iran,Italy,South Korea","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound","Flights","Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",51.6727777457549,50.6790031224399,49.5804646108024,121,"https://www.gov.si/en/news/2020-03-09-national-security-council-adopts-measures-to-contain-the-spread-of-coronavirus/","2020-04-03","2020-04-03 02:40:29"
"5","R_1lfB0PXFh4fvbEQFg",1291379,"new_entry","original","NA",NA,"On 10 March, Slovenia advises citizens against travelling to the South Korean area around Daegu and Cheongju and against all but essential travel to other parts of the Republic of Korea.","2020-03-10","2020-03-10",NA,"Slovenia","SVN","SI","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","South Korea","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",51.6727777457549,50.6790031224399,49.5804646108024,121,"https://www.gov.si/en/news/2020-03-10-south-korea-travel-advisory/","2020-04-03","2020-04-03 02:54:57"
"6","R_1cYb05Oa1zHEopyFg",3031369,"new_entry","correction","NA",NA,"On 10 March, the Slovenian MFA advised against all travel to Iran. Slovenian citizens temporarily staying in Iran are advised to leave the country as soon as possible.","2020-03-10","2020-03-10",NA,"Slovenia","SVN","SI","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Iran","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents +Foreign Residents)","Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",51.6727777457549,50.6790031224399,49.5804646108024,121,"URL/link   https://www.gov.si/en/news/2020-03-10-iran-travel-advisory/        Newspaper/Institution","2020-06-16","2020-06-16 14:26:14"
"7","R_29mEC7LBNtZuxh0Fg",9333984,"new_entry","original","NA",NA,"On March 10, the Slovenian MFA advises against all travel to Italy.","2020-03-10","2020-03-10",NA,"Slovenia","SVN","SI","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Italy","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",51.6727777457549,50.6790031224399,49.5804646108024,121,"https://www.gov.si/en/news/2020-03-10-italy-travel-advisory/","2020-04-03","2020-04-03 03:01:50"
"8","R_3lK3GdGBDZiFmYFFg",9957632,"new_entry","original","NA",NA,"On March 10, Slovenia advises """"against all but essential travel to China and against all travel to the province of Hubei until further notice.""""","2020-03-10","2020-03-10",NA,"Slovenia","SVN","SI","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","China","One or more countries, but not all countries",NA,NA,NA,NA,"All Citizens (Citizen Residents + Citizen Travelers)","Outbound","All kinds of transport","Voluntary/Recommended but No Penalties","National Government",51.6727777457549,50.6790031224399,49.5804646108024,121,"https://www.gov.si/en/news/2020-03-10-china-travel-advisory/","2020-04-03","2020-04-03 02:59:21"
"9","R_1OJMJB8mu7i4XPEFg",1036863,"new_entry","original","NA",NA,"On March 11, """"Passenger train traffic between Italy and Slovenia has been suspended.""""","2020-03-11","2020-03-11",NA,"Slovenia","SVN","SI","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Italy","One or more countries, but not all countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Trains","Mandatory (Unspecified/Implied)","National Government",51.9952141242499,51.0895874862772,49.9784479811521,132,"https://www.gov.si/en/news/2020-03-11-government-order-in-force-on-the-conditions-of-entry-into-slovenia-from-italy-aimed-at-stemming-the-spread-of-infection/","2020-04-03","2020-04-03 03:10:21"
"10","R_1IT4gitv9Ymv4MWFg",7742683,"new_entry","original","NA",NA,"The Slovenian government adopted a decision to start carrying out border control checks in the vicinity of the border between Slovenia and Italy on 11 March 2020. This will include checking for negative SARS-CoV-2 (COVID-19) result certificates issued by a competent authority.","2020-03-11","2020-03-11",NA,"Slovenia","SVN","SI","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Italy","One or more countries, but not all countries",NA,NA,NA,NA,"All Foreign Nationals (Foreign Residents + Foreign Travelers)","Inbound","Land Border","Mandatory (Unspecified/Implied)","National Government",51.9952141242499,51.0895874862772,49.9784479811521,132,"https://www.gov.si/en/news/2020-03-11-government-adopts-decision-to-implement-border-control-checks-for-travellers-between-italy-and-slovenia/","2020-04-03","2020-04-03 03:06:50"
