"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1ob8YuwYCwKCIh7Cv","5267433","new_entry","original",NA,NA,"On 17th March 2020, Somalia government announced that schools and universities would be closed for 15 days effective from 19th March.",2020-03-17,2020-03-19,2020-04-02,"Somalia","SOM","SO","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Somalia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6055229930299,51.473817892979,50.4518585880739,83,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Somalia",2020-04-03,2020-04-03 04:25:29
"2","R_1ob8YuwYCwKCIh7Cw","5267433","new_entry","original",NA,NA,"On 17th March 2020, Somalia government announced that schools and universities would be closed for 15 days effective from 19th March.",2020-03-17,2020-03-19,2020-04-02,"Somalia","SOM","SO","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Somalia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6055229930299,51.473817892979,50.4518585880739,83,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Somalia",2020-04-03,2020-04-03 04:25:29
"3","R_1ob8YuwYCwKCIh7Dr","5267433","new_entry","original",NA,NA,"On 17th March 2020, Somalia government announced that schools and universities would be closed for 15 days effective from 19th March.",2020-03-17,2020-03-19,2020-04-02,"Somalia","SOM","SO","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Somalia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6055229930299,51.473817892979,50.4518585880739,83,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Somalia",2020-04-03,2020-04-03 04:25:29
"4","R_1ob8YuwYCwKCIh7Bg","5267433","new_entry","original",NA,NA,"On 17th March 2020, Somalia government announced that schools and universities would be closed for 15 days effective from 19th March.",2020-03-17,2020-03-19,2020-04-02,"Somalia","SOM","SO","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Somalia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.6055229930299,51.473817892979,50.4518585880739,83,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Somalia",2020-04-03,2020-04-03 04:25:29
"5","R_2rjzTvPgr57An00Cv","5267433","update","original","End of Policy",NA,"The Somalian government announced that schools and universities would resume on August 15.",2020-07-31,2020-08-15,2020-04-02,"Somalia","SOM","SO","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Somalia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA ; https://www.bbc.com/news/topics/cnx753jejqwt/somalia",2020-08-01,2020-08-01 16:54:04
"6","R_2rjzTvPgr57An00Cw","5267433","update","original","End of Policy",NA,"The Somalian government announced that schools and universities would resume on August 15.",2020-07-31,2020-08-15,2020-04-02,"Somalia","SOM","SO","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Somalia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA ; https://www.bbc.com/news/topics/cnx753jejqwt/somalia",2020-08-01,2020-08-01 16:54:04
"7","R_2rjzTvPgr57An00Dr","5267433","update","original","End of Policy",NA,"The Somalian government announced that schools and universities would resume on August 15.",2020-07-31,2020-08-15,2020-04-02,"Somalia","SOM","SO","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Somalia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA ; https://www.bbc.com/news/topics/cnx753jejqwt/somalia",2020-08-01,2020-08-01 16:54:04
"8","R_2rjzTvPgr57An00Bg","5267433","update","original","End of Policy",NA,"The Somalian government announced that schools and universities would resume on August 15.",2020-07-31,2020-08-15,2020-04-02,"Somalia","SOM","SO","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Somalia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA ; https://www.bbc.com/news/topics/cnx753jejqwt/somalia",2020-08-01,2020-08-01 16:54:04
"9","R_xx4WymPrcyH36PDNA","8470845","new_entry","original",NA,NA,"The Somalian government has imposed a night curfew between the hours of 8 pm to 5 am in the country's capital Mogadishu. The curfew will commence from the 15th of April 2020.",2020-04-12,2020-04-15,NA,"Somalia","SOM","SO","National",1,NA,NA,"Curfew",NA,NA,"","Somalia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",58.4320982215697,52.4201912198442,46.2232799992143,73,"https://africa.cgtn.com/2020/04/12/somalia-imposes-curfew-to-curb-covid-19-pandemic/",2020-05-25,2020-05-25 17:53:04
"10","R_2rrA6l106aa7kb0Ec","3974805","new_entry","original",NA,NA,"On 15th March 2020, Somalia government announced that travellers originating from or transiting through worst countries (China, Itan, Italy and South Korea) in the last 14 days would not be allowed into the country.",2020-03-15,2020-03-15,NA,"Somalia","SOM","SO","National",0,NA,NA,"External Border Restrictions","Travel History Form (e.g. documents where traveler has recently been)",NA,"","South Korea","One or more countries, but not all countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","Flights","Mandatory (Unspecified/Implied)","National Government",50.5362305892781,48.7615783915177,46.1967668916967,26,"https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/covid-19-somalia-bans-entry-from-worst-hit-countries/1766837",2020-04-02,2020-04-02 05:36:41
"11","R_XG5KntkUvrlefcdNA","1299959","new_entry","original",NA,NA,"On 16th March 2020, Somali Aviation Ministry ordered a suspension of all international flights for 15 days starting from Wednesday, 18 March 2020, with exception to humanitarian flights.",2020-03-16,2020-03-18,2020-04-01,"Somalia","SOM","SO","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","Flights","Mandatory (Unspecified/Implied)","National Government",51.4498047070563,50.3000154664928,49.0505658163432,55,"https://www.aa.com.tr/en/africa/somalia-tanzania-confirm-first-coronavirus-cases/1767971",2020-04-03,2020-04-03 04:43:36
"12","R_Wqcn92YNEQ251mxCe","4718543","new_entry","original",NA,NA,"On April 9, authorities in the Gedo region ordered the closure of land border crossings with Kenya and Ethiopia.",2020-04-09,2020-04-09,NA,"Somalia","SOM","SO","Provincial",0,"Gedo",NA,"External Border Restrictions","Other External Border Restriction",NA,"","Ethiopia,Kenya","One or more countries and one or more regional groupings",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Land Border","Mandatory (Unspecified/Implied)","Provincial/State Government",56.5772206965511,52.0671731681583,46.9852942404934,60,"https://www.garda.com/crisis24/news-alerts/331371/somalia-authorities-in-gedo-region-close-border-crossings-with-kenya-and-ethiopia-april-9-update-2",2020-05-25,2020-05-25 18:34:05
"13","R_tFkVrFMSgkCUOeBNA","1299959","update","original","End of Policy",NA,"The Somali government announced that international flights would resume as of Monday, August 3.",2020-07-30,2020-08-03,2020-04-01,"Somalia","SOM","SO","National",0,NA,NA,"External Border Restrictions",NA,NA,"","All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","Flights","Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA ; https://www.bbc.com/news/topics/cnx753jejqwt/somalia",2020-08-01,2020-08-01 16:44:16
"14","R_3kk58tdUvWx7UAlNA","8012971","new_entry","original",NA,NA,"On 28th March 2020, Somalia government in announcing that its Ministry of Transport and Aviation will extend its ban on international flights from Sunday 29th, banned all the local flights from 29th March.",2020-03-28,2020-03-29,NA,"Somalia","SOM","SO","National",1,NA,NA,"Internal Border Restrictions",NA,NA,"","Somalia","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.2890075235368,52.128391575551,51.0494350173486,69,"http://www.china.org.cn/world/Off_the_Wire/2020-03/28/content_75872204.htm",2020-04-03,2020-04-03 07:03:35
"15","R_1kNSAe3ghrrtJesNA","1845651","new_entry","original",NA,NA,"On 15th March 2020, Somalia government urged all travellers to comply with health screening.",2020-03-15,2020-03-15,NA,"Somalia","SOM","SO","National",0,NA,NA,"Other Policy Not Listed Above",NA,"Health screening of travellers does not fit the descriptions of Health Monitoring or Health Testing as provided in the survey.","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government",50.5362305892781,48.7615783915177,46.1967668916967,26,"https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/covid-19-somalia-bans-entry-from-worst-hit-countries/1766837",2020-04-02,2020-04-02 05:48:15
"16","R_PTfjwhywWbJKvLjAz","7320387","new_entry","original",NA,NA,"According to information published on 27th February 2020 by the US Embassy on its Country Information and Travel Advisory page, Somalia authorities have established a quarantine unit at Aden Adde International Airport in Mogadishu to isolate arriving passengers who have recently traveled to China and for those that demonstrate symptoms of coronavirus. Somali nationals who have been to China in the two weeks prior to landing will automatically be quarantined upon arrival in Somalia.",2020-02-27,2020-02-27,NA,"Somalia","SOM","SO","National",1,NA,NA,"Quarantine","Government Quarantine (i.e. quarantine at a government hotel or facility)",NA,"","Somalia","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)","Inbound","Flights","Mandatory (Unspecified/Implied)","National Government",49.3965123250267,46.8642632810338,42.1513448495966,10,"https://menafn.com/1099772030/Somaliland-US-Embassy-Somalia-Coronavirus-COVID-19-Information-Update ; https://so.usembassy.gov/covid-19-information/",2020-04-03,2020-04-03 06:43:13
