"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3EJPrJ0WlrM1MzgNA","1081483","new_entry","original",NA,NA,"The Republic of South Africa enforces anti-disinformation measures relating to the COVID-19 Pandemic in the Government Gazette on March 18, 2020. Any persons who publishes ""any statement through any medium, including social media with intention to deceive any other person about COVID-19; the infection status of any person; any measure taken by the Government to address COVID019"" is committing an offence.",2020-03-18,2020-03-18,NA,"South Africa","ZAF","ZA","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government",53.4724770190936,52.4740578753895,51.4561054251683,137,"https://www.gov.za/sites/default/files/gcis_document/202003/regulations.pdf",2020-08-23,2020-08-23 23:21:41
"2","R_3fZrGfPf9HtxbOOCv","938528","new_entry","original",NA,NA,"The Republic of South Africa is enforcing a four-week closure of ""Schools and partial care facilities""  from March 18 2020 until April 15 2020",2020-03-18,2020-03-18,2020-04-30,"South Africa","ZAF","ZA","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","South Africa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4724770190936,52.4740578753895,51.4561054251683,137,"http://www.gpwonline.co.za/Gazettes/Gazettes/43107_18-3_COGTA.pdf",2020-04-03,2020-04-03 18:28:36
"3","R_3fZrGfPf9HtxbOOCw","938528","new_entry","original",NA,NA,"The Republic of South Africa is enforcing a four-week closure of ""Schools and partial care facilities""  from March 18 2020 until April 15 2020",2020-03-18,2020-03-18,2020-04-30,"South Africa","ZAF","ZA","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","South Africa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4724770190936,52.4740578753895,51.4561054251683,137,"http://www.gpwonline.co.za/Gazettes/Gazettes/43107_18-3_COGTA.pdf",2020-04-03,2020-04-03 18:28:36
"4","R_3fZrGfPf9HtxbOODr","938528","new_entry","original",NA,NA,"The Republic of South Africa is enforcing a four-week closure of ""Schools and partial care facilities""  from March 18 2020 until April 15 2020",2020-03-18,2020-03-18,2020-04-30,"South Africa","ZAF","ZA","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","South Africa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4724770190936,52.4740578753895,51.4561054251683,137,"http://www.gpwonline.co.za/Gazettes/Gazettes/43107_18-3_COGTA.pdf",2020-04-03,2020-04-03 18:28:36
"5","R_3fZrGfPf9HtxbOOBg","938528","new_entry","original",NA,NA,"The Republic of South Africa is enforcing a four-week closure of ""Schools and partial care facilities""  from March 18 2020 until April 15 2020",2020-03-18,2020-03-18,2020-04-30,"South Africa","ZAF","ZA","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","South Africa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",53.4724770190936,52.4740578753895,51.4561054251683,137,"http://www.gpwonline.co.za/Gazettes/Gazettes/43107_18-3_COGTA.pdf",2020-04-03,2020-04-03 18:28:36
"6","R_2CfUgfQH3SxWXUJCv","938528","update","original",NA,"Strengthening","The Republic of South Africa has announced that ""Schools and partial care facilities must be closed by 18 March 2020 until 30 April 2020, which period may be extended by way of directions by the Cabinet member responsible"" on April 16 2020.",2020-04-16,2020-04-16,2020-04-30,"South Africa","ZAF","ZA","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","South Africa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.519038287867,54.571570486108,53.561798358039,170,"http://www.cogta.gov.za/cgta_2016/wp-content/uploads/2020/04/43232_16-04_Cogta_Regulations_compressed-1.pdf",2020-04-16,2020-04-16 17:49:20
"7","R_2CfUgfQH3SxWXUJCw","938528","update","original",NA,"Strengthening","The Republic of South Africa has announced that ""Schools and partial care facilities must be closed by 18 March 2020 until 30 April 2020, which period may be extended by way of directions by the Cabinet member responsible"" on April 16 2020.",2020-04-16,2020-04-16,2020-04-30,"South Africa","ZAF","ZA","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","South Africa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.519038287867,54.571570486108,53.561798358039,170,"http://www.cogta.gov.za/cgta_2016/wp-content/uploads/2020/04/43232_16-04_Cogta_Regulations_compressed-1.pdf",2020-04-16,2020-04-16 17:49:20
"8","R_2CfUgfQH3SxWXUJDr","938528","update","original",NA,"Strengthening","The Republic of South Africa has announced that ""Schools and partial care facilities must be closed by 18 March 2020 until 30 April 2020, which period may be extended by way of directions by the Cabinet member responsible"" on April 16 2020.",2020-04-16,2020-04-16,2020-04-30,"South Africa","ZAF","ZA","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","South Africa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.519038287867,54.571570486108,53.561798358039,170,"http://www.cogta.gov.za/cgta_2016/wp-content/uploads/2020/04/43232_16-04_Cogta_Regulations_compressed-1.pdf",2020-04-16,2020-04-16 17:49:20
"9","R_2CfUgfQH3SxWXUJBg","938528","update","original",NA,"Strengthening","The Republic of South Africa has announced that ""Schools and partial care facilities must be closed by 18 March 2020 until 30 April 2020, which period may be extended by way of directions by the Cabinet member responsible"" on April 16 2020.",2020-04-16,2020-04-16,2020-04-30,"South Africa","ZAF","ZA","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","South Africa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.519038287867,54.571570486108,53.561798358039,170,"http://www.cogta.gov.za/cgta_2016/wp-content/uploads/2020/04/43232_16-04_Cogta_Regulations_compressed-1.pdf",2020-04-16,2020-04-16 17:49:20
"10","R_qKNOPWSNG31DeA9Dr","7725678","new_entry","original",NA,NA,"“Independent and public ordinary schools will open even in the metropolitan areas. Every school must adhere to and observe the health and safety protocols that will be put in place.  We will start with grades 7 and 12 and small schools. The other grades will follow in due course,” said the Minister Angie Motshekga.",2020-05-19,2020-06-01,NA,"South Africa","ZAF","ZA","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","South Africa",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"https://www.sanews.gov.za/south-africa/schools-reopen-1-june-2020",2020-05-20,2020-05-20 12:13:09
