"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1r6vKXtc4CN4mIENA","1369277","new_entry","original",NA,NA,"On Mar 22 2020 KCDC announced, ""Citing the recent incidents of misinformed use of salt water sprays and methanol, the KCDC stated that the spread of COVID-19-related misinformation (“infodemic”) is posing a threat to the safety of citizens and stressed that it is important to check the reliability of the sources of the information they receive from word of mouth, social media, online videos and forums, and news media. The KCDC asked citizens who come across suspicious COVID-19-related information to check the sources of information and confirm the validity of information by utilizing resources such as official websites of KCDC and the Ministry of Health and Welfare and infectious disease call center (1339).""",2020-03-23,2020-03-23,NA,"South Korea","KOR","KR","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","Ministry/Department of Health,Other (Please specify in the text box)",54.8897472989533,51.1254832869945,47.4254193495807,51,"https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&tag=&act=view&list_no=366627",2020-08-15,2020-08-15 13:53:37
"2","R_3qm7aahyaAMnxVxBg","2417568","new_entry","original",NA,NA,"On 5 Feb 2020, Korea's Ministry of Education recommends universities to postpone the upcoming semester",2020-02-05,2020-02-05,NA,"South Korea","KOR","KR","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","South Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",51.6808691971215,50.6979943857517,49.6494311781122,189,"http://www.hani.co.kr/arti/society/schooling/927066.html",2020-04-08,2020-04-08 13:16:25
"3","R_3KvXSQv80fZxBO2Cw","3686095","update","original",NA,"Strengthening","On 26 Feb 2020, the closure of pre-schools (kindergardens) comes into an effect",2020-02-26,2020-02-27,2020-03-08,"South Korea","KOR","KR","Municipal",0,"Daegu",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","South Korea",NA,NA,"Daegu",NA,NA,"All Citizens (Citizen Residents + Citizen Travelers)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Other (Please specify in the text box)",53.2940188312026,51.0981938555502,49.1961484645387,177,"http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=353116&contSeq=353116&board_id=&gubun=ALL",2020-04-10,2020-04-10 13:43:08
"4","R_3KvXSQv80fZxBO2Dr","3686095","update","original",NA,"Strengthening","On 26 Feb 2020, the closure of pre-schools (kindergardens) comes into an effect",2020-02-26,2020-02-27,2020-03-08,"South Korea","KOR","KR","Municipal",0,"Daegu",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","South Korea",NA,NA,"Daegu",NA,NA,"All Citizens (Citizen Residents + Citizen Travelers)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health,Other (Please specify in the text box)",53.2940188312026,51.0981938555502,49.1961484645387,177,"http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=353116&contSeq=353116&board_id=&gubun=ALL",2020-04-10,2020-04-10 13:43:08
"5","R_3NxrSCR2WCB0kGeCw","3686095","new_entry","original",NA,NA,"on 21 Feb 2020, Korea's Ministry of Education announces the one-week postponing of the new semester for schools in Daegu",2020-02-21,2020-03-02,2020-03-08,"South Korea","KOR","KR","Municipal",1,"Daegu",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","South Korea",NA,NA,"Daegu",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",53.5946257905224,50.9233566302729,48.1248663570821,166,"http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=353024&contSeq=353024&board_id=&gubun=ALL",2020-04-08,2020-04-08 13:40:13
"6","R_3NxrSCR2WCB0kGeDr","3686095","new_entry","original",NA,NA,"on 21 Feb 2020, Korea's Ministry of Education announces the one-week postponing of the new semester for schools in Daegu",2020-02-21,2020-03-02,2020-03-08,"South Korea","KOR","KR","Municipal",1,"Daegu",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","South Korea",NA,NA,"Daegu",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Other (Please specify in the text box)",53.5946257905224,50.9233566302729,48.1248663570821,166,"http://ncov.mohw.go.kr/tcmBoardView.do?brdId=&brdGubun=&dataGubun=&ncvContSeq=353024&contSeq=353024&board_id=&gubun=ALL",2020-04-08,2020-04-08 13:40:13
"7","R_10OYm9e9NaKhSScCv","1000291","new_entry","original",NA,NA,"In South Korea, ""fever tests will be conducted at least twice a day before entering to a classroom and during the day, and fever and respiratory symptoms will be checked frequently before the start of each class. If there is any suspected symptom, those who show the symptoms will be guided to receive medical examinations and diagnostic tests at the screening stations immediately.""",2020-05-07,2020-05-07,NA,"South Korea","KOR","KR","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities allowed to open with conditions","South Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",NA,NA,NA,NA,"n/a",2020-09-11,2020-09-11 14:41:52
"8","R_10OYm9e9NaKhSScCw","1000291","new_entry","original",NA,NA,"In South Korea, ""fever tests will be conducted at least twice a day before entering to a classroom and during the day, and fever and respiratory symptoms will be checked frequently before the start of each class. If there is any suspected symptom, those who show the symptoms will be guided to receive medical examinations and diagnostic tests at the screening stations immediately.""",2020-05-07,2020-05-07,NA,"South Korea","KOR","KR","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with conditions","South Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",NA,NA,NA,NA,"n/a",2020-09-11,2020-09-11 14:41:52
"9","R_10OYm9e9NaKhSScDr","1000291","new_entry","original",NA,NA,"In South Korea, ""fever tests will be conducted at least twice a day before entering to a classroom and during the day, and fever and respiratory symptoms will be checked frequently before the start of each class. If there is any suspected symptom, those who show the symptoms will be guided to receive medical examinations and diagnostic tests at the screening stations immediately.""",2020-05-07,2020-05-07,NA,"South Korea","KOR","KR","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with conditions","South Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Other (Please specify in the text box)",NA,NA,NA,NA,"n/a",2020-09-11,2020-09-11 14:41:52
"10","R_2WU1bhM8EGaxgiyNA","5274828","new_entry","original",NA,NA,"The head of Korea's Central Disaster Management Headquarters declares a status of the national warning.",2020-01-20,2020-01-20,NA,"South Korea","KOR","KR","National",1,NA,NA,"Declaration of Emergency",NA,NA,"","South Korea",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","Ministry/Department of Health",49.7477294979784,48.2867398303383,46.3039192777717,182,"http://ncov.mohw.go.kr/upload/viewer/skin/doc.html?fn=1579498569511_20200120143609.pdf&rs=/upload/viewer/result/202004/",2020-04-03,2020-04-03 16:40:04
