record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_10H66Ms0caP5jwJNA,3291678,new_entry,original,,,"""Since the beginning of the [Covid-19] crisis, a communication team from the Ministry of Health has carried out an intense effort to disseminate informative content based on videos and infographics of public service and professional nature.""",2019-12-31,2019-12-31,,Spain,ESP,ES,National,1,,,,Anti-Disinformation Measures,,,,Spain,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,48.751026114952,45.4625537798368,41.7044616000564,4,https://www.mscbs.gob.es/gabinete/notasPrensa.do?metodo=detalle&id=4869 ; https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/situacionActual.htm,2020-12-22,2020-12-22T20:31:23Z
R_3IttxxoWLdMx0KRDq,8075864,new_entry,correction,,,"Spain (significant community transmission phase, in the moment Madrid, city of Vitoria and the town of Labastida) suspends teaching activities at all educational levels (Universities, High School, Secondary Education, Primary and Infant Education, Nursery Schools, Vocational Training and others) additionall Suspension of complementary educational activities on march 9",2020-03-09,2020-03-09,,Spain,ESP,ES,Municipal,1,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Spain,,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.4701406933113,49.2012998129464,45.9843039044502,55,https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4806,2020-08-11,2020-08-11T09:44:25Z
R_3IttxxoWLdMx0KRDs,8075864,new_entry,correction,,,"Spain (significant community transmission phase, in the moment Madrid, city of Vitoria and the town of Labastida) suspends teaching activities at all educational levels (Universities, High School, Secondary Education, Primary and Infant Education, Nursery Schools, Vocational Training and others) additionall Suspension of complementary educational activities on march 9",2020-03-09,2020-03-09,,Spain,ESP,ES,Municipal,1,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Spain,,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.4701406933113,49.2012998129464,45.9843039044502,55,https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4806,2020-08-11,2020-08-11T09:44:25Z
R_3IttxxoWLdMx0KREt,8075864,new_entry,correction,,,"Spain (significant community transmission phase, in the moment Madrid, city of Vitoria and the town of Labastida) suspends teaching activities at all educational levels (Universities, High School, Secondary Education, Primary and Infant Education, Nursery Schools, Vocational Training and others) additionall Suspension of complementary educational activities on march 9",2020-03-09,2020-03-09,,Spain,ESP,ES,Municipal,1,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Spain,,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.4701406933113,49.2012998129464,45.9843039044502,55,https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4806,2020-08-11,2020-08-11T09:44:25Z
R_3IttxxoWLdMx0KRBu,8075864,new_entry,correction,,,"Spain (significant community transmission phase, in the moment Madrid, city of Vitoria and the town of Labastida) suspends teaching activities at all educational levels (Universities, High School, Secondary Education, Primary and Infant Education, Nursery Schools, Vocational Training and others) additionall Suspension of complementary educational activities on march 9",2020-03-09,2020-03-09,,Spain,ESP,ES,Municipal,1,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Spain,,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.4701406933113,49.2012998129464,45.9843039044502,55,https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4806,2020-08-11,2020-08-11T09:44:25Z
R_27ewfIPixVZXzTwDq,133016,new_entry,original,,,"On March 10th, the regional government of the Basque country ordered the closure of schools and universities in Vitoria and Labastida until March 25th.",2020-03-10,2020-03-10,2020-03-25,Spain,ESP,ES,Provincial,1,Basque Country,ES-PV,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Spain,One or more provinces within a country,,Basque Country,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.2741755599749,49.2423891008082,47.1275546442125,57,https://www.osac.gov/Content/Report/927eef8b-eb00-45f6-8d56-182ae2d086c8,2020-07-15,2020-07-15T03:53:42Z
R_27ewfIPixVZXzTwDs,133016,new_entry,original,,,"On March 10th, the regional government of the Basque country ordered the closure of schools and universities in Vitoria and Labastida until March 25th.",2020-03-10,2020-03-10,2020-03-25,Spain,ESP,ES,Provincial,1,Basque Country,ES-PV,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Spain,One or more provinces within a country,,Basque Country,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.2741755599749,49.2423891008082,47.1275546442125,57,https://www.osac.gov/Content/Report/927eef8b-eb00-45f6-8d56-182ae2d086c8,2020-07-15,2020-07-15T03:53:42Z
R_27ewfIPixVZXzTwEt,133016,new_entry,original,,,"On March 10th, the regional government of the Basque country ordered the closure of schools and universities in Vitoria and Labastida until March 25th.",2020-03-10,2020-03-10,2020-03-25,Spain,ESP,ES,Provincial,1,Basque Country,ES-PV,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Spain,One or more provinces within a country,,Basque Country,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.2741755599749,49.2423891008082,47.1275546442125,57,https://www.osac.gov/Content/Report/927eef8b-eb00-45f6-8d56-182ae2d086c8,2020-07-15,2020-07-15T03:53:42Z
R_27ewfIPixVZXzTwBu,133016,new_entry,original,,,"On March 10th, the regional government of the Basque country ordered the closure of schools and universities in Vitoria and Labastida until March 25th.",2020-03-10,2020-03-10,2020-03-25,Spain,ESP,ES,Provincial,1,Basque Country,ES-PV,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Spain,One or more provinces within a country,,Basque Country,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,51.2741755599749,49.2423891008082,47.1275546442125,57,https://www.osac.gov/Content/Report/927eef8b-eb00-45f6-8d56-182ae2d086c8,2020-07-15,2020-07-15T03:53:42Z
R_1GTg2iAqQdV6jbdDq,3476635,new_entry,original,,,"Spain (Catalunya) is enforcing the closure of schools in Igualada, Jorba, Vilanova del Camí, Santa Margarida de Montbui and Òdena on March 11",2020-03-11,2020-03-11,,Spain,ESP,ES,Municipal,1,Catalonia,ES-CT,"Igualada, Jorba, Vilanova del Camí, Santa Margarida de Montbui and Òdena",Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Spain,,,,"Igualada, Jorba, Vilanova del Camí, Santa Margarida de Montbui and Òdena",,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Provincial/State Government,52.2487402238624,49.691627686189,47.0068893347678,68,https://www.catalannews.com/society-science/item/authorities-order-closure-of-schools-in-central-catalonia-after-detecting-coronavirus-cluster,2020-04-11,2020-04-11T10:56:59Z
