record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_1nNpyO89Xhm7y93NA,2556695,new_entry,original,,,"Sri Lanka's President stressed in a meeting on March 17th the need of taking swift action against those who spread rumours and fabricated stories regarding the spread of the virus, with the intention of frightening the general public.",2020-03-17,2020-03-17,,Sri Lanka,LKA,LK,National,0,,,,Anti-Disinformation Measures,,,,,,,,,,,,,Mandatory (Unspecified/Implied),National Government,51.8955622563206,49.754179702584,47.0480411487487,47,https://www.president.gov.lk/more-decision-to-contain-covid-19-outbreak/,2020-05-14,2020-05-14T13:58:41Z
R_xap6XWSj5gf8Be9NA,8970430,new_entry,original,,,Sri Lanka's police spokesman announced on July 12 that the criminal investigations department is monitoring those spreading false information and rumors over social media and that stern action would take place against those caught doing so.,2020-07-12,2020-07-12,,Sri Lanka,LKA,LK,National,0,,,,Anti-Disinformation Measures,,,,Sri Lanka,,,,,,,,,Mandatory with Legal Penalties (Jail Time),Police,,,,,https://menafn.com/1100469648/Sri-Lanka-CID-monitoring-social-media,2020-07-23,2020-07-23T10:43:44Z
R_2CxDHzEZKeY4NONDl,5028505,new_entry,original,,,"Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. 
",2020-03-12,2020-03-13,2020-05-11,Sri Lanka,LKA,LK,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Sri Lanka,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.2307038333839,49.450040332376,45.9338668147115,53,http://www.colombopage.com/archive_20A/Mar12_1584022514CH.php,2020-05-14,2020-05-14T16:39:33Z
R_2CxDHzEZKeY4NONDn,5028505,new_entry,original,,,"Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. 
",2020-03-12,2020-03-13,2020-05-11,Sri Lanka,LKA,LK,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Sri Lanka,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.2307038333839,49.450040332376,45.9338668147115,53,http://www.colombopage.com/archive_20A/Mar12_1584022514CH.php,2020-05-14,2020-05-14T16:39:33Z
R_2CxDHzEZKeY4NONEm,5028505,new_entry,original,,,"Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. 
",2020-03-12,2020-03-13,2020-05-11,Sri Lanka,LKA,LK,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Sri Lanka,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.2307038333839,49.450040332376,45.9338668147115,53,http://www.colombopage.com/archive_20A/Mar12_1584022514CH.php,2020-05-14,2020-05-14T16:39:33Z
R_2CxDHzEZKeY4NONBs,5028505,new_entry,original,,,"Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. 
",2020-03-12,2020-03-13,2020-05-11,Sri Lanka,LKA,LK,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Sri Lanka,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.2307038333839,49.450040332376,45.9338668147115,53,http://www.colombopage.com/archive_20A/Mar12_1584022514CH.php,2020-05-14,2020-05-14T16:39:33Z
R_3oG9i7CKMntAiIFDl,5028505,update,original,Change of Policy,Strengthening,"Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. The decision to close schools was later extended to May 11. 
 UPDATE: The original policy for school closure was set to be from March 13 until April 20. This policy has been extended until May 11.",2020-04-11,2020-04-20,2020-05-11,Sri Lanka,LKA,LK,National,0,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Sri Lanka,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),57.8545061660104,49.6663897480676,43.397838803468,19,NA ; https://www.newsfirst.lk/2020/04/11/schools-to-be-re-opened-for-second-terms-on-may-11/,2020-06-10,2020-06-10T08:01:50Z
R_3oG9i7CKMntAiIFDn,5028505,update,original,Change of Policy,Strengthening,"Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. The decision to close schools was later extended to May 11. 
 UPDATE: The original policy for school closure was set to be from March 13 until April 20. This policy has been extended until May 11.",2020-04-11,2020-04-20,2020-05-11,Sri Lanka,LKA,LK,National,0,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Sri Lanka,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),57.8545061660104,49.6663897480676,43.397838803468,19,NA ; https://www.newsfirst.lk/2020/04/11/schools-to-be-re-opened-for-second-terms-on-may-11/,2020-06-10,2020-06-10T08:01:50Z
R_3oG9i7CKMntAiIFEm,5028505,update,original,Change of Policy,Strengthening,"Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. The decision to close schools was later extended to May 11. 
 UPDATE: The original policy for school closure was set to be from March 13 until April 20. This policy has been extended until May 11.",2020-04-11,2020-04-20,2020-05-11,Sri Lanka,LKA,LK,National,0,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Sri Lanka,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),57.8545061660104,49.6663897480676,43.397838803468,19,NA ; https://www.newsfirst.lk/2020/04/11/schools-to-be-re-opened-for-second-terms-on-may-11/,2020-06-10,2020-06-10T08:01:50Z
R_3oG9i7CKMntAiIFBs,5028505,update,original,Change of Policy,Strengthening,"Sri Lanka’s Ministry of Education has decided to close all government schools in the country from March 13th until April 20 due to the risk of coronavirus spreading in the country. Catholic and Buddhist Dhamma schools will also be closed till April 20th. The decision to close schools was later extended to May 11. 
 UPDATE: The original policy for school closure was set to be from March 13 until April 20. This policy has been extended until May 11.",2020-04-11,2020-04-20,2020-05-11,Sri Lanka,LKA,LK,National,0,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Sri Lanka,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),57.8545061660104,49.6663897480676,43.397838803468,19,NA ; https://www.newsfirst.lk/2020/04/11/schools-to-be-re-opened-for-second-terms-on-may-11/,2020-06-10,2020-06-10T08:01:50Z
