record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2QzZ8MNPTwZ6qgQNA,9544336,new_entry,original,,,"In Sudan, in Khartoum State, as of 18th of March fines will be levied for people spreading false information.",2020-03-18,2020-03-18,,Sudan,SDN,SD,Provincial,0,Khartoum,,Anti-Disinformation Measures,,,"",Sudan,,,Khartoum,,,,,,Mandatory with Fines,National Government,53.1405941732851,51.7050201354053,50.414178018838,99,https://web.archive.org/web/20200818181442if_/https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf,2020-08-23,2020-08-23T14:15:20Z
R_1o84VKkyGNRrcfhDi,2018410,new_entry,original,,,"On 14th March 2020, the government of Sudan announced closure of all schools and universities for a period of one month.",2020-03-14,2020-03-14,2020-04-14,Sudan,SDN,SD,National,1,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Sudan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,52.2046606475372,51.1975938242428,50.1297116402342,110,https://english.alarabiya.net/en/News/2020/03/15/Sudan-closes-schools-and-universities-over-coronavirus-fears.html,2020-03-31,2020-03-31T07:11:21Z
R_1o84VKkyGNRrcfhDk,2018410,new_entry,original,,,"On 14th March 2020, the government of Sudan announced closure of all schools and universities for a period of one month.",2020-03-14,2020-03-14,2020-04-14,Sudan,SDN,SD,National,1,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Sudan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,52.2046606475372,51.1975938242428,50.1297116402342,110,https://english.alarabiya.net/en/News/2020/03/15/Sudan-closes-schools-and-universities-over-coronavirus-fears.html,2020-03-31,2020-03-31T07:11:21Z
R_1o84VKkyGNRrcfhEj,2018410,new_entry,original,,,"On 14th March 2020, the government of Sudan announced closure of all schools and universities for a period of one month.",2020-03-14,2020-03-14,2020-04-14,Sudan,SDN,SD,National,1,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Sudan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,52.2046606475372,51.1975938242428,50.1297116402342,110,https://english.alarabiya.net/en/News/2020/03/15/Sudan-closes-schools-and-universities-over-coronavirus-fears.html,2020-03-31,2020-03-31T07:11:21Z
R_1o84VKkyGNRrcfhBr,2018410,new_entry,original,,,"On 14th March 2020, the government of Sudan announced closure of all schools and universities for a period of one month.",2020-03-14,2020-03-14,2020-04-14,Sudan,SDN,SD,National,1,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Sudan,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,52.2046606475372,51.1975938242428,50.1297116402342,110,https://english.alarabiya.net/en/News/2020/03/15/Sudan-closes-schools-and-universities-over-coronavirus-fears.html,2020-03-31,2020-03-31T07:11:21Z
R_3PELiKsyENTJFPjDk,1827174,new_entry,original,,,"In Sudan, the state of Al Jazirah have announced on 14th of November the closure of schools and universities.",2020-11-14,2020-11-14,,Sudan,SDN,SD,Provincial,1,Al Jazirah,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Sudan,,,Al Jazirah,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Police",,,,,http://altabia.net/2020/11/14/بسبب-تفشي-كورونا-وزارة-الصحة-بولاية-ال/,2020-11-25,2020-11-25T21:04:25Z
R_3PELiKsyENTJFPjEj,1827174,new_entry,original,,,"In Sudan, the state of Al Jazirah have announced on 14th of November the closure of schools and universities.",2020-11-14,2020-11-14,,Sudan,SDN,SD,Provincial,1,Al Jazirah,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Sudan,,,Al Jazirah,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Police",,,,,http://altabia.net/2020/11/14/بسبب-تفشي-كورونا-وزارة-الصحة-بولاية-ال/,2020-11-25,2020-11-25T21:04:25Z
R_3PELiKsyENTJFPjBr,1827174,new_entry,original,,,"In Sudan, the state of Al Jazirah have announced on 14th of November the closure of schools and universities.",2020-11-14,2020-11-14,,Sudan,SDN,SD,Provincial,1,Al Jazirah,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Sudan,,,Al Jazirah,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Police",,,,,http://altabia.net/2020/11/14/بسبب-تفشي-كورونا-وزارة-الصحة-بولاية-ال/,2020-11-25,2020-11-25T21:04:25Z
R_RLDycXMk1HMoXTjNA,2438740,new_entry,original,,,"In Sudan, on March 23, the Sudanese government announced that it will impose a nighttime curfew nationwide starting on Tuesday, March 24, to prevent further spread of the ongoing outbreak of coronavirus disease (COVID-19). The curfew will be from 20:00 to 06:00 (local time) each night.",2020-03-23,2020-03-24,2020-07-08,Sudan,SDN,SD,National,1,,,Curfew,,,"",Sudan,One or more geographical or administrative units within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,53.1830595613494,52.2626286605219,51.2442044728796,99,https://www.garda.com/crisis24/news-alerts/325716/sudan-government-implements-nationwide-nighttime-curfew-march-24-due-to-covid-19-update-3,2020-09-16,2020-09-16T19:48:03Z
R_10qNGa9MiRGsoUmNA,3167501,new_entry,correction,,,"In Sudan, as of 30th of March 2020, a country wide imposed curfew between 18:00 and 06:00 in all states apart from Khartoum.",2020-03-30,2020-03-30,2020-09-16,Sudan,SDN,SD,National,0,,,Curfew,,,"",Sudan,One or more geographical or administrative units within one or more countries,,,in all states apart from Khartoum,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Police",54.4747351031272,52.354384067762,50.350273175881,83,NA,2020-09-10,2020-09-10T14:48:42Z
