"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_CZT6O4twZjv9lLPDe",1254219,"new_entry","original",NA,NA,"The Ministry of Social Affairs and Housing announced that in Suriname ""from March 16 all government and private crèches and preschools are closed. An exception is made with regard to nurseries that are managed by a hospital.""",2020-03-15,2020-03-16,NA,"Suriname","SUR","SR","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://covid-19.sr/voorzorgsmaatregelen-vanuit-het-ministerie-van-sociale-zaken-en-volkshuisvesting/",2020-04-21,2020-04-21 16:54:40
"2","R_CZT6O4twZjv9lLPEc",1254219,"new_entry","original",NA,NA,"The Ministry of Social Affairs and Housing announced that in Suriname ""from March 16 all government and private crèches and preschools are closed. An exception is made with regard to nurseries that are managed by a hospital.""",2020-03-15,2020-03-16,NA,"Suriname","SUR","SR","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://covid-19.sr/voorzorgsmaatregelen-vanuit-het-ministerie-van-sociale-zaken-en-volkshuisvesting/",2020-04-21,2020-04-21 16:54:40
"3","R_2ts51lVFNTpr97IDe",1464778,"new_entry","original",NA,NA,"In Surinam, as of the 16th of March, all schools will be closed. Initially, until the 14th of April but they just announced it will be longer.",2020-03-14,2020-03-16,NA,"Suriname","SUR","SR","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/",2020-04-03,2020-04-03 11:50:35
"4","R_2ts51lVFNTpr97IEc",1464778,"new_entry","original",NA,NA,"In Surinam, as of the 16th of March, all schools will be closed. Initially, until the 14th of April but they just announced it will be longer.",2020-03-14,2020-03-16,NA,"Suriname","SUR","SR","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/",2020-04-03,2020-04-03 11:50:35
"5","R_8rfbMVhfs8uH6dHDe",1464778,"update","original","Change of Policy","Relaxing","In Surinam, as of the 16th of March, all schools will be closed. Initially, until the 14th of April but they just announced it will be longer. 

*Update* As of the 6th of July, schools in the west can reopen for the examination year (only 12 children are allowed per class). Schools in the East remain closed due to lockdown UPDATE: As of 6th July, Schools in most of the country have reopened for the examination year, however schools in the East, and in the villages remain closed.",2020-03-14,2020-03-16,NA,"Suriname","SUR","SR","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,NA,"Suriname",NA,NA,NA,NA,NA,"Citizen Residents",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/",2020-09-17,2020-09-17 12:41:12
"6","R_8rfbMVhfs8uH6dHEc",1464778,"update","original","Change of Policy","Relaxing","In Surinam, as of the 16th of March, all schools will be closed. Initially, until the 14th of April but they just announced it will be longer. 

*Update* As of the 6th of July, schools in the west can reopen for the examination year (only 12 children are allowed per class). Schools in the East remain closed due to lockdown UPDATE: As of 6th July, Schools in most of the country have reopened for the examination year, however schools in the East, and in the villages remain closed.",2020-03-14,2020-03-16,NA,"Suriname","SUR","SR","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Suriname",NA,NA,NA,NA,NA,"Citizen Residents",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.0650864986322,51.0800595306222,49.8593081073617,86,"https://www.srherald.com/suriname/2020/03/14/breaking-alle-scholen-vanaf-maandag-gesloten-wegens-coronavirus/",2020-09-17,2020-09-17 12:41:12
"7","R_5b8mcHPeIG6V7JnEd",6867853,"new_entry","original",NA,NA,"In Suriname, as of March 29th the Government of Suriname will institute a nationwide curfew for all residents with few exceptions from 8:00pm to 6:00am the next day.",2020-03-27,2020-03-29,2020-05-10,"Suriname","SUR","SR","National",1,NA,NA,"Curfew",NA,NA,NA,"Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",53.7347315027986,52.7451843604874,51.7485332763908,106,"https://www.srherald.com/suriname/2020/03/28/regering-garandeert-medische-zorg-voeding-en-orde-met-partial-lockdown/",2020-04-03,2020-04-03 12:10:40
"8","R_23970jBsbDwCCljEd",6867853,"update","original",NA,"Strengthening","In Suriname, ""as of March 29th tot the 10th of May, the Government of Suriname instituted a nationwide curfew/partial-lockdown for all residents with a few exceptions (excluding people who work in healthcare, safety and essential destination traffic) from 8:00pm to 6:00am the next day. UPDATE: The original Partial Lockdown/Curfew was set to last until April 26, it has been extended to May 10. 
",2020-03-27,2020-03-29,2020-05-10,"Suriname","SUR","SR","National",0,NA,NA,"Curfew",NA,NA,NA,"Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",53.7347315027986,52.7451843604874,51.7485332763908,106,"https://covid-19.sr/covid-19-maatregelen-opnieuw-verlengd/",2020-04-25,2020-04-25 14:59:34
"9","R_BDt8u0rtlK62YG5Ed",6867853,"update","original",NA,NA,"In Suriname, as of March 29th tot he 26th of April, the Government of Suriname instituted a nationwide curfew for all residents with a few exceptions (excluding people who work in healthcare, safety and essential destination traffic) from 8:00pm to 6:00am the next day. UPDATE: The original Partial Lockdown/Curfew was set to last until April 12, it has been extended to April 26.",2020-03-27,2020-03-29,2020-05-10,"Suriname","SUR","SR","National",0,NA,NA,"Curfew",NA,NA,NA,"Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",53.7347315027986,52.7451843604874,51.7485332763908,106,"https://covid-19.sr/maatregelen-covid-19-met-twee-weken-verlengd-situatie-grensgebied-alarmerend/",2020-04-13,2020-04-13 16:35:23
"10","R_UarAjAfsucuFm25Ed",6867853,"update","original",NA,"Strengthening","In Suriname, as of March 29th the Government of Suriname will institute a nationwide curfew for all residents with few exceptions from 8:00pm to 6:00am the next day, excluding people who work in healthcare, safety and essential destination traffic UPDATE: The original compliance of the policy was coded as Mandatory with exceptions, now the chief of Police has announced that they will lock people, who are on the streets during curfew hours, up for max. 24 hours.",2020-03-27,2020-03-29,2020-05-10,"Suriname","SUR","SR","National",0,NA,NA,"Curfew",NA,NA,NA,"Suriname",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Police",53.7347315027986,52.7451843604874,51.7485332763908,106,"https://www.srherald.com/suriname/2020/03/28/regering-garandeert-medische-zorg-voeding-en-orde-met-partial-lockdown/",2020-04-10,2020-04-10 14:45:14
